threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.03,0.751645307,0.8631,0.814046013,0.9412,0.873017345,0.215,,,,,,,,
0.05,0.577416003,0.8662,0.844951017,0.897,0.870197905,0.1646,,0.02,0.783512297,0.8375,0.776322253,0.9482,0.853695867,0.2732
0.06,0.547627295,0.8673,0.852157239,0.8888,0.870093,0.1542,,,,,,,,
0.04,0.607897471,0.8633,0.833976834,0.9072,0.869048759,0.1806,,,,,,,,
0.07,0.516799446,0.866,0.859528487,0.875,0.867195243,0.143,,,,,,,,
0.08,0.456529269,0.8626,0.866410671,0.8574,0.861881785,0.1322,,,,,,,,
0.09,0.431936266,0.8619,0.871942446,0.8484,0.860010137,0.1246,,,,,,,,
0.11,0.391063388,0.8617,0.880336488,0.8372,0.85822655,0.1138,,,,,,,,
0.1,0.405264981,0.8608,0.876146789,0.8404,0.857901184,0.1188,,,,,,,,
0.12,0.378940076,0.8619,0.884754412,0.8322,0.857672885,0.1084,,,,,,,,
0.02,0.783512297,0.8375,0.776322253,0.9482,0.853695867,0.2732,,,,,,,,
0.13,0.363006581,0.8584,0.887208297,0.8212,0.852928957,0.1044,,,,,,,,
0.14,0.351922411,0.8569,0.891423558,0.8128,0.850298148,0.099,,,,,,,,
0.15,0.334257014,0.8559,0.89448016,0.807,0.848491221,0.0952,,,,,,,,
0.16,0.317284378,0.8553,0.898050639,0.8016,0.847088661,0.091,,,,,,,,
0.17,0.284031867,0.8515,0.899341059,0.7916,0.842038081,0.0886,,,,,,,,
0.18,0.245237271,0.8508,0.907906977,0.7808,0.839569892,0.0792,,,,,,,,
0.2,0.174229304,0.8539,0.941161805,0.755,0.837864832,0.0472,,,,,,,,
0.19,0.213716661,0.8505,0.916567625,0.7712,0.837623547,0.0702,,,,,,,,
0.21,0.153792865,0.8499,0.941235813,0.7464,0.83257111,0.0466,,,,,,,,
0.22,0.144094215,0.8486,0.94328586,0.7418,0.830497089,0.0446,,,,,,,,
0.23,0.124350537,0.8439,0.943741935,0.7314,0.824112676,0.0436,,,,,,,,
0.24,0.114998268,0.8392,0.943746729,0.7214,0.817728406,0.043,,,,,,,,
0.25,0.10633876,0.8358,0.94559448,0.7126,0.812728102,0.041,,,,,,,,
0.26,0.099064773,0.8326,0.945844504,0.7056,0.808247423,0.0404,,,,,,,,
0.27,0.093522688,0.8295,0.94684025,0.6982,0.803729711,0.0392,,,,,,,,
0.28,0.087980603,0.8264,0.947613823,0.691,0.799213509,0.0382,,,,,,,,
0.29,0.083131278,0.8231,0.947879124,0.6838,0.794469618,0.0376,,,,,,,,
0.3,0.07412539,0.8199,0.948164752,0.6768,0.789823783,0.037,,,,,,,,
0.01,0.891582958,0.7399,0.663042001,0.9756,0.789512017,0.4958,,,,,,,,
0.31,0.070661586,0.8164,0.94815864,0.6694,0.784759672,0.0366,,,,,,,,
0.32,0.066505023,0.8139,0.948044533,0.6642,0.78113607,0.0364,,,,,,,,
0.33,0.06373398,0.813,0.949454337,0.6612,0.779533129,0.0352,,,,,,,,
0.34,0.060616557,0.8109,0.949407343,0.6568,0.776451117,0.035,,,,,,,,
0.35,0.051957049,0.8064,0.950853443,0.6462,0.769468921,0.0334,,,,,,,,
0.36,0.051957049,0.8064,0.950853443,0.6462,0.769468921,0.0334,,,,,,,,
0.37,0.046068583,0.8027,0.95058053,0.6386,0.763966982,0.0332,,,,,,,,
0.38,0.04260478,0.8003,0.950224888,0.6338,0.760407918,0.0332,,,,,,,,
0.39,0.039140977,0.7981,0.950166113,0.6292,0.757068945,0.033,,,,,,,,
0.4,0.035330793,0.7956,0.949786975,0.6242,0.753318851,0.033,,,,,,,,
0.41,0.027017665,0.7904,0.949535604,0.6134,0.745321993,0.0326,,,,,,,,
0.42,0.027017665,0.7904,0.949535604,0.6134,0.745321993,0.0326,,,,,,,,
0.43,0.023553862,0.7878,0.949126092,0.6082,0.741345685,0.0326,,,,,,,,
0.44,0.021821961,0.7857,0.949355143,0.6036,0.737987529,0.0322,,,,,,,,
0.45,0.02147558,0.7841,0.950523311,0.5994,0.735189501,0.0312,,,,,,,,
0.46,0.020436439,0.7832,0.95124283,0.597,0.733595478,0.0306,,,,,,,,
0.47,0.015933495,0.7816,0.95157152,0.5934,0.730968219,0.0302,,,,,,,,
0.48,0.015933495,0.7816,0.95157152,0.5934,0.730968219,0.0302,,,,,,,,
0.49,0.014547974,0.7806,0.951415701,0.5914,0.729403059,0.0302,,,,,,,,
0.5,0.013162452,0.7796,0.951550388,0.5892,0.727766798,0.03,,,,,,,,
0.51,0.011430551,0.7794,0.951519069,0.5888,0.727452434,0.03,,,,,,,,
0.52,0.01073779,0.7789,0.951440596,0.5878,0.726665843,0.03,,,,,,,,
0.53,0.009698649,0.7785,0.951963648,0.5866,0.72590026,0.0296,,,,,,,,
0.54,0.007966747,0.7772,0.952054795,0.5838,0.723778825,0.0294,,,,,,,,
0.55,0.007966747,0.7768,0.952287582,0.5828,0.723076923,0.0292,,,,,,,,
0.56,0.005888466,0.7756,0.952396586,0.5802,0.721103654,0.029,,,,,,,,
0.58,0.004156564,0.7736,0.952680344,0.5758,0.717776116,0.0286,,,,,,,,
0.57,0.004156564,0.7735,0.9523652,0.5758,0.717686651,0.0288,,,,,,,,
0.59,0.003810184,0.7735,0.952964558,0.5754,0.717545829,0.0284,,,,,,,,
0.6,0.003463803,0.7728,0.953457447,0.5736,0.716283716,0.028,,,,,,,,
0.61,0.002078282,0.7725,0.954015328,0.5726,0.715660542,0.0276,,,,,,,,
0.62,0.001731902,0.7724,0.95490982,0.5718,0.715286465,0.027,,,,,,,,
0.63,0.001385521,0.7722,0.954879679,0.5714,0.714964965,0.027,,,,,,,,
0.64,0.001039141,0.7715,0.95507878,0.5698,0.713766754,0.0268,,,,,,,,
0.65,0.000692761,0.7699,0.954836535,0.5666,0.711183632,0.0268,,,,,,,,
0.67,0.00034638,0.7695,0.957555178,0.564,0.709880428,0.025,,,,,,,,
0.66,0.00034638,0.7691,0.955021982,0.5648,0.709815257,0.0266,,,,,,,,
0.68,0.00034638,0.7683,0.958006145,0.5612,0.707781561,0.0246,,,,,,,,
0.69,0,0.7647,0.957800069,0.5538,0.701812191,0.0244,,,,,,,,
0.71,0,0.7637,0.958608696,0.5512,0.699936508,0.0238,,,,,,,,
0.7,0,0.7636,0.958275382,0.5512,0.699847638,0.024,,,,,,,,
0.72,0,0.7621,0.958697935,0.5478,0.697212677,0.0236,,,,,,,,
0.73,0,0.7603,0.958759253,0.544,0.694143167,0.0234,,,,,,,,
0.74,0,0.7569,0.960229308,0.536,0.687973303,0.0222,,,,,,,,
0.75,0,0.7563,0.962468423,0.5334,0.686398147,0.0208,,,,,,,,
0.76,0,0.7555,0.962694676,0.5316,0.684963278,0.0206,,,,,,,,
0.77,0,0.7542,0.962518195,0.529,0.68275684,0.0206,,,,,,,,
0.78,0,0.7533,0.962395035,0.5272,0.681224964,0.0206,,,,,,,,
0.79,0,0.7533,0.963410172,0.5266,0.680977628,0.02,,,,,,,,
0.8,0,0.7528,0.963683052,0.5254,0.680041419,0.0198,,,,,,,,
0.81,0,0.7524,0.964311994,0.5242,0.6791915,0.0194,,,,,,,,
0.82,0,0.7513,0.964510166,0.5218,0.677222583,0.0192,,,,,,,,
0.83,0,0.7511,0.965172286,0.521,0.676711261,0.0188,,,,,,,,
0.84,0,0.7511,0.965172286,0.521,0.676711261,0.0188,,,,,,,,
0.85,0,0.7499,0.966057441,0.518,0.674391355,0.0182,,,,,,,,
0.86,0,0.7474,0.966792453,0.5124,0.669803922,0.0176,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.87,0,0.7447,0.967877629,0.5062,0.664740643,0.0168,,,,,,,,
0.88,0,0.7429,0.968737939,0.502,0.661309445,0.0162,,,,,,,,
0.89,0,0.7411,0.969614336,0.4978,0.657856482,0.0156,,,,,,,,
0.9,0,0.7401,0.97133883,0.4948,0.655624752,0.0146,,,,,,,,
0.91,0,0.737,0.972111554,0.488,0.649800266,0.014,,,,,,,,
0.92,0,0.7308,0.97295082,0.4748,0.638172043,0.0132,,,,,,,,
0.93,0,0.7273,0.976120654,0.466,0.630837959,0.0114,,,,,,,,
0.94,0,0.7086,0.980645161,0.4256,0.593584379,0.0084,,,,,,,,
0.95,0,0.7034,0.985673352,0.4128,0.581900197,0.006,,,,,,,,
0.96,0,0.7034,0.986137667,0.4126,0.58178229,0.0058,,,,,,,,
0.97,0,0.7008,0.989756098,0.4058,0.575602837,0.0042,,,,,,,,
0.98,0,0.6988,0.99501992,0.3996,0.570205479,0.002,,,,,,,,
0.99,0,0.695,0.999487705,0.3902,0.56127733,0.0002,,,,,,,,
1,0,0.6864,1,0.3728,0.543123543,0,,,,,,,,
