threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.08,0.880597015,0.8901,0.868644869,0.9192,0.893207657,0.139,,,,,,,,
0.07,0.910447761,0.8887,0.863883168,0.9228,0.892370177,0.1454,,,,,,,,
0.09,0.820895522,0.8889,0.873726696,0.9092,0.891110458,0.1314,,0.3,0.298507463,0.8485,0.948058627,0.7374,0.82956463,0.0404
0.06,0.955223881,0.8863,0.857486582,0.9266,0.890704604,0.154,,,,,,,,
0.1,0.791044776,0.8864,0.87675507,0.8992,0.887835703,0.1264,,,,,,,,
0.11,0.791044776,0.8845,0.879415828,0.8912,0.8852687,0.1222,,,,,,,,
0.12,0.76119403,0.8831,0.882106523,0.8844,0.883251773,0.1182,,,,,,,,
0.05,0.955223881,0.8748,0.837293017,0.9304,0.881394468,0.1808,,,,,,,,
0.13,0.746268657,0.8783,0.882817243,0.8724,0.877577708,0.1158,,,,,,,,
0.14,0.71641791,0.8767,0.886358974,0.8642,0.875139241,0.1108,,,,,,,,
0.15,0.701492537,0.8764,0.892246769,0.8562,0.873851806,0.1034,,,,,,,,
0.16,0.686567164,0.875,0.896070976,0.8484,0.871584138,0.0984,,,,,,,,
0.17,0.626865672,0.872,0.898799314,0.8384,0.867549669,0.0944,,,,,,,,
0.18,0.626865672,0.8689,0.899674973,0.8304,0.863650546,0.0926,,,,,,,,
0.19,0.597014925,0.8625,0.900198719,0.8154,0.855703642,0.0904,,,,,,,,
0.21,0.552238806,0.8625,0.908496732,0.8062,0.854296916,0.0812,,,,,,,,
0.2,0.567164179,0.8606,0.90084482,0.8104,0.853232259,0.0892,,,,,,,,
0.22,0.552238806,0.8605,0.909566008,0.8006,0.851611531,0.0796,,,,,,,,
0.23,0.52238806,0.8596,0.910689813,0.7974,0.850287908,0.0782,,,,,,,,
0.24,0.492537313,0.8588,0.91146789,0.7948,0.849145299,0.0772,,,,,,,,
0.25,0.447761194,0.8554,0.912679981,0.786,0.844616377,0.0752,,,,,,,,
0.26,0.388059701,0.8521,0.914527902,0.7768,0.840056234,0.0726,,,,,,,,
0.27,0.343283582,0.8509,0.921450877,0.7672,0.837280367,0.0654,,,,,,,,
0.28,0.313432836,0.8513,0.932316023,0.7576,0.835926294,0.055,,,,,,,,
0.29,0.298507463,0.8495,0.939622642,0.747,0.832311978,0.048,,,,,,,,
0.04,0.985074627,0.8088,0.744072083,0.9414,0.831184884,0.3238,,,,,,,,
0.3,0.298507463,0.8485,0.948058627,0.7374,0.82956463,0.0404,,,,,,,,
0.31,0.28358209,0.8463,0.95009098,0.731,0.826268792,0.0384,,,,,,,,
0.32,0.28358209,0.8448,0.949895616,0.728,0.824275362,0.0384,,,,,,,,
0.33,0.28358209,0.8435,0.950196592,0.725,0.822461713,0.038,,,,,,,,
0.34,0.23880597,0.842,0.950236967,0.7218,0.82041373,0.0378,,,,,,,,
0.35,0.208955224,0.8365,0.951193349,0.7094,0.812693321,0.0364,,,,,,,,
0.36,0.208955224,0.8365,0.951193349,0.7094,0.812693321,0.0364,,,,,,,,
0.37,0.208955224,0.8347,0.952175088,0.7048,0.810021837,0.0354,,,,,,,,
0.38,0.208955224,0.8312,0.951718494,0.6978,0.805215786,0.0354,,,,,,,,
0.39,0.179104478,0.8295,0.952485581,0.6936,0.802684874,0.0346,,,,,,,,
0.4,0.149253731,0.8269,0.952394132,0.6882,0.79902473,0.0344,,,,,,,,
0.41,0.119402985,0.8226,0.952581369,0.679,0.792853807,0.0338,,,,,,,,
0.42,0.119402985,0.8226,0.952581369,0.679,0.792853807,0.0338,,,,,,,,
0.43,0.119402985,0.8195,0.952165299,0.6728,0.7884683,0.0338,,,,,,,,
0.44,0.089552239,0.8146,0.951751867,0.6628,0.781419477,0.0336,,,,,,,,
0.45,0.089552239,0.8093,0.951006124,0.6522,0.773757267,0.0336,,,,,,,,
0.46,0.089552239,0.8066,0.951945755,0.6458,0.769542421,0.0326,,,,,,,,
0.47,0.089552239,0.799,0.951388889,0.6302,0.758180943,0.0322,,,,,,,,
0.48,0.089552239,0.799,0.951388889,0.6302,0.758180943,0.0322,,,,,,,,
0.49,0.089552239,0.7964,0.95100426,0.625,0.754284335,0.0322,,,,,,,,
0.03,0.985074627,0.6842,0.619672557,0.9538,0.751260239,0.5854,,,,,,,,
0.5,0.089552239,0.794,0.950643777,0.6202,0.750665698,0.0322,,,,,,,,
0.51,0.089552239,0.7927,0.951279679,0.617,0.748513891,0.0316,,,,,,,,
0.52,0.089552239,0.791,0.951582868,0.6132,0.745803941,0.0312,,,,,,,,
0.53,0.089552239,0.7893,0.951607868,0.6096,0.743142753,0.031,,,,,,,,
0.54,0.089552239,0.7878,0.951947236,0.6062,0.740713587,0.0306,,,,,,,,
0.55,0.089552239,0.7862,0.952275601,0.6026,0.738118569,0.0302,,,,,,,,
0.56,0.074626866,0.7845,0.952881248,0.5986,0.735290505,0.0296,,,,,,,,
0.57,0.044776119,0.7817,0.95420832,0.5918,0.730527095,0.0284,,,,,,,,
0.58,0.044776119,0.7817,0.95420832,0.5918,0.730527095,0.0284,,,,,,,,
0.59,0.044776119,0.7813,0.954736502,0.5906,0.729766465,0.028,,,,,,,,
0.6,0.029850746,0.7804,0.954899416,0.5886,0.728285078,0.0278,,,,,,,,
0.61,0.029850746,0.7798,0.955700326,0.5868,0.727137546,0.0272,,,,,,,,
0.62,0.029850746,0.7789,0.955570075,0.585,0.725716412,0.0272,,,,,,,,
0.63,0.014925373,0.779,0.956777996,0.5844,0.725602185,0.0264,,,,,,,,
0.64,0.014925373,0.7779,0.956621755,0.5822,0.723859256,0.0264,,,,,,,,
0.65,0,0.777,0.957397622,0.5798,0.722222222,0.0258,,,,,,,,
0.66,0,0.7754,0.957475083,0.5764,0.719600499,0.0256,,,,,,,,
0.67,0,0.7748,0.958917836,0.5742,0.718288717,0.0246,,,,,,,,
0.68,0,0.773,0.958669355,0.5706,0.715396189,0.0246,,,,,,,,
0.69,0,0.7668,0.959050241,0.5574,0.705034151,0.0238,,,,,,,,
0.02,0.985074627,0.5887,0.550796014,0.9618,0.700458816,0.7844,,,,,,,,
0.7,0,0.7639,0.95959596,0.551,0.700038115,0.0232,,,,,,,,
0.71,0,0.7639,0.95959596,0.551,0.700038115,0.0232,,,,,,,,
0.72,0,0.7615,0.959901512,0.5458,0.695907178,0.0228,,,,,,,,
0.73,0,0.761,0.96145686,0.5438,0.694685743,0.0218,,,,,,,,
0.74,0,0.7604,0.962029808,0.5422,0.693527756,0.0214,,,,,,,,
0.75,0,0.759,0.962169879,0.5392,0.691104845,0.0212,,,,,,,,
0.76,0,0.758,0.962697274,0.5368,0.689265537,0.0208,,,,,,,,
0.77,0,0.7563,0.963136971,0.533,0.686236642,0.0204,,,,,,,,
0.78,0,0.7556,0.964052288,0.531,0.684807841,0.0198,,,,,,,,
0.79,0,0.7547,0.964611456,0.5288,0.683115877,0.0194,,,,,,,,
0.8,0,0.7541,0.964873765,0.5274,0.682012156,0.0192,,,,,,,,
0.81,0,0.7533,0.965112009,0.5256,0.680564547,0.019,,,,,,,,
0.01,1,0.537,0.519601611,0.9808,0.679318465,0.9068,,,,,,,,
0.82,0,0.7514,0.966939079,0.5206,0.676807072,0.0178,,,,,,,,
0.83,0,0.7503,0.967151922,0.5182,0.674827451,0.0176,,,,,,,,
0.84,0,0.7503,0.967151922,0.5182,0.674827451,0.0176,,,,,,,,
0.85,0,0.7491,0.967354597,0.5156,0.672667971,0.0174,,,,,,,,
0.86,0,0.7479,0.96897465,0.5122,0.670155698,0.0164,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.87,0,0.7456,0.969060351,0.5074,0.666054082,0.0162,,,,,,,,
0.88,0,0.7433,0.970599613,0.5018,0.661568886,0.0152,,,,,,,,
0.89,0,0.7397,0.970923379,0.4942,0.655003313,0.0148,,,,,,,,
0.9,0,0.7375,0.972919156,0.4886,0.650512582,0.0136,,,,,,,,
0.91,0,0.7332,0.97630719,0.478,0.641783029,0.0116,,,,,,,,
0.92,0,0.7291,0.9782881,0.4686,0.6336714,0.0104,,,,,,,,
0.93,0,0.7202,0.979529617,0.4498,0.616502193,0.0094,,,,,,,,
0.94,0,0.7067,0.9836219,0.4204,0.589043015,0.007,,,,,,,,
0.95,0,0.704,0.988974113,0.4126,0.582274908,0.0046,,,,,,,,
0.96,0,0.704,0.988974113,0.4126,0.582274908,0.0046,,,,,,,,
0.97,0,0.7028,0.994152047,0.408,0.578559274,0.0024,,,,,,,,
0.98,0,0.6988,0.997497497,0.3986,0.569591312,0.001,,,,,,,,
0.99,0,0.6906,0.999475891,0.3814,0.552113492,0.0002,,,,,,,,
1,0,0.6783,1,0.3566,0.52572608,0,,,,,,,,
