threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.04,0.95125981,0.848,0.88961039,0.7946,0.839425312,0.0986,,,,,,,,
0.05,0.9244114,0.8454,0.898477157,0.7788,0.834368974,0.088,,,,,,,,
0.12,0.811235027,0.8522,0.960271824,0.7348,0.832540222,0.0304,,0.06,0.890541099,0.8434,0.904380593,0.768,0.830629461,0.0812
0.11,0.822387443,0.851,0.952319588,0.739,0.832207207,0.037,,,,,,,,
0.1,0.832713755,0.8488,0.941742655,0.7436,0.831023692,0.046,,,,,,,,
0.06,0.890541099,0.8434,0.904380593,0.768,0.830629461,0.0812,,,,,,,,
0.13,0.802560925,0.8504,0.960084034,0.7312,0.830154405,0.0304,,,,,,,,
0.07,0.873192895,0.8423,0.909547739,0.7602,0.828194792,0.0756,,,,,,,,
0.14,0.792234614,0.8482,0.961069915,0.7258,0.827028259,0.0294,,,,,,,,
0.08,0.85708385,0.8408,0.913191077,0.7532,0.825515125,0.0716,,,,,,,,
0.15,0.782734407,0.8464,0.961620469,0.7216,0.824497258,0.0288,,,,,,,,
0.09,0.843866171,0.84,0.918307087,0.7464,0.823477493,0.0664,,,,,,,,
0.16,0.769103676,0.8424,0.961704423,0.7132,0.819016996,0.0284,,,,,,,,
0.17,0.762081784,0.8412,0.962581345,0.71,0.817219153,0.0276,,,,,,,,
0.18,0.753407683,0.8403,0.964003272,0.707,0.815737856,0.0264,,,,,,,,
0.19,0.743494424,0.8369,0.963666391,0.7002,0.811073787,0.0264,,,,,,,,
0.2,0.737711689,0.836,0.96460177,0.6976,0.809656453,0.0256,,,,,,,,
0.21,0.728624535,0.835,0.965536409,0.6948,0.808094906,0.0248,,,,,,,,
0.22,0.719124329,0.8317,0.965217391,0.6882,0.803502627,0.0248,,,,,,,,
0.23,0.710450227,0.8295,0.965526985,0.6834,0.800327907,0.0244,,,,,,,,
0.24,0.703428335,0.8268,0.966058186,0.6774,0.796379027,0.0238,,,,,,,,
0.25,0.695580339,0.8247,0.966388969,0.6728,0.793302677,0.0234,,,,,,,,
0.26,0.686493185,0.8219,0.966386555,0.667,0.789255709,0.0232,,,,,,,,
0.27,0.679471293,0.8196,0.967798595,0.6612,0.785646388,0.022,,,,,,,,
0.28,0.674514663,0.8157,0.96742671,0.6534,0.779992838,0.022,,,,,,,,
0.03,0.975216853,0.7649,0.73298153,0.8334,0.779971923,0.3036,,,,,,,,
0.29,0.665427509,0.8136,0.96778043,0.6488,0.776819923,0.0216,,,,,,,,
0.3,0.65881867,0.8131,0.969415292,0.6466,0.775764847,0.0204,,,,,,,,
0.31,0.653035936,0.8122,0.969897652,0.6444,0.774333093,0.02,,,,,,,,
0.32,0.645187939,0.8102,0.970570388,0.6398,0.771215043,0.0194,,,,,,,,
