threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0.04,0.306546588,0.842,0.876486129,0.7962,0.834416265,0.1122
0.05,0.292344995,0.843,0.885913591,0.7874,0.833756883,0.1014
0.06,0.259438864,0.8367,0.890150637,0.7682,0.824691358,0.0948
0.07,0.240734326,0.8331,0.89308473,0.7568,0.81931363,0.0906
0.08,0.22306893,0.8302,0.896493756,0.7466,0.814709734,0.0862
0.09,0.215794943,0.8273,0.899243718,0.7372,0.810198923,0.0826
0.1,0.2130239,0.8249,0.900419029,0.7306,0.806668875,0.0808
0.11,0.210945618,0.8233,0.901614907,0.7258,0.804210526,0.0792
0.18,0.19120194,0.8287,0.94503114,0.698,0.802944898,0.0406
0.17,0.194319363,0.8274,0.936766275,0.7022,0.802697759,0.0474
0.19,0.188430897,0.8296,0.953245325,0.6932,0.802686429,0.034
0.12,0.208867336,0.8218,0.902854281,0.7212,0.801867912,0.0776
0.2,0.186006235,0.8286,0.953366446,0.691,0.801252319,0.0338
0.16,0.197436786,0.8234,0.922193211,0.7064,0.8,0.0596
0.13,0.206096294,0.8196,0.903331651,0.7158,0.798705646,0.0766
0.21,0.183927953,0.8267,0.95337219,0.687,0.798558642,0.0336
0.14,0.20193973,0.8186,0.904520061,0.7124,0.797046319,0.0752
0.22,0.182196051,0.8257,0.954000558,0.6844,0.797018749,0.033
0.15,0.200207828,0.8187,0.907024266,0.7102,0.796634885,0.0728
0.23,0.181849671,0.8245,0.954100196,0.6818,0.795287531,0.0328
0.24,0.179425009,0.8228,0.954136185,0.6782,0.792845452,0.0326
0.25,0.174922064,0.8211,0.95417256,0.6746,0.790392501,0.0324
0.26,0.174229304,0.8195,0.954480797,0.671,0.788021139,0.032
0.27,0.173536543,0.8175,0.954220315,0.667,0.785167746,0.032
0.28,0.17041912,0.8157,0.954506191,0.663,0.782485542,0.0316
0.29,0.155178386,0.8132,0.955232558,0.6572,0.778672986,0.0308
0.3,0.154139245,0.812,0.955607477,0.6544,0.77682811,0.0304
0.31,0.152407343,0.8103,0.95538597,0.651,0.774354704,0.0304
0.32,0.147904399,0.8098,0.956662736,0.649,0.773355577,0.0294
0.33,0.137512989,0.8084,0.957024303,0.6458,0.771196561,0.029
0.34,0.118462071,0.8052,0.957159976,0.639,0.766370832,0.0286
0.35,0.102874957,0.8035,0.957216029,0.6354,0.763793725,0.0284
0.36,0.086941462,0.8017,0.957259776,0.6316,0.761055549,0.0282
0.37,0.079667475,0.8004,0.957369062,0.6288,0.759053597,0.028
0.38,0.076896432,0.7999,0.957862595,0.6274,0.758187311,0.0276
0.39,0.073086249,0.7991,0.957759412,0.6258,0.756985605,0.0276
0.4,0.068929685,0.7984,0.957949662,0.6242,0.755873093,0.0274
0.41,0.067890544,0.7981,0.958192438,0.6234,0.755361687,0.0272
0.42,0.065812262,0.798,0.958461538,0.623,0.755151515,0.027
0.43,0.061309318,0.7973,0.958371878,0.6216,0.754094383,0.027
0.44,0.056459993,0.7965,0.958836274,0.6196,0.752763941,0.0266
0.45,0.054728091,0.7965,0.959120471,0.6194,0.752703852,0.0264
0.46,0.054728091,0.7963,0.959379845,0.6188,0.752340426,0.0262
0.47,0.05368895,0.796,0.959627329,0.618,0.751824818,0.026
