threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.05,0.447761194,0.8593,0.861250754,0.8566,0.858919082,0.138,,0.049,0.447761194,0.8469,0.836078279,0.863,0.849325854,0.1692
0.05,0.447761194,0.8593,0.861250754,0.8566,0.858919082,0.138,,,,,,,,
0.1,0.253731343,0.864,0.934574976,0.7828,0.851980845,0.0548,,,,,,,,
0.09,0.253731343,0.862,0.924683247,0.7882,0.851004103,0.0642,,,,,,,,
0.11,0.253731343,0.8629,0.93628276,0.7788,0.850311169,0.053,,,,,,,,
0.049,0.447761194,0.8469,0.836078279,0.863,0.849325854,0.1692,,,,,,,,
0.12,0.253731343,0.8622,0.937862669,0.7758,0.849168126,0.0514,,,,,,,,
0.13,0.23880597,0.8618,0.939504373,0.7734,0.84839842,0.0498,,,,,,,,
0.06,0.388059701,0.8533,0.881780852,0.816,0.84761608,0.1094,,,,,,,,
0.14,0.223880597,0.8608,0.941075795,0.7698,0.846864686,0.0482,,,,,,,,
0.15,0.223880597,0.8599,0.942246252,0.7668,0.845517698,0.047,,,,,,,,
0.08,0.28358209,0.8535,0.898714189,0.7968,0.844694159,0.0898,,,,,,,,
0.16,0.208955224,0.859,0.943428854,0.7638,0.844164456,0.0458,,,,,,,,
0.07,0.313432836,0.851,0.887759611,0.8036,0.843585975,0.1016,,,,,,,,
0.17,0.208955224,0.8569,0.944015924,0.7588,0.84133496,0.045,,,,,,,,
0.18,0.179104478,0.8549,0.944402705,0.7542,0.838652285,0.0444,,,,,,,,
0.19,0.179104478,0.8536,0.945564516,0.7504,0.836752899,0.0432,,,,,,,,
0.2,0.164179104,0.8524,0.946981228,0.7466,0.834936256,0.0418,,,,,,,,
0.21,0.164179104,0.8514,0.947529292,0.744,0.833520054,0.0412,,,,,,,,
0.22,0.164179104,0.8507,0.9485802,0.7416,0.832416657,0.0402,,,,,,,,
0.23,0.164179104,0.849,0.948586118,0.738,0.830146232,0.04,,,,,,,,
0.24,0.164179104,0.8477,0.949108757,0.7348,0.828316988,0.0394,,,,,,,,
0.25,0.164179104,0.8476,0.951194185,0.7328,0.827835517,0.0376,,,,,,,,
0.26,0.164179104,0.8471,0.95183546,0.7312,0.827055763,0.037,,,,,,,,
0.27,0.164179104,0.8461,0.952891913,0.7282,0.825529985,0.036,,,,,,,,
0.28,0.164179104,0.8451,0.953006038,0.726,0.824157112,0.0358,,,,,,,,
0.29,0.164179104,0.8451,0.95348226,0.7256,0.824077229,0.0354,,,,,,,,
0.3,0.164179104,0.8446,0.954138113,0.724,0.823288606,0.0348,,,,,,,,
0.31,0.164179104,0.8434,0.954232804,0.7214,0.821640091,0.0346,,,,,,,,
0.33,0.164179104,0.8427,0.95487125,0.7194,0.820577164,0.034,,,,,,,,
0.32,0.164179104,0.8425,0.954123575,0.7196,0.820430966,0.0346,,,,,,,,
0.34,0.164179104,0.8426,0.955827568,0.7184,0.820278602,0.0332,,,,,,,,
0.35,0.164179104,0.8416,0.955953017,0.7162,0.818888635,0.033,,,,,,,,
0.36,0.134328358,0.8405,0.956801717,0.7132,0.817233872,0.0322,,,,,,,,
0.048,0.462686567,0.8046,0.772255989,0.864,0.815555975,0.2548,,,,,,,,
0.37,0.134328358,0.8391,0.957131302,0.71,0.815248593,0.0318,,,,,,,,
0.38,0.134328358,0.8379,0.957487138,0.7072,0.813528126,0.0314,,,,,,,,
0.39,0.134328358,0.8374,0.957677699,0.706,0.81280221,0.0312,,,,,,,,
0.047,0.462686567,0.8001,0.765246597,0.8658,0.812423759,0.2656,,,,,,,,
0.4,0.119402985,0.8358,0.957992362,0.7024,0.810523886,0.0308,,,,,,,,
0.046,0.507462687,0.7964,0.759181532,0.8682,0.810039186,0.2754,,,,,,,,
0.41,0.119402985,0.8347,0.9586188,0.6996,0.808879639,0.0302,,,,,,,,
0.42,0.119402985,0.8342,0.959065934,0.6982,0.808101852,0.0298,,,,,,,,
0.43,0.119402985,0.8333,0.959470637,0.696,0.806769445,0.0294,,,,,,,,
0.045,0.52238806,0.791,0.751035197,0.8706,0.806409781,0.2886,,,,,,,,
0.44,0.119402985,0.8317,0.95954558,0.6926,0.804506911,0.0292,,,,,,,,
0.45,0.119402985,0.8305,0.959666203,0.69,0.802792321,0.029,,,,,,,,
0.044,0.552238806,0.7837,0.741118477,0.872,0.801249655,0.3046,,,,,,,,
0.46,0.104477612,0.8292,0.959519821,0.6874,0.800978793,0.029,,,,,,,,
0.47,0.104477612,0.8279,0.959629941,0.6846,0.799112875,0.0288,,,,,,,,
0.043,0.552238806,0.7773,0.732673267,0.8732,0.796788028,0.3186,,,,,,,,
0.48,0.104477612,0.8258,0.959650113,0.6802,0.796114232,0.0286,,,,,,,,
0.49,0.104477612,0.8252,0.960101868,0.6786,0.795172252,0.0282,,,,,,,,
0.5,0.104477612,0.8248,0.960056657,0.6778,0.794607268,0.0282,,,,,,,,
0.042,0.552238806,0.7716,0.725356787,0.8742,0.792853256,0.331,,,,,,,,
0.51,0.104477612,0.8231,0.960650128,0.6738,0.792053603,0.0276,,,,,,,,
0.041,0.567164179,0.7659,0.717915096,0.876,0.789118097,0.3442,,,,,,,,
0.52,0.104477612,0.821,0.961206897,0.669,0.788915094,0.027,,,,,,,,
0.53,0.104477612,0.8199,0.961882761,0.6662,0.787191303,0.0264,,,,,,,,
0.54,0.104477612,0.8192,0.961805556,0.6648,0.786187323,0.0264,,,,,,,,
0.55,0.104477612,0.8187,0.962017976,0.6636,0.785418393,0.0262,,,,,,,,
0.04,0.567164179,0.7601,0.710607287,0.8776,0.785324385,0.3574,,,,,,,,
0.04,0.567164179,0.7601,0.710607287,0.8776,0.785324385,0.3574,,,,,,,,
0.56,0.104477612,0.8169,0.963168664,0.659,0.782567391,0.0252,,,,,,,,
0.57,0.104477612,0.8159,0.963060686,0.657,0.781119962,0.0252,,,,,,,,
0.58,0.089552239,0.8149,0.963224478,0.6548,0.779616621,0.025,,,,,,,,
0.59,0.089552239,0.814,0.963126844,0.653,0.778307509,0.025,,,,,,,,
0.6,0.089552239,0.8133,0.96332446,0.6514,0.77723422,0.0248,,,,,,,,
0.61,0.089552239,0.8125,0.963512311,0.6496,0.776012424,0.0246,,,,,,,,
0.02,0.791044776,0.7285,0.660847529,0.9388,0.775675452,0.4818,,,,,,,,
0.62,0.089552239,0.812,0.96373365,0.6484,0.775227164,0.0244,,,,,,,,
0.03,0.641791045,0.741,0.685784767,0.8896,0.774508097,0.4076,,,,,,,,
0.63,0.089552239,0.8113,0.963934426,0.6468,0.774147217,0.0242,,,,,,,,
0.64,0.089552239,0.8111,0.964467005,0.646,0.773745359,0.0238,,,,,,,,
0.65,0.089552239,0.8099,0.964617691,0.6434,0.771925615,0.0236,,,,,,,,
0.66,0.089552239,0.8093,0.964833183,0.642,0.770985949,0.0234,,,,,,,,
0.67,0.089552239,0.8084,0.964737794,0.6402,0.769656167,0.0234,,,,,,,,
0.68,0.089552239,0.8078,0.965235792,0.6386,0.768656716,0.023,,,,,,,,
0.69,0.089552239,0.8072,0.965454545,0.6372,0.767710843,0.0228,,,,,,,,
0.7,0.089552239,0.8063,0.965926377,0.635,0.766260408,0.0224,,,,,,,,
0.71,0.089552239,0.8053,0.965822399,0.633,0.764769844,0.0224,,,,,,,,
0.72,0.089552239,0.8045,0.966023875,0.6312,0.7635176,0.0222,,,,,,,,
0.73,0.089552239,0.8039,0.96653362,0.6296,0.762504542,0.0218,,,,,,,,
0.74,0.089552239,0.8033,0.967622572,0.6276,0.761373286,0.021,,,,,,,,
0.75,0.089552239,0.8028,0.967572576,0.6266,0.76062151,0.021,,,,,,,,
0.01,0.940298507,0.6859,0.614795603,0.9956,0.760174086,0.6238,,,,,,,,
0.76,0.089552239,0.8021,0.967791886,0.625,0.759509053,0.0208,,,,,,,,
0.77,0.089552239,0.8007,0.967942733,0.622,0.757335931,0.0206,,,,,,,,
0.78,0.089552239,0.7989,0.967762128,0.6184,0.754606467,0.0206,,,,,,,,
0.79,0.089552239,0.7973,0.967599874,0.6152,0.752170192,0.0206,,,,,,,,
0.8,0.089552239,0.7958,0.967446271,0.6122,0.749877511,0.0206,,,,,,,,
0.81,0.089552239,0.7936,0.967813894,0.6074,0.746375031,0.0202,,,,,,,,
0.82,0.089552239,0.7903,0.967773123,0.6006,0.74120696,0.02,,,,,,,,
0.83,0.089552239,0.7877,0.968109339,0.595,0.73702465,0.0196,,,,,,,,
0.84,0.089552239,0.7842,0.968358603,0.5876,0.731391586,0.0192,,,,,,,,
0.85,0.089552239,0.7775,0.967644085,0.5742,0.720722982,0.0192,,,,,,,,
0.86,0.089552239,0.7722,0.968986906,0.5624,0.711718552,0.018,,,,,,,,
0.87,0.074626866,0.7696,0.970013947,0.5564,0.707168277,0.0172,,,,,,,,
0.88,0.059701493,0.7659,0.970286523,0.5486,0.700907116,0.0168,,,,,,,,
0.89,0.029850746,0.7627,0.97028285,0.542,0.695495958,0.0166,,,,,,,,
0.9,0.014925373,0.7589,0.971241354,0.5336,0.688782755,0.0158,,,,,,,,
0.91,0.014925373,0.7555,0.971228329,0.5266,0.682920503,0.0156,,,,,,,,
0.92,0.014925373,0.748,0.970766894,0.5114,0.669897826,0.0154,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.93,0.014925373,0.7432,0.97095275,0.5014,0.661303086,0.015,,,,,,,,
0.94,0.014925373,0.7394,0.972375691,0.4928,0.654101407,0.014,,,,,,,,
0.95,0.014925373,0.7363,0.973547094,0.4858,0.648165444,0.0132,,,,,,,,
0.96,0.014925373,0.7303,0.976417046,0.472,0.636375893,0.0114,,,,,,,,
0.97,0,0.7229,0.981009927,0.4546,0.62129288,0.0088,,,,,,,,
0.98,0,0.7057,0.986288416,0.4172,0.586366831,0.0058,,,,,,,,
