threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.01,0.980423706,0.8391,0.816383654,0.875,0.844676127,0.1968,,0.02,0.8794583,0.8476,0.878814298,0.8064,0.841051314,0.1112
0.02,0.8794583,0.8476,0.878814298,0.8064,0.841051314,0.1112,,,,,,,,
0.03,0.859479753,0.8457,0.893466879,0.785,0.835728734,0.0936,,,,,,,,
0.04,0.789755967,0.8305,0.903540904,0.74,0.813633865,0.079,,,,,,,,
0.05,0.787208367,0.8302,0.909677419,0.7332,0.811960133,0.0728,,,,,,,,
0.08,0.78251542,0.8317,0.923627075,0.7232,0.81121705,0.0598,,,,,,,,
0.06,0.786135693,0.83,0.913326653,0.7292,0.81094306,0.0692,,,,,,,,
0.07,0.783051757,0.8303,0.918419052,0.725,0.810327484,0.0644,,,,,,,,
0.09,0.781174578,0.8301,0.924184014,0.7192,0.808907884,0.059,,,,,,,,
0.1,0.777688388,0.8285,0.927400468,0.7128,0.806061291,0.0558,,,,,,,,
0.11,0.777286136,0.8284,0.928944619,0.7112,0.805618487,0.0544,,,,,,,,
0.12,0.776883883,0.8281,0.929562713,0.71,0.805079941,0.0538,,,,,,,,
0.13,0.773665862,0.8276,0.931279621,0.7074,0.804046374,0.0522,,,,,,,,
0.14,0.770179673,0.8267,0.932944606,0.704,0.8024621,0.0506,,,,,,,,
0.15,0.766425315,0.8251,0.933351106,0.7002,0.800137127,0.05,,,,,,,,
0.16,0.761061947,0.8242,0.934351554,0.6974,0.798671553,0.049,,,,,,,,
0.17,0.7589166,0.823,0.934373319,0.6948,0.796971783,0.0488,,,,,,,,
0.18,0.754223652,0.8217,0.934612267,0.6918,0.795081025,0.0484,,,,,,,,
0.19,0.753687316,0.8209,0.93541384,0.6894,0.793782383,0.0476,,,,,,,,
0.2,0.747653526,0.8192,0.936065574,0.6852,0.791224018,0.0468,,,,,,,,
0.21,0.740547064,0.8183,0.938550565,0.6812,0.789430989,0.0446,,,,,,,,
0.22,0.735854116,0.8159,0.939360223,0.6754,0.785805701,0.0436,,,,,,,,
0.23,0.734245106,0.8156,0.940290179,0.674,0.785181733,0.0428,,,,,,,,
0.24,0.734111022,0.814,0.940763616,0.6702,0.782761037,0.0422,,,,,,,,
0.26,0.733306516,0.8138,0.941971831,0.6688,0.782222222,0.0412,,,,,,,,
0.25,0.733708769,0.8136,0.941193022,0.669,0.78209025,0.0418,,,,,,,,
0.27,0.733038348,0.8133,0.942389156,0.6674,0.781407329,0.0408,,,,,,,,
0.28,0.72928399,0.8117,0.94212766,0.6642,0.779120235,0.0408,,,,,,,,
0.29,0.725261464,0.8104,0.942417332,0.6612,0.777150917,0.0404,,,,,,,,
0.3,0.722177527,0.8095,0.942775393,0.659,0.775750441,0.04,,,,,,,,
0.31,0.721909359,0.8092,0.943233945,0.658,0.775212064,0.0396,,,,,,,,
0.32,0.721775275,0.8088,0.943168772,0.6572,0.774634606,0.0396,,,,,,,,
0.33,0.721238938,0.8085,0.943629566,0.6562,0.774094609,0.0392,,,,,,,,
0.34,0.715205149,0.8062,0.943511008,0.6514,0.770705159,0.039,,,,,,,,
0.35,0.71078037,0.8047,0.943522562,0.6482,0.76846473,0.0388,,,,,,,,
0.36,0.707964602,0.8027,0.943451509,0.644,0.765481992,0.0386,,,,,,,,
0.37,0.707964602,0.8024,0.943661972,0.6432,0.764985728,0.0384,,,,,,,,
0.38,0.707294181,0.8023,0.944428109,0.6424,0.764670873,0.0378,,,,,,,,
0.39,0.699115044,0.7997,0.944526847,0.6368,0.760721539,0.0374,,,,,,,,
0.4,0.697640118,0.7989,0.944394886,0.6352,0.759536052,0.0374,,,,,,,,
0.41,0.685304371,0.7938,0.943806647,0.6248,0.751865223,0.0372,,,,,,,,
0.42,0.681684098,0.7919,0.944292237,0.6204,0.748823174,0.0366,,,,,,,,
0.43,0.675918477,0.7895,0.943882245,0.6156,0.745188234,0.0366,,,,,,,,
0.44,0.671493698,0.7885,0.943709628,0.6136,0.743667434,0.0366,,,,,,,,
0.45,0.670421024,0.7877,0.944118555,0.6116,0.742323097,0.0362,,,,,,,,
0.46,0.668141593,0.7866,0.944203348,0.6092,0.740578653,0.036,,,,,,,,
0.47,0.668007509,0.7866,0.944754811,0.6088,0.740452445,0.0356,,,,,,,,
0.48,0.667337088,0.7856,0.944582814,0.6068,0.738918656,0.0356,,,,,,,,
0.49,0.66358273,0.7839,0.944566239,0.6032,0.736238252,0.0354,,,,,,,,
0.5,0.654062751,0.7808,0.944303797,0.5968,0.731372549,0.0352,,,,,,,,
0.51,0.645883615,0.7781,0.944675408,0.5908,0.726959518,0.0346,,,,,,,,
0.52,0.639849826,0.776,0.944587629,0.5864,0.723593287,0.0344,,,,,,,,
0.53,0.634486457,0.7731,0.944065041,0.5806,0.719009288,0.0344,,,,,,,,
0.54,0.631000268,0.7706,0.943897638,0.5754,0.714960239,0.0342,,,,,,,,
0.55,0.6307321,0.7704,0.944444444,0.5746,0.714498881,0.0338,,,,,,,,
0.56,0.629123089,0.7694,0.944261214,0.5726,0.712898406,0.0338,,,,,,,,
0.57,0.628989005,0.7685,0.94409527,0.5708,0.711454568,0.0338,,,,,,,,
0.58,0.619066774,0.7646,0.943364611,0.563,0.705160321,0.0338,,,,,,,,
0.59,0.606328774,0.7604,0.94346049,0.554,0.698084677,0.0332,,,,,,,,
0.6,0.602976669,0.7591,0.943209032,0.5514,0.695948504,0.0332,,,,,,,,
0.61,0.574818986,0.7504,0.942090395,0.5336,0.681307457,0.0328,,,,,,,,
0.62,0.544918209,0.7419,0.940619308,0.5164,0.666752744,0.0326,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.63,0.543309198,0.7404,0.94029304,0.5134,0.664165589,0.0326,,,,,,,,
0.64,0.542504693,0.7392,0.940029433,0.511,0.662088624,0.0326,,,,,,,,
0.65,0.531107536,0.7349,0.939393939,0.5022,0.654502802,0.0324,,,,,,,,
0.66,0.528023599,0.732,0.939393939,0.496,0.64921466,0.032,,,,,,,,
0.67,0.52198981,0.7287,0.938626774,0.4894,0.643354805,0.032,,,,,,,,
0.68,0.514212926,0.7255,0.938545313,0.4826,0.637432307,0.0316,,,,,,,,
0.69,0.509385894,0.7212,0.9375,0.474,0.629649309,0.0316,,,,,,,,
0.7,0.491820864,0.7115,0.935364347,0.4544,0.61165702,0.0314,,,,,,,,
0.71,0.491016358,0.7102,0.935376968,0.4516,0.609117885,0.0312,,,,,,,,
0.72,0.486859748,0.7079,0.936948298,0.4458,0.604146903,0.03,,,,,,,,
0.73,0.485116653,0.7065,0.936944562,0.4428,0.601385305,0.0298,,,,,,,,
0.74,0.48149638,0.7036,0.936535163,0.4368,0.595744681,0.0296,,,,,,,,
0.75,0.479753285,0.703,0.93712317,0.4352,0.594373122,0.0292,,,,,,,,
0.76,0.470501475,0.699,0.936786655,0.4268,0.586424842,0.0288,,,,,,,,
0.77,0.467417538,0.6964,0.93683274,0.4212,0.581125828,0.0284,,,,,,,,
0.78,0.466076696,0.6952,0.936493739,0.4188,0.578772803,0.0284,,,,,,,,
0.79,0.461383749,0.6929,0.936227951,0.414,0.574122868,0.0282,,,,,,,,
0.8,0.458970233,0.6911,0.935704514,0.4104,0.570554706,0.0282,,,,,,,,
0.81,0.447438992,0.6877,0.934691987,0.4036,0.563765889,0.0282,,,,,,,,
0.82,0.432689729,0.684,0.935193945,0.3954,0.555805454,0.0274,,,,,,,,
0.83,0.409627246,0.6757,0.93382716,0.3782,0.538362989,0.0268,,,,,,,,
0.84,0.385760257,0.6689,0.932411674,0.3642,0.523802675,0.0264,,,,,,,,
0.85,0.384151247,0.6686,0.9331963,0.3632,0.522890872,0.026,,,,,,,,
0.86,0.383883079,0.668,0.932989691,0.362,0.521613833,0.026,,,,,,,,
0.87,0.335344596,0.6532,0.927932961,0.3322,0.489248895,0.0258,,,,,,,,
0.88,0.26977742,0.6321,0.918833228,0.2898,0.440626425,0.0256,,,,,,,,
0.89,0.262402789,0.6301,0.91886671,0.2854,0.435525713,0.0252,,,,,,,,
0.9,0.260793778,0.6295,0.919637071,0.2838,0.433745988,0.0248,,,,,,,,
0.91,0.249798874,0.6249,0.917167669,0.2746,0.422656611,0.0248,,,,,,,,
0.92,0.203405739,0.6105,0.909562639,0.2454,0.386517562,0.0244,,,,,,,,
0.93,0.178868329,0.6033,0.906372935,0.2304,0.367405517,0.0238,,,,,,,,
0.94,0.158219362,0.5977,0.906068163,0.218,0.35144285,0.0226,,,,,,,,
0.95,0.10968088,0.5822,0.892175573,0.187,0.309193122,0.0226,,,,,,,,
0.96,0.080718691,0.5734,0.88794926,0.168,0.282542886,0.0212,,,,,,,,
0.97,0.07428265,0.5641,0.883832335,0.1476,0.252956298,0.0194,,,,,,,,
0.98,0.069723787,0.5561,0.879566982,0.13,0.2265203,0.0178,,,,,,,,
0.99,0.004290695,0.5358,0.871369295,0.084,0.153228749,0.0124,,,,,,,,
1,0,0.5,0,0,0,0,,,,,,,,
