threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.02,0.931846344,0.8593,0.882315386,0.8292,0.854933498,0.1106,,0.08,0.677406031,0.8363,0.940298507,0.7182,0.814378047,0.0456
0.03,0.861214374,0.855,0.904881387,0.7934,0.845481671,0.0834,,,,,,,,
0.04,0.80834366,0.8557,0.918766188,0.7804,0.843949389,0.069,,,,,,,,
0.05,0.780669145,0.8565,0.928794804,0.7722,0.843289287,0.0592,,,,,,,,
0.06,0.729037588,0.8536,0.937623762,0.7576,0.838053097,0.0504,,,,,,,,
0.07,0.690210657,0.8466,0.938956434,0.7414,0.828565042,0.0482,,,,,,,,
0.08,0.677406031,0.8363,0.940298507,0.7182,0.814378047,0.0456,,,,,,,,
0.09,0.65881867,0.83,0.942359249,0.703,0.805269187,0.043,,,,,,,,
0.1,0.640644362,0.8279,0.943467676,0.6976,0.802115672,0.0418,,,,,,,,
0.11,0.63197026,0.8229,0.943422137,0.687,0.79504687,0.0412,,,,,,,,
0.12,0.615861214,0.8212,0.944629014,0.6824,0.792382722,0.04,,,,,,,,
0.13,0.599339116,0.8192,0.9453125,0.6776,0.789375582,0.0392,,,,,,,,
0.14,0.592730277,0.8181,0.946895195,0.674,0.787475172,0.0378,,,,,,,,
0.15,0.591491119,0.8178,0.947353604,0.673,0.786950421,0.0374,,,,,,,,
0.16,0.590251962,0.8164,0.948667045,0.669,0.784658691,0.0362,,,,,,,,
0.01,0.958694754,0.7596,0.719330855,0.8514,0.779813153,0.3322,,,,,,,,
0.17,0.587773647,0.8111,0.949436579,0.6572,0.776740338,0.035,,,,,,,,
0.18,0.585295333,0.8102,0.950348432,0.6546,0.775225012,0.0342,,,,,,,,
0.19,0.581990913,0.8093,0.952060801,0.6514,0.773542335,0.0328,,,,,,,,
0.21,0.570838496,0.8043,0.954586197,0.639,0.765544507,0.0304,,,,,,,,
0.2,0.572903759,0.8039,0.952366776,0.6398,0.76540256,0.032,,,,,,,,
0.22,0.569186287,0.8022,0.954299459,0.6348,0.762430939,0.0304,,,,,,,,
0.23,0.567534077,0.8015,0.954476937,0.6332,0.761332211,0.0302,,,,,,,,
0.24,0.553903346,0.8003,0.954586739,0.6306,0.759484524,0.03,,,,,,,,
0.25,0.548946716,0.7991,0.954974141,0.6278,0.757572101,0.0296,,,,,,,,
0.26,0.540272615,0.7981,0.955392606,0.6254,0.7559531,0.0292,,,,,,,,
0.27,0.53944651,0.7975,0.955310683,0.6242,0.7550502,0.0292,,,,,,,,
0.28,0.538207352,0.7976,0.956441718,0.6236,0.75496368,0.0284,,,,,,,,
0.29,0.536968195,0.7975,0.956989247,0.623,0.754694125,0.028,,,,,,,,
0.3,0.535729038,0.7974,0.95697603,0.6228,0.754543252,0.028,,,,,,,,
0.31,0.533250723,0.7972,0.956949569,0.6224,0.754241396,0.028,,,,,,,,
0.32,0.53283767,0.7971,0.957217605,0.622,0.754030792,0.0278,,,,,,,,
0.33,0.53283767,0.7964,0.957125231,0.6206,0.752972579,0.0278,,,,,,,,
0.34,0.53283767,0.7948,0.957763975,0.6168,0.750364964,0.0272,,,,,,,,
0.35,0.53283767,0.794,0.95908807,0.6142,0.748841746,0.0262,,,,,,,,
0.36,0.532011565,0.7937,0.959912308,0.613,0.748199683,0.0256,,,,,,,,
0.37,0.530772408,0.7886,0.959261617,0.6028,0.740358634,0.0256,,,,,,,,
0.38,0.530772408,0.7882,0.959209688,0.602,0.739739494,0.0256,,,,,,,,
0.39,0.530772408,0.7875,0.959705788,0.6002,0.738525901,0.0252,,,,,,,,
0.41,0.529533251,0.7876,0.961193072,0.5994,0.738359202,0.0242,,,,,,,,
