threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.02,0.44648424,0.8657,0.865480712,0.866,0.865740278,0.1346,,,,,,,,
0.01,0.482507794,0.8534,0.838635493,0.8752,0.856527696,0.1684,,0.05,0.209560097,0.836,0.88585209,0.7714,0.824673936,0.0994
0.03,0.402840319,0.8579,0.874294081,0.836,0.854718331,0.1202,,,,,,,,
0.04,0.285417388,0.8437,0.880451627,0.7954,0.835767574,0.108,,,,,,,,
0.05,0.209560097,0.836,0.88585209,0.7714,0.824673936,0.0994,,,,,,,,
0.06,0.20263249,0.8298,0.886907555,0.756,0.816238393,0.0964,,,,,,,,
0.07,0.158295809,0.8207,0.885549411,0.7366,0.80423627,0.0952,,,,,,,,
0.08,0.143401455,0.8167,0.887258498,0.7256,0.798327649,0.0922,,,,,,,,
0.09,0.121233114,0.8076,0.886626445,0.7054,0.785698374,0.0902,,,,,,,,
0.1,0.119154832,0.8071,0.892209451,0.6986,0.783623107,0.0844,,,,,,,,
0.11,0.10668514,0.8014,0.891022314,0.6868,0.775694601,0.084,,,,,,,,
0.18,0.072047108,0.807,0.94596165,0.6512,0.771381189,0.0372,,,,,,,,
0.12,0.105299619,0.7989,0.893807642,0.6784,0.771347356,0.0806,,,,,,,,
0.13,0.102528576,0.7973,0.893774834,0.6748,0.769002849,0.0802,,,,,,,,
0.15,0.100450294,0.7984,0.904555315,0.6672,0.767955801,0.0704,,,,,,,,
0.14,0.100450294,0.7969,0.897031292,0.6708,0.767593546,0.077,,,,,,,,
0.16,0.097332871,0.7972,0.906232914,0.663,0.765765766,0.0686,,,,,,,,
0.19,0.069622445,0.8023,0.94600177,0.6412,0.764334247,0.0366,,,,,,,,
0.2,0.066505023,0.8002,0.946195006,0.6366,0.761119082,0.0362,,,,,,,,
0.17,0.076896432,0.7932,0.905196241,0.655,0.760037132,0.0686,,,,,,,,
0.21,0.062348459,0.7988,0.946236559,0.6336,0.758984188,0.036,,,,,,,,
0.22,0.050225147,0.7961,0.945799458,0.6282,0.754957337,0.036,,,,,,,,
0.23,0.049878767,0.7958,0.947097944,0.6266,0.754212807,0.035,,,,,,,,
0.24,0.04260478,0.7949,0.946953622,0.6248,0.752861791,0.035,,,,,,,,
0.25,0.041912019,0.7884,0.946163366,0.6116,0.742954325,0.0348,,,,,,,,
0.26,0.041912019,0.788,0.946096654,0.6108,0.742343218,0.0348,,,,,,,,
0.27,0.034638033,0.7869,0.946467476,0.6082,0.740533301,0.0344,,,,,,,,
0.3,0.032559751,0.7865,0.948918834,0.6056,0.739348065,0.0326,,,,,,,,
0.28,0.033598892,0.7861,0.946333853,0.6066,0.739305302,0.0344,,,,,,,,
0.29,0.032906131,0.7862,0.9471875,0.6062,0.739268293,0.0338,,,,,,,,
0.31,0.029788708,0.7861,0.949136578,0.6046,0.738668296,0.0324,,,,,,,,
0.32,0.029442328,0.7863,0.95058231,0.604,0.738657209,0.0314,,,,,,,,
0.33,0.028749567,0.786,0.951388889,0.6028,0.738001959,0.0308,,,,,,,,
0.34,0.027364046,0.7842,0.951684679,0.5988,0.735084704,0.0304,,,,,,,,
0.35,0.025632144,0.7838,0.95162317,0.598,0.734463277,0.0304,,,,,,,,
0.36,0.0211292,0.782,0.951633568,0.5942,0.731593204,0.0302,,,,,,,,
0.37,0.020436439,0.7818,0.951892239,0.5936,0.731214585,0.03,,,,,,,,
0.38,0.020090059,0.7817,0.951876805,0.5934,0.731058273,0.03,,,,,,,,
0.39,0.020090059,0.781,0.951768489,0.592,0.729963009,0.03,,,,,,,,
0.4,0.020090059,0.7794,0.951519069,0.5888,0.727452434,0.03,,,,,,,,
0.41,0.018704538,0.7784,0.95165477,0.5866,0.725810443,0.0298,,,,,,,,
0.43,0.017319016,0.7763,0.952505732,0.5816,0.722215323,0.029,,,,,,,,
0.42,0.017665397,0.7761,0.951291272,0.582,0.722173967,0.0298,,,,,,,,
0.44,0.017319016,0.7756,0.952396586,0.5802,0.721103654,0.029,,,,,,,,
0.45,0.012123311,0.7745,0.952224053,0.578,0.719352831,0.029,,,,,,,,
0.46,0.011430551,0.7743,0.952192549,0.5776,0.719033985,0.029,,,,,,,,
0.48,0.01108417,0.7743,0.9527897,0.5772,0.718894009,0.0286,,,,,,,,
0.47,0.011430551,0.7741,0.952161003,0.5772,0.718714979,0.029,,,,,,,,
0.49,0.010045029,0.7739,0.952727273,0.5764,0.718255452,0.0286,,,,,,,,
0.52,0.008659508,0.7739,0.953627029,0.5758,0.718044644,0.028,,,,,,,,
0.5,0.009698649,0.7737,0.952695997,0.576,0.717935934,0.0286,,,,,,,,
0.51,0.008659508,0.7736,0.952680344,0.5758,0.717776116,0.0286,,,,,,,,
0.53,0.007620367,0.7737,0.953897181,0.5752,0.717654398,0.0278,,,,,,,,
0.54,0.007273987,0.7737,0.954198473,0.575,0.717583926,0.0276,,,,,,,,
0.55,0.007273987,0.7737,0.95480226,0.5746,0.717442877,0.0272,,,,,,,,
0.56,0.007273987,0.7737,0.955407654,0.5742,0.717301686,0.0268,,,,,,,,
0.57,0.006581226,0.7738,0.95694259,0.5734,0.717108554,0.0258,,,,,,,,
0.59,0.006581226,0.7738,0.958472873,0.5724,0.71675432,0.0248,,,,,,,,
0.58,0.006581226,0.7735,0.956899432,0.5728,0.716627049,0.0258,,,,,,,,
0.61,0.005888466,0.7735,0.958738678,0.5716,0.716200977,0.0246,,,,,,,,
0.6,0.005888466,0.7734,0.95841717,0.5716,0.71611125,0.0248,,,,,,,,
0.62,0.005195705,0.7733,0.958710977,0.5712,0.715879183,0.0246,,,,,,,,
0.63,0.004156564,0.773,0.958669355,0.5706,0.715396189,0.0246,,,,,,,,
0.64,0.004156564,0.7726,0.958613728,0.5698,0.714751631,0.0246,,,,,,,,
0.65,0.003810184,0.7704,0.958305085,0.5654,0.711194969,0.0246,,,,,,,,
0.66,0.003463803,0.7703,0.958290946,0.5652,0.711032834,0.0246,,,,,,,,
0.67,0.003463803,0.7696,0.958503401,0.5636,0.709823678,0.0244,,,,,,,,
0.68,0.002078282,0.7693,0.958773424,0.5628,0.70926276,0.0242,,,,,,,,
0.69,0.002078282,0.7682,0.958618331,0.5606,0.707470974,0.0242,,,,,,,,
0.7,0.002078282,0.7678,0.959190672,0.5594,0.706670035,0.0238,,,,,,,,
0.71,0.001731902,0.7669,0.959064327,0.5576,0.705197926,0.0238,,,,,,,,
0.72,0.001731902,0.7669,0.959064327,0.5576,0.705197926,0.0238,,,,,,,,
0.73,0.001731902,0.7666,0.959022039,0.557,0.704706478,0.0238,,,,,,,,
0.74,0.001385521,0.7664,0.959310345,0.5564,0.704303797,0.0236,,,,,,,,
0.75,0.001385521,0.7655,0.959183673,0.5546,0.702826004,0.0236,,,,,,,,
0.76,0.001385521,0.7648,0.959084605,0.5532,0.701674277,0.0236,,,,,,,,
0.77,0.001385521,0.764,0.958970793,0.5516,0.70035551,0.0236,,,,,,,,
0.78,0.001385521,0.7636,0.958913649,0.5508,0.699695122,0.0236,,,,,,,,
0.79,0.001385521,0.7633,0.958870687,0.5502,0.69919939,0.0236,,,,,,,,
0.8,0.001385521,0.763,0.959468903,0.5492,0.698549987,0.0232,,,,,,,,
0.81,0.001039141,0.7623,0.96001403,0.5474,0.697236021,0.0228,,,,,,,,
0.82,0.000692761,0.7612,0.960832745,0.5446,0.695174879,0.0222,,,,,,,,
0.83,0.000692761,0.7604,0.960721868,0.543,0.693841043,0.0222,,,,,,,,
0.84,0.000692761,0.7596,0.960610362,0.5414,0.692504477,0.0222,,,,,,,,
0.85,0.000692761,0.7593,0.960568384,0.5408,0.692002559,0.0222,,,,,,,,
0.86,0.000692761,0.759,0.960526316,0.5402,0.691500256,0.0222,,,,,,,,
0.87,0.000692761,0.7586,0.960470085,0.5394,0.690829918,0.0222,,,,,,,,
0.88,0.000692761,0.757,0.960243553,0.5362,0.688141684,0.0222,,,,,,,,
0.89,0.00034638,0.7564,0.960819554,0.5346,0.686969931,0.0218,,,,,,,,
0.9,0,0.7559,0.961746662,0.533,0.685883413,0.0212,,,,,,,,
0.91,0,0.7554,0.963016679,0.5312,0.684712555,0.0204,,,,,,,,
0.92,0,0.7542,0.962855062,0.5288,0.682674929,0.0204,,,,,,,,
0.93,0,0.7539,0.96382901,0.5276,0.681918056,0.0198,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.94,0,0.7411,0.962054427,0.502,0.659745039,0.0198,,,,,,,,
0.95,0,0.7404,0.964810518,0.499,0.657790667,0.0182,,,,,,,,
0.96,0,0.7387,0.964939618,0.4954,0.654684816,0.018,,,,,,,,
0.97,0,0.7273,0.964066966,0.4722,0.633910592,0.0176,,,,,,,,
0.98,0,0.7202,0.963774221,0.4576,0.62055872,0.0172,,,,,,,,
0.99,0,0.7096,0.964539007,0.4352,0.599779493,0.016,,,,,,,,
1,0,0.5,0,0,0,0,,,,,,,,
