threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.03,0.671641791,0.8512,0.8546042,0.8464,0.850482315,0.144,,,,,,,,
0.02,0.71641791,0.8438,0.832366589,0.861,0.846441211,0.1734,,0.1,0.23880597,0.8489,0.922499395,0.7618,0.834483514,0.064
0.08,0.358208955,0.8535,0.919534773,0.7748,0.840985564,0.0678,,,,,,,,
0.07,0.373134328,0.8516,0.911516854,0.7788,0.839948231,0.0756,,,,,,,,
0.09,0.28358209,0.8528,0.922616195,0.7702,0.839546545,0.0646,,,,,,,,
0.01,0.820895522,0.8261,0.78292556,0.9024,0.838427948,0.2502,,,,,,,,
0.1,0.23880597,0.8489,0.922499395,0.7618,0.834483514,0.064,,,,,,,,
0.04,0.567164179,0.8392,0.861774744,0.808,0.83402147,0.1296,,,,,,,,
0.11,0.23880597,0.8476,0.923076923,0.7584,0.832674572,0.0632,,,,,,,,
0.05,0.47761194,0.8392,0.87079143,0.7966,0.832045122,0.1182,,,,,,,,
0.12,0.23880597,0.8462,0.923641703,0.7548,0.830728593,0.0624,,,,,,,,
0.06,0.447761194,0.8364,0.877299237,0.7822,0.827024741,0.1094,,,,,,,,
0.13,0.23880597,0.8398,0.923902196,0.7406,0.822158082,0.061,,,,,,,,
0.14,0.23880597,0.8397,0.925582561,0.7388,0.821710599,0.0594,,,,,,,,
0.16,0.194029851,0.8407,0.936459134,0.731,0.821071549,0.0496,,,,,,,,
0.17,0.194029851,0.8396,0.937854564,0.7274,0.819328678,0.0482,,,,,,,,
0.15,0.208955224,0.8371,0.926169406,0.7326,0.818090452,0.0584,,,,,,,,
0.19,0.194029851,0.837,0.938802083,0.721,0.81561086,0.047,,,,,,,,
0.18,0.194029851,0.8369,0.93832943,0.7212,0.81556033,0.0474,,,,,,,,
0.2,0.194029851,0.8367,0.939212105,0.72,0.815125099,0.0466,,,,,,,,
0.21,0.194029851,0.833,0.9386196,0.7126,0.810140973,0.0466,,,,,,,,
0.22,0.179104478,0.833,0.939545935,0.7118,0.809968138,0.0458,,,,,,,,
0.23,0.164179104,0.831,0.943699732,0.704,0.806414662,0.042,,,,,,,,
0.24,0.164179104,0.8302,0.945013477,0.7012,0.805051665,0.0408,,,,,,,,
0.25,0.149253731,0.828,0.945410103,0.6962,0.801888966,0.0402,,,,,,,,
0.26,0.149253731,0.8265,0.945186801,0.6932,0.799815392,0.0402,,,,,,,,
0.27,0.134328358,0.8242,0.946064942,0.6876,0.796386379,0.0392,,,,,,,,
0.28,0.134328358,0.822,0.94598338,0.683,0.793263647,0.039,,,,,,,,
0.29,0.134328358,0.8209,0.947559275,0.6794,0.791380315,0.0376,,,,,,,,
0.3,0.104477612,0.8202,0.948459384,0.6772,0.790198366,0.0368,,,,,,,,
0.31,0.104477612,0.8197,0.949395558,0.6754,0.789295314,0.036,,,,,,,,
0.33,0.104477612,0.8185,0.949985872,0.6724,0.787445837,0.0354,,,,,,,,
0.32,0.104477612,0.8182,0.949181254,0.6724,0.787169281,0.036,,,,,,,,
0.34,0.089552239,0.8179,0.950155763,0.671,0.786543195,0.0352,,,,,,,,
0.35,0.089552239,0.8179,0.950921986,0.6704,0.786392962,0.0346,,,,,,,,
