threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
-0.83,0.7232502,0.7746,0.868887695,0.6468,0.741573034,0.0976
-0.82,0.72298205,0.7746,0.869086022,0.6466,0.741513761,0.0974
-0.84,0.72338426,0.7745,0.868654311,0.6468,0.74148802,0.0978
-0.81,0.72284794,0.7745,0.86905082,0.6464,0.741369423,0.0974
-0.85,0.72338426,0.7742,0.867954911,0.6468,0.741233096,0.0984
-0.87,0.7240547,0.774,0.867095391,0.6472,0.74118186,0.0992
-0.86,0.7236525,0.774,0.867292225,0.647,0.741122566,0.099
-0.88,0.7240547,0.7738,0.86643469,0.6474,0.741071429,0.0998
-0.9,0.7241888,0.7736,0.865971108,0.6474,0.740901808,0.1002
-0.89,0.7241888,0.7736,0.865971108,0.6474,0.740901808,0.1002
-0.77,0.72190934,0.7744,0.87021047,0.645,0.740868367,0.0962
-0.78,0.72204345,0.7743,0.86977622,0.6452,0.740842806,0.0966
-0.79,0.7223116,0.7741,0.869108538,0.6454,0.740732239,0.0972
-0.76,0.7217753,0.7743,0.870175439,0.6448,0.740723722,0.0962
-0.91,0.72445697,0.7733,0.865276664,0.6474,0.740647523,0.1008
-0.8,0.7223116,0.774,0.868874529,0.6454,0.740647234,0.0974
-0.75,0.72150713,0.7742,0.870140389,0.6446,0.740579044,0.0962
-0.92,0.724591,0.7732,0.86504543,0.6474,0.7405628,0.101
-0.93,0.7247251,0.7731,0.864619493,0.6476,0.74053745,0.1014
-0.73,0.72110486,0.7742,0.870340357,0.6444,0.740519421,0.096
-0.72,0.72097075,0.7742,0.870340357,0.6444,0.740519421,0.096
-0.74,0.72110486,0.7741,0.87010532,0.6444,0.740434333,0.0962
-0.71,0.7207026,0.7741,0.870305323,0.6442,0.74037467,0.096
-0.94,0.7247251,0.7726,0.863466667,0.6476,0.740114286,0.1024
-0.7,0.7204344,0.7739,0.870235199,0.6438,0.740085067,0.096
-0.69,0.7204344,0.7739,0.870235199,0.6438,0.740085067,0.096
-0.68,0.7204344,0.7739,0.870435488,0.6436,0.740025296,0.0958
-0.95,0.7249933,0.7724,0.863006397,0.6476,0.739945155,0.1028
-0.67,0.72016627,0.7738,0.870600975,0.6432,0.739820566,0.0956
-0.66,0.72016627,0.7738,0.870600975,0.6432,0.739820566,0.0956
-0.99,0.726066,0.7719,0.860897266,0.6486,0.739819779,0.1048
-0.96,0.72539556,0.7722,0.862546617,0.6476,0.739776102,0.1032
-0.65,0.7198981,0.7738,0.870801733,0.643,0.739760699,0.0954
-1,0.726066,0.7717,0.860440435,0.6486,0.739651043,0.1052
-0.98,0.7257978,0.7718,0.861052072,0.6482,0.739616613,0.1046
-0.97,0.7256637,0.7718,0.86143617,0.6478,0.739497717,0.1042
-0.64,0.71949583,0.7736,0.870731707,0.6426,0.739470656,0.0954
-0.62,0.71909356,0.7736,0.871134021,0.6422,0.739350679,0.095
-0.63,0.7192277,0.7735,0.870696666,0.6424,0.739325584,0.0954
-0.61,0.7189595,0.7735,0.87130057,0.6418,0.739145457,0.0948
-0.6,0.7188254,0.7735,0.87130057,0.6418,0.739145457,0.0948
-0.59,0.71855724,0.7733,0.871230644,0.6414,0.738854971,0.0948
-0.58,0.7184232,0.7731,0.871160641,0.641,0.738564351,0.0948
