threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
-1,0.2928542,0.7385,0.882334081,0.5504,0.677916,0.0734,,,-1,0.2928542,0.7385,0.882334081,0.5504,0.677916,0.0734
-0.99,0.29244113,0.7385,0.882579403,0.5502,0.677836639,0.0732,,,,,,,,,
-0.98,0.2920281,0.7384,0.883033419,0.5496,0.677514793,0.0728,,,,,,,,,
-0.97,0.29161504,0.7383,0.882995821,0.5494,0.677351745,0.0728,,,,,,,,,
-0.95,0.28954977,0.7383,0.883488896,0.549,0.67719255,0.0724,,,,,,,,,
-0.96,0.28996283,0.7382,0.882958199,0.5492,0.677188656,0.0728,,,,,,,,,
-0.92,0.28872368,0.7384,0.884516129,0.5484,0.677037037,0.0716,,,,,,,,,
-0.94,0.2891367,0.7382,0.883698454,0.5486,0.676949654,0.0722,,,,,,,,,
-0.91,0.2874845,0.7383,0.884727155,0.548,0.676793874,0.0714,,,,,,,,,
-0.93,0.28872368,0.7381,0.883660973,0.5484,0.676786375,0.0722,,,,,,,,,
-0.84,0.2841801,0.7386,0.887589344,0.5464,0.676405051,0.0692,,,,,,,,,
-0.9,0.2874845,0.738,0.884615385,0.5474,0.676303435,0.0714,,,,,,,,,
-0.83,0.28376704,0.7385,0.887552811,0.5462,0.676241179,0.0692,,,,,,,,,
-0.85,0.28459314,0.7383,0.886725089,0.5464,0.676153941,0.0698,,,,,,,,,
-0.89,0.2874845,0.738,0.885113269,0.547,0.676143387,0.071,,,,,,,,,
-0.86,0.2850062,0.7382,0.886437378,0.5464,0.67607028,0.07,,,,,,,,,
-0.87,0.2858323,0.7381,0.885899514,0.5466,0.67606679,0.0704,,,,,,,,,
-0.88,0.2866584,0.738,0.885362694,0.5468,0.676063304,0.0708,,,,,,,,,
-0.82,0.2825279,0.7383,0.887479675,0.5458,0.675913313,0.0692,,,,,,,,,
-0.81,0.2825279,0.7381,0.887658743,0.5452,0.675504894,0.069,,,,,,,,,
-0.8,0.28087568,0.738,0.887874837,0.5448,0.675260288,0.0688,,,,,,,,,
-0.79,0.28087568,0.7378,0.88805483,0.5442,0.67485119,0.0686,,,,,,,,,
-0.78,0.28046262,0.7378,0.88805483,0.5442,0.67485119,0.0686,,,,,,,,,
-0.77,0.28004956,0.7378,0.888308295,0.544,0.674770528,0.0684,,,,,,,,,
-0.76,0.2796365,0.7377,0.888525662,0.5436,0.674525375,0.0682,,,,,,,,,
-0.75,0.27922347,0.7377,0.88877985,0.5434,0.674444582,0.068,,,,,,,,,
-0.74,0.27839735,0.7376,0.889252949,0.5428,0.674118231,0.0676,,,,,,,,,
-0.73,0.27839735,0.7375,0.889471958,0.5424,0.673872531,0.0674,,,,,,,,,
-0.72,0.2779843,0.7373,0.889399409,0.542,0.673542935,0.0674,,,,,,,,,
-0.71,0.2779843,0.7372,0.889875082,0.5414,0.673215618,0.067,,,,,,,,,
-0.7,0.27757126,0.7371,0.890867128,0.5404,0.672725009,0.0662,,,,,,,,,
-0.69,0.27757126,0.737,0.890831135,0.5402,0.672559761,0.0662,,,,,,,,,
-0.68,0.27757126,0.7369,0.890795117,0.54,0.672394471,0.0662,,,,,,,,,
-0.67,0.2771582,0.7368,0.891017173,0.5396,0.672147484,0.066,,,,,,,,,
-0.66,0.2771582,0.7363,0.890836917,0.5386,0.671319955,0.066,,,,,,,,,
-0.65,0.27633208,0.7362,0.891059603,0.5382,0.671072319,0.0658,,,,,,,,,
-0.64,0.27633208,0.7359,0.891210614,0.5374,0.670492826,0.0656,,,,,,,,,
-0.63,0.27591905,0.7353,0.891514143,0.5358,0.669331668,0.0652,,,,,,,,,
-0.62,0.275506,0.735,0.891666667,0.535,0.66875,0.065,,,,,,,,,
-0.61,0.275506,0.735,0.891927952,0.5348,0.668667167,0.0648,,,,,,,,,
-0.6,0.27509293,0.7349,0.892153589,0.5344,0.668417761,0.0646,,,,,,,,,
-0.59,0.27509293,0.7342,0.891900937,0.533,0.667250876,0.0646,,,,,,,,,
-0.58,0.27509293,0.7342,0.892163429,0.5328,0.667167543,0.0644,,,,,,,,,
-0.57,0.2746799,0.7342,0.892163429,0.5328,0.667167543,0.0644,,,,,,,,,
