threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-0.96,0.19847593,0.7828,0.88953168,0.6458,0.748319815,0.0802,,,,,,,,
-0.95,0.19847593,0.7828,0.88953168,0.6458,0.748319815,0.0802,,-1,0.20090058,0.7824,0.888125344,0.6462,0.748089836,0.0814
-0.99,0.20020783,0.7826,0.888613861,0.6462,0.748263085,0.081,,,,,,,,
-0.98,0.19986145,0.7826,0.888827738,0.646,0.748204772,0.0808,,,,,,,,
-0.97,0.19916868,0.7826,0.88904185,0.6458,0.748146432,0.0806,,,,,,,,
-1,0.20090058,0.7824,0.888125344,0.6462,0.748089836,0.0814,,,,,,,,
-0.94,0.19812955,0.7826,0.889470783,0.6454,0.748029671,0.0802,,,,,,,,
-0.86,0.19605127,0.7829,0.891286307,0.6444,0.747997678,0.0786,,,,,,,,
0.6,0.11257361,0.7922,0.950647748,0.6164,0.747876729,0.032,,,,,,,,
-0.85,0.19570488,0.7828,0.891256226,0.6442,0.747852333,0.0786,,,,,,,,
-0.84,0.19570488,0.7828,0.891256226,0.6442,0.747852333,0.0786,,,,,,,,
-0.92,0.19778317,0.7825,0.889655172,0.645,0.747826087,0.08,,,,,,,,
-0.87,0.19639765,0.7827,0.890793475,0.6444,0.747824069,0.079,,,,,,,,
-0.93,0.19778317,0.7824,0.889409818,0.645,0.747739393,0.0802,,,,,,,,
-0.88,0.19674402,0.7826,0.890547264,0.6444,0.747737294,0.0792,,,,,,,,
-0.83,0.1953585,0.7827,0.891226128,0.644,0.747706955,0.0786,,,,,,,,
-0.91,0.19743678,0.7824,0.889624724,0.6448,0.747680891,0.08,,,,,,,,
-0.82,0.1953585,0.7827,0.891442814,0.6438,0.747648357,0.0784,,,,,,,,
-0.9,0.19743678,0.7824,0.889839867,0.6446,0.747622361,0.0798,,,,,,,,
-0.81,0.19466574,0.7827,0.89165974,0.6436,0.747589732,0.0782,,,,,,,,
-0.89,0.19674402,0.7823,0.889809445,0.6444,0.747477091,0.0798,,,,,,,,
0.61,0.108070664,0.7921,0.952307216,0.615,0.747356908,0.0308,,,,,,,,
-0.79,0.19397298,0.7826,0.892064373,0.643,0.747326825,0.0778,,,,,,,,
0.59,0.11361275,0.7914,0.947756607,0.6168,0.747274049,0.034,,,,,,,,
-0.8,0.19397298,0.7825,0.891816921,0.643,0.747239977,0.078,,,,,,,,
-0.52,0.18392795,0.7834,0.897586981,0.6398,0.747080803,0.073,,,,,,,,
-0.69,0.18981642,0.7829,0.89478091,0.6412,0.747058138,0.0754,,,,,,,,
-0.68,0.18981642,0.7829,0.89478091,0.6412,0.747058138,0.0754,,,,,,,,
