threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
-1,0.20895523,0.801,0.888286894,0.6886,0.77579991,0.0866
-0.99,0.20895523,0.8008,0.88822922,0.6882,0.775524003,0.0866
-0.98,0.20895523,0.8008,0.88822922,0.6882,0.775524003,0.0866
-0.95,0.20895523,0.8008,0.888831437,0.6876,0.775372124,0.086
-0.94,0.20895523,0.8008,0.888831437,0.6876,0.775372124,0.086
-0.97,0.20895523,0.8007,0.88840093,0.6878,0.775335362,0.0864
-0.96,0.20895523,0.8007,0.88840093,0.6878,0.775335362,0.0864
-0.93,0.20895523,0.8007,0.889003881,0.6872,0.775183305,0.0858
-0.92,0.20895523,0.8005,0.888946415,0.6868,0.774906916,0.0858
-0.91,0.20895523,0.8004,0.889119171,0.6864,0.774717833,0.0856
-0.9,0.20895523,0.8003,0.889090438,0.6862,0.774579524,0.0856
-0.89,0.20895523,0.8001,0.88923476,0.6856,0.774251835,0.0854
-0.88,0.20895523,0.7998,0.889148494,0.685,0.773836421,0.0854
-0.87,0.20895523,0.7997,0.889321902,0.6846,0.77364674,0.0852
-0.86,0.20895523,0.7997,0.889524305,0.6844,0.773595569,0.085
-0.85,0.20895523,0.7996,0.88949558,0.6842,0.77345693,0.085
-0.84,0.20895523,0.7996,0.88949558,0.6842,0.77345693,0.085
-0.83,0.20895523,0.7996,0.889698231,0.684,0.773405699,0.0848
-0.82,0.20895523,0.7995,0.889669529,0.6838,0.773266991,0.0848
-0.81,0.20895523,0.7994,0.88984375,0.6834,0.773076923,0.0846
-0.8,0.20895523,0.7994,0.88984375,0.6834,0.773076923,0.0846
-0.79,0.20895523,0.7991,0.889757623,0.6828,0.772660405,0.0846
-0.77,0.20895523,0.7991,0.889960887,0.6826,0.772608942,0.0844
-0.76,0.20895523,0.7991,0.890164362,0.6824,0.772557455,0.0842
-0.73,0.20895523,0.7992,0.890804598,0.682,0.772541912,0.0836
-0.78,0.20895523,0.799,0.889728884,0.6826,0.772521503,0.0846
-0.74,0.20895523,0.7991,0.890571951,0.682,0.772454412,0.0838
-0.75,0.20895523,0.799,0.890135699,0.6822,0.772418478,0.0842
-0.72,0.20895523,0.7991,0.890776065,0.6818,0.772402855,0.0836
-0.71,0.20895523,0.799,0.890747517,0.6816,0.772263766,0.0836
-0.7,0.20895523,0.799,0.890951883,0.6814,0.772212149,0.0834
-0.69,0.20895523,0.799,0.890951883,0.6814,0.772212149,0.0834
-0.68,0.20895523,0.799,0.890951883,0.6814,0.772212149,0.0834
-0.65,0.20895523,0.799,0.891566265,0.6808,0.772057156,0.0828
-0.64,0.20895523,0.799,0.891566265,0.6808,0.772057156,0.0828
-0.67,0.20895523,0.7988,0.890894819,0.681,0.771933802,0.0834
-0.66,0.20895523,0.7988,0.891099476,0.6808,0.771882086,0.0832
-0.63,0.20895523,0.7989,0.891743119,0.6804,0.771866137,0.0826
-0.62,0.20895523,0.7988,0.891714735,0.6802,0.771726798,0.0826
-0.61,0.20895523,0.7988,0.892125984,0.6798,0.771623156,0.0822
-0.6,0.20895523,0.7988,0.892331933,0.6796,0.771571299,0.082
-0.58,0.20895523,0.7986,0.892688059,0.6788,0.771188366,0.0816
-0.57,0.20895523,0.7986,0.892688059,0.6788,0.771188366,0.0816
-0.56,0.20895523,0.7986,0.892688059,0.6788,0.771188366,0.0816
-0.59,0.20895523,0.7985,0.892247043,0.679,0.771152754,0.082
-0.55,0.20895523,0.7984,0.892838336,0.6782,0.770857013,0.0814
-0.54,0.20895523,0.7983,0.893017128,0.6778,0.770665151,0.0812
-0.53,0.20895523,0.7982,0.893196203,0.6774,0.770473157,0.081
-0.52,0.20895523,0.7982,0.893403694,0.6772,0.770420933,0.0808
-0.51,0.20895523,0.7982,0.893611404,0.677,0.770368685,0.0806
-0.5,0.20895523,0.7978,0.893498943,0.6762,0.769808743,0.0806
-0.49,0.20895523,0.7978,0.893915344,0.6758,0.769703872,0.0802
-0.48,0.20895523,0.7976,0.893859185,0.6754,0.769423559,0.0802
-0.47,0.20895523,0.7974,0.893802966,0.675,0.769143118,0.0802
-0.46,0.20895523,0.7972,0.893746688,0.6746,0.768862548,0.0802
-0.45,0.20895523,0.7971,0.893718526,0.6744,0.768722216,0.0802
-0.44,0.20895523,0.7969,0.893662159,0.674,0.768441455,0.0802
-0.43,0.20895523,0.7969,0.893662159,0.674,0.768441455,0.0802
-0.42,0.20895523,0.7967,0.893814707,0.6734,0.768107677,0.08
-0.41,0.20895523,0.7967,0.894023904,0.6732,0.768054763,0.0798
-0.4,0.20895523,0.7967,0.894233324,0.673,0.768001826,0.0796
-0.39,0.20895523,0.7966,0.894414894,0.6726,0.767808219,0.0794
-0.38,0.20895523,0.7964,0.894358701,0.6722,0.767526833,0.0794
-0.37,0.20895523,0.7962,0.894302449,0.6718,0.767245317,0.0794
-0.36,0.20895523,0.7962,0.894302449,0.6718,0.767245317,0.0794
