threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0,0.6661303,0.7831,0.944148102,0.6018,0.73506779,0.0356
0.01,0.66599625,0.783,0.944130571,0.6016,0.734913267,0.0356
0.02,0.66586214,0.7827,0.944077914,0.601,0.734449468,0.0356
0.03,0.66586214,0.7826,0.944339623,0.6006,0.734229829,0.0354
0.04,0.66586214,0.7825,0.944322114,0.6004,0.73407507,0.0354
0.05,0.6657281,0.7824,0.944304594,0.6002,0.733920274,0.0354
0.06,0.6657281,0.7825,0.945162307,0.5998,0.733879848,0.0348
0.07,0.66545993,0.7824,0.945145019,0.5996,0.733724914,0.0348
0.08,0.66545993,0.7823,0.94512772,0.5994,0.733569942,0.0348
0.09,0.66545993,0.7822,0.94511041,0.5992,0.733414933,0.0348
0.1,0.6646554,0.7819,0.945058415,0.5986,0.732949676,0.0348
0.11,0.66452134,0.7819,0.945058415,0.5986,0.732949676,0.0348
0.12,0.6643872,0.7815,0.944988935,0.5978,0.732328801,0.0348
0.13,0.66411906,0.7814,0.944971537,0.5976,0.732173487,0.0348
0.14,0.66411906,0.7814,0.944971537,0.5976,0.732173487,0.0348
0.15,0.66411906,0.7813,0.944954128,0.5974,0.732018135,0.0348
0.16,0.6638509,0.7812,0.944936709,0.5972,0.731862745,0.0348
0.17,0.6637168,0.7811,0.944919278,0.597,0.731707317,0.0348
0.18,0.66344863,0.781,0.945183777,0.5966,0.731486023,0.0346
0.19,0.66344863,0.781,0.945183777,0.5966,0.731486023,0.0346
0.2,0.6633146,0.7809,0.945166403,0.5964,0.731330472,0.0346
0.23,0.6631805,0.7809,0.945731514,0.596,0.731198626,0.0342
0.21,0.6633146,0.7808,0.945149017,0.5962,0.731174883,0.0346
0.24,0.6630464,0.7808,0.945714286,0.5958,0.731042945,0.0342
0.22,0.6631805,0.7807,0.945131621,0.596,0.731019257,0.0346
0.25,0.6629123,0.7807,0.945697047,0.5956,0.730887225,0.0342
0.27,0.6629123,0.7807,0.945980299,0.5954,0.730821161,0.034
0.26,0.6629123,0.7806,0.945679797,0.5954,0.730731468,0.0342
0.28,0.6627782,0.7806,0.946246819,0.595,0.730599214,0.0338
0.29,0.66264415,0.7804,0.946212603,0.5946,0.730287399,0.0338
0.3,0.662376,0.7803,0.946195479,0.5944,0.730131433,0.0338
0.31,0.662376,0.7803,0.946195479,0.5944,0.730131433,0.0338
0.32,0.6619737,0.7799,0.946126873,0.5936,0.729507189,0.0338
0.36,0.66183966,0.7799,0.946696457,0.5932,0.729374155,0.0334
0.33,0.6619737,0.7798,0.946109694,0.5934,0.729351032,0.0338
0.34,0.6619737,0.7798,0.946109694,0.5934,0.729351032,0.0338
0.35,0.66183966,0.7798,0.946109694,0.5934,0.729351032,0.0338
0.37,0.66170555,0.7798,0.946679438,0.593,0.729217905,0.0334
