threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0,0.14580752,0.7331,0.905673512,0.5204,0.660993268,0.0542,,,,0,0.14580752,0.7331,0.905673512,0.5204,0.660993268,0.0542
0.01,0.14580752,0.733,0.905923345,0.52,0.660736976,0.054,,,,,,,,,,
0.02,0.14539446,0.733,0.906206416,0.5198,0.660650737,0.0538,,,,,,,,,,
0.03,0.14539446,0.7329,0.906173701,0.5196,0.660480488,0.0538,,,,,,,,,,
0.04,0.14539446,0.7329,0.906173701,0.5196,0.660480488,0.0538,,,,,,,,,,
0.05,0.14539446,0.7327,0.906108202,0.5192,0.66013986,0.0538,,,,,,,,,,
0.06,0.14539446,0.7327,0.906108202,0.5192,0.66013986,0.0538,,,,,,,,,,
0.07,0.14539446,0.7327,0.906108202,0.5192,0.66013986,0.0538,,,,,,,,,,
0.08,0.14539446,0.7327,0.906108202,0.5192,0.66013986,0.0538,,,,,,,,,,
0.09,0.14539446,0.7326,0.906075419,0.519,0.659969481,0.0538,,,,,,,,,,
0.1,0.14539446,0.7326,0.906359189,0.5188,0.659882981,0.0536,,,,,,,,,,
0.12,0.14498141,0.7325,0.906610703,0.5184,0.659625907,0.0534,,,,,,,,,,
0.11,0.14539446,0.7324,0.906293706,0.5184,0.659541985,0.0536,,,,,,,,,,
0.13,0.14456835,0.7324,0.906862745,0.518,0.659368635,0.0532,,,,,,,,,,
0.14,0.14374225,0.7321,0.906764809,0.5174,0.658856488,0.0532,,,,,,,,,,
0.15,0.1433292,0.732,0.906732118,0.5172,0.658685685,0.0532,,,,,,,,,,
0.16,0.14291614,0.7319,0.906984907,0.5168,0.658427825,0.053,,,,,,,,,,
0.17,0.14291614,0.732,0.907589599,0.5166,0.658424675,0.0526,,,,,,,,,,
0.18,0.14291614,0.732,0.907589599,0.5166,0.658424675,0.0526,,,,,,,,,,
0.21,0.14291614,0.7321,0.908482929,0.5162,0.658334396,0.052,,,,,,,,,,
0.22,0.14209005,0.732,0.908450704,0.516,0.658163265,0.052,,,,,,,,,,
0.23,0.14209005,0.732,0.908450704,0.516,0.658163265,0.052,,,,,,,,,,
0.19,0.14291614,0.7318,0.907524613,0.5162,0.658082611,0.0526,,,,,,,,,,
0.2,0.14291614,0.7318,0.907524613,0.5162,0.658082611,0.0526,,,,,,,,,,
0.24,0.14209005,0.7319,0.908418457,0.5158,0.657992091,0.052,,,,,,,,,,
0.25,0.14167699,0.7319,0.908418457,0.5158,0.657992091,0.052,,,,,,,,,,
0.26,0.14167699,0.7319,0.908418457,0.5158,0.657992091,0.052,,,,,,,,,,
0.27,0.14126395,0.7318,0.908674189,0.5154,0.657733538,0.0518,,,,,,,,,,
0.28,0.14126395,0.7317,0.908641975,0.5152,0.657562221,0.0518,,,,,,,,,,
0.29,0.14126395,0.7316,0.908609739,0.515,0.65739086,0.0518,,,,,,,,,,
0.3,0.14043784,0.7316,0.908898305,0.5148,0.657303371,0.0516,,,,,,,,,,
0.31,0.14043784,0.7316,0.908898305,0.5148,0.657303371,0.0516,,,,,,,,,,
0.32,0.13961174,0.7316,0.908898305,0.5148,0.657303371,0.0516,,,,,,,,,,
0.33,0.13919868,0.7314,0.908833922,0.5144,0.656960409,0.0516,,,,,,,,,,
0.34,0.13837257,0.7312,0.908769448,0.514,0.656617271,0.0516,,,,,,,,,,
0.35,0.13754646,0.7311,0.908737177,0.5138,0.656445637,0.0516,,,,,,,,,,
0.36,0.13713342,0.731,0.908704883,0.5136,0.656273959,0.0516,,,,,,,,,,
0.37,0.13672036,0.731,0.908704883,0.5136,0.656273959,0.0516,,,,,,,,,,
