threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0,0.14340146,0.798,0.953991469,0.6262,0.756097561,0.0302
0.01,0.14270869,0.7979,0.953977446,0.626,0.755947349,0.0302
0.02,0.14236231,0.7978,0.953963415,0.6258,0.755797101,0.0302
0.03,0.14166956,0.7976,0.953935326,0.6254,0.755496497,0.0302
0.04,0.14097679,0.7976,0.954212454,0.6252,0.755437409,0.03
0.05,0.14028403,0.7976,0.954212454,0.6252,0.755437409,0.03
0.06,0.1388985,0.7975,0.954198473,0.625,0.755287009,0.03
0.07,0.13751298,0.7972,0.954156479,0.6244,0.75483559,0.03
0.08,0.1371666,0.797,0.95412844,0.624,0.754534462,0.03
0.09,0.13647385,0.797,0.95412844,0.624,0.754534462,0.03
0.12,0.13508832,0.797,0.954406365,0.6238,0.754475085,0.0298
0.13,0.13508832,0.797,0.954406365,0.6238,0.754475085,0.0298
0.14,0.13439557,0.797,0.95468463,0.6236,0.754415679,0.0296
0.15,0.13404919,0.797,0.95468463,0.6236,0.754415679,0.0296
0.1,0.1357811,0.7969,0.954114408,0.6238,0.754383843,0.03
0.11,0.1354347,0.7969,0.954114408,0.6238,0.754383843,0.03
0.16,0.1337028,0.7969,0.95467075,0.6234,0.754264973,0.0296
0.17,0.13301004,0.7968,0.954656863,0.6232,0.75411423,0.0296
0.18,0.13023901,0.7962,0.954573358,0.622,0.753209009,0.0296
0.19,0.12712158,0.7959,0.954810944,0.6212,0.752695989,0.0294
0.2,0.12573606,0.7957,0.955343394,0.6204,0.752273554,0.029
0.21,0.12123311,0.7953,0.955850571,0.6192,0.751547518,0.0286
0.22,0.11950121,0.7952,0.955836936,0.619,0.75139597,0.0286
0.23,0.11776931,0.7949,0.955795981,0.6184,0.750941105,0.0286
0.24,0.116037406,0.7947,0.955768636,0.618,0.750637678,0.0286
0.27,0.11465189,0.7947,0.956050758,0.6178,0.750577087,0.0284
0.28,0.11430551,0.7947,0.95633323,0.6176,0.750516466,0.0282
0.25,0.11569103,0.7946,0.95575495,0.6178,0.750485909,0.0286
0.26,0.114998266,0.7946,0.95575495,0.6178,0.750485909,0.0286
0.29,0.112919986,0.7947,0.956616052,0.6174,0.750455816,0.028
0.3,0.111188084,0.7944,0.956575682,0.6168,0.75,0.028
0.31,0.11084171,0.7943,0.956562209,0.6166,0.749847987,0.028
0.32,0.10945618,0.7941,0.956535238,0.6162,0.749543851,0.028
0.33,0.10668514,0.7939,0.956792042,0.6156,0.749178532,0.0278
0.34,0.1039141,0.7935,0.956738251,0.6148,0.748569341,0.0278
0.35,0.09975754,0.7932,0.956697819,0.6142,0.748112058,0.0278
0.36,0.09386907,0.7926,0.956616729,0.613,0.74719649,0.0278
0.37,0.08936612,0.7923,0.95657607,0.6124,0.746738203,0.0278
0.38,0.083131276,0.7918,0.956793989,0.6112,0.745911643,0.0276
0.39,0.080360234,0.7914,0.956739812,0.6104,0.745299145,0.0276
0.4,0.07585729,0.7909,0.9566719,0.6094,0.744532682,0.0276
0.41,0.07066159,0.79,0.956549118,0.6076,0.743150685,0.0276
0.42,0.0668514,0.7895,0.956480605,0.6066,0.742381593,0.0276
0.43,0.06130932,0.7889,0.956398104,0.6054,0.74145744,0.0276
0.44,0.058538277,0.7887,0.956370534,0.605,0.741149087,0.0276
0.45,0.05368895,0.7881,0.956287615,0.6038,0.740223121,0.0276
0.46,0.050225146,0.7875,0.95620438,0.6026,0.739295792,0.0276
0.47,0.047454104,0.787,0.956134774,0.6016,0.738521974,0.0276
0.48,0.04433668,0.7865,0.956064947,0.6006,0.737747206,0.0276
0.49,0.04329754,0.786,0.955994898,0.5996,0.736971485,0.0276
0.5,0.04087288,0.7856,0.955938697,0.5988,0.736350221,0.0276
0.51,0.037755456,0.7852,0.955882353,0.598,0.735728346,0.0276
0.52,0.036369935,0.785,0.955854127,0.5976,0.735417179,0.0276
0.53,0.03429165,0.7847,0.956103813,0.5968,0.734884866,0.0274
0.54,0.03117423,0.7843,0.956047482,0.596,0.734261427,0.0274
0.55,0.027710427,0.7843,0.956047482,0.596,0.734261427,0.0274
0.56,0.025285764,0.7841,0.956019262,0.5956,0.733949476,0.0274
0.57,0.024593003,0.7841,0.956019262,0.5956,0.733949476,0.0274
0.58,0.023207482,0.7837,0.955962713,0.5948,0.733325114,0.0274
0.59,0.022514721,0.7836,0.955948553,0.5946,0.733168927,0.0274
0.6,0.02182196,0.7835,0.956227873,0.5942,0.732946836,0.0272
0.61,0.0211292,0.7833,0.956199678,0.5938,0.732634176,0.0272
0.62,0.019397298,0.7831,0.956171447,0.5934,0.732321362,0.0272
0.63,0.018011777,0.783,0.956157318,0.5932,0.732164898,0.0272
0.64,0.018011777,0.783,0.956451613,0.593,0.732098765,0.027
0.65,0.017665397,0.783,0.956451613,0.593,0.732098765,0.027
0.66,0.017319016,0.7829,0.956437561,0.5928,0.731942215,0.027
0.67,0.016972637,0.7826,0.956395349,0.5922,0.731472332,0.027
0.68,0.016972637,0.7826,0.956690368,0.592,0.73140598,0.0268
0.69,0.016279876,0.7826,0.956690368,0.592,0.73140598,0.0268
0.7,0.016279876,0.7826,0.956690368,0.592,0.73140598,0.0268
0.71,0.015240734,0.7822,0.956634304,0.5912,0.730778739,0.0268
0.72,0.014547974,0.7821,0.956620265,0.591,0.730621832,0.0268
0.77,0.014201594,0.7821,0.95750892,0.5904,0.730421873,0.0262
0.75,0.014547974,0.782,0.956902139,0.5906,0.730398219,0.0266
0.76,0.014201594,0.782,0.957198444,0.5904,0.730331519,0.0264
0.73,0.014547974,0.7819,0.956592161,0.5906,0.730307902,0.0268
0.74,0.014547974,0.7819,0.956592161,0.5906,0.730307902,0.0268
0.78,0.014201594,0.782,0.957495133,0.5902,0.730264786,0.0262
0.79,0.014201594,0.782,0.957495133,0.5902,0.730264786,0.0262
0.8,0.013855213,0.7818,0.957467532,0.5898,0.729950495,0.0262
0.81,0.013162453,0.7816,0.957737321,0.5892,0.729569094,0.026
0.82,0.012123311,0.7816,0.957737321,0.5892,0.729569094,0.026
0.83,0.01143055,0.7815,0.957723577,0.589,0.729411765,0.026
0.84,0.01143055,0.7815,0.957723577,0.589,0.729411765,0.026
0.85,0.01143055,0.7815,0.957723577,0.589,0.729411765,0.026
0.86,0.01143055,0.7815,0.957723577,0.589,0.729411765,0.026
0.87,0.01073779,0.7813,0.957696062,0.5886,0.72909699,0.026
0.88,0.01073779,0.7813,0.957696062,0.5886,0.72909699,0.026
0.89,0.01073779,0.7811,0.957668512,0.5882,0.728782059,0.026
0.9,0.01039141,0.781,0.957654723,0.588,0.728624535,0.026
