threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0,0.2835821,0.8257,0.950733462,0.687,0.797631487,0.0356
0.01,0.2835821,0.8256,0.950969529,0.6866,0.797444832,0.0354
0.02,0.2835821,0.8254,0.95094235,0.6862,0.797165428,0.0354
0.03,0.2835821,0.8253,0.95092875,0.686,0.797025677,0.0354
0.04,0.2835821,0.8251,0.950901526,0.6856,0.796746078,0.0354
0.05,0.2835821,0.8251,0.951151818,0.6854,0.796698826,0.0352
0.06,0.2835821,0.825,0.951388889,0.685,0.796511628,0.035
0.07,0.2835821,0.8249,0.951375382,0.6848,0.796371671,0.035
0.08,0.2835821,0.8248,0.951361868,0.6846,0.796231682,0.035
0.09,0.2835821,0.8246,0.951334816,0.6842,0.795951605,0.035
0.1,0.2835821,0.8245,0.95132128,0.684,0.795811518,0.035
0.11,0.2835821,0.8244,0.95155902,0.6836,0.795623836,0.0348
0.12,0.2835821,0.8243,0.95154553,0.6834,0.795483646,0.0348
0.13,0.2835821,0.8243,0.95154553,0.6834,0.795483646,0.0348
0.14,0.2835821,0.8243,0.95154553,0.6834,0.795483646,0.0348
0.15,0.2835821,0.8242,0.951532033,0.6832,0.795343423,0.0348
0.16,0.2835821,0.8242,0.951532033,0.6832,0.795343423,0.0348
0.17,0.2835821,0.8242,0.951532033,0.6832,0.795343423,0.0348
0.18,0.2835821,0.8242,0.951532033,0.6832,0.795343423,0.0348
0.19,0.2835821,0.8241,0.951518529,0.683,0.795203167,0.0348
0.2,0.2835821,0.8241,0.951518529,0.683,0.795203167,0.0348
0.21,0.2835821,0.8239,0.951743375,0.6824,0.794874782,0.0346
0.22,0.2835821,0.8235,0.951689472,0.6816,0.794313017,0.0346
0.24,0.2835821,0.8235,0.951941883,0.6814,0.794265066,0.0344
0.27,0.2835821,0.8236,0.952714046,0.681,0.794261721,0.0338
0.28,0.2835821,0.8236,0.952714046,0.681,0.794261721,0.0338
0.29,0.2835821,0.8236,0.952714046,0.681,0.794261721,0.0338
0.25,0.2835821,0.8235,0.952194576,0.6812,0.794217092,0.0342
0.3,0.2835821,0.8236,0.952967525,0.6808,0.794213719,0.0336
0.23,0.2835821,0.8234,0.951675978,0.6814,0.794172494,0.0346
0.26,0.2835821,0.8235,0.952447552,0.681,0.794169096,0.034
0.31,0.2835821,0.8235,0.952954355,0.6806,0.794073037,0.0336
0.32,0.2835821,0.8235,0.952954355,0.6806,0.794073037,0.0336
