threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0,0.62684363,0.7762,0.933186951,0.595,0.72667318,0.0426
0.01,0.62603915,0.7759,0.933396167,0.5942,0.726139558,0.0424
0.02,0.62510055,0.7754,0.933291378,0.5932,0.725360724,0.0424
0.03,0.62456423,0.7749,0.933459477,0.592,0.724513523,0.0422
0.04,0.62362564,0.7744,0.93335439,0.591,0.72373255,0.0422
0.05,0.6230893,0.7743,0.933607335,0.5906,0.723508514,0.042
0.06,0.6221507,0.7738,0.933502217,0.5896,0.722726158,0.042
0.07,0.6213462,0.7733,0.933396765,0.5886,0.721942843,0.042
0.08,0.62040764,0.7733,0.93367185,0.5884,0.721874617,0.0418
0.09,0.62000537,0.7731,0.933905307,0.5878,0.721492574,0.0416
0.1,0.61933494,0.773,0.933884298,0.5876,0.721335625,0.0416
0.11,0.6186645,0.7726,0.934076433,0.5866,0.720638821,0.0414
0.12,0.6181282,0.7724,0.934588385,0.5858,0.72018687,0.041
0.13,0.6173237,0.7721,0.934803452,0.585,0.719645713,0.0408
0.14,0.61651915,0.7719,0.934761752,0.5846,0.719330626,0.0408
0.15,0.6154465,0.7714,0.934657271,0.5836,0.718542231,0.0408
0.16,0.6143738,0.7712,0.934894163,0.583,0.718157182,0.0406
0.17,0.6135693,0.7707,0.934789592,0.582,0.717367188,0.0406
0.18,0.61316705,0.7706,0.935328185,0.5814,0.717069561,0.0402
0.19,0.6126307,0.7705,0.93530737,0.5812,0.716911311,0.0402
0.2,0.6120944,0.7701,0.935223977,0.5804,0.716277922,0.0402
0.21,0.61075354,0.7696,0.935400517,0.5792,0.71541502,0.04
0.22,0.60994905,0.7694,0.935640362,0.5786,0.715027187,0.0398
0.23,0.6094127,0.7692,0.935598706,0.5782,0.714709518,0.0398
0.24,0.60914457,0.7692,0.935880829,0.578,0.714638971,0.0396
0.25,0.6076696,0.7683,0.935693407,0.5762,0.71320708,0.0396
0.26,0.6072674,0.768,0.935914118,0.5754,0.712657914,0.0394
0.27,0.60646284,0.7671,0.935725938,0.5736,0.711221327,0.0394
0.28,0.60485387,0.7663,0.935842881,0.5718,0.709869646,0.0392
0.29,0.6044516,0.7658,0.935737705,0.5708,0.709068323,0.0392
0.3,0.6036471,0.7656,0.935981615,0.5702,0.708675118,0.039
0.31,0.60324484,0.7655,0.936247125,0.5698,0.708442124,0.0388
0.32,0.60230625,0.7648,0.936387607,0.5682,0.707244212,0.0386
0.33,0.6020381,0.7645,0.936324645,0.5676,0.7067613,0.0386
