threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0.03,0.13713342,0.7398,0.944074074,0.5098,0.662077922,0.0302
0,0.13713342,0.7392,0.94100295,0.5104,0.661825726,0.032
0.02,0.13713342,0.7392,0.941328413,0.5102,0.661738003,0.0318
0.04,0.13672036,0.7396,0.944032617,0.5094,0.66173032,0.0302
0.05,0.13672036,0.7396,0.944032617,0.5094,0.66173032,0.0302
0.06,0.13630731,0.7396,0.944032617,0.5094,0.66173032,0.0302
0.01,0.13713342,0.7391,0.940981188,0.5102,0.661652185,0.032
0.11,0.13548121,0.7401,0.947780679,0.5082,0.6616326,0.028
0.07,0.13630731,0.7395,0.944011865,0.5092,0.661556451,0.0302
0.08,0.13630731,0.7394,0.943991098,0.509,0.661382536,0.0302
0.15,0.1346551,0.74,0.948765894,0.5074,0.661193641,0.0274
0.09,0.13589425,0.7393,0.944300037,0.5086,0.661120499,0.03
0.12,0.1346551,0.7398,0.947722181,0.5076,0.661109664,0.028
0.14,0.1346551,0.7399,0.948411215,0.5074,0.661107492,0.0276
0.16,0.13424204,0.74,0.949101796,0.5072,0.661105318,0.0272
0.19,0.133829,0.7402,0.950825826,0.5066,0.661012526,0.0262
0.13,0.1346551,0.7397,0.947702652,0.5074,0.660935261,0.028
0.18,0.133829,0.7401,0.950469043,0.5066,0.660926288,0.0264
0.1,0.13548121,0.7392,0.944609665,0.5082,0.660858257,0.0298
0.2,0.13300289,0.74,0.950788881,0.5062,0.660663012,0.0262
0.17,0.133829,0.7397,0.949044586,0.5066,0.660581562,0.0272
0.21,0.13300289,0.7396,0.951054217,0.5052,0.659874608,0.026
0.22,0.13300289,0.7396,0.951054217,0.5052,0.659874608,0.026
0.23,0.13300289,0.7394,0.951017332,0.5048,0.659524432,0.026
0.24,0.13300289,0.7392,0.950980392,0.5044,0.659174072,0.026
0.25,0.13300289,0.7391,0.95164337,0.5038,0.658820452,0.0256
0.26,0.13300289,0.7389,0.951948543,0.5032,0.658380217,0.0254
0.27,0.13258983,0.7387,0.951912154,0.5028,0.658029054,0.0254
0.28,0.13258983,0.7383,0.952182163,0.5018,0.657236411,0.0252
0.29,0.13258983,0.7382,0.952507599,0.5014,0.65697065,0.025
0.3,0.13258983,0.7381,0.953178531,0.5008,0.656614658,0.0246
0.31,0.13258983,0.7381,0.953178531,0.5008,0.656614658,0.0246
0.32,0.13217679,0.7379,0.953142857,0.5004,0.656262295,0.0246
0.33,0.13217679,0.7377,0.953452881,0.4998,0.655819446,0.0244
0.34,0.13176374,0.7376,0.953781513,0.4994,0.655552638,0.0242
0.35,0.13176374,0.7373,0.953728489,0.4988,0.655022981,0.0242
0.36,0.13176374,0.7373,0.954075775,0.4986,0.654932353,0.024
0.37,0.13176374,0.7372,0.954754601,0.498,0.654574132,0.0236
0.38,0.13176374,0.7369,0.954702495,0.4974,0.654043393,0.0236
0.49,0.13176374,0.7382,0.964871194,0.4944,0.653795292,0.018
0.39,0.13176374,0.7367,0.954667691,0.497,0.653689333,0.0236
0.41,0.13176374,0.7371,0.957898803,0.496,0.653577546,0.0218
0.42,0.13176374,0.7371,0.957898803,0.496,0.653577546,0.0218
0.45,0.13176374,0.7372,0.958978328,0.4956,0.653481013,0.0212
0.5,0.13176374,0.738,0.96484375,0.494,0.653439153,0.018
0.43,0.13176374,0.737,0.957882535,0.4958,0.653400105,0.0218
0.44,0.13176374,0.737,0.957882535,0.4958,0.653400105,0.0218
0.4,0.13176374,0.7365,0.954632834,0.4966,0.653335087,0.0236
0.46,0.13176374,0.7371,0.959318094,0.4952,0.653211977,0.021
0.51,0.13135068,0.7378,0.964816263,0.4936,0.653082826,0.018
0.52,0.13135068,0.7377,0.964802503,0.4934,0.652904592,0.018
0.47,0.13176374,0.7369,0.959286545,0.4948,0.652856577,0.021
0.53,0.13135068,0.7377,0.965166341,0.4932,0.652812707,0.0178
0.54,0.13093764,0.7376,0.965152702,0.493,0.652634366,0.0178
0.48,0.13176374,0.7367,0.959254948,0.4944,0.65250099,0.021
0.56,0.13011153,0.7374,0.965855573,0.4922,0.65209327,0.0174
0.55,0.13052458,0.7373,0.965476658,0.4922,0.652006888,0.0176
0.57,0.12969847,0.7372,0.966194969,0.4916,0.65164369,0.0172
0.58,0.12969847,0.7372,0.966561762,0.4914,0.651551313,0.017
0.59,0.12887236,0.737,0.966535433,0.491,0.651193634,0.017
0.6,0.12845932,0.737,0.967271293,0.4906,0.651008493,0.0166
0.61,0.12845932,0.7368,0.967614534,0.49,0.650557621,0.0164
0.62,0.12845932,0.7367,0.967601738,0.4898,0.650378436,0.0164
0.63,0.12845932,0.7366,0.967588933,0.4896,0.650199203,0.0164
0.64,0.12763321,0.7364,0.967563291,0.4892,0.649840595,0.0164
0.65,0.12763321,0.7363,0.967920792,0.4888,0.649568106,0.0162
0.66,0.12763321,0.7361,0.967895363,0.4884,0.649209092,0.0162
0.67,0.12763321,0.736,0.968253968,0.488,0.64893617,0.016
0.68,0.12763321,0.736,0.968625894,0.4878,0.648842777,0.0158
0.69,0.12763321,0.7358,0.968600954,0.4874,0.648483236,0.0158
0.7,0.12763321,0.7357,0.968588469,0.4872,0.648303393,0.0158
0.71,0.12763321,0.7355,0.96856347,0.4868,0.647943564,0.0158
0.72,0.12722015,0.7354,0.968924303,0.4864,0.647669774,0.0156
0.73,0.12680711,0.7351,0.968887116,0.4858,0.647129346,0.0156
0.74,0.12639405,0.7347,0.968837395,0.485,0.646408103,0.0156
0.75,0.125981,0.7344,0.9688,0.4844,0.645866667,0.0156
0.77,0.125981,0.7343,0.969162996,0.484,0.64559157,0.0154
0.76,0.125981,0.7342,0.96877502,0.484,0.645505468,0.0156
0.78,0.125981,0.7339,0.969113518,0.4832,0.644868544,0.0154
0.79,0.125981,0.7337,0.969088719,0.4828,0.644506741,0.0154
0.8,0.124741845,0.7333,0.969416499,0.4818,0.643687375,0.0152
0.81,0.12432879,0.7326,0.969330105,0.4804,0.642417759,0.0152
0.82,0.12432879,0.7323,0.969292929,0.4798,0.64187291,0.0152
0.83,0.12432879,0.7322,0.969280517,0.4796,0.641691196,0.0152
0.84,0.12432879,0.732,0.969635628,0.479,0.641231593,0.015
0.85,0.12432879,0.7314,0.969943136,0.4776,0.640042884,0.0148
0.86,0.12432879,0.7306,0.969845151,0.476,0.638583311,0.0148
0.87,0.12432879,0.7307,0.970624235,0.4758,0.638572004,0.0144
0.88,0.12391574,0.7307,0.970624235,0.4758,0.638572004,0.0144
0.89,0.12391574,0.7306,0.970612245,0.4756,0.638389262,0.0144
0.9,0.12391574,0.7304,0.970588235,0.4752,0.638023631,0.0144
0.91,0.12391574,0.73,0.970540098,0.4744,0.637291779,0.0144
0.92,0.12391574,0.7295,0.970479705,0.4734,0.636375857,0.0144
0.93,0.12350269,0.7293,0.970455478,0.473,0.636009143,0.0144
0.94,0.12350269,0.7291,0.970431211,0.4726,0.635642233,0.0144
0.95,0.12350269,0.7288,0.970781893,0.4718,0.634993271,0.0142
0.96,0.12350269,0.7286,0.970757825,0.4714,0.63462574,0.0142
0.97,0.123089634,0.7285,0.970745777,0.4712,0.634441901,0.0142
0.98,0.12267658,0.7284,0.970733718,0.471,0.634258012,0.0142
0.99,0.12267658,0.7283,0.970721649,0.4708,0.634074074,0.0142
1,0.12267658,0.7282,0.970709571,0.4706,0.633890086,0.0142
