threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0.01,0.15621753,0.8062,0.950029394,0.6464,0.769340633,0.034
0,0.15621753,0.8061,0.94975022,0.6464,0.769249078,0.0342
0.02,0.15517838,0.8061,0.950014702,0.6462,0.769194144,0.034
0.03,0.15517838,0.8061,0.950014702,0.6462,0.769194144,0.034
0.04,0.15448563,0.806,0.950795522,0.6454,0.768882535,0.0334
0.05,0.15448563,0.806,0.950795522,0.6454,0.768882535,0.0334
0.07,0.1531001,0.806,0.951327434,0.645,0.768772348,0.033
0.06,0.15344648,0.8059,0.951046889,0.645,0.768680729,0.0332
0.08,0.15206096,0.8058,0.951298701,0.6446,0.768478779,0.033
0.09,0.15102182,0.8056,0.951269935,0.6442,0.76818507,0.033
0.1,0.14998268,0.8052,0.9512123,0.6434,0.767597232,0.033
0.11,0.14928992,0.8051,0.95146493,0.643,0.767394677,0.0328
0.12,0.14825077,0.805,0.951450562,0.6428,0.767247553,0.0328
0.13,0.1479044,0.8049,0.951436186,0.6426,0.767100394,0.0328
0.17,0.14547974,0.8046,0.951928783,0.6416,0.766547192,0.0324
0.18,0.14513336,0.8046,0.951928783,0.6416,0.766547192,0.0324
0.14,0.14686526,0.8045,0.951378595,0.6418,0.766511406,0.0328
0.15,0.14651887,0.8045,0.951378595,0.6418,0.766511406,0.0328
0.2,0.14513336,0.8046,0.95219715,0.6414,0.766491396,0.0322
0.16,0.1461725,0.8045,0.951646396,0.6416,0.766455621,0.0326
0.19,0.14513336,0.8045,0.951914515,0.6414,0.766399809,0.0324
0.21,0.14478697,0.8045,0.952182952,0.6412,0.76634397,0.0322
0.22,0.14409421,0.8042,0.952140309,0.6406,0.765901483,0.0322
0.23,0.14305508,0.8042,0.95240928,0.6404,0.765845492,0.032
0.24,0.14201593,0.804,0.952380952,0.64,0.765550239,0.032
0.25,0.14097679,0.8039,0.952636282,0.6396,0.765346416,0.0318
0.26,0.13959128,0.8038,0.952892069,0.6392,0.765142447,0.0316
0.27,0.13785937,0.8033,0.952821738,0.6382,0.764402923,0.0316
0.28,0.13647385,0.803,0.952779438,0.6376,0.763958783,0.0316
0.29,0.1337028,0.8025,0.95270877,0.6366,0.76321784,0.0316
0.3,0.13058539,0.8024,0.95323741,0.636,0.762955854,0.0312
0.31,0.12919986,0.8022,0.953481393,0.6354,0.762602016,0.031
0.32,0.12816072,0.8022,0.954026442,0.635,0.762487992,0.0306
0.33,0.12746796,0.8021,0.954012624,0.6348,0.762339378,0.0306
0.37,0.1267752,0.8022,0.954846478,0.6344,0.762316751,0.03
0.34,0.12712158,0.8021,0.954285714,0.6346,0.762282282,0.0304
0.35,0.12712158,0.8021,0.954559133,0.6344,0.762225159,0.0302
0.36,0.12712158,0.8021,0.954559133,0.6344,0.762225159,0.0302
0.38,0.12608244,0.802,0.954819277,0.634,0.762019231,0.03
0.39,0.12608244,0.802,0.954819277,0.634,0.762019231,0.03
0.4,0.12538968,0.8019,0.954805664,0.6338,0.761870417,0.03
0.41,0.1250433,0.8018,0.954792043,0.6336,0.761721568,0.03
0.42,0.1250433,0.8016,0.954764777,0.6332,0.761423761,0.03
0.43,0.12469692,0.8015,0.954751131,0.633,0.761274805,0.03
0.44,0.121925876,0.8012,0.954710145,0.6324,0.760827719,0.03
0.45,0.11950121,0.8009,0.954669084,0.6318,0.760380311,0.03
0.46,0.11776931,0.8006,0.954627949,0.6312,0.759932579,0.03
0.47,0.11534465,0.8005,0.954614221,0.631,0.759783263,0.03
0.48,0.112227224,0.7999,0.954807401,0.6296,0.758828492,0.0298
0.49,0.10945618,0.7995,0.954752505,0.6288,0.758229832,0.0298
0.5,0.10668514,0.7994,0.954738761,0.6286,0.758080077,0.0298
0.51,0.10287496,0.7986,0.954628502,0.627,0.756880734,0.0298
0.52,0.09975754,0.7981,0.954559317,0.626,0.756129967,0.0298
0.53,0.09733287,0.7979,0.95480916,0.6254,0.755770393,0.0296
0.54,0.09352269,0.7974,0.95501836,0.6242,0.754958878,0.0294
0.55,0.08971251,0.7966,0.954907975,0.6226,0.753753027,0.0294
0.56,0.08520956,0.7961,0.95483871,0.6216,0.752998183,0.0294
0.57,0.080360234,0.7957,0.955063096,0.6206,0.752333616,0.0292
0.58,0.07551091,0.7949,0.954952175,0.619,0.751122437,0.0292
0.59,0.07066159,0.7943,0.954868624,0.6178,0.750212508,0.0292
0.6,0.065119505,0.7936,0.954770756,0.6164,0.749149246,0.0292
