threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0,0.1641791,0.8156,0.953187823,0.6638,0.782598444,0.0326
0.01,0.1641791,0.8152,0.953394707,0.6628,0.781972629,0.0324
0.02,0.1641791,0.8091,0.952827425,0.6504,0.773089267,0.0322
0.03,0.1641791,0.8087,0.953037863,0.6494,0.772451528,0.032
0.04,0.1641791,0.8085,0.953010279,0.649,0.772159429,0.032
0.05,0.1641791,0.8085,0.953276521,0.6488,0.772105201,0.0318
0.06,0.1641791,0.8081,0.953221536,0.648,0.771520419,0.0318
0.07,0.1641791,0.8079,0.953193995,0.6476,0.771227819,0.0318
0.08,0.1641791,0.8079,0.953460972,0.6474,0.771173317,0.0316
0.1,0.1641791,0.8078,0.953982301,0.6468,0.770917759,0.0312
0.09,0.1641791,0.8077,0.95343354,0.647,0.770880496,0.0316
0.12,0.14925373,0.8076,0.954760497,0.6458,0.770460511,0.0306
0.11,0.1641791,0.8074,0.954196217,0.6458,0.770276718,0.031
0.13,0.14925373,0.8074,0.954733728,0.6454,0.770167064,0.0306
0.14,0.14925373,0.8074,0.954733728,0.6454,0.770167064,0.0306
0.15,0.14925373,0.8073,0.954720331,0.6452,0.770020289,0.0306
0.16,0.14925373,0.8072,0.954706927,0.645,0.769873478,0.0306
0.17,0.14925373,0.8072,0.954706927,0.645,0.769873478,0.0306
0.18,0.14925373,0.8072,0.954706927,0.645,0.769873478,0.0306
0.19,0.14925373,0.8072,0.954706927,0.645,0.769873478,0.0306
0.2,0.14925373,0.8072,0.954706927,0.645,0.769873478,0.0306
0.21,0.14925373,0.807,0.954949615,0.6444,0.769524719,0.0304
0.22,0.14925373,0.807,0.954949615,0.6444,0.769524719,0.0304
0.23,0.14925373,0.8065,0.954882755,0.6434,0.768789581,0.0304
0.24,0.14925373,0.8063,0.954855955,0.643,0.768495279,0.0304
0.25,0.14925373,0.8061,0.954829123,0.6426,0.768200837,0.0304
0.26,0.14925373,0.8058,0.954788816,0.642,0.767758909,0.0304
0.27,0.14925373,0.8058,0.954788816,0.642,0.767758909,0.0304
0.31,0.14925373,0.8056,0.955303933,0.6412,0.7673528,0.03
0.32,0.14925373,0.8056,0.955303933,0.6412,0.7673528,0.03
0.33,0.14925373,0.8056,0.955303933,0.6412,0.7673528,0.03
0.34,0.14925373,0.8056,0.955303933,0.6412,0.7673528,0.03
0.28,0.14925373,0.8055,0.954748437,0.6414,0.767316665,0.0304
0.29,0.14925373,0.8054,0.954734961,0.6412,0.767169179,0.0304
0.3,0.14925373,0.8054,0.954734961,0.6412,0.767169179,0.0304
0.35,0.14925373,0.8054,0.955277281,0.6408,0.767057697,0.03
0.36,0.14925373,0.8053,0.955263943,0.6406,0.766910092,0.03
0.37,0.14925373,0.8051,0.955237243,0.6402,0.766614777,0.03
0.38,0.14925373,0.8051,0.955237243,0.6402,0.766614777,0.03
0.39,0.14925373,0.8048,0.955197133,0.6396,0.766171538,0.03
0.4,0.14925373,0.8048,0.955197133,0.6396,0.766171538,0.03
0.41,0.13432837,0.8047,0.955455904,0.6392,0.765967645,0.0298
0.42,0.13432837,0.8046,0.955442584,0.639,0.765819751,0.0298
0.43,0.13432837,0.8046,0.955442584,0.639,0.765819751,0.0298
0.44,0.13432837,0.8044,0.955415919,0.6386,0.765523855,0.0298
0.45,0.13432837,0.8044,0.955688623,0.6384,0.765467626,0.0296
0.46,0.13432837,0.8044,0.955688623,0.6384,0.765467626,0.0296
0.5,0.13432837,0.8044,0.956235012,0.638,0.765355086,0.0292
0.51,0.13432837,0.8044,0.956235012,0.638,0.765355086,0.0292
0.52,0.13432837,0.8044,0.956235012,0.638,0.765355086,0.0292
0.53,0.13432837,0.8044,0.956235012,0.638,0.765355086,0.0292
0.54,0.13432837,0.8044,0.956235012,0.638,0.765355086,0.0292
0.47,0.13432837,0.8043,0.955675352,0.6382,0.765319583,0.0296
0.48,0.13432837,0.8043,0.955948457,0.638,0.765263284,0.0294
0.49,0.13432837,0.8043,0.955948457,0.638,0.765263284,0.0294
0.55,0.13432837,0.8041,0.95619562,0.6374,0.764910596,0.0292
0.56,0.13432837,0.804,0.956182473,0.6372,0.764762362,0.0292
0.57,0.13432837,0.804,0.956456456,0.637,0.764705882,0.029
0.59,0.13432837,0.8039,0.956717764,0.6366,0.764501021,0.0288
