self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.01,52,0.981764548,0.8749,0.849654915,0.911,0.879258759,0.1612,,,,,,,,,
0.04,39,0.962590507,0.8789,0.880650995,0.8766,0.878620828,0.1188,,,,,,,,,
0.06,16,0.942343792,0.8724,0.887593672,0.8528,0.869849041,0.108,,0.02,74,0.946768571,0.8499,0.864403249,0.83,0.846852362,0.1302
0.02,50,0.959908823,0.8665,0.858821226,0.8772,0.867913327,0.1442,,,,,,,,,
0.03,48,0.947304907,0.8663,0.862028069,0.8722,0.867084203,0.1396,,,,,,,,,
0.04,41,0.954277286,0.8676,0.884197324,0.846,0.864677024,0.1108,,,,,,,,,
0.07,27,0.930410298,0.868,0.898440883,0.8298,0.86275733,0.0938,,,,,,,,,
0.02,30,0.973317243,0.8456,0.785714286,0.9504,0.860246198,0.2592,,,,,,,,,
0.02,26,0.95441137,0.8493,0.815651545,0.9026,0.856925852,0.204,,,,,,,,,
0.02,43,0.975596675,0.8512,0.826880119,0.8884,0.85653683,0.186,,,,,,,,,
0.06,41,0.945427729,0.8623,0.896129455,0.8196,0.856157944,0.095,,,,,,,,,
0.06,40,0.934700992,0.8617,0.894094574,0.8206,0.855772239,0.0972,,,,,,,,,
0.05,33,0.934164655,0.8554,0.86206194,0.8462,0.854057327,0.1354,,,,,,,,,
0.03,32,0.963797265,0.8488,0.82659176,0.8828,0.85377176,0.1852,,,,,,,,,
0.06,49,0.928130866,0.8642,0.927264195,0.7904,0.8533794,0.062,,,,,,,,,
0.03,52,0.918879056,0.8578,0.883411916,0.8244,0.852886406,0.1088,,,,,,,,,
0.03,28,0.958165728,0.8492,0.834996163,0.8704,0.852330591,0.172,,,,,,,,,
0.04,37,0.952668276,0.8511,0.848106286,0.8554,0.851737529,0.1532,,,,,,,,,
0.02,39,0.956288549,0.8408,0.79707113,0.9144,0.85171386,0.2328,,,,,,,,,
0.03,44,0.942209708,0.8483,0.836132021,0.8664,0.850996955,0.1698,,,,,,,,,
0.02,59,0.937784929,0.8501,0.846427865,0.8554,0.850890282,0.1552,,,,,,,,,
0.01,72,0.939393939,0.8552,0.879163108,0.8236,0.85047501,0.1132,,,,,,,,,
0.03,67,0.949986592,0.8531,0.86621033,0.8352,0.850422564,0.129,,,,,,,,,
0.04,27,0.958299812,0.8494,0.846902303,0.853,0.849940215,0.1542,,,,,,,,,
0.02,55,0.939662108,0.8438,0.817980022,0.8844,0.849894292,0.1968,,,,,,,,,
0.01,56,0.947975329,0.8451,0.825136612,0.8758,0.849713787,0.1856,,,,,,,,,
0.06,36,0.911236256,0.8574,0.898883929,0.8054,0.849578059,0.0906,,,,,,,,,
0.06,63,0.916867793,0.8606,0.922644163,0.7872,0.849557522,0.066,,,,,,,,,
0.05,57,0.928801287,0.8592,0.915933302,0.791,0.848894613,0.0726,,,,,,,,,
0.02,94,0.922767498,0.8562,0.898612355,0.803,0.848119983,0.0906,,,,,,,,,
0.07,39,0.940734781,0.8506,0.862639636,0.834,0.848078096,0.1328,,,,,,,,,
0.05,40,0.939125771,0.8497,0.85807905,0.838,0.847920672,0.1386,,,,,,,,,
0.12,12,0.902788951,0.8515,0.868990132,0.8278,0.847895114,0.1248,,,,,,,,,
0.05,50,0.939930276,0.8509,0.865444699,0.831,0.847872666,0.1292,,,,,,,,,
0.01,25,0.986725664,0.8328,0.77826087,0.9308,0.847723133,0.2652,,,,,,,,,
0.01,58,0.961651917,0.8408,0.812545855,0.886,0.847684654,0.2044,,,,,,,,,
0.04,59,0.939930276,0.8566,0.904675443,0.7972,0.847544121,0.084,,,,,,,,,
0.02,57,0.953606865,0.8455,0.836547828,0.8588,0.847527879,0.1678,,,,,,,,,
0.02,19,0.958970233,0.8381,0.802469136,0.897,0.847105487,0.2208,,,,,,,,,
0.01,81,0.946232234,0.8466,0.844669849,0.8494,0.847028321,0.1562,,,,,,,,,
0.05,13,0.946902655,0.837,0.798230088,0.902,0.846948357,0.228,,,,,,,,,
0.02,74,0.946768571,0.8499,0.864403249,0.83,0.846852362,0.1302,,,,,,,,,
0.04,22,0.956422633,0.8427,0.8258224,0.8686,0.846671216,0.1832,,,,,,,,,
0.01,63,0.94100295,0.8444,0.835280374,0.858,0.846487766,0.1692,,,,,,,,,
0.15,8,0.934566908,0.8508,0.87287415,0.8212,0.846248969,0.1196,,,,,,,,,
0.06,70,0.927594529,0.8571,0.917660819,0.7846,0.845929919,0.0704,,,,,,,,,
0.01,42,0.957495307,0.8329,0.784870786,0.9172,0.845891358,0.2514,,,,,,,,,
0.04,42,0.956422633,0.8451,0.841615522,0.8502,0.845885981,0.16,,,,,,,,,
0.12,18,0.864843121,0.8578,0.923331756,0.7804,0.845870366,0.0648,,,,,,,,,
0.04,40,0.946634486,0.8459,0.846107665,0.8456,0.845853756,0.1538,,,,,,,,,
0.02,41,0.956154465,0.8364,0.800249911,0.8966,0.845689493,0.2238,,,,,,,,,
0.12,5,0.943952802,0.8423,0.828439839,0.8634,0.845558711,0.1788,,,,,,,,,
0.05,36,0.948511665,0.8459,0.847498493,0.8436,0.845544753,0.1518,,,,,,,,,
0.03,22,0.953338697,0.8401,0.818266891,0.8744,0.845402688,0.1942,,,,,,,,,
0.14,6,0.941673371,0.8446,0.842136616,0.8482,0.845157433,0.159,,,,,,,,,
0.08,42,0.921694824,0.8509,0.880008664,0.8126,0.844962046,0.1108,,,,,,,,,
0.01,89,0.932689729,0.8531,0.894878103,0.8002,0.844894942,0.094,,,,,,,,,
0.06,35,0.932153392,0.846,0.851769012,0.8378,0.844726759,0.1458,,,,,,,,,
0.04,17,0.952266023,0.837,0.806921676,0.886,0.844613918,0.212,,,,,,,,,
0.01,54,0.942746045,0.8421,0.831428018,0.8582,0.844601909,0.174,,,,,,,,,
0.05,56,0.918208635,0.8504,0.878728923,0.813,0.844587575,0.1122,,,,,,,,,
0.04,70,0.936310003,0.8469,0.857555143,0.832,0.844584306,0.1382,,,,,,,,,
0.02,66,0.916867793,0.8533,0.897949989,0.7972,0.844580994,0.0906,,,,,,,,,
0.01,20,0.986457495,0.827,0.766721044,0.94,0.844564241,0.286,,,,,,,,,
0.03,34,0.962456423,0.8397,0.820411243,0.8698,0.84438404,0.1904,,,,,,,,,
0.04,63,0.926521856,0.8531,0.898083427,0.7966,0.844303127,0.0904,,,,,,,,,
0.06,43,0.93175114,0.8478,0.864264767,0.8252,0.844280745,0.1296,,,,,,,,,
0.04,66,0.925181014,0.8461,0.854538005,0.8342,0.844246534,0.142,,,,,,,,,
0.03,68,0.915929204,0.8475,0.863113898,0.826,0.844149208,0.131,,,,,,,,,
0.03,39,0.955081791,0.8422,0.8340492,0.8544,0.844101956,0.17,,,,,,,,,
0.03,19,0.966881201,0.8347,0.798679279,0.895,0.844100726,0.2256,,,,,,,,,
0.01,51,0.951997855,0.8405,0.826086957,0.8626,0.843948733,0.1816,,,,,,,,,
0.16,3,0.933091982,0.842,0.833853963,0.8542,0.843904367,0.1702,,,,,,,,,
0.03,35,0.956288549,0.841,0.828896605,0.8594,0.843872742,0.1774,,,,,,,,,
0.07,51,0.87275409,0.8575,0.93417537,0.7692,0.843698585,0.0542,,,,,,,,,
0.01,73,0.95025476,0.8444,0.847878788,0.8394,0.84361809,0.1506,,,,,,,,,
0.03,70,0.938723518,0.8481,0.869925611,0.8186,0.843482741,0.1224,,,,,,,,,
0.07,23,0.950388844,0.8477,0.868404323,0.8196,0.843296635,0.1242,,,,,,,,,
0.1,49,0.907615983,0.8573,0.935838009,0.7672,0.843169579,0.0526,,,,,,,,,
0.1,8,0.952668276,0.8377,0.815902713,0.8722,0.843112615,0.1968,,,,,,,,,
0.04,50,0.954143202,0.8444,0.850284784,0.836,0.843081888,0.1472,,,,,,,,,
0.01,31,0.971976401,0.8283,0.776672847,0.9216,0.842952529,0.265,,,,,,,,,
0.03,40,0.948913918,0.8394,0.824722541,0.862,0.842949345,0.1832,,,,,,,,,
0.05,21,0.948779834,0.8345,0.802058877,0.8882,0.842934422,0.2192,,,,,,,,,
0.13,10,0.92920354,0.8476,0.869944657,0.8174,0.842854197,0.1222,,,,,,,,,
0.08,32,0.923437919,0.8469,0.865851086,0.821,0.842829278,0.1272,,,,,,,,,
0.05,38,0.923437919,0.845,0.855523495,0.8302,0.842671539,0.1402,,,,,,,,,
0.02,71,0.922097077,0.8439,0.849420849,0.836,0.84265699,0.1482,,,,,,,,,
0.01,32,0.984848485,0.8217,0.754227912,0.9544,0.842588505,0.311,,,,,,,,,
0.1,21,0.916867793,0.8554,0.925323121,0.7732,0.842449335,0.0624,,,,,,,,,
0.04,38,0.946366318,0.8408,0.834117647,0.8508,0.842376238,0.1692,,,,,,,,,
0.01,62,0.950925181,0.8402,0.83183769,0.8528,0.842188426,0.1724,,,,,,,,,
0.03,33,0.945561813,0.8387,0.824363149,0.8608,0.842187653,0.1834,,,,,,,,,
0.08,63,0.899302762,0.8562,0.93417845,0.7664,0.842012744,0.054,,,,,,,,,
0.02,64,0.94609815,0.8424,0.845858586,0.8374,0.84160804,0.1526,,,,,,,,,
0.01,70,0.930678466,0.8382,0.825192308,0.8582,0.841372549,0.1818,,,,,,,,,
0.13,8,0.941539287,0.8373,0.820932445,0.8628,0.841345685,0.1882,,,,,,,,,
0.07,15,0.952936444,0.8388,0.828294574,0.8548,0.841338583,0.1772,,,,,,,,,
0.12,30,0.923035666,0.8503,0.895283232,0.7934,0.841268158,0.0928,,,,,,,,,
0.15,5,0.920353982,0.845,0.862242755,0.8212,0.841221061,0.1312,,,,,,,,,
0.08,4,0.960713328,0.827,0.777589134,0.916,0.841138659,0.262,,,,,,,,,
0.08,15,0.947841244,0.8438,0.855753311,0.827,0.841131001,0.1394,,,,,,,,,
0.09,29,0.890050952,0.8527,0.91290096,0.7798,0.841117463,0.0744,,,,,,,,,
0.03,42,0.950522928,0.8382,0.826952823,0.8554,0.840935902,0.179,,,,,,,,,
0.01,76,0.894341647,0.8495,0.892608403,0.7946,0.840757592,0.0956,,,,,,,,,
0.08,19,0.920353982,0.8466,0.874298056,0.8096,0.840706127,0.1164,,,,,,,,,
0.04,45,0.93684634,0.8379,0.826599652,0.8552,0.84065664,0.1794,,,,,,,,,
0.03,62,0.929605792,0.8456,0.868600683,0.8144,0.840627581,0.1232,,,,,,,,,
0.05,44,0.934432824,0.8441,0.860314136,0.8216,0.840511509,0.1334,,,,,,,,,
0.08,51,0.912577098,0.8551,0.934638923,0.7636,0.840506329,0.0534,,,,,,,,,
0.06,20,0.911102172,0.84,0.838375796,0.8424,0.840383081,0.1624,,,,,,,,,
0.06,30,0.931885224,0.8412,0.844925192,0.8358,0.840337824,0.1534,,,,,,,,,
0.02,46,0.945025476,0.8353,0.8156656,0.8664,0.840267675,0.1958,,,,,,,,,
0.08,29,0.896889246,0.8501,0.899383984,0.7884,0.840242993,0.0882,,,,,,,,,
0.01,64,0.949316171,0.8438,0.860075408,0.8212,0.840188255,0.1336,,,,,,,,,
0.05,63,0.891525878,0.8495,0.89580974,0.791,0.840148699,0.092,,,,,,,,,
0.03,26,0.949182086,0.8346,0.813061377,0.869,0.840100541,0.1998,,,,,,,,,
0.06,31,0.907884151,0.8481,0.888244479,0.7964,0.839818623,0.1002,,,,,,,,,
0.08,17,0.913515688,0.8489,0.893525829,0.7922,0.839817661,0.0944,,,,,,,,,
0.04,32,0.944086887,0.8412,0.847312704,0.8324,0.839790153,0.15,,,,,,,,,
0.01,60,0.956556718,0.8348,0.815254237,0.8658,0.839767216,0.1962,,,,,,,,,
0.01,55,0.973585412,0.8328,0.806558585,0.8756,0.839662447,0.21,,,,,,,,,
0.05,43,0.945561813,0.8421,0.853482124,0.826,0.839516211,0.1418,,,,,,,,,
0.05,8,0.961115581,0.8224,0.765743488,0.929,0.839508404,0.2842,,,,,,,,,
0.09,20,0.923437919,0.8454,0.87300216,0.8084,0.839460021,0.1176,,,,,,,,,
0.04,73,0.94261196,0.8502,0.904574861,0.783,0.839408233,0.0826,,,,,,,,,
0.04,52,0.936310003,0.8417,0.853068816,0.8256,0.839109666,0.1422,,,,,,,,,
0.03,36,0.944891392,0.8361,0.8247343,0.8536,0.838918919,0.1814,,,,,,,,,
0.02,45,0.954947707,0.8374,0.83117393,0.8468,0.838914206,0.172,,,,,,,,,
0.01,37,0.965808528,0.826,0.781131425,0.9058,0.838859048,0.2538,,,,,,,,,
0.1,11,0.946366318,0.8356,0.823065075,0.855,0.838728664,0.1838,,,,,,,,,
0.05,46,0.94864575,0.8404,0.847630719,0.83,0.838722716,0.1492,,,,,,,,,
0.02,53,0.933226066,0.8406,0.849405006,0.828,0.838565931,0.1468,,,,,,,,,
0.06,44,0.939662108,0.845,0.875489769,0.8044,0.838440692,0.1144,,,,,,,,,
0.09,10,0.953338697,0.8336,0.814954683,0.8632,0.838383838,0.196,,,,,,,,,
0.06,59,0.922231161,0.8516,0.920977011,0.7692,0.838273758,0.066,,,,,,,,,
0.07,43,0.927460445,0.8446,0.87521777,0.8038,0.837989992,0.1146,,,,,,,,,
0.04,36,0.954277286,0.837,0.833399288,0.8424,0.837875472,0.1684,,,,,,,,,
0.05,10,0.957227139,0.8225,0.771145115,0.9172,0.83785512,0.2722,,,,,,,,,
0.06,34,0.938321266,0.8372,0.835055644,0.8404,0.837719298,0.166,,,,,,,,,
0.02,44,0.956154465,0.8349,0.823699981,0.8522,0.837707658,0.1824,,,,,,,,,
0.06,42,0.924644677,0.8408,0.854556804,0.8214,0.837650418,0.1398,,,,,,,,,
0.02,96,0.912845267,0.8435,0.870230653,0.8074,0.837638759,0.1204,,,,,,,,,
0.03,56,0.918879056,0.8405,0.852996061,0.8228,0.83762598,0.1418,,,,,,,,,
0.01,71,0.94261196,0.8406,0.853906899,0.8218,0.837545862,0.1406,,,,,,,,,
0.01,40,0.953070528,0.8307,0.805130098,0.8726,0.837508398,0.2112,,,,,,,,,
0.04,65,0.914052025,0.8501,0.914712154,0.7722,0.837436287,0.072,,,,,,,,,
0.03,90,0.918476803,0.852,0.929897411,0.7614,0.837255333,0.0574,,,,,,,,,
0.07,12,0.953875034,0.8277,0.793270091,0.8864,0.837253235,0.231,,,,,,,,,
0.3,1,0.91740413,0.8448,0.880070547,0.7984,0.837248322,0.1088,,,,,,,,,
0.07,8,0.953875034,0.8232,0.775767918,0.9092,0.837200737,0.2628,,,,,,,,,
0.06,21,0.938053097,0.8384,0.843483557,0.831,0.837195245,0.1542,,,,,,,,,
0.08,37,0.8718155,0.8498,0.9140625,0.7722,0.83716392,0.0726,,,,,,,,,
0.02,82,0.938857603,0.8418,0.863307823,0.8122,0.836974444,0.1286,,,,,,,,,
0.1,42,0.899034594,0.8509,0.923281062,0.7654,0.836960087,0.0636,,,,,,,,,
0.03,50,0.939796192,0.8386,0.846642097,0.827,0.836705787,0.1498,,,,,,,,,
0.05,22,0.95534996,0.8353,0.829824907,0.8436,0.836655757,0.173,,,,,,,,,
0.08,39,0.920353982,0.8427,0.870166343,0.8056,0.836639319,0.1202,,,,,,,,,
0.02,75,0.923706087,0.8406,0.858224653,0.816,0.836579865,0.1348,,,,,,,,,
0.01,41,0.958702065,0.8286,0.800036523,0.8762,0.836387934,0.219,,,,,,,,,
0.12,16,0.911772593,0.8466,0.896386093,0.7838,0.836320956,0.0906,,,,,,,,,
0.12,9,0.927326361,0.8374,0.841913255,0.8308,0.83631971,0.156,,,,,,,,,
0.09,8,0.949182086,0.8291,0.803206191,0.8718,0.83609859,0.2136,,,,,,,,,
0.06,45,0.901850362,0.8431,0.875300809,0.8002,0.836067287,0.114,,,,,,,,,
0.04,20,0.962992759,0.8297,0.806014479,0.8684,0.836045056,0.209,,,,,,,,,
0.1,12,0.945964065,0.834,0.826044514,0.8462,0.83600079,0.1782,,,,,,,,,
0.01,100,0.92920354,0.8478,0.907259953,0.7748,0.835814455,0.0792,,,,,,,,,
0.04,18,0.955618128,0.8299,0.807799963,0.8658,0.835794961,0.206,,,,,,,,,
0.12,54,0.899436846,0.853,0.946609312,0.7482,0.835790885,0.0422,,,,,,,,,
0.06,39,0.938321266,0.8396,0.856722689,0.8156,0.835655738,0.1364,,,,,,,,,
0.02,40,0.961115581,0.8336,0.825654041,0.8458,0.835605612,0.1786,,,,,,,,,
0.06,11,0.956422633,0.8262,0.792923851,0.883,0.835541257,0.2306,,,,,,,,,
0.09,5,0.953875034,0.8286,0.803024714,0.8708,0.835540203,0.2136,,,,,,,,,
0.05,6,0.965406275,0.8169,0.758440711,0.93,0.835504447,0.2962,,,,,,,,,
0.09,22,0.91485653,0.8498,0.923486683,0.7628,0.835487404,0.0632,,,,,,,,,
0.07,10,0.951595602,0.8286,0.803360414,0.8702,0.835445469,0.213,,,,,,,,,
0.01,78,0.943818718,0.8368,0.842694343,0.8282,0.835384305,0.1546,,,,,,,,,
0.05,30,0.931617056,0.8327,0.822321256,0.8488,0.835350851,0.1834,,,,,,,,,
0.03,72,0.920219898,0.8396,0.858227848,0.8136,0.835318275,0.1344,,,,,,,,,
0.03,30,0.946232234,0.831,0.814519194,0.8572,0.835314753,0.1952,,,,,,,,,
0.11,12,0.948243497,0.8376,0.847611203,0.8232,0.835227273,0.148,,,,,,,,,
0.01,66,0.937919013,0.8282,0.802544248,0.8706,0.835188028,0.2142,,,,,,,,,
0.11,8,0.939662108,0.8311,0.815513627,0.8558,0.83517127,0.1936,,,,,,,,,
0.08,11,0.953606865,0.8276,0.800219941,0.8732,0.835118592,0.218,,,,,,,,,
0.01,69,0.949316171,0.8354,0.836882282,0.8332,0.835037082,0.1624,,,,,,,,,
0.08,21,0.926119603,0.8401,0.862657283,0.809,0.834967489,0.1288,,,,,,,,,
0.12,4,0.945695897,0.8314,0.818286592,0.852,0.834803057,0.1892,,,,,,,,,
0.04,25,0.958031644,0.8298,0.811367069,0.8594,0.834693085,0.1998,,,,,,,,,
0.12,25,0.922633414,0.8506,0.934771825,0.7538,0.834588131,0.0526,,,,,,,,,
0.08,9,0.942343792,0.8309,0.817014754,0.8528,0.834523926,0.191,,,,,,,,,
0.07,25,0.922633414,0.8411,0.871002828,0.8008,0.834427425,0.1186,,,,,,,,,
0.03,20,0.949584339,0.8277,0.80325745,0.868,0.8343747,0.2126,,,,,,,,,
0.05,18,0.946366318,0.8333,0.829934666,0.8384,0.834145856,0.1718,,,,,,,,,
0.02,32,0.957361223,0.826,0.797119942,0.8746,0.834064467,0.2226,,,,,,,,,
0.04,31,0.937650845,0.8348,0.837908761,0.8302,0.834036568,0.1606,,,,,,,,,
0.11,7,0.945695897,0.8305,0.817117636,0.8516,0.834002546,0.1906,,,,,,,,,
0.09,53,0.834406007,0.8499,0.933366361,0.7536,0.833905057,0.0538,,,,,,,,,
0.01,36,0.972110485,0.8237,0.788348477,0.885,0.833882974,0.2376,,,,,,,,,
0.06,51,0.91391794,0.8465,0.909090909,0.77,0.833784515,0.077,,,,,,,,,
0.01,93,0.924242424,0.8442,0.893641354,0.7814,0.833760137,0.093,,,,,,,,,
0.09,6,0.954545455,0.8258,0.797371303,0.8736,0.833746898,0.222,,,,,,,,,
0.07,37,0.948913918,0.8406,0.87134758,0.7992,0.833715836,0.118,,,,,,,,,
0.06,24,0.913381604,0.8397,0.866767437,0.8028,0.833558301,0.1234,,,,,,,,,
0.05,27,0.916331456,0.8348,0.839967506,0.8272,0.833534865,0.1576,,,,,,,,,
0.08,7,0.951193349,0.8252,0.795851528,0.8748,0.833460366,0.2244,,,,,,,,,
0.03,38,0.934432824,0.8319,0.825839387,0.8412,0.833448925,0.1774,,,,,,,,,
0.09,9,0.946366318,0.8292,0.813285116,0.8546,0.833430856,0.1962,,,,,,,,,
0.07,45,0.949048002,0.8403,0.871101418,0.7988,0.833385498,0.1182,,,,,,,,,
0.06,17,0.946500402,0.8323,0.828035538,0.8388,0.83338301,0.1742,,,,,,,,,
0.13,3,0.941673371,0.8295,0.815190358,0.8522,0.833284443,0.1932,,,,,,,,,
0.04,61,0.924510593,0.8386,0.861752137,0.8066,0.833264463,0.1294,,,,,,,,,
0.14,8,0.929605792,0.8354,0.844919786,0.8216,0.833096735,0.1508,,,,,,,,,
0.07,21,0.945561813,0.8368,0.852448723,0.8146,0.833094702,0.141,,,,,,,,,
0.01,96,0.912577098,0.8382,0.860247124,0.8076,0.833092635,0.1312,,,,,,,,,
0.07,60,0.940332529,0.8482,0.925880626,0.757,0.832966549,0.0606,,,,,,,,,
0.03,27,0.952131939,0.8261,0.801330623,0.8672,0.832965133,0.215,,,,,,,,,
0.13,11,0.920488067,0.84,0.871341197,0.7978,0.832950512,0.1178,,,,,,,,,
0.05,19,0.906543309,0.8391,0.866277814,0.802,0.832900613,0.1238,,,,,,,,,
0.11,9,0.938321266,0.83,0.819396051,0.8466,0.83277592,0.1866,,,,,,,,,
0.08,30,0.894743899,0.8409,0.877686683,0.7922,0.832755177,0.1104,,,,,,,,,
0.1,6,0.947438992,0.8278,0.809712774,0.857,0.832685581,0.2014,,,,,,,,,
0.07,42,0.917538214,0.8377,0.859331773,0.8076,0.832663161,0.1322,,,,,,,,,
0.08,22,0.925583266,0.8389,0.866220013,0.8016,0.832658149,0.1238,,,,,,,,,
0.18,8,0.911102172,0.8442,0.899303944,0.7752,0.832653061,0.0868,,,,,,,,,
0.02,58,0.943952802,0.8353,0.846312745,0.8194,0.832638959,0.1488,,,,,,,,,
0.13,23,0.866318048,0.849,0.933863749,0.7512,0.832631346,0.0532,,,,,,,,,
0.04,19,0.949316171,0.8256,0.800479882,0.8674,0.832597428,0.2162,,,,,,,,,
0.03,24,0.950657013,0.83,0.820263975,0.8452,0.832545311,0.1852,,,,,,,,,
0.02,61,0.926521856,0.8378,0.86058924,0.8062,0.832507228,0.1306,,,,,,,,,
0.03,74,0.906945562,0.8385,0.864841561,0.8024,0.832451499,0.1254,,,,,,,,,
