self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.08,45,0.490128161,0.8794,0.91765742,0.8336,0.873611402,0.0748,,,,,,,,,
0.02,45,0.856598545,0.8605,0.815398075,0.932,0.869808679,0.211,,0.03,25,0.508139938,0.8221,0.801084315,0.857,0.828099333,0.2128
0.02,61,0.432629027,0.8696,0.897761515,0.8342,0.864814431,0.095,,,,,,,,,
0.03,27,0.751645307,0.8529,0.81224562,0.918,0.861890902,0.2122,,,,,,,,,
0.06,43,0.430550745,0.8659,0.893187191,0.8312,0.861079457,0.0994,,,,,,,,,
0.01,100,0.506408036,0.8619,0.874715262,0.8448,0.859497406,0.121,,,,,,,,,
0.03,51,0.439903014,0.8642,0.892118863,0.8286,0.859187059,0.1002,,,,,,,,,
0.02,66,0.531347419,0.8586,0.856603023,0.8614,0.858994815,0.1442,,,,,,,,,
0.02,34,0.799099411,0.847,0.799965422,0.9254,0.858123145,0.2314,,,,,,,,,
0.01,39,0.698995497,0.8484,0.807556497,0.9148,0.85783946,0.218,,,,,,,,,
0.1,40,0.39314167,0.8668,0.927107592,0.7962,0.85668173,0.0626,,,,,,,,,
0.07,48,0.376169034,0.8668,0.927705224,0.7956,0.856589147,0.062,,,,,,,,,
0.04,54,0.519570488,0.8565,0.857859867,0.8546,0.856226831,0.1416,,,,,,,,,
0.04,35,0.705230343,0.8502,0.823181986,0.892,0.856210405,0.1916,,,,,,,,,
0.04,51,0.428472463,0.8637,0.906187179,0.8114,0.856178115,0.084,,,,,,,,,
0.05,48,0.380671978,0.8618,0.898107394,0.8162,0.855196982,0.0926,,,,,,,,,
0.04,19,0.683408382,0.848,0.820678216,0.8906,0.854210627,0.1946,,,,,,,,,
0.07,50,0.386560443,0.8628,0.919907407,0.7948,0.8527897,0.0692,,,,,,,,,
0.03,49,0.544509872,0.8507,0.844431349,0.8598,0.852046378,0.1584,,,,,,,,,
0.06,40,0.511257361,0.8538,0.863542951,0.8404,0.851814312,0.1328,,,,,,,,,
0.15,9,0.440595774,0.8589,0.897101129,0.8108,0.851770144,0.093,,,,,,,,,
0.01,26,0.857984067,0.835,0.774320341,0.9456,0.851431659,0.2756,,,,,,,,,
0.07,47,0.409767925,0.8594,0.903638814,0.8046,0.851248413,0.0858,,,,,,,,,
0.07,28,0.355039834,0.8603,0.910271009,0.7994,0.851240549,0.0788,,,,,,,,,
0.07,25,0.493938344,0.8536,0.866500829,0.836,0.850977199,0.1288,,,,,,,,,
0.04,31,0.524766193,0.8496,0.843553459,0.8584,0.850911975,0.1592,,,,,,,,,
0.02,48,0.434014548,0.8542,0.870657179,0.832,0.850889753,0.1236,,,,,,,,,
0.08,16,0.503290613,0.8546,0.875476493,0.8268,0.850442296,0.1176,,,,,,,,,
0.08,41,0.399722896,0.858,0.898841355,0.8068,0.850337268,0.0908,,,,,,,,,
0.18,4,0.343609283,0.8598,0.912804039,0.7956,0.850181663,0.076,,,,,,,,,
0.03,62,0.508486318,0.8539,0.872761744,0.8286,0.850107725,0.1208,,,,,,,,,
0.04,48,0.498441289,0.8526,0.865010352,0.8356,0.850050865,0.1304,,,,,,,,,
0.03,46,0.563214409,0.8474,0.836367157,0.8638,0.849862259,0.169,,,,,,,,,
0.06,24,0.478004849,0.8524,0.866167914,0.8336,0.849571953,0.1288,,,,,,,,,
0.11,16,0.399722896,0.8588,0.909776153,0.7966,0.849434848,0.079,,,,,,,,,
0.07,32,0.497748528,0.8513,0.860455572,0.8386,0.849387218,0.136,,,,,,,,,
0.01,72,0.591271216,0.8448,0.827010622,0.872,0.848909657,0.1824,,,,,,,,,
0.01,45,0.72324212,0.8373,0.792744315,0.9134,0.848805873,0.2388,,,,,,,,,
0.18,8,0.387253204,0.8576,0.904891304,0.7992,0.848768054,0.084,,,,,,,,,
0.02,93,0.397990994,0.8587,0.913344088,0.7926,0.848699004,0.0752,,,,,,,,,
0.11,4,0.717353654,0.8399,0.804624485,0.8978,0.848662444,0.218,,,,,,,,,
0.1,20,0.426740561,0.8587,0.913916455,0.792,0.848601736,0.0746,,,,,,,,,
0.06,53,0.284031867,0.86,0.924728646,0.7838,0.848452046,0.0638,,,,,,,,,
0.03,70,0.491513682,0.8497,0.856182522,0.8406,0.848319709,0.1412,,,,,,,,,
0.01,67,0.540353308,0.8462,0.837822014,0.8586,0.848083761,0.1662,,,,,,,,,
0.01,38,0.718046415,0.835,0.788594073,0.9154,0.847278786,0.2454,,,,,,,,,
0.02,36,0.640457222,0.8395,0.808132147,0.8904,0.847273765,0.2114,,,,,,,,,
0.07,17,0.487357118,0.8507,0.867225131,0.8282,0.847263427,0.1268,,,,,,,,,
0.01,49,0.569102875,0.8428,0.82647619,0.8678,0.846634146,0.1822,,,,,,,,,
0.08,17,0.509525459,0.8477,0.85356925,0.8394,0.84642533,0.144,,,,,,,,,
0.01,27,0.804295116,0.8302,0.772892562,0.9352,0.846334842,0.2748,,,,,,,,,
0.06,70,0.391756148,0.8573,0.91730904,0.7854,0.846245017,0.0708,,,,,,,,,
0.01,29,0.892275719,0.8266,0.760280523,0.954,0.846194784,0.3008,,,,,,,,,
0.06,15,0.578801524,0.8424,0.826468345,0.8668,0.846153846,0.182,,,,,,,,,
0.01,51,0.492899203,0.8437,0.834013605,0.8582,0.845933958,0.1708,,,,,,,,,
0.07,13,0.513682023,0.8457,0.844803511,0.847,0.84590033,0.1556,,,,,,,,,
0.1,55,0.27710426,0.8603,0.943828529,0.7662,0.845788718,0.0456,,,,,,,,,
0.01,43,0.721856599,0.8332,0.786746988,0.9142,0.845698427,0.2478,,,,,,,,,
0.07,36,0.436785591,0.8484,0.861861238,0.8298,0.845526798,0.133,,,,,,,,,
0.03,23,0.731901628,0.8335,0.788844622,0.9108,0.845446951,0.2438,,,,,,,,,
0.05,64,0.332178732,0.8573,0.922041106,0.7806,0.845445684,0.066,,,,,,,,,
0.01,89,0.341877381,0.8543,0.900520009,0.7966,0.84537833,0.088,,,,,,,,,
0.15,8,0.515760305,0.8456,0.847406514,0.843,0.845197514,0.1518,,,,,,,,,
0.09,16,0.498441289,0.8481,0.861775099,0.8292,0.845173785,0.133,,,,,,,,,
0.02,72,0.474194666,0.8474,0.860373444,0.8294,0.844602851,0.1346,,,,,,,,,
0.01,75,0.475926567,0.8462,0.855004102,0.8338,0.844268935,0.1414,,,,,,,,,
0.09,46,0.318323519,0.8574,0.929980751,0.773,0.844255133,0.0582,,,,,,,,,
0.03,59,0.456875649,0.8461,0.856289891,0.8318,0.843867302,0.1396,,,,,,,,,
0.03,50,0.382057499,0.8522,0.894489247,0.7986,0.843829248,0.0942,,,,,,,,,
0.08,52,0.373397991,0.8509,0.886198547,0.8052,0.843759824,0.1034,,,,,,,,,
0.05,32,0.533772082,0.8443,0.847146602,0.8402,0.843659002,0.1516,,,,,,,,,
0.07,42,0.484586076,0.8474,0.864915966,0.8234,0.843647541,0.1286,,,,,,,,,
0.1,30,0.285071008,0.8558,0.921364282,0.778,0.843634786,0.0664,,,,,,,,,
0.06,21,0.507447177,0.8449,0.850721985,0.8366,0.843601896,0.1468,,,,,,,,,
0.06,52,0.288188431,0.856,0.923607806,0.7762,0.84351228,0.0642,,,,,,,,,
0.03,35,0.494977485,0.8418,0.836284927,0.85,0.843086689,0.1664,,,,,,,,,
0.08,30,0.453758227,0.8459,0.859040897,0.8276,0.843027401,0.1358,,,,,,,,,
0.05,70,0.320401801,0.8531,0.905582357,0.7884,0.842938095,0.0822,,,,,,,,,
0.06,14,0.445791479,0.8444,0.851428571,0.8344,0.842828283,0.1456,,,,,,,,,
0.07,55,0.286456529,0.8562,0.929363549,0.771,0.842807171,0.0586,,,,,,,,,
0.03,42,0.552823,0.8395,0.825878288,0.8604,0.842785777,0.1814,,,,,,,,,
0.01,22,0.869760998,0.8222,0.755389981,0.953,0.842766183,0.3086,,,,,,,,,
0.06,29,0.404918601,0.8457,0.859131519,0.827,0.842759605,0.1356,,,,,,,,,
0.07,34,0.411153446,0.847,0.86711807,0.8196,0.842689698,0.1256,,,,,,,,,
0.02,16,0.769310703,0.8263,0.770160623,0.9302,0.842648791,0.2776,,,,,,,,,
0.06,73,0.294769657,0.8561,0.930176371,0.77,0.842542948,0.0578,,,,,,,,,
0.06,5,0.864565293,0.822,0.755474453,0.9522,0.842505751,0.3082,,,,,,,,,
0.03,41,0.534464842,0.8414,0.836686391,0.8484,0.842502483,0.1656,,,,,,,,,
0.04,39,0.411153446,0.8494,0.883618797,0.8048,0.842369688,0.106,,,,,,,,,
0.04,13,0.741253897,0.8296,0.783648881,0.9106,0.842368178,0.2514,,,,,,,,,
0.02,44,0.577416003,0.8368,0.81511976,0.8712,0.842227378,0.1976,,,,,,,,,
0.09,5,0.592310357,0.8361,0.812767541,0.8734,0.841993637,0.2012,,,,,,,,,
0.06,55,0.359542778,0.8521,0.903877036,0.788,0.841970296,0.0838,,,,,,,,,
0.05,63,0.356078975,0.8485,0.881040892,0.8058,0.841742401,0.1088,,,,,,,,,
0.04,18,0.514374784,0.8402,0.833922261,0.8496,0.841688132,0.1692,,,,,,,,,
0.05,18,0.544509872,0.8391,0.829159387,0.8542,0.841493449,0.176,,,,,,,,,
0.01,42,0.773120887,0.8265,0.774600505,0.921,0.841480128,0.268,,,,,,,,,
0.04,41,0.492899203,0.8407,0.837661051,0.8452,0.841413639,0.1638,,,,,,,,,
0.03,38,0.540699688,0.8382,0.825442648,0.8578,0.841310318,0.1814,,,,,,,,,
0.02,49,0.557672324,0.84,0.83530572,0.847,0.841112214,0.167,,,,,,,,,
0.01,65,0.459300312,0.842,0.846294046,0.8358,0.841014289,0.1518,,,,,,,,,
0.07,63,0.241080707,0.8551,0.931890051,0.7662,0.840961475,0.056,,,,,,,,,
0.07,30,0.407343263,0.8452,0.864904863,0.8182,0.840904419,0.1278,,,,,,,,,
0.07,43,0.300311742,0.8521,0.910277325,0.7812,0.840813691,0.077,,,,,,,,,
0.02,31,0.732940769,0.8257,0.774204412,0.9196,0.840661852,0.2682,,,,,,,,,
0.03,34,0.555247662,0.8378,0.826313756,0.8554,0.840605346,0.1798,,,,,,,,,
0.06,39,0.413231728,0.8448,0.865099534,0.817,0.840362065,0.1274,,,,,,,,,
0.06,26,0.502944233,0.8396,0.836504162,0.8442,0.840334461,0.165,,,,,,,,,
0.04,46,0.447869761,0.8422,0.851046368,0.8296,0.840186348,0.1452,,,,,,,,,
0.06,12,0.754069969,0.8268,0.780082276,0.9102,0.840132915,0.2566,,,,,,,,,
0.04,52,0.473501905,0.8434,0.858156028,0.8228,0.840106187,0.136,,,,,,,,,
0.06,57,0.303775546,0.8538,0.927294686,0.7678,0.840043764,0.0602,,,,,,,,,
0.06,10,0.631104953,0.8312,0.799241055,0.8846,0.839756977,0.2222,,,,,,,,,
0.07,9,0.607897471,0.832,0.803140979,0.8796,0.839633448,0.2156,,,,,,,,,
0.01,78,0.44648424,0.842,0.852431987,0.8272,0.839626472,0.1432,,,,,,,,,
0.03,85,0.333910634,0.8511,0.910451251,0.7788,0.839495527,0.0766,,,,,,,,,
0.11,12,0.487010738,0.8388,0.836111111,0.8428,0.839442231,0.1652,,,,,,,,,
0.05,22,0.517838587,0.8406,0.845857027,0.833,0.839379283,0.1518,,,,,,,,,
0.01,70,0.491513682,0.84,0.842741935,0.836,0.83935743,0.156,,,,,,,,,
0.04,37,0.492206443,0.8389,0.837482573,0.841,0.839237601,0.1632,,,,,,,,,
0.02,85,0.36162106,0.8429,0.859509331,0.8198,0.839185178,0.134,,,,,,,,,
0.04,74,0.374783512,0.8456,0.875815572,0.8054,0.839133153,0.1142,,,,,,,,,
0.11,2,0.918947004,0.816,0.745417832,0.9598,0.839132716,0.3278,,,,,,,,,
0.09,66,0.466227918,0.8487,0.896159964,0.7888,0.839059675,0.0914,,,,,,,,,
0.09,45,0.348804988,0.8543,0.937731653,0.759,0.838952139,0.0504,,,,,,,,,
0.11,5,0.57464496,0.8352,0.820458891,0.8582,0.838905181,0.1878,,,,,,,,,
0.02,77,0.471770003,0.8418,0.855006232,0.8232,0.838801712,0.1396,,,,,,,,,
0.04,36,0.496709387,0.8386,0.838194167,0.8392,0.838696782,0.162,,,,,,,,,
0.03,54,0.311049532,0.8461,0.881083462,0.8002,0.838696153,0.108,,,,,,,,,
0.08,26,0.429165223,0.8434,0.86578611,0.8128,0.838456777,0.126,,,,,,,,,
0.05,40,0.42570142,0.8399,0.846200856,0.8308,0.83842971,0.151,,,,,,,,,
0.02,56,0.526498095,0.8353,0.8230873,0.8542,0.838355089,0.1836,,,,,,,,,
0.04,58,0.335642536,0.8495,0.905546531,0.7804,0.838328499,0.0814,,,,,,,,,
0.02,53,0.444059577,0.8403,0.849025641,0.8278,0.838278481,0.1472,,,,,,,,,
0.11,9,0.550051957,0.8352,0.8230532,0.854,0.838241068,0.1836,,,,,,,,,
0.13,4,0.586075511,0.8338,0.816698292,0.8608,0.838169426,0.1932,,,,,,,,,
0.05,88,0.231035677,0.8527,0.930226885,0.7626,0.838114078,0.0572,,,,,,,,,
0.13,8,0.561482508,0.8358,0.826526643,0.85,0.838098994,0.1784,,,,,,,,,
0.04,61,0.471770003,0.8396,0.846389229,0.8298,0.838012523,0.1506,,,,,,,,,
0.05,60,0.41461725,0.8443,0.873670501,0.805,0.837930676,0.1164,,,,,,,,,
0.09,39,0.395912712,0.8442,0.873156982,0.8054,0.837910945,0.117,,,,,,,,,
0.02,62,0.463456876,0.8403,0.850897092,0.8252,0.837851559,0.1446,,,,,,,,,
0.01,28,0.77693107,0.821,0.765816496,0.9248,0.837832941,0.2828,,,,,,,,,
0.07,57,0.324211985,0.8529,0.93364463,0.7598,0.837799096,0.054,,,,,,,,,
0.04,68,0.39348805,0.8422,0.861886633,0.815,0.837787829,0.1306,,,,,,,,,
0.05,30,0.493938344,0.8382,0.840104586,0.8354,0.837745688,0.159,,,,,,,,,
0.15,7,0.50051957,0.8426,0.864468085,0.8126,0.837731959,0.1274,,,,,,,,,
0.02,40,0.568063734,0.831,0.805914972,0.872,0.8376561,0.21,,,,,,,,,
0.02,52,0.556979564,0.8358,0.828314431,0.8472,0.837650781,0.1756,,,,,,,,,
0.09,10,0.550398337,0.8329,0.814947966,0.8614,0.837530384,0.1956,,,,,,,,,
0.03,44,0.525112574,0.8337,0.818963869,0.8568,0.837454794,0.1894,,,,,,,,,
0.06,33,0.428818843,0.8407,0.855117782,0.8204,0.837399204,0.139,,,,,,,,,
0.05,67,0.343955663,0.8499,0.91369118,0.7728,0.837360494,0.073,,,,,,,,,
0.05,41,0.472462764,0.8396,0.849382716,0.8256,0.837322515,0.1464,,,,,,,,,
0.01,69,0.404918601,0.8394,0.848316913,0.8266,0.837317666,0.1478,,,,,,,,,
0.03,28,0.575337721,0.8315,0.809408251,0.8672,0.837308101,0.2042,,,,,,,,,
0.02,32,0.538967787,0.8315,0.80952381,0.867,0.837276678,0.204,,,,,,,,,
0.06,8,0.771735365,0.8207,0.766583541,0.9222,0.83722197,0.2808,,,,,,,,,
0.04,34,0.473155525,0.8359,0.830935961,0.8434,0.837121588,0.1716,,,,,,,,,
0.12,11,0.514721164,0.8375,0.839605554,0.8344,0.836994684,0.1594,,,,,,,,,
0.03,31,0.508832698,0.8334,0.819716149,0.8548,0.836890542,0.188,,,,,,,,,
0.12,12,0.502944233,0.8365,0.835092611,0.8386,0.83684263,0.1656,,,,,,,,,
0.04,40,0.438517492,0.8382,0.844118844,0.8296,0.836796449,0.1532,,,,,,,,,
0.05,27,0.405264981,0.8381,0.8438072,0.8298,0.836744983,0.1536,,,,,,,,,
0.02,57,0.475580187,0.8363,0.834893448,0.8384,0.83664305,0.1658,,,,,,,,,
0.04,43,0.488049879,0.8358,0.832606973,0.8406,0.836584395,0.169,,,,,,,,,
0.08,59,0.36162106,0.8508,0.924903101,0.7636,0.836546889,0.062,,,,,,,,,
0.22,1,0.70176654,0.8261,0.789352263,0.8896,0.83648331,0.2374,,,,,,,,,
0.14,12,0.468998961,0.8384,0.846721311,0.8264,0.836437247,0.1496,,,,,,,,,
0.04,42,0.450294423,0.8361,0.834827655,0.838,0.836410819,0.1658,,,,,,,,,
0.06,19,0.355386214,0.8412,0.86282433,0.8114,0.836322408,0.129,,,,,,,,,
0.07,22,0.404918601,0.8483,0.908132177,0.775,0.836300852,0.0784,,,,,,,,,
0.04,12,0.775891929,0.8201,0.76723994,0.919,0.836290836,0.2788,,,,,,,,,
0.07,19,0.491513682,0.8387,0.849103278,0.8238,0.836260278,0.1464,,,,,,,,,
0.04,70,0.366124004,0.843,0.874290703,0.8012,0.836151117,0.1152,,,,,,,,,
0.04,53,0.400069276,0.839,0.851368159,0.8214,0.836115635,0.1434,,,,,,,,,
0.01,62,0.443713197,0.8335,0.823221555,0.8494,0.836105916,0.1824,,,,,,,,,
0.08,37,0.412538968,0.8423,0.871016692,0.8036,0.835951316,0.119,,,,,,,,,
0.01,85,0.443020436,0.8361,0.83684105,0.835,0.835919511,0.1628,,,,,,,,,
0.07,18,0.506061656,0.8362,0.837685818,0.834,0.835838845,0.1616,,,,,,,,,
0.01,68,0.461032213,0.8359,0.836775617,0.8346,0.835686392,0.1628,,,,,,,,,
0.06,35,0.43643921,0.8391,0.85404051,0.818,0.835631832,0.1398,,,,,,,,,
0.04,47,0.383789401,0.8387,0.852152215,0.8196,0.83555918,0.1422,,,,,,,,,
0.04,30,0.463456876,0.8343,0.829359606,0.8418,0.835533499,0.1732,,,,,,,,,
0.05,14,0.598891583,0.8275,0.798432659,0.8762,0.835510632,0.2212,,,,,,,,,
0.09,25,0.40422584,0.8408,0.864726027,0.808,0.835401158,0.1264,,,,,,,,,
0.02,41,0.485625216,0.8329,0.823392267,0.8476,0.835320784,0.1818,,,,,,,,,
0.07,20,0.422583997,0.8372,0.845208845,0.8256,0.835289357,0.1512,,,,,,,,,
0.01,82,0.385867683,0.8402,0.862223169,0.8098,0.835189769,0.1294,,,,,,,,,
0.03,61,0.382403879,0.8411,0.867485456,0.8052,0.835183072,0.123,,,,,,,,,
0.03,43,0.41496363,0.837,0.845004095,0.8254,0.835087009,0.1514,,,,,,,,,
0.13,5,0.471423623,0.8343,0.831186844,0.839,0.835075147,0.1704,,,,,,,,,
0.03,39,0.503290613,0.832,0.820587099,0.8498,0.834938102,0.1858,,,,,,,,,
0.03,18,0.577762383,0.8276,0.801102941,0.8716,0.8348659,0.2164,,,,,,,,,
0.05,17,0.568410114,0.8283,0.804150454,0.868,0.834856209,0.2114,,,,,,,,,
0.04,65,0.291652234,0.8477,0.911869225,0.7698,0.834833532,0.0744,,,,,,,,,
0.2,9,0.28680291,0.8505,0.932609232,0.7556,0.834824881,0.0546,,,,,,,,,
0.13,6,0.476619328,0.8337,0.829677929,0.8398,0.834708279,0.1724,,,,,,,,,
0.06,44,0.377554555,0.841,0.869207449,0.8028,0.834684966,0.1208,,,,,,,,,
0.05,46,0.394873571,0.8391,0.858380892,0.8122,0.834652143,0.134,,,,,,,,,
0.05,38,0.504329754,0.8349,0.836582915,0.8324,0.834486216,0.1626,,,,,,,,,
0.12,7,0.50051957,0.8321,0.823243138,0.8458,0.834369143,0.1816,,,,,,,,,
0.1,11,0.558018705,0.8311,0.818549163,0.8508,0.834363048,0.1886,,,,,,,,,
0.05,51,0.371319709,0.8398,0.863967438,0.8066,0.834298717,0.127,,,,,,,,,
0.17,2,0.736058192,0.8214,0.778316592,0.8988,0.834230555,0.256,,,,,,,,,
0.05,34,0.378940076,0.8398,0.864592275,0.8058,0.834161491,0.1262,,,,,,,,,
0.06,28,0.400415656,0.8359,0.843385811,0.825,0.834091598,0.1532,,,,,,,,,
0.08,5,0.607204711,0.8256,0.795677443,0.8762,0.833999619,0.225,,,,,,,,,
0.08,7,0.624523727,0.8252,0.79403255,0.8782,0.833998101,0.2278,,,,,,,,,
0.03,58,0.42500866,0.8387,0.859325271,0.81,0.833933903,0.1326,,,,,,,,,
0.09,37,0.328022168,0.8426,0.882536847,0.7904,0.833931209,0.1052,,,,,,,,,
0.06,31,0.414270869,0.8398,0.865690917,0.8044,0.833920796,0.1248,,,,,,,,,
0.06,25,0.472116384,0.8348,0.838592233,0.8292,0.83386967,0.1596,,,,,,,,,
0.03,40,0.448216141,0.8336,0.832668528,0.835,0.833832634,0.1678,,,,,,,,,
0.1,6,0.539314167,0.8304,0.817448117,0.8508,0.83379067,0.19,,,,,,,,,
0.03,36,0.479390371,0.8322,0.826197958,0.8414,0.833729687,0.177,,,,,,,,,
0.01,93,0.376861794,0.8427,0.884278986,0.7886,0.833703351,0.1032,,,,,,,,,
0.02,33,0.514721164,0.8301,0.816490892,0.8516,0.833675967,0.1914,,,,,,,,,
0.08,24,0.413231728,0.835,0.840447154,0.827,0.833669355,0.157,,,,,,,,,
0.14,6,0.465881538,0.8344,0.837368846,0.83,0.83366814,0.1612,,,,,,,,,
0.11,11,0.521995151,0.8315,0.823414634,0.844,0.833580247,0.181,,,,,,,,,
0.07,14,0.513335643,0.8392,0.863792364,0.8054,0.833574829,0.127,,,,,,,,,
0.04,84,0.293384136,0.8429,0.887282584,0.7856,0.833351013,0.0998,,,,,,,,,
0.08,28,0.281953585,0.8425,0.884745001,0.7876,0.833350968,0.1026,,,,,,,,,
0.04,26,0.438517492,0.833,0.831673307,0.835,0.833333333,0.169,,,,,,,,,
0.12,5,0.521995151,0.83,0.817429781,0.8498,0.833300647,0.1898,,,,,,,,,
0.09,7,0.58468999,0.8248,0.794843863,0.8756,0.83326989,0.226,,,,,,,,,
0.04,10,0.772428126,0.8159,0.761463334,0.92,0.833257857,0.2882,,,,,,,,,
0.01,35,0.580879806,0.8253,0.796969144,0.873,0.833253794,0.2224,,,,,,,,,
0.05,19,0.519224108,0.8324,0.829369798,0.837,0.83316743,0.1722,,,,,,,,,
0.03,52,0.518877728,0.8353,0.844604317,0.8218,0.833046123,0.1512,,,,,,,,,
0.03,64,0.334949775,0.8435,0.892750972,0.7808,0.833031047,0.0938,,,,,,,,,
0.01,71,0.486664357,0.8329,0.832434592,0.8336,0.833016888,0.1678,,,,,,,,,
0.03,53,0.41496363,0.8351,0.843833368,0.8224,0.832978831,0.1522,,,,,,,,,
0.06,67,0.286456529,0.8469,0.916846912,0.763,0.832878507,0.0692,,,,,,,,,
0.02,73,0.369587807,0.8359,0.84851629,0.8178,0.832875038,0.146,,,,,,,,,
0.05,58,0.315206096,0.8409,0.877185218,0.7928,0.832860595,0.111,,,,,,,,,
0.09,48,0.339106339,0.8479,0.924371798,0.7578,0.832838773,0.062,,,,,,,,,
0.05,11,0.623484586,0.8232,0.790021536,0.8804,0.832765796,0.234,,,,,,,,,
