self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.03,39,0.850746269,0.8608,0.834074074,0.9008,0.866153846,0.1792,,,,,,,,,
0.03,47,0.865671642,0.8606,0.836004473,0.8972,0.865521899,0.176,,,,,,,,,
0.02,38,0.865671642,0.8588,0.826775956,0.9078,0.865395615,0.1902,,,,,,,,,
0.09,11,0.865671642,0.8614,0.841200906,0.891,0.865384615,0.1682,,0.1,42,0.582089552,0.8221,0.885379277,0.74,0.806188038,0.0958
0.01,53,0.776119403,0.8603,0.83805592,0.8932,0.864749734,0.1726,,,,,,,,,
0.02,53,0.746268657,0.8553,0.813702984,0.9216,0.864297102,0.211,,,,,,,,,
0.07,38,0.746268657,0.8673,0.890994252,0.837,0.863153553,0.1024,,,,,,,,,
0.05,40,0.776119403,0.8649,0.87986675,0.8452,0.862185045,0.1154,,,,,,,,,
0.04,30,0.791044776,0.8573,0.846960575,0.8722,0.859395014,0.1576,,,,,,,,,
0.09,28,0.597014925,0.8666,0.917349727,0.8058,0.857964225,0.0726,,,,,,,,,
0.07,61,0.492537313,0.8679,0.928687952,0.797,0.857819395,0.0612,,,,,,,,,
0.07,28,0.791044776,0.8587,0.865945725,0.8488,0.857287143,0.1314,,,,,,,,,
0.01,57,0.820895522,0.8455,0.796974385,0.9272,0.857169271,0.2362,,,,,,,,,
0.09,38,0.626865672,0.8656,0.918689876,0.8022,0.856502242,0.071,,,,,,,,,
0.02,84,0.701492537,0.8578,0.873330551,0.837,0.854779412,0.1214,,,,,,,,,
0.03,57,0.671641791,0.861,0.895659798,0.8172,0.854632922,0.0952,,,,,,,,,
0.02,67,0.76119403,0.8545,0.857142857,0.8508,0.853959651,0.1418,,,,,,,,,
0.12,35,0.552238806,0.8645,0.929530992,0.7888,0.853402575,0.0598,,,,,,,,,
0.02,29,0.895522388,0.8421,0.797323136,0.9174,0.853157258,0.2332,,,,,,,,,
0.07,23,0.746268657,0.8546,0.863617719,0.8422,0.852774403,0.133,,,,,,,,,
0.03,33,0.791044776,0.8484,0.829549754,0.877,0.852615205,0.1802,,,,,,,,,
0.05,69,0.626865672,0.8617,0.912805296,0.7998,0.852574352,0.0764,,,,,,,,,
0.01,81,0.71641791,0.8564,0.878665533,0.827,0.852050278,0.1142,,,,,,,,,
0.04,44,0.850746269,0.8484,0.832189169,0.8728,0.852010933,0.176,,,,,,,,,
0.05,43,0.71641791,0.8577,0.887708649,0.819,0.851971289,0.1036,,,,,,,,,
0.05,25,0.746268657,0.8503,0.845531663,0.8572,0.851325852,0.1566,,,,,,,,,
0.02,23,0.925373134,0.8406,0.79783141,0.9124,0.851278224,0.2312,,,,,,,,,
0.08,24,0.582089552,0.8606,0.916012921,0.794,0.850653525,0.0728,,,,,,,,,
0.01,64,0.76119403,0.8413,0.805004468,0.9008,0.850212364,0.2182,,,,,,,,,
0.01,39,0.835820896,0.8365,0.786090801,0.9246,0.849738076,0.2516,,,,,,,,,
0.04,39,0.805970149,0.8481,0.842685568,0.856,0.849290604,0.1598,,,,,,,,,
0.05,38,0.71641791,0.8493,0.850210547,0.848,0.849103835,0.1494,,,,,,,,,
0.04,70,0.671641791,0.8571,0.900785634,0.8026,0.848863035,0.0884,,,,,,,,,
0.02,12,1,0.8257,0.749884916,0.9774,0.848658505,0.326,,,,,,,,,
0.01,52,0.686567164,0.8487,0.849468831,0.8476,0.848533387,0.1502,,,,,,,,,
0.03,53,0.820895522,0.8489,0.851076675,0.8458,0.848430133,0.148,,,,,,,,,
0.02,46,0.820895522,0.8448,0.829636711,0.8678,0.848289345,0.1782,,,,,,,,,
0.02,70,0.850746269,0.8469,0.842313006,0.8536,0.847918943,0.1598,,,,,,,,,
0.02,65,0.701492537,0.8474,0.845465394,0.8502,0.847826087,0.1554,,,,,,,,,
0.03,50,0.656716418,0.8436,0.827238095,0.8686,0.847414634,0.1814,,,,,,,,,
0.03,27,0.791044776,0.8386,0.804715623,0.8942,0.847101175,0.217,,,,,,,,,
0.06,16,0.731343284,0.8495,0.861277651,0.8332,0.847006201,0.1342,,,,,,,,,
0.04,59,0.701492537,0.8569,0.912029554,0.79,0.846640231,0.0762,,,,,,,,,
0.01,48,0.776119403,0.8431,0.828199732,0.8658,0.846582576,0.1796,,,,,,,,,
0.06,14,0.820895522,0.8422,0.824667932,0.8692,0.846348588,0.1848,,,,,,,,,
0.04,50,0.686567164,0.8491,0.862965273,0.83,0.846161688,0.1318,,,,,,,,,
0.14,8,0.731343284,0.8449,0.839802956,0.8524,0.846054591,0.1626,,,,,,,,,
0.06,45,0.746268657,0.85,0.869666244,0.8234,0.845900966,0.1234,,,,,,,,,
0.01,54,0.731343284,0.8472,0.853996737,0.8376,0.845718901,0.1432,,,,,,,,,
0.08,12,0.865671642,0.8418,0.825772017,0.8664,0.845598282,0.1828,,,,,,,,,
0.05,28,0.701492537,0.8459,0.847498493,0.8436,0.845544753,0.1518,,,,,,,,,
0.01,82,0.731343284,0.8539,0.896837856,0.7998,0.845543926,0.092,,,,,,,,,
0.05,41,0.76119403,0.8453,0.844542008,0.8464,0.845469983,0.1558,,,,,,,,,
0.15,7,0.656716418,0.8463,0.850861196,0.8398,0.845294414,0.1472,,,,,,,,,
0.05,54,0.71641791,0.8501,0.873958556,0.8182,0.845160624,0.118,,,,,,,,,
0.07,39,0.656716418,0.8506,0.877313818,0.8152,0.845117147,0.114,,,,,,,,,
0.02,62,0.835820896,0.8461,0.852228781,0.8374,0.844749319,0.1452,,,,,,,,,
0.08,22,0.641791045,0.848,0.863560384,0.8266,0.844676068,0.1306,,,,,,,,,
0.06,26,0.701492537,0.8454,0.849312298,0.8398,0.844529364,0.149,,,,,,,,,
0.02,33,0.940298507,0.8339,0.793874318,0.902,0.844490216,0.2342,,,,,,,,,
0.03,66,0.731343284,0.8438,0.841206828,0.8476,0.844391313,0.16,,,,,,,,,
0.02,37,0.850746269,0.8411,0.828043855,0.861,0.844200412,0.1788,,,,,,,,,
0.04,52,0.597014925,0.8487,0.870720817,0.819,0.844068845,0.1216,,,,,,,,,
0.01,74,0.671641791,0.8516,0.88962766,0.8028,0.843986543,0.0996,,,,,,,,,
0.06,30,0.805970149,0.8474,0.863693467,0.825,0.843903437,0.1302,,,,,,,,,
0.04,28,0.850746269,0.8417,0.833365854,0.8542,0.843654321,0.1708,,,,,,,,,
0.03,37,0.955223881,0.8419,0.83499902,0.8522,0.843511828,0.1684,,,,,,,,,
0.04,41,0.880597015,0.8419,0.83499902,0.8522,0.843511828,0.1684,,,,,,,,,
0.03,19,0.895522388,0.8397,0.824326905,0.8634,0.843411156,0.184,,,,,,,,,
0.04,17,0.850746269,0.8375,0.813953488,0.875,0.843373494,0.2,,,,,,,,,
0.03,65,0.76119403,0.8458,0.856936416,0.8302,0.843356359,0.1386,,,,,,,,,
0.02,50,0.641791045,0.8459,0.857852266,0.8292,0.843282823,0.1374,,,,,,,,,
0.04,20,0.686567164,0.8416,0.834901961,0.8516,0.843168317,0.1684,,,,,,,,,
0.07,32,0.567164179,0.8475,0.868036433,0.8196,0.843123135,0.1246,,,,,,,,,
0.09,22,0.582089552,0.8545,0.914813948,0.7818,0.84309285,0.0728,,,,,,,,,
0.04,53,0.567164179,0.8526,0.903247941,0.7898,0.842723005,0.0846,,,,,,,,,
0.05,57,0.582089552,0.856,0.928502648,0.7714,0.842691719,0.0594,,,,,,,,,
0.07,41,0.671641791,0.8475,0.87181682,0.8148,0.842344671,0.1198,,,,,,,,,
0.06,58,0.52238806,0.8549,0.922399429,0.775,0.84229975,0.0652,,,,,,,,,
0.03,30,0.925373134,0.8382,0.822095238,0.8632,0.842146341,0.1868,,,,,,,,,
0.09,39,0.552238806,0.8481,0.876650076,0.8102,0.842116204,0.114,,,,,,,,,
0.04,58,0.552238806,0.8513,0.897848245,0.7928,0.842060542,0.0902,,,,,,,,,
0.08,40,0.641791045,0.8503,0.891396648,0.7978,0.842005277,0.0972,,,,,,,,,
0.06,40,0.731343284,0.8451,0.86090776,0.8232,0.841631735,0.133,,,,,,,,,
0.05,37,0.850746269,0.8424,0.846138294,0.837,0.841544339,0.1522,,,,,,,,,
0.07,47,0.686567164,0.8459,0.866186746,0.8182,0.841509822,0.1264,,,,,,,,,
0.02,99,0.671641791,0.85,0.893081761,0.7952,0.841303428,0.0952,,,,,,,,,
0.02,56,0.776119403,0.8418,0.844140153,0.8384,0.841260285,0.1548,,,,,,,,,
0.03,45,0.835820896,0.8396,0.832680251,0.85,0.84125099,0.1708,,,,,,,,,
0.08,48,0.552238806,0.8542,0.923279159,0.7726,0.841245645,0.0642,,,,,,,,,
0.07,71,0.47761194,0.8549,0.929765076,0.7678,0.841055975,0.058,,,,,,,,,
0.01,79,0.71641791,0.8425,0.848991237,0.8332,0.8410215,0.1482,,,,,,,,,
0.02,39,0.865671642,0.837,0.821197103,0.8616,0.840913527,0.1876,,,,,,,,,
0.05,49,0.552238806,0.8475,0.879118481,0.8058,0.84086403,0.1108,,,,,,,,,
0.07,52,0.611940299,0.855,0.931873479,0.766,0.840834248,0.056,,,,,,,,,
0.04,46,0.686567164,0.8399,0.837001785,0.8442,0.840585482,0.1644,,,,,,,,,
0.02,68,0.71641791,0.8444,0.861764706,0.8204,0.84057377,0.1316,,,,,,,,,
0.09,33,0.447761194,0.8526,0.915605846,0.7768,0.840510712,0.0716,,,,,,,,,
0.06,21,0.71641791,0.8501,0.898112349,0.7898,0.840481005,0.0896,,,,,,,,,
0.01,51,0.910447761,0.8328,0.803982463,0.8802,0.840366622,0.2146,,,,,,,,,
0.06,38,0.567164179,0.8416,0.847436941,0.8332,0.840258169,0.15,,,,,,,,,
0.11,12,0.805970149,0.8398,0.837907717,0.8426,0.840247308,0.163,,,,,,,,,
0.03,26,0.895522388,0.8355,0.816688692,0.8652,0.840244731,0.1942,,,,,,,,,
0.04,64,0.776119403,0.8447,0.865225683,0.8166,0.840209898,0.1272,,,,,,,,,
0.05,9,0.865671642,0.8244,0.77105615,0.9228,0.8401311,0.274,,,,,,,,,
0.08,27,0.671641791,0.8494,0.895606884,0.791,0.840059473,0.0922,,,,,,,,,
0.1,7,0.791044776,0.8338,0.80987746,0.8724,0.839976892,0.2048,,,,,,,,,
0.03,70,0.611940299,0.8432,0.858096828,0.8224,0.839869281,0.136,,,,,,,,,
0.01,96,0.626865672,0.8427,0.855276799,0.825,0.839865622,0.1396,,,,,,,,,
0.1,5,0.776119403,0.8348,0.815491896,0.8654,0.839705026,0.1958,,,,,,,,,
0.12,29,0.462686567,0.853,0.923464491,0.7698,0.839659686,0.0638,,,,,,,,,
0.05,34,0.820895522,0.8423,0.854862119,0.8246,0.839458414,0.14,,,,,,,,,
0.01,55,0.820895522,0.8367,0.825943853,0.8532,0.839350713,0.1798,,,,,,,,,
0.12,16,0.492537313,0.8514,0.913606403,0.7762,0.839316609,0.0734,,,,,,,,,
0.02,35,0.865671642,0.8317,0.803143849,0.8788,0.839270366,0.2154,,,,,,,,,
0.04,61,0.656716418,0.8442,0.866794544,0.8134,0.839248865,0.125,,,,,,,,,
0.1,39,0.552238806,0.8516,0.915602837,0.7746,0.839219935,0.0714,,,,,,,,,
0.05,29,0.880597015,0.8381,0.833629366,0.8448,0.839177511,0.1686,,,,,,,,,
0.06,57,0.671641791,0.8457,0.876825812,0.8044,0.839052884,0.113,,,,,,,,,
0.07,37,0.746268657,0.8444,0.869052722,0.811,0.839023381,0.1222,,,,,,,,,
0.01,49,0.791044776,0.8341,0.815010371,0.8644,0.838978938,0.1962,,,,,,,,,
0.04,42,0.791044776,0.8406,0.848119379,0.8298,0.838859685,0.1486,,,,,,,,,
0.01,59,0.835820896,0.8379,0.83395928,0.8438,0.83885078,0.168,,,,,,,,,
0.09,19,0.611940299,0.8497,0.904277457,0.7822,0.838820375,0.0828,,,,,,,,,
0.04,77,0.582089552,0.8516,0.917974322,0.7722,0.838800782,0.069,,,,,,,,,
0.05,11,0.865671642,0.8236,0.772390572,0.9176,0.838756856,0.2704,,,,,,,,,
0.11,19,0.52238806,0.8527,0.926481258,0.7662,0.838752053,0.0608,,,,,,,,,
0.02,21,0.835820896,0.8221,0.767036976,0.9252,0.838727223,0.281,,,,,,,,,
0.05,47,0.76119403,0.8416,0.854651163,0.8232,0.838630807,0.14,,,,,,,,,
0.04,12,0.940298507,0.8235,0.772443995,0.9172,0.838621194,0.2702,,,,,,,,,
0.01,25,0.880597015,0.8213,0.764531533,0.9286,0.838616454,0.286,,,,,,,,,
0.1,4,0.805970149,0.8272,0.787118287,0.897,0.838474481,0.2426,,,,,,,,,
0.03,59,0.746268657,0.8421,0.858219895,0.8196,0.838465473,0.1354,,,,,,,,,
0.11,6,0.791044776,0.8336,0.814716981,0.8636,0.838446602,0.1964,,,,,,,,,
0.03,15,0.865671642,0.8258,0.781736423,0.904,0.838434428,0.2524,,,,,,,,,
0.01,37,0.880597015,0.8228,0.771442987,0.9174,0.83811438,0.2718,,,,,,,,,
0.03,72,0.641791045,0.8441,0.871839205,0.8068,0.838059624,0.1186,,,,,,,,,
0.01,26,0.940298507,0.822,0.768871075,0.9208,0.838005096,0.2768,,,,,,,,,
0.06,22,0.76119403,0.8373,0.834423954,0.8416,0.837996615,0.167,,,,,,,,,
0.02,58,0.701492537,0.8337,0.817145029,0.8598,0.837930026,0.1924,,,,,,,,,
0.04,8,0.955223881,0.8186,0.757267442,0.9378,0.837919943,0.3006,,,,,,,,,
0.09,12,0.805970149,0.8327,0.812629205,0.8648,0.837903304,0.1994,,,,,,,,,
0.03,52,0.910447761,0.8473,0.893318233,0.7888,0.837812002,0.0942,,,,,,,,,
0.04,31,0.895522388,0.8392,0.845136345,0.8306,0.837805124,0.1522,,,,,,,,,
0.02,44,0.805970149,0.8316,0.808178439,0.8696,0.837764933,0.2064,,,,,,,,,
0.02,51,0.611940299,0.8381,0.839526009,0.836,0.837759295,0.1598,,,,,,,,,
0.01,71,0.776119403,0.8391,0.844964395,0.8306,0.837720625,0.1524,,,,,,,,,
0.03,71,0.656716418,0.8403,0.852058763,0.8236,0.837587715,0.143,,,,,,,,,
0.06,33,0.626865672,0.8418,0.860700718,0.8156,0.837543643,0.132,,,,,,,,,
0.03,64,0.686567164,0.8414,0.858462831,0.8176,0.837533292,0.1348,,,,,,,,,
0.01,47,0.820895522,0.8293,0.799527015,0.879,0.837382109,0.2204,,,,,,,,,
0.04,29,0.850746269,0.8337,0.820065222,0.855,0.837168315,0.1876,,,,,,,,,
0.04,34,0.746268657,0.8366,0.834326579,0.84,0.837153677,0.1668,,,,,,,,,
0.01,94,0.71641791,0.8456,0.886404293,0.7928,0.836993243,0.1016,,,,,,,,,
0.06,29,0.776119403,0.838,0.842243823,0.8318,0.836989334,0.1558,,,,,,,,,
0.04,22,0.76119403,0.8336,0.820645905,0.8538,0.836894727,0.1866,,,,,,,,,
0.06,11,0.805970149,0.8292,0.801134285,0.8758,0.836804892,0.2174,,,,,,,,,
0.08,49,0.507462687,0.8512,0.927042802,0.7624,0.836698859,0.06,,,,,,,,,
0.07,12,0.985074627,0.8307,0.809238826,0.8654,0.836377694,0.204,,,,,,,,,
0.12,22,0.432835821,0.8512,0.930392157,0.7592,0.836123348,0.0568,,,,,,,,,
0.06,17,0.731343284,0.8364,0.837751004,0.8344,0.836072144,0.1616,,,,,,,,,
0.09,31,0.507462687,0.8416,0.866366366,0.8078,0.836058787,0.1246,,,,,,,,,
0.06,43,0.47761194,0.8423,0.870695257,0.804,0.836019549,0.1194,,,,,,,,,
0.08,5,0.880597015,0.8205,0.76964496,0.9148,0.835968199,0.2738,,,,,,,,,
0.01,88,0.626865672,0.8382,0.847942387,0.8242,0.835902637,0.1478,,,,,,,,,
0.15,6,0.597014925,0.8372,0.842682927,0.8292,0.835887097,0.1548,,,,,,,,,
0.17,4,0.746268657,0.8381,0.847624923,0.8244,0.835851161,0.1482,,,,,,,,,
0.05,42,0.71641791,0.8388,0.851744186,0.8204,0.835778321,0.1428,,,,,,,,,
0.02,87,0.656716418,0.841,0.864940068,0.8082,0.83560794,0.1262,,,,,,,,,
0.06,24,0.820895522,0.8382,0.849235853,0.8224,0.83560252,0.146,,,,,,,,,
0.01,62,0.955223881,0.8297,0.807613361,0.8656,0.835601892,0.2062,,,,,,,,,
0.02,54,0.865671642,0.8343,0.829359606,0.8418,0.835533499,0.1732,,,,,,,,,
0.09,27,0.597014925,0.8428,0.87637242,0.7982,0.835461587,0.1126,,,,,,,,,
0.11,5,0.686567164,0.8309,0.813530415,0.8586,0.835457818,0.1968,,,,,,,,,
0.06,84,0.52238806,0.8505,0.929008568,0.759,0.835443038,0.058,,,,,,,,,
0.09,10,0.76119403,0.8312,0.815068493,0.8568,0.835413417,0.1944,,,,,,,,,
0.04,11,0.970149254,0.8173,0.760209939,0.927,0.835360908,0.2924,,,,,,,,,
0.02,25,0.791044776,0.8304,0.811698113,0.8604,0.835339806,0.1996,,,,,,,,,
0.04,43,0.776119403,0.839,0.854899497,0.8166,0.835310966,0.1386,,,,,,,,,
0.04,69,0.656716418,0.847,0.904806346,0.7756,0.835235839,0.0816,,,,,,,,,
0.04,37,0.76119403,0.8318,0.818793236,0.8522,0.835162681,0.1886,,,,,,,,,
0.01,44,0.895522388,0.8298,0.810195636,0.8614,0.835013571,0.2018,,,,,,,,,
0.23,1,0.955223881,0.8304,0.813115997,0.858,0.834955236,0.1972,,,,,,,,,
0.01,38,0.940298507,0.8254,0.791995693,0.8826,0.834846765,0.2318,,,,,,,,,
0.09,21,0.552238806,0.8425,0.877618523,0.796,0.834819088,0.111,,,,,,,,,
0.02,96,0.731343284,0.8407,0.867529666,0.8042,0.834665283,0.1228,,,,,,,,,
0.04,18,0.895522388,0.8321,0.822114452,0.8476,0.834662728,0.1834,,,,,,,,,
0.04,55,0.71641791,0.8397,0.861767838,0.8092,0.83465704,0.1298,,,,,,,,,
0.09,5,0.820895522,0.8276,0.80199115,0.87,0.834612433,0.2148,,,,,,,,,
0.09,17,0.626865672,0.8369,0.847534557,0.8216,0.834365797,0.1478,,,,,,,,,
0.01,20,0.880597015,0.8153,0.756299789,0.9304,0.834364631,0.2998,,,,,,,,,
0.08,35,0.71641791,0.8418,0.875604396,0.7968,0.83434555,0.1132,,,,,,,,,
0.01,99,0.656716418,0.8398,0.863811563,0.8068,0.834332989,0.1272,,,,,,,,,
0.14,6,0.746268657,0.8355,0.840470875,0.8282,0.834290319,0.1572,,,,,,,,,
0.05,18,0.820895522,0.835,0.838110618,0.8304,0.834237492,0.1604,,,,,,,,,
0.11,27,0.492537313,0.8504,0.935820896,0.7524,0.834146341,0.0516,,,,,,,,,
0.11,7,0.865671642,0.83,0.814405488,0.8548,0.834113973,0.1948,,,,,,,,,
0.13,7,0.776119403,0.8358,0.843494272,0.8246,0.833940129,0.153,,,,,,,,,
0.12,4,0.776119403,0.8297,0.813701237,0.8552,0.833934666,0.1958,,,,,,,,,
0.13,33,0.417910448,0.8504,0.937125749,0.7512,0.8339254,0.0504,,,,,,,,,
0.02,52,0.910447761,0.8288,0.809721176,0.8596,0.833915406,0.202,,,,,,,,,
0.02,55,0.731343284,0.8325,0.826941986,0.841,0.83391175,0.176,,,,,,,,,
0.1,45,0.611940299,0.8458,0.903783279,0.774,0.83387201,0.0824,,,,,,,,,
0.06,27,0.626865672,0.8324,0.826779394,0.841,0.83382907,0.1762,,,,,,,,,
0.04,68,0.626865672,0.8412,0.874615722,0.7966,0.833786896,0.1142,,,,,,,,,
0.07,9,0.880597015,0.8257,0.796900638,0.8742,0.833762518,0.2228,,,,,,,,,
0.04,79,0.597014925,0.8465,0.909477665,0.7696,0.833712491,0.0766,,,,,,,,,
0.03,43,0.656716418,0.836,0.845536816,0.8222,0.833705131,0.1502,,,,,,,,,
0.17,2,0.910447761,0.8214,0.78006274,0.8952,0.8336748,0.2524,,,,,,,,,
0.08,14,0.686567164,0.836,0.845679012,0.822,0.8336714,0.15,,,,,,,,,
0.01,100,0.701492537,0.8324,0.827552227,0.8398,0.83363113,0.175,,,,,,,,,
0.03,56,0.641791045,0.8441,0.893797208,0.781,0.833600171,0.0928,,,,,,,,,
0.03,38,0.835820896,0.8329,0.830192422,0.837,0.833582313,0.1712,,,,,,,,,
0.01,36,0.880597015,0.8241,0.791090354,0.8808,0.833538374,0.2326,,,,,,,,,
0.06,31,0.805970149,0.8374,0.853817114,0.8142,0.833538084,0.1394,,,,,,,,,
0.01,42,0.970149254,0.823,0.787571225,0.8846,0.833270535,0.2386,,,,,,,,,
0.05,22,0.701492537,0.8326,0.830091306,0.8364,0.833233712,0.1712,,,,,,,,,
0.05,44,0.656716418,0.8381,0.859298618,0.8086,0.833178774,0.1324,,,,,,,,,
0.06,67,0.47761194,0.8485,0.926978682,0.7566,0.833168153,0.0596,,,,,,,,,
0.08,39,0.626865672,0.8417,0.881106402,0.79,0.833069704,0.1066,,,,,,,,,
0.08,31,0.641791045,0.8419,0.882695321,0.7886,0.832998838,0.1048,,,,,,,,,
0.03,51,0.626865672,0.8354,0.845345964,0.821,0.83299513,0.1502,,,,,,,,,
0.15,8,0.671641791,0.8344,0.84025234,0.8258,0.832963486,0.157,,,,,,,,,
0.11,9,0.805970149,0.8335,0.835715724,0.8302,0.832948731,0.1632,,,,,,,,,
0.06,37,0.686567164,0.8396,0.869130435,0.7996,0.832916667,0.1204,,,,,,,,,
0.06,41,0.731343284,0.8354,0.845773196,0.8204,0.832893401,0.1496,,,,,,,,,
0.05,39,0.776119403,0.8362,0.850062474,0.8164,0.832891247,0.144,,,,,,,,,
0.1,8,0.776119403,0.8292,0.81532567,0.8512,0.832876712,0.1928,,,,,,,,,
0.07,20,0.671641791,0.8382,0.861479265,0.806,0.832816698,0.1296,,,,,,,,,
0.05,16,0.791044776,0.8267,0.804473439,0.8632,0.832802701,0.2098,,,,,,,,,
0.01,68,0.895522388,0.8295,0.817009813,0.8492,0.832793959,0.1902,,,,,,,,,
0.1,41,0.597014925,0.8486,0.930795848,0.7532,0.832633208,0.056,,,,,,,,,
0.02,43,0.746268657,0.8284,0.812761905,0.8534,0.832585366,0.1966,,,,,,,,,
0.08,11,0.850746269,0.8249,0.797581975,0.8708,0.832584377,0.221,,,,,,,,,
0.05,10,0.940298507,0.8236,0.792268786,0.8772,0.832574032,0.23,,,,,,,,,
0.09,7,0.925373134,0.8242,0.794727273,0.8742,0.832571429,0.2258,,,,,,,,,
0.14,7,0.76119403,0.8336,0.838062424,0.827,0.832494463,0.1598,,,,,,,,,
0.01,73,0.776119403,0.8317,0.828611056,0.8364,0.83248731,0.173,,,,,,,,,
0.3,1,0.820895522,0.8351,0.846249225,0.819,0.832401667,0.1488,,,,,,,,,
0.04,51,0.611940299,0.8392,0.869177188,0.7986,0.832395247,0.1202,,,,,,,,,
0.05,46,0.776119403,0.8363,0.853033802,0.8126,0.832326129,0.14,,,,,,,,,
0.15,5,0.686567164,0.8327,0.834371859,0.8302,0.832280702,0.1648,,,,,,,,,
0.07,45,0.582089552,0.8452,0.908617424,0.7676,0.83217693,0.0772,,,,,,,,,
0.02,32,0.940298507,0.8214,0.785232517,0.8848,0.832048147,0.242,,,,,,,,,
0.03,42,0.76119403,0.831,0.826945871,0.8372,0.832041344,0.1752,,,,,,,,,
0.03,36,0.895522388,0.8296,0.820497861,0.8438,0.831985802,0.1846,,,,,,,,,
0.01,77,0.641791045,0.8344,0.844458179,0.8198,0.831946418,0.151,,,,,,,,,
0.08,67,0.492537313,0.8486,0.935314685,0.749,0.83185251,0.0518,,,,,,,,,
0.03,11,0.985074627,0.811,0.749278615,0.9348,0.831820609,0.3128,,,,,,,,,
0.04,33,0.776119403,0.834,0.843197698,0.8206,0.831745388,0.1526,,,,,,,,,
0.04,65,0.641791045,0.845,0.910128388,0.7656,0.831631545,0.0756,,,,,,,,,
0.04,26,0.701492537,0.8339,0.84344785,0.82,0.831558665,0.1522,,,,,,,,,
0.03,40,0.731343284,0.8318,0.832998796,0.83,0.831496694,0.1664,,,,,,,,,
0.18,12,0.507462687,0.8403,0.880053607,0.788,0.831486757,0.1074,,,,,,,,,
0.14,5,0.701492537,0.8334,0.841318591,0.8218,0.831444759,0.155,,,,,,,,,
0.11,8,0.76119403,0.8248,0.801298701,0.8638,0.831376323,0.2142,,,,,,,,,
0.02,93,0.671641791,0.8421,0.892046757,0.7784,0.831357471,0.0942,,,,,,,,,
0.2,2,0.597014925,0.8364,0.859094791,0.8048,0.831061545,0.132,,,,,,,,,
0.09,42,0.701492537,0.8395,0.877473871,0.7892,0.830999263,0.1102,,,,,,,,,
0.05,51,0.656716418,0.8419,0.892898184,0.777,0.830927174,0.0932,,,,,,,,,
0.03,34,0.776119403,0.8283,0.8185523,0.8436,0.830887422,0.187,,,,,,,,,
0.03,55,0.671641791,0.8333,0.843113033,0.819,0.830881607,0.1524,,,,,,,,,
0.09,37,0.582089552,0.8397,0.880062654,0.7866,0.83071074,0.1072,,,,,,,,,
0.06,71,0.611940299,0.8399,0.881310298,0.7856,0.830707412,0.1058,,,,,,,,,
0.21,1,0.955223881,0.8139,0.761976298,0.913,0.830679647,0.2852,,,,,,,,,
0.02,49,0.731343284,0.8267,0.81215364,0.85,0.830645949,0.1966,,,,,,,,,
0.02,60,0.76119403,0.8375,0.867247008,0.797,0.830640959,0.122,,,,,,,,,
0.04,89,0.701492537,0.8442,0.910152526,0.7638,0.830578512,0.0754,,,,,,,,,
0.24,2,0.507462687,0.8423,0.897376364,0.773,0.830557645,0.0884,,,,,,,,,
0.07,30,0.52238806,0.8368,0.863714903,0.7998,0.830529595,0.1262,,,,,,,,,
0.06,10,0.865671642,0.8228,0.795821114,0.8684,0.830527927,0.2228,,,,,,,,,
0.08,32,0.641791045,0.837,0.86487657,0.7988,0.830526097,0.1248,,,,,,,,,
0.03,58,0.791044776,0.834,0.848643006,0.813,0.830439224,0.145,,,,,,,,,
0.05,48,0.671641791,0.8374,0.868019197,0.7958,0.830342237,0.121,,,,,,,,,
0.09,9,0.805970149,0.8249,0.805414552,0.8568,0.830313015,0.207,,,,,,,,,
0.04,60,0.686567164,0.8372,0.867160279,0.7964,0.830275229,0.122,,,,,,,,,
0.03,46,0.76119403,0.8308,0.833064841,0.8274,0.830222757,0.1658,,,,,,,,,
0.08,10,0.820895522,0.8244,0.803631599,0.8586,0.830206923,0.2098,,,,,,,,,
0.06,8,0.895522388,0.8198,0.785128388,0.8806,0.830128205,0.241,,,,,,,,,
0.02,40,0.910447761,0.8238,0.801602086,0.8606,0.830054012,0.213,,,,,,,,,
0.08,7,0.925373134,0.8193,0.783620537,0.8822,0.829993414,0.2436,,,,,,,,,
0.09,18,0.611940299,0.8374,0.869631902,0.7938,0.829987453,0.119,,,,,,,,,
0.04,21,0.850746269,0.826,0.811544343,0.8492,0.82994527,0.1972,,,,,,,,,
0.03,41,0.880597015,0.8275,0.818393934,0.8418,0.829931973,0.1868,,,,,,,,,
0.03,35,0.746268657,0.8264,0.813484441,0.847,0.829903978,0.1942,,,,,,,,,
0.1,9,0.791044776,0.8269,0.815845411,0.8444,0.82987715,0.1906,,,,,,,,,
0.04,23,0.776119403,0.8283,0.822558459,0.8372,0.82981465,0.1806,,,,,,,,,
0.01,35,0.955223881,0.8152,0.769217629,0.9006,0.829740188,0.2702,,,,,,,,,
0.06,42,0.671641791,0.8392,0.881638164,0.7836,0.829733164,0.1052,,,,,,,,,
