radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.07,20,0.808930008,0.8067,0.966818874,0.6352,0.766686783,0.0218,,,,,,,,,
0.04,30,0.772727273,0.794,0.972365039,0.6052,0.746055227,0.0172,,0.02,50,0.723250201,0.7472,0.891386954,0.563,0.690120127,0.0686
0.04,50,0.772056852,0.7842,0.964075767,0.5904,0.732324485,0.022,,,,,,,,,
0.05,60,0.752346474,0.7861,0.978268138,0.5852,0.732323864,0.013,,,,,,,,,
0.05,10,0.759855189,0.7772,0.952054795,0.5838,0.723778825,0.0294,,,,,,,,,
0.1,60,0.741887906,0.775,0.979762736,0.5616,0.71395881,0.0116,,,,,,,,,
0.02,10,0.738267632,0.7676,0.9352635,0.575,0.712162497,0.0398,,,,,,,,,
0.06,70,0.718959507,0.774,0.98409894,0.557,0.711366539,0.009,,,,,,,,,
0.03,30,0.695360687,0.7689,0.955299695,0.5642,0.70941783,0.0264,,,,,,,,,
0.06,50,0.69643336,0.766,0.986466715,0.5394,0.697439876,0.0074,,,,,,,,,
0.1,40,0.690265487,0.7628,0.979562044,0.5368,0.693540052,0.0112,,,,,,,,,
0.02,50,0.723250201,0.7472,0.891386954,0.563,0.690120127,0.0686,,,,,,,,,
0.09,90,0.65848753,0.7509,0.984924623,0.5096,0.671675234,0.0078,,,,,,,,,
0.01,20,0.65942612,0.7513,0.991780822,0.5068,0.67081403,0.0042,,,,,,,,,
0.09,50,0.679404666,0.7482,0.988582677,0.5022,0.666047745,0.0058,,,,,,,,,
0.01,10,0.562617324,0.7039,0.805148159,0.538,0.645006594,0.1302,,,,,,,,,
0.1,20,0.53794583,0.7174,0.978433099,0.4446,0.611386139,0.0098,,,,,,,,,
0.08,20,0.510994905,0.7102,0.975565611,0.4312,0.598058252,0.0108,,,,,,,,,
0.06,40,0.507240547,0.7049,0.949934124,0.4326,0.594475745,0.0228,,,,,,,,,
0.08,80,0.508313221,0.7069,0.981386691,0.4218,0.590012589,0.008,,,,,,,,,
0.08,60,0.501072674,0.7064,0.980446927,0.4212,0.589255736,0.0084,,,,,,,,,
0.05,70,0.501877179,0.6844,0.887720774,0.4222,0.5722418,0.0534,,,,,,,,,
