radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.02,10,0.345341185,0.8197,0.889024093,0.7306,0.802063893,0.0912,,0.01,40,0.35053689,0.5735,0.771217712,0.209,0.328874902,0.062
0.01,10,0.238309664,0.8197,0.912090745,0.7076,0.796936592,0.0682,,,,,,,,,
0.07,20,0.098372012,0.8067,0.966818874,0.6352,0.766686783,0.0218,,,,,,,,,
0.05,60,0.05368895,0.7861,0.978268138,0.5852,0.732323864,0.013,,,,,,,,,
0.04,10,0.19154832,0.7748,0.908199643,0.6114,0.730815204,0.0618,,,,,,,,,
0.05,10,0.04260478,0.7772,0.952054795,0.5838,0.723778825,0.0294,,,,,,,,,
0.1,60,0.028056806,0.775,0.979762736,0.5616,0.71395881,0.0116,,,,,,,,,
0.02,20,0.206096294,0.7676,0.9352635,0.575,0.712162497,0.0398,,,,,,,,,
0.06,70,0.073779009,0.774,0.98409894,0.557,0.711366539,0.009,,,,,,,,,
0.02,30,0.098025632,0.7473,0.891421336,0.5632,0.690280672,0.0686,,,,,,,,,
0.09,80,0.013855213,0.7545,0.982922201,0.518,0.678454486,0.009,,,,,,,,,
0.03,10,0.116037409,0.7419,0.917212832,0.5318,0.673249778,0.048,,,,,,,,,
0.01,20,0.173536543,0.726,0.895935529,0.5114,0.651133181,0.0594,,,,,,,,,
0.09,70,0.033945272,0.7383,0.982193444,0.4854,0.649712221,0.0088,,,,,,,,,
0.08,90,0.004156564,0.7386,0.991350906,0.4814,0.648088314,0.0042,,,,,,,,,
0.07,90,0.007966747,0.7133,0.981489842,0.4348,0.602633403,0.0082,,,,,,,,,
0.02,100,0.054035331,0.711,0.969723954,0.4356,0.60115926,0.0136,,,,,,,,,
0.03,100,0.123311396,0.6949,0.873228648,0.456,0.599132834,0.0662,,,,,,,,,
0.04,30,0.008313128,0.7091,0.995732575,0.42,0.590800394,0.0018,,,,,,,,,
0.08,80,0.034638033,0.7069,0.981386691,0.4218,0.590012589,0.008,,,,,,,,,
0.08,100,0.049878767,0.7031,0.979688238,0.4148,0.582829844,0.0086,,,,,,,,,
0.05,70,0.054035331,0.6844,0.887720774,0.4222,0.5722418,0.0534,,,,,,,,,
0.06,60,0.005888466,0.6896,0.979271992,0.3874,0.555173402,0.0082,,,,,,,,,
0.05,20,0.11673017,0.6782,0.958805355,0.3724,0.536444829,0.016,,,,,,,,,
0.03,90,0.015933495,0.6758,0.96214511,0.366,0.530281078,0.0144,,,,,,,,,
0.01,70,0.000692761,0.663,0.962018141,0.3394,0.501774098,0.0134,,,,,,,,,
0.06,20,0.043990301,0.6558,0.940112994,0.3328,0.491580502,0.0212,,,,,,,,,
