radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.05,10,0.28358209,0.7784,0.92883549,0.603,0.731263643,0.0462,,,,,,,,,
0.02,10,0.164179104,0.7676,0.9352635,0.575,0.712162497,0.0398,,,,,,,,,
0.03,30,0.194029851,0.7689,0.955299695,0.5642,0.70941783,0.0264,,0.01,10,0.358208955,0.7039,0.805148159,0.538,0.645006594,0.1302
0.04,20,0.074626866,0.7558,0.920170828,0.5602,0.696419692,0.0486,,,,,,,,,
0.1,40,0.059701493,0.7628,0.979562044,0.5368,0.693540052,0.0112,,,,,,,,,
0.02,50,0.104477612,0.7472,0.891386954,0.563,0.690120127,0.0686,,,,,,,,,
0.09,80,0.014925373,0.7545,0.982922201,0.518,0.678454486,0.009,,,,,,,,,
0.01,20,0,0.7513,0.991780822,0.5068,0.67081403,0.0042,,,,,,,,,
0.09,70,0.164179104,0.7383,0.982193444,0.4854,0.649712221,0.0088,,,,,,,,,
0.01,10,0.358208955,0.7039,0.805148159,0.538,0.645006594,0.1302,,,,,,,,,
0.03,80,0.059701493,0.6949,0.873228648,0.456,0.599132834,0.0662,,,,,,,,,
0.06,90,0.104477612,0.7011,0.984578313,0.4086,0.577526502,0.0064,,,,,,,,,
0.05,70,0.194029851,0.6844,0.887720774,0.4222,0.5722418,0.0534,,,,,,,,,
0.08,90,0,0.6897,0.979767324,0.3874,0.555252974,0.008,,,,,,,,,
0.03,60,0.223880597,0.6818,0.943847656,0.3866,0.548524404,0.023,,,,,,,,,
0.04,40,0.044776119,0.6856,0.981327801,0.3784,0.546189376,0.0072,,,,,,,,,
0.1,10,0.268656716,0.6797,0.971653543,0.3702,0.536133237,0.0108,,,,,,,,,
0.03,100,0.089552239,0.6717,0.969382176,0.3546,0.519256114,0.0112,,,,,,,,,
0.08,100,0.059701493,0.6665,0.991150442,0.336,0.501867065,0.003,,,,,,,,,
0.01,70,0,0.663,0.962018141,0.3394,0.501774098,0.0134,,,,,,,,,
0.09,40,0.059701493,0.6617,0.978685613,0.3306,0.494244282,0.0072,,,,,,,,,
0.06,20,0.268656716,0.6558,0.940112994,0.3328,0.491580502,0.0212,,,,,,,,,
0.08,50,0,0.659,0.979493366,0.3248,0.487834184,0.0068,,,,,,,,,
0.01,60,0.029850746,0.6529,0.943188406,0.3254,0.483866171,0.0196,,,,,,,,,
0.05,50,0.119402985,0.6474,0.970625798,0.304,0.462991167,0.0092,,,,,,,,,
0.07,10,0.447761194,0.6315,0.869174621,0.3096,0.456569827,0.0466,,,,,,,,,
0.05,60,0.059701493,0.6391,0.985345429,0.2824,0.438986476,0.0042,,,,,,,,,
0.07,30,0.104477612,0.629,0.960057061,0.2692,0.420493596,0.0112,,,,,,,,,
0.04,10,0.164179104,0.6152,0.854679803,0.2776,0.419082126,0.0472,,,,,,,,,
0.1,60,0,0.6258,0.976515152,0.2578,0.407911392,0.0062,,,,,,,,,
0.01,30,0.044776119,0.621,0.957639939,0.2532,0.400506169,0.0112,,,,,,,,,
0.09,60,0.044776119,0.6216,0.964831804,0.2524,0.400126823,0.0092,,,,,,,,,
0.1,20,0.059701493,0.6199,0.967993755,0.248,0.394841586,0.0082,,,,,,,,,
0.02,60,0.134328358,0.6129,0.911143481,0.2502,0.392593755,0.0244,,,,,,,,,
0.05,30,0.014925373,0.6183,0.978947368,0.2418,0.387810746,0.0052,,,,,,,,,
0.02,20,0.47761194,0.5909,0.782122905,0.252,0.381182877,0.0702,,,,,,,,,
0.02,100,0.104477612,0.6067,0.95559351,0.2238,0.362664074,0.0104,,,,,,,,,
0.03,20,0.23880597,0.5954,0.874411303,0.2228,0.355116353,0.032,,,,,,,,,
0.06,10,0.492537313,0.5825,0.798696597,0.2206,0.345713838,0.0556,,,,,,,,,
0.02,30,0.373134328,0.594,0.905172414,0.21,0.340909091,0.022,,,,,,,,,
0.1,30,0.014925373,0.5934,0.962376238,0.1944,0.323460899,0.0076,,,,,,,,,
0.04,50,0.149253731,0.5902,0.951,0.1902,0.317,0.0098,,,,,,,,,
0.04,60,0.089552239,0.5889,0.973375932,0.1828,0.307795925,0.005,,,,,,,,,
0.02,70,0.074626866,0.5839,0.953513514,0.1764,0.297721519,0.0086,,,,,,,,,
0.07,40,0.104477612,0.584,0.977272727,0.172,0.292517007,0.004,,,,,,,,,
0.03,50,0.044776119,0.5795,0.951191827,0.1676,0.284985547,0.0086,,,,,,,,,
0.05,90,0.119402985,0.5776,0.988664987,0.157,0.270969969,0.0018,,,,,,,,,
0.06,50,0.029850746,0.5637,0.838469713,0.1578,0.26561185,0.0304,,,,,,,,,
0.09,100,0.014925373,0.5747,0.980694981,0.1524,0.263804743,0.003,,,,,,,,,
0.08,60,0,0.575,0.987012987,0.152,0.263431542,0.002,,,,,,,,,
0.02,40,0.014925373,0.5643,0.884109916,0.148,0.253554908,0.0194,,,,,,,,,
0.04,90,0,0.5715,0.986394558,0.145,0.252833479,0.002,,,,,,,,,
0.03,10,0.76119403,0.5176,0.564046579,0.155,0.2431754,0.1198,,,,,,,,,
0.07,20,0.179104478,0.557,0.85625,0.137,0.236206897,0.023,,,,,,,,,
0.01,40,0.179104478,0.5443,0.795727637,0.1192,0.207340407,0.0306,,,,,,,,,
0.01,90,0.253731343,0.5534,0.947986577,0.113,0.20192995,0.0062,,,,,,,,,
0.02,90,0.164179104,0.5478,0.880573248,0.1106,0.196517413,0.015,,,,,,,,,
0.01,50,0.358208955,0.5461,0.864139021,0.1094,0.194212675,0.0172,,,,,,,,,
0.09,10,0,0.549,0.93594306,0.1052,0.189140597,0.0072,,,,,,,,,
0.03,40,0.074626866,0.542,0.852348993,0.1016,0.181558256,0.0176,,,,,,,,,
0.07,70,0.029850746,0.5422,0.879496403,0.0978,0.176025918,0.0134,,,,,,,,,
0.06,70,0.044776119,0.5462,0.98125,0.0942,0.17189781,0.0018,,,,,,,,,
0.04,100,0.104477612,0.5453,0.968944099,0.0936,0.170709466,0.003,,,,,,,,,
0.03,70,0,0.5441,0.966173362,0.0914,0.167001644,0.0032,,,,,,,,,
0.06,40,0,0.5172,0.613756614,0.0928,0.161223072,0.0584,,,,,,,,,
0.06,100,0.059701493,0.5415,0.956043956,0.087,0.159486709,0.004,,,,,,,,,
0.02,80,0,0.5425,0.979683973,0.0868,0.15947088,0.0018,,,,,,,,,
0.09,90,0,0.5231,0.682464455,0.0864,0.153381857,0.0402,,,,,,,,,
0.04,70,0,0.5387,0.953161593,0.0814,0.149990787,0.004,,,,,,,,,
0.1,100,0,0.537,0.928240741,0.0802,0.147643594,0.0062,,,,,,,,,
0.06,30,0.059701493,0.5118,0.597682119,0.0722,0.128836545,0.0486,,,,,,,,,
0.1,80,0,0.5309,0.903394256,0.0692,0.128552852,0.0074,,,,,,,,,
0.06,80,0,0.5326,0.968390805,0.0674,0.126028422,0.0022,,,,,,,,,
