self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.32,21,0.7577,0.735859418,0.804,0.768422059,0.2886,0.93648449
0.32,31,0.7625,0.751388623,0.7846,0.767635261,0.2596,0.920236337
0.33,21,0.758,0.739687848,0.7962,0.766904257,0.2802,0.933530281
0.34,21,0.7578,0.742293233,0.7898,0.765310078,0.2742,0.930576071
0.33,31,0.7611,0.752954854,0.7772,0.764885346,0.255,0.920236337
0.35,21,0.7585,0.746143592,0.7836,0.764413228,0.2666,0.930576071
0.36,21,0.7587,0.749085307,0.778,0.76326891,0.2606,0.927621861
0.46,11,0.7449,0.713290368,0.819,0.762498836,0.3292,0.963072378
0.47,11,0.7459,0.716347,0.8142,0.762145465,0.3224,0.960118168
0.37,21,0.7589,0.75238838,0.7718,0.76197058,0.254,0.926144756
0.34,31,0.7593,0.753966699,0.7698,0.761801089,0.2512,0.918759232
0.45,11,0.7425,0.708871662,0.823,0.761684405,0.338,0.967503693
0.49,11,0.7478,0.722043011,0.8058,0.761625709,0.3102,0.954209749
0.48,11,0.7461,0.718444878,0.8094,0.761215085,0.3172,0.958641064
0.38,21,0.7587,0.754575871,0.7668,0.760638826,0.2494,0.923190547
0.44,11,0.7396,0.704019074,0.8268,0.760485651,0.3476,0.970457903
0.43,11,0.7373,0.699445285,0.8322,0.760069413,0.3576,0.970457903
0.42,11,0.7352,0.695608782,0.8364,0.759535053,0.366,0.974889217
0.35,31,0.7585,0.75639754,0.7626,0.759486107,0.2456,0.918759232
0.41,11,0.7326,0.691345837,0.8404,0.75862069,0.3752,0.977843427
0.36,31,0.7588,0.759214744,0.758,0.758606886,0.2404,0.918759232
0.39,21,0.7575,0.75571003,0.761,0.75834579,0.246,0.921713442
0.4,11,0.7294,0.686504065,0.8444,0.757309417,0.3856,0.982274742
0.37,31,0.7584,0.761326861,0.7528,0.757039421,0.236,0.918759232
0.39,11,0.7266,0.682037275,0.849,0.756414825,0.3958,0.983751846
0.4,21,0.7564,0.756810897,0.7556,0.756204964,0.2428,0.918759232
0.38,31,0.7581,0.762991645,0.7488,0.755829212,0.2326,0.918759232
0.33,11,0.7148,0.661116112,0.8814,0.755528887,0.4518,0.995568685
0.41,21,0.7564,0.759829753,0.7498,0.754781558,0.237,0.917282127
0.38,11,0.7226,0.676498573,0.8532,0.754643552,0.408,0.988183161
0.1,1110,0.7382,0.710424028,0.8042,0.754409006,0.3278,0.932053176
0.1,1120,0.7382,0.710424028,0.8042,0.754409006,0.3278,0.932053176
0.1,1130,0.7382,0.710424028,0.8042,0.754409006,0.3278,0.932053176
0.1,1140,0.7382,0.710424028,0.8042,0.754409006,0.3278,0.932053176
0.1,1150,0.7382,0.710424028,0.8042,0.754409006,0.3278,0.932053176
0.35,11,0.7171,0.666615503,0.8686,0.754320452,0.4344,0.994091581
0.37,11,0.7203,0.672730124,0.858,0.754153116,0.4174,0.992614476
0.1,1160,0.7384,0.71142249,0.8022,0.754089114,0.3254,0.932053176
0.09,1130,0.7365,0.706911636,0.808,0.754083061,0.335,0.935007386
0.09,1140,0.7365,0.706911636,0.808,0.754083061,0.335,0.935007386
0.09,1150,0.7365,0.706911636,0.808,0.754083061,0.335,0.935007386
0.34,11,0.715,0.663175471,0.8738,0.75405592,0.4438,0.994091581
0.09,1110,0.7364,0.706787964,0.808,0.754012691,0.3352,0.935007386
0.09,1120,0.7364,0.706787964,0.808,0.754012691,0.3352,0.935007386
0.1,1090,0.7376,0.709671726,0.8042,0.753984624,0.329,0.932053176
0.1,1100,0.7376,0.709671726,0.8042,0.753984624,0.329,0.932053176
0.39,31,0.7571,0.763800534,0.7444,0.753975489,0.2302,0.918759232
0.09,1090,0.7361,0.706200873,0.8086,0.753939394,0.3364,0.935007386
0.09,1100,0.7361,0.706200873,0.8086,0.753939394,0.3364,0.935007386
0.1,1050,0.7375,0.709546497,0.8042,0.75391394,0.3292,0.932053176
0.1,1060,0.7375,0.709546497,0.8042,0.75391394,0.3292,0.932053176
0.1,1070,0.7375,0.709546497,0.8042,0.75391394,0.3292,0.932053176
0.1,1080,0.7375,0.709546497,0.8042,0.75391394,0.3292,0.932053176
0.36,11,0.7181,0.669043559,0.8632,0.753820627,0.427,0.992614476
0.09,1080,0.7359,0.705954252,0.8086,0.753798825,0.3368,0.93648449
0.09,1050,0.7358,0.705831006,0.8086,0.753728561,0.337,0.93648449
0.09,1060,0.7358,0.705831006,0.8086,0.753728561,0.337,0.93648449
0.09,1070,0.7358,0.705831006,0.8086,0.753728561,0.337,0.93648449
0.1,1010,0.7371,0.708972325,0.8044,0.753677504,0.3302,0.932053176
0.1,1020,0.7371,0.708972325,0.8044,0.753677504,0.3302,0.932053176
0.1,1030,0.7371,0.708972325,0.8044,0.753677504,0.3302,0.932053176
0.1,1040,0.7371,0.708972325,0.8044,0.753677504,0.3302,0.932053176
0.08,1070,0.7337,0.701084151,0.8148,0.753676811,0.3474,0.946824225
