self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.16,361,0.748,0.732645403,0.781,0.756050339,0.285,0.917667238
0.1,1130,0.7405,0.713398403,0.804,0.755994358,0.323,0.924528302
0.1,1140,0.7405,0.713398403,0.804,0.755994358,0.323,0.924528302
0.1,1150,0.7405,0.713398403,0.804,0.755994358,0.323,0.924528302
0.11,1130,0.742,0.717157215,0.7992,0.755959137,0.3152,0.922813036
0.11,1140,0.742,0.717157215,0.7992,0.755959137,0.3152,0.922813036
0.11,1150,0.742,0.717157215,0.7992,0.755959137,0.3152,0.922813036
0.16,371,0.7479,0.732595234,0.7808,0.755929906,0.285,0.917667238
0.16,381,0.7479,0.732682561,0.7806,0.755882638,0.2848,0.917667238
0.16,391,0.7479,0.732682561,0.7806,0.755882638,0.2848,0.917667238
0.1,1110,0.7403,0.71314529,0.804,0.755852214,0.3234,0.924528302
0.1,1120,0.7403,0.71314529,0.804,0.755852214,0.3234,0.924528302
0.09,1130,0.7387,0.709349237,0.8088,0.755817213,0.3314,0.924528302
0.09,1110,0.7386,0.709224833,0.8088,0.755746589,0.3316,0.924528302
0.09,1120,0.7386,0.709224833,0.8088,0.755746589,0.3316,0.924528302
0.11,1110,0.7417,0.7167713,0.7992,0.755744681,0.3158,0.922813036
0.11,1120,0.7417,0.7167713,0.7992,0.755744681,0.3158,0.922813036
0.09,1090,0.7384,0.708756567,0.8094,0.755742297,0.3326,0.924528302
0.09,1100,0.7384,0.708756567,0.8094,0.755742297,0.3326,0.924528302
0.09,1140,0.7386,0.709298246,0.8086,0.755700935,0.3314,0.924528302
0.09,1150,0.7386,0.709298246,0.8086,0.755700935,0.3314,0.924528302
0.16,421,0.7478,0.732807215,0.78,0.755667506,0.2844,0.917667238
0.16,431,0.7478,0.732807215,0.78,0.755667506,0.2844,0.917667238
0.16,441,0.7478,0.732807215,0.78,0.755667506,0.2844,0.917667238
0.09,1030,0.7382,0.708435422,0.8096,0.755646817,0.3332,0.924528302
0.09,1040,0.7382,0.708435422,0.8096,0.755646817,0.3332,0.924528302
0.16,401,0.7477,0.73258216,0.7802,0.755641646,0.2848,0.917667238
0.11,951,0.7409,0.714974121,0.8012,0.755635198,0.3194,0.922813036
0.11,961,0.7409,0.714974121,0.8012,0.755635198,0.3194,0.922813036
0.11,971,0.7409,0.714974121,0.8012,0.755635198,0.3194,0.922813036
0.11,981,0.7409,0.714974121,0.8012,0.755635198,0.3194,0.922813036
0.09,1080,0.7382,0.708508403,0.8094,0.755601195,0.333,0.924528302
0.11,1010,0.7413,0.716025067,0.7998,0.755597544,0.3172,0.922813036
0.11,1020,0.7413,0.716025067,0.7998,0.755597544,0.3172,0.922813036
0.11,1030,0.7413,0.716025067,0.7998,0.755597544,0.3172,0.922813036
0.11,1040,0.7413,0.716025067,0.7998,0.755597544,0.3172,0.922813036
0.16,411,0.7477,0.732669547,0.78,0.755594304,0.2846,0.917667238
0.09,1020,0.7381,0.708311461,0.8096,0.755576295,0.3334,0.924528302
0.11,991,0.741,0.71533238,0.8006,0.755568139,0.3186,0.922813036
0.11,1001,0.741,0.71533238,0.8006,0.755568139,0.3186,0.922813036
0.11,1000,0.741,0.71533238,0.8006,0.755568139,0.3186,0.922813036
0.09,1050,0.7381,0.708384386,0.8094,0.755530664,0.3332,0.924528302
0.09,1060,0.7381,0.708384386,0.8094,0.755530664,0.3332,0.924528302
0.09,1070,0.7381,0.708384386,0.8094,0.755530664,0.3332,0.924528302
0.09,1010,0.738,0.708187544,0.8096,0.755505786,0.3336,0.924528302
0.11,1050,0.7413,0.716179896,0.7994,0.755505151,0.3168,0.922813036
0.1,1090,0.7397,0.712387028,0.804,0.755426102,0.3246,0.924528302
0.1,1100,0.7397,0.712387028,0.804,0.755426102,0.3246,0.924528302
0.11,931,0.7406,0.714591509,0.8012,0.75542146,0.32,0.922813036
0.11,941,0.7406,0.714591509,0.8012,0.75542146,0.32,0.922813036
0.1,1160,0.7404,0.714107588,0.8018,0.755417373,0.321,0.922813036
0.1,1020,0.7396,0.712185618,0.8042,0.75540109,0.325,0.924528302
0.1,1030,0.7396,0.712185618,0.8042,0.75540109,0.325,0.924528302
0.1,1040,0.7396,0.712185618,0.8042,0.75540109,0.325,0.924528302
0.11,1060,0.7412,0.716129032,0.7992,0.755387524,0.3168,0.922813036
0.11,1070,0.7412,0.716129032,0.7992,0.755387524,0.3168,0.922813036
0.11,1080,0.7412,0.716129032,0.7992,0.755387524,0.3168,0.922813036
0.11,1090,0.7412,0.716129032,0.7992,0.755387524,0.3168,0.922813036
0.11,1100,0.7412,0.716129032,0.7992,0.755387524,0.3168,0.922813036
0.1,1050,0.7396,0.712260808,0.804,0.75535513,0.3248,0.924528302
0.1,1060,0.7396,0.712260808,0.804,0.75535513,0.3248,0.924528302
0.1,1070,0.7396,0.712260808,0.804,0.75535513,0.3248,0.924528302
0.1,1080,0.7396,0.712260808,0.804,0.75535513,0.3248,0.924528302
0.11,891,0.7405,0.714464063,0.8012,0.75535024,0.3202,0.922813036
0.11,901,0.7405,0.714464063,0.8012,0.75535024,0.3202,0.922813036
0.11,911,0.7405,0.714464063,0.8012,0.75535024,0.3202,0.922813036
0.11,921,0.7405,0.714464063,0.8012,0.75535024,0.3202,0.922813036
0.1,1010,0.7395,0.712059501,0.8042,0.75533014,0.3252,0.924528302
0.11,1160,0.7418,0.717837838,0.7968,0.755260664,0.3132,0.92109777
0.11,841,0.7403,0.714132953,0.8014,0.755253982,0.3208,0.922813036
0.11,851,0.7403,0.714132953,0.8014,0.755253982,0.3208,0.922813036
0.11,861,0.7403,0.714132953,0.8014,0.755253982,0.3208,0.922813036
0.11,871,0.7403,0.714132953,0.8014,0.755253982,0.3208,0.922813036
0.11,881,0.7403,0.714132953,0.8014,0.755253982,0.3208,0.922813036
0.08,1070,0.7356,0.703033437,0.8158,0.755230513,0.3446,0.926243568
