self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.29,31,0.7549,0.732107084,0.804,0.766371175,0.2942,0.85106383
0.12,451,0.7526,0.732083793,0.7968,0.763072208,0.2916,0.851552947
0.12,521,0.7535,0.734852696,0.7932,0.762912379,0.2862,0.846906334
0.12,501,0.7529,0.734036646,0.7932,0.762472364,0.2874,0.846906334
0.12,511,0.7529,0.734036646,0.7932,0.762472364,0.2874,0.846906334
0.12,491,0.7528,0.733900814,0.7932,0.762399077,0.2876,0.846906334
0.12,461,0.7527,0.733765032,0.7932,0.762325805,0.2878,0.846906334
0.12,471,0.7527,0.733765032,0.7932,0.762325805,0.2878,0.846906334
0.12,481,0.7527,0.733765032,0.7932,0.762325805,0.2878,0.846906334
0.12,811,0.7544,0.739277652,0.786,0.761923226,0.2772,0.842748838
0.12,531,0.7526,0.7344098,0.7914,0.761840585,0.2862,0.845194424
0.12,541,0.7526,0.734496844,0.7912,0.761794724,0.286,0.845194424
0.12,951,0.7546,0.740188679,0.7846,0.761747573,0.2754,0.842259721
0.12,961,0.7546,0.740188679,0.7846,0.761747573,0.2754,0.842259721
0.12,821,0.7543,0.739408774,0.7854,0.761710794,0.2768,0.84250428
0.12,891,0.7544,0.739728609,0.785,0.761692218,0.2762,0.84250428
0.12,901,0.7544,0.739728609,0.785,0.761692218,0.2762,0.84250428
0.12,911,0.7544,0.739728609,0.785,0.761692218,0.2762,0.84250428
0.12,551,0.7525,0.734447539,0.791,0.761675494,0.286,0.845194424
0.12,561,0.7525,0.734447539,0.791,0.761675494,0.286,0.845194424
0.12,921,0.7545,0.740049047,0.7846,0.761673624,0.2756,0.84250428
0.12,931,0.7545,0.740049047,0.7846,0.761673624,0.2756,0.84250428
0.12,941,0.7545,0.740049047,0.7846,0.761673624,0.2756,0.84250428
0.12,781,0.754,0.738721805,0.786,0.761627907,0.278,0.843482514
0.12,791,0.754,0.738721805,0.786,0.761627907,0.278,0.843482514
0.12,801,0.754,0.738721805,0.786,0.761627907,0.278,0.843482514
0.12,831,0.7542,0.739359699,0.7852,0.761590689,0.2768,0.84250428
0.12,841,0.7542,0.739359699,0.7852,0.761590689,0.2768,0.84250428
0.12,851,0.7542,0.739359699,0.7852,0.761590689,0.2768,0.84250428
0.12,861,0.7542,0.739359699,0.7852,0.761590689,0.2768,0.84250428
0.12,871,0.7542,0.739359699,0.7852,0.761590689,0.2768,0.84250428
0.12,881,0.7542,0.739359699,0.7852,0.761590689,0.2768,0.84250428
0.12,571,0.7525,0.734709054,0.7904,0.76153772,0.2854,0.845194424
0.12,581,0.7525,0.734709054,0.7904,0.76153772,0.2854,0.845194424
0.12,971,0.7544,0.7400906,0.7842,0.761507089,0.2754,0.842259721
0.12,981,0.7544,0.7400906,0.7842,0.761507089,0.2754,0.842259721
0.12,991,0.7542,0.740083113,0.7836,0.761220128,0.2752,0.841526045
0.12,1001,0.7542,0.740083113,0.7836,0.761220128,0.2752,0.841526045
0.12,1000,0.7542,0.740083113,0.7836,0.761220128,0.2752,0.841526045
0.12,741,0.7531,0.737118231,0.7868,0.76114927,0.2806,0.84421619
0.12,751,0.7531,0.737118231,0.7868,0.76114927,0.2806,0.84421619
0.12,761,0.7531,0.737118231,0.7868,0.76114927,0.2806,0.84421619
0.12,591,0.7521,0.734511628,0.7896,0.761060241,0.2854,0.844705307
0.12,681,0.7528,0.73670412,0.7868,0.760928433,0.2812,0.844460748
0.12,691,0.7528,0.73670412,0.7868,0.760928433,0.2812,0.844460748
0.12,701,0.7528,0.73670412,0.7868,0.760928433,0.2812,0.844460748
0.12,711,0.7528,0.73670412,0.7868,0.760928433,0.2812,0.844460748
0.12,721,0.7528,0.73670412,0.7868,0.760928433,0.2812,0.844460748
0.12,731,0.7528,0.73670412,0.7868,0.760928433,0.2812,0.844460748
0.12,771,0.753,0.737335835,0.786,0.76089061,0.28,0.843482514
0.12,601,0.7519,0.734412805,0.7892,0.760821363,0.2854,0.844460748
0.12,661,0.7525,0.736290474,0.7868,0.760707725,0.2818,0.844460748
0.12,671,0.7525,0.736290474,0.7868,0.760707725,0.2818,0.844460748
0.09,1100,0.7456,0.718117229,0.8086,0.760677328,0.3174,0.861579848
0.09,1090,0.7455,0.7179897,0.8086,0.760605776,0.3176,0.861579848
0.09,1040,0.7454,0.717784878,0.8088,0.760579274,0.318,0.863291758
0.12,1010,0.754,0.740803944,0.7814,0.760560639,0.2734,0.84079237
0.12,1020,0.754,0.740803944,0.7814,0.760560639,0.2734,0.84079237
0.12,1030,0.754,0.740803944,0.7814,0.760560639,0.2734,0.84079237
0.12,1040,0.754,0.740803944,0.7814,0.760560639,0.2734,0.84079237
0.09,1030,0.7453,0.717657498,0.8088,0.760507757,0.3182,0.863291758
0.09,1050,0.7453,0.717734777,0.8086,0.76046271,0.318,0.861824407
0.09,1060,0.7453,0.717734777,0.8086,0.76046271,0.318,0.861824407
0.09,1070,0.7453,0.717734777,0.8086,0.76046271,0.318,0.861824407
0.09,1080,0.7453,0.717734777,0.8086,0.76046271,0.318,0.861824407
0.09,1010,0.7452,0.717530163,0.8088,0.760436254,0.3184,0.863291758
0.09,1020,0.7452,0.717530163,0.8088,0.760436254,0.3184,0.863291758
0.12,1110,0.754,0.741536706,0.7798,0.760187171,0.2718,0.840547811
0.12,1120,0.754,0.741536706,0.7798,0.760187171,0.2718,0.840547811
0.12,1130,0.754,0.741536706,0.7798,0.760187171,0.2718,0.840547811
0.12,1140,0.754,0.741536706,0.7798,0.760187171,0.2718,0.840547811
0.12,1150,0.754,0.741536706,0.7798,0.760187171,0.2718,0.840547811
0.09,1110,0.7454,0.718560741,0.8068,0.760128133,0.316,0.85962338
