self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.13,971,0.7554,0.752471333,0.7612,0.756810499,0.2504,0.606000719
0.13,981,0.7554,0.752471333,0.7612,0.756810499,0.2504,0.606000719
0.13,781,0.7548,0.750787402,0.7628,0.756746032,0.2532,0.606809199
0.13,791,0.7548,0.750787402,0.7628,0.756746032,0.2532,0.606809199
0.13,801,0.7548,0.750787402,0.7628,0.756746032,0.2532,0.606809199
0.13,811,0.7548,0.750787402,0.7628,0.756746032,0.2532,0.606809199
0.13,951,0.7553,0.752322593,0.7612,0.756735262,0.2506,0.606000719
0.13,961,0.7553,0.752322593,0.7612,0.756735262,0.2506,0.606000719
0.13,991,0.7553,0.752422385,0.761,0.756686885,0.2504,0.605821056
0.13,1001,0.7553,0.752422385,0.761,0.756686885,0.2504,0.605821056
0.13,1000,0.7553,0.752422385,0.761,0.756686885,0.2504,0.605821056
0.13,921,0.7551,0.752025291,0.7612,0.756584833,0.251,0.606000719
0.13,931,0.7551,0.752025291,0.7612,0.756584833,0.251,0.606000719
0.13,941,0.7551,0.752025291,0.7612,0.756584833,0.251,0.606000719
0.13,821,0.7546,0.750689248,0.7624,0.756499305,0.2532,0.606809199
0.13,891,0.7549,0.751628825,0.7614,0.756482861,0.2516,0.606180381
0.13,901,0.7549,0.751628825,0.7614,0.756482861,0.2516,0.606180381
0.13,911,0.7549,0.751628825,0.7614,0.756482861,0.2516,0.606180381
0.13,841,0.7548,0.751381215,0.7616,0.756456099,0.252,0.606180381
0.13,851,0.7548,0.751381215,0.7616,0.756456099,0.252,0.606180381
0.13,861,0.7548,0.751381215,0.7616,0.756456099,0.252,0.606180381
0.13,871,0.7548,0.751381215,0.7616,0.756456099,0.252,0.606180381
0.13,881,0.7548,0.751381215,0.7616,0.756456099,0.252,0.606180381
0.13,831,0.7544,0.750788644,0.7616,0.756155679,0.2528,0.606180381
0.13,771,0.7538,0.749312377,0.7628,0.755996036,0.2552,0.606809199
0.13,361,0.7493,0.737022248,0.7752,0.755629204,0.2766,0.635195832
0.13,681,0.7531,0.748185919,0.763,0.755520349,0.2568,0.60689903
0.13,691,0.7531,0.748185919,0.763,0.755520349,0.2568,0.60689903
0.13,701,0.7531,0.748185919,0.763,0.755520349,0.2568,0.60689903
0.13,711,0.7531,0.748185919,0.763,0.755520349,0.2568,0.60689903
0.13,721,0.7531,0.748185919,0.763,0.755520349,0.2568,0.60689903
0.13,731,0.7531,0.748185919,0.763,0.755520349,0.2568,0.60689903
0.13,741,0.7531,0.748185919,0.763,0.755520349,0.2568,0.606809199
0.13,751,0.7531,0.748185919,0.763,0.755520349,0.2568,0.606809199
0.13,761,0.7531,0.748185919,0.763,0.755520349,0.2568,0.606809199
0.13,661,0.753,0.748039216,0.763,0.755445545,0.257,0.60689903
0.13,671,0.753,0.748039216,0.763,0.755445545,0.257,0.60689903
0.13,581,0.7519,0.745086593,0.7658,0.755301312,0.262,0.614534675
0.13,1010,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1020,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1030,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1040,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1050,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1060,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1070,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1080,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1090,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1100,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.597376931
0.13,1110,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.596927776
0.13,1120,0.7542,0.751982554,0.7586,0.755276782,0.2502,0.596927776
0.13,371,0.749,0.736872146,0.7746,0.755265211,0.2766,0.633578872
0.13,1130,0.7542,0.752082507,0.7584,0.755228042,0.25,0.596568451
0.13,571,0.7518,0.744941634,0.7658,0.755226824,0.2622,0.614624506
0.13,561,0.7517,0.744701536,0.766,0.755200631,0.2626,0.614624506
0.13,381,0.7489,0.736822074,0.7744,0.755143832,0.2766,0.633578872
0.13,391,0.7489,0.736822074,0.7744,0.755143832,0.2766,0.633578872
0.13,541,0.7516,0.744556765,0.766,0.755126183,0.2628,0.614624506
0.13,551,0.7516,0.744556765,0.766,0.755126183,0.2628,0.614624506
0.13,1140,0.7541,0.752033327,0.7582,0.755104073,0.25,0.596388789
0.13,1150,0.7541,0.752033327,0.7582,0.755104073,0.25,0.596388789
0.13,451,0.7502,0.740576923,0.7702,0.755098039,0.2698,0.621002515
0.13,401,0.7489,0.736912241,0.7742,0.755096069,0.2764,0.633399209
0.13,521,0.7515,0.744412051,0.766,0.75505175,0.263,0.614714337
0.13,531,0.7515,0.744412051,0.766,0.75505175,0.263,0.614714337
0.13,411,0.7489,0.73709278,0.7738,0.755000488,0.276,0.631961912
0.13,421,0.7489,0.73709278,0.7738,0.755000488,0.276,0.631961912
0.13,431,0.7489,0.73709278,0.7738,0.755000488,0.276,0.631961912
0.13,441,0.7489,0.73709278,0.7738,0.755000488,0.276,0.631961912
0.13,621,0.7515,0.745174498,0.7644,0.754664824,0.2614,0.612019404
0.13,631,0.7515,0.745174498,0.7644,0.754664824,0.2614,0.612019404
0.13,491,0.7509,0.743544943,0.766,0.754605458,0.2642,0.614714337
0.13,501,0.7509,0.743544943,0.766,0.754605458,0.2642,0.614714337
0.13,511,0.7509,0.743544943,0.766,0.754605458,0.2642,0.614714337
0.13,611,0.7514,0.74502924,0.7644,0.754590326,0.2616,0.612019404
0.13,591,0.7513,0.744788623,0.7646,0.754564295,0.262,0.612378728
0.13,651,0.7518,0.746283255,0.763,0.754549051,0.2594,0.60689903
0.13,481,0.7508,0.743400621,0.766,0.754531127,0.2644,0.614714337
0.13,601,0.7512,0.744738893,0.7644,0.754441374,0.262,0.612019404
0.13,461,0.7506,0.743112146,0.766,0.754382509,0.2648,0.614714337
0.13,471,0.7506,0.743112146,0.766,0.754382509,0.2648,0.614714337
0.13,641,0.7514,0.745699765,0.763,0.754250692,0.2602,0.60689903
0.14,361,0.7501,0.742016644,0.7668,0.75420478,0.2666,0.614444844
0.14,421,0.7502,0.74244186,0.7662,0.754133858,0.2658,0.612378728
0.14,431,0.7502,0.74244186,0.7662,0.754133858,0.2658,0.612378728
0.14,441,0.7502,0.74244186,0.7662,0.754133858,0.2658,0.612378728
0.14,371,0.75,0.741966705,0.7666,0.754082235,0.2666,0.613726195
0.14,411,0.7501,0.742298004,0.7662,0.75405964,0.266,0.612378728
0.14,401,0.75,0.742060418,0.7664,0.754033845,0.2664,0.613636364
0.14,381,0.7499,0.741916747,0.7664,0.753959666,0.2666,0.613726195
0.14,391,0.7499,0.741916747,0.7664,0.753959666,0.2666,0.613726195
