self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.12,921,0.7445,0.721990194,0.7952,0.756828781,0.3062,0.447047179
0.12,931,0.7445,0.721990194,0.7952,0.756828781,0.3062,0.447047179
0.12,941,0.7445,0.721990194,0.7952,0.756828781,0.3062,0.447047179
0.12,951,0.7445,0.721990194,0.7952,0.756828781,0.3062,0.447047179
0.12,961,0.7445,0.721990194,0.7952,0.756828781,0.3062,0.447047179
0.12,811,0.7443,0.721486854,0.7958,0.756823585,0.3072,0.448366876
0.12,821,0.7443,0.721486854,0.7958,0.756823585,0.3072,0.448366876
0.12,841,0.7444,0.721778584,0.7954,0.756803045,0.3066,0.447542065
0.12,851,0.7444,0.721778584,0.7954,0.756803045,0.3066,0.447542065
0.12,861,0.7444,0.721778584,0.7954,0.756803045,0.3066,0.447542065
0.12,871,0.7444,0.721778584,0.7954,0.756803045,0.3066,0.447542065
0.12,881,0.7444,0.721778584,0.7954,0.756803045,0.3066,0.447542065
0.12,891,0.7444,0.721778584,0.7954,0.756803045,0.3066,0.447542065
0.12,901,0.7444,0.721778584,0.7954,0.756803045,0.3066,0.447542065
0.12,911,0.7444,0.721778584,0.7954,0.756803045,0.3066,0.447542065
0.12,801,0.7442,0.721356055,0.7958,0.756751617,0.3074,0.448366876
0.11,791,0.7416,0.714946619,0.8036,0.756685499,0.3204,0.465028044
0.11,801,0.7416,0.714946619,0.8036,0.756685499,0.3204,0.465028044
0.11,811,0.7416,0.714946619,0.8036,0.756685499,0.3204,0.465028044
0.11,821,0.7416,0.714946619,0.8036,0.756685499,0.3204,0.465028044
0.12,791,0.7441,0.721225304,0.7958,0.756679662,0.3076,0.448366876
0.12,831,0.7442,0.721516691,0.7954,0.756659056,0.307,0.447542065
0.12,521,0.7428,0.718031609,0.7996,0.75662377,0.314,0.452655889
0.11,781,0.7415,0.714819427,0.8036,0.756614255,0.3206,0.465028044
0.12,781,0.744,0.721094599,0.7958,0.75660772,0.3078,0.448366876
0.11,831,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,841,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,851,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,861,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,871,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,881,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,891,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,901,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,911,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,921,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,931,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,941,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,951,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.11,961,0.7415,0.714895889,0.8034,0.756568415,0.3204,0.465028044
0.1,1110,0.7396,0.710841253,0.8078,0.756225426,0.3286,0.474595843
0.1,1120,0.7396,0.710841253,0.8078,0.756225426,0.3286,0.474595843
0.1,1130,0.7396,0.710841253,0.8078,0.756225426,0.3286,0.474595843
0.1,1140,0.7396,0.710841253,0.8078,0.756225426,0.3286,0.474595843
0.1,1150,0.7396,0.710841253,0.8078,0.756225426,0.3286,0.474595843
0.12,451,0.7407,0.713575865,0.8042,0.756182417,0.3228,0.468492247
0.12,491,0.7421,0.717130045,0.7996,0.756122931,0.3154,0.452655889
0.12,501,0.7421,0.717130045,0.7996,0.756122931,0.3154,0.452655889
0.12,511,0.7421,0.717130045,0.7996,0.756122931,0.3154,0.452655889
0.12,571,0.7425,0.718271827,0.798,0.756039792,0.313,0.450841306
0.12,581,0.7425,0.718271827,0.798,0.756039792,0.313,0.450841306
0.12,541,0.7424,0.718064052,0.7982,0.756014397,0.3134,0.451501155
0.12,551,0.7424,0.718064052,0.7982,0.756014397,0.3134,0.451501155
0.12,561,0.7424,0.718064052,0.7982,0.756014397,0.3134,0.451501155
0.11,681,0.7405,0.713398403,0.804,0.755994358,0.323,0.465357968
0.11,661,0.7403,0.71299415,0.8044,0.75594399,0.3238,0.465687892
0.11,671,0.7403,0.71299415,0.8044,0.75594399,0.3238,0.465687892
0.12,531,0.7422,0.717727436,0.7984,0.75591744,0.314,0.452655889
0.12,681,0.7429,0.719501175,0.7962,0.755909997,0.3104,0.4486968
0.11,771,0.7405,0.713549991,0.8036,0.755902549,0.3226,0.465357968
0.12,771,0.743,0.719790159,0.7958,0.755889058,0.3098,0.448366876
0.11,691,0.7404,0.713347533,0.8038,0.755877374,0.323,0.465357968
0.11,701,0.7404,0.713347533,0.8038,0.755877374,0.323,0.465357968
0.11,711,0.7404,0.713347533,0.8038,0.755877374,0.323,0.465357968
0.11,721,0.7404,0.713347533,0.8038,0.755877374,0.323,0.465357968
0.11,731,0.7404,0.713347533,0.8038,0.755877374,0.323,0.465357968
