self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.18,361,0.7677,0.766792904,0.7694,0.76809424,0.234,0.969529967
0.18,371,0.7676,0.766746411,0.7692,0.767971246,0.234,0.969529967
0.18,381,0.767,0.766467066,0.768,0.767232767,0.234,0.965502623
0.18,391,0.767,0.766467066,0.768,0.767232767,0.234,0.965502623
0.18,401,0.7667,0.766327142,0.7674,0.766863196,0.234,0.965502623
0.18,411,0.7667,0.766327142,0.7674,0.766863196,0.234,0.965502623
0.18,421,0.7667,0.766327142,0.7674,0.766863196,0.234,0.965502623
0.18,431,0.7666,0.767670683,0.7646,0.766132265,0.2314,0.95877272
0.18,441,0.7666,0.767670683,0.7646,0.766132265,0.2314,0.95877272
0.11,1110,0.7455,0.722817208,0.7964,0.757826625,0.3054,0.985639341
0.11,1120,0.7455,0.722817208,0.7964,0.757826625,0.3054,0.985639341
0.11,1130,0.7455,0.722817208,0.7964,0.757826625,0.3054,0.985639341
0.11,1140,0.7455,0.722817208,0.7964,0.757826625,0.3054,0.985639341
0.11,1150,0.7455,0.722817208,0.7964,0.757826625,0.3054,0.985639341
0.11,1010,0.7452,0.722101449,0.7972,0.757794677,0.3068,0.985692332
0.11,1020,0.7452,0.722101449,0.7972,0.757794677,0.3068,0.985692332
0.11,1030,0.7452,0.722101449,0.7972,0.757794677,0.3068,0.985692332
0.11,791,0.7443,0.719891989,0.7998,0.757745144,0.3112,0.987282073
0.11,801,0.7443,0.719891989,0.7998,0.757745144,0.3112,0.987282073
0.11,811,0.7443,0.719891989,0.7998,0.757745144,0.3112,0.987282073
0.11,821,0.7443,0.719891989,0.7998,0.757745144,0.3112,0.987282073
0.11,991,0.7447,0.720968033,0.7984,0.757710923,0.309,0.985692332
0.11,1001,0.7447,0.720968033,0.7984,0.757710923,0.309,0.985692332
0.11,1000,0.7447,0.720968033,0.7984,0.757710923,0.309,0.985692332
0.11,891,0.7444,0.720259553,0.7992,0.757679181,0.3104,0.986646177
0.11,901,0.7444,0.720259553,0.7992,0.757679181,0.3104,0.986646177
0.11,911,0.7444,0.720259553,0.7992,0.757679181,0.3104,0.986646177
0.11,921,0.7444,0.720259553,0.7992,0.757679181,0.3104,0.986646177
0.11,931,0.7444,0.720259553,0.7992,0.757679181,0.3104,0.986646177
0.11,941,0.7444,0.720259553,0.7992,0.757679181,0.3104,0.986646177
0.11,951,0.7444,0.720259553,0.7992,0.757679181,0.3104,0.986222246
0.11,961,0.7444,0.720259553,0.7992,0.757679181,0.3104,0.986222246
0.11,1040,0.7451,0.722051096,0.797,0.757676585,0.3068,0.985639341
0.11,971,0.7444,0.720338983,0.799,0.757633226,0.3102,0.985745324
0.11,981,0.7444,0.720338983,0.799,0.757633226,0.3102,0.985745324
0.11,521,0.7426,0.715836299,0.8046,0.757627119,0.3194,0.988235918
0.11,781,0.7441,0.719632895,0.7998,0.757601591,0.3116,0.987282073
0.11,841,0.7442,0.719920749,0.7994,0.757581501,0.311,0.986858142
0.11,851,0.7442,0.719920749,0.7994,0.757581501,0.311,0.986858142
0.11,861,0.7442,0.719920749,0.7994,0.757581501,0.311,0.986858142
0.11,871,0.7442,0.719920749,0.7994,0.757581501,0.311,0.986858142
0.11,881,0.7442,0.719920749,0.7994,0.757581501,0.311,0.986858142
0.1,1110,0.7434,0.717944126,0.8018,0.757558579,0.315,0.987758995
0.1,1120,0.7434,0.717944126,0.8018,0.757558579,0.315,0.987758995
0.1,1130,0.7434,0.717944126,0.8018,0.757558579,0.315,0.987758995
0.1,1140,0.7434,0.717944126,0.8018,0.757558579,0.315,0.987758995
0.1,1150,0.7434,0.717944126,0.8018,0.757558579,0.315,0.987758995
0.11,771,0.744,0.719503418,0.7998,0.757529835,0.3118,0.987335064
0.11,691,0.7438,0.719008264,0.8004,0.757524134,0.3128,0.987388056
0.11,701,0.7438,0.719008264,0.8004,0.757524134,0.3128,0.987388056
0.11,711,0.7438,0.719008264,0.8004,0.757524134,0.3128,0.987388056
0.11,721,0.7438,0.719008264,0.8004,0.757524134,0.3128,0.987388056
0.11,831,0.7441,0.719791104,0.7994,0.757509713,0.3112,0.986858142
0.11,741,0.7438,0.719086988,0.8002,0.757478228,0.3126,0.987388056
0.11,751,0.7438,0.719086988,0.8002,0.757478228,0.3126,0.987388056
0.11,761,0.7438,0.719086988,0.8002,0.757478228,0.3126,0.987335064
0.11,1050,0.745,0.72216177,0.7964,0.757466235,0.3064,0.985639341
0.11,1060,0.745,0.72216177,0.7964,0.757466235,0.3064,0.985639341
0.11,1070,0.745,0.72216177,0.7964,0.757466235,0.3064,0.985639341
0.11,1080,0.745,0.72216177,0.7964,0.757466235,0.3064,0.985639341
0.11,1090,0.745,0.72216177,0.7964,0.757466235,0.3064,0.985639341
0.11,1100,0.745,0.72216177,0.7964,0.757466235,0.3064,0.985639341
0.11,681,0.7437,0.718879109,0.8004,0.757452446,0.313,0.987388056
0.11,731,0.7437,0.718957772,0.8002,0.757406531,0.3128,0.987388056
0.11,1160,0.7454,0.723578717,0.7942,0.757246377,0.3034,0.985533358
0.11,661,0.7433,0.718284586,0.8006,0.757211766,0.314,0.987758995
0.11,671,0.7433,0.718284586,0.8006,0.757211766,0.314,0.987758995
0.1,991,0.7424,0.716042781,0.8034,0.757210179,0.3186,0.987811987
0.1,1001,0.7424,0.716042781,0.8034,0.757210179,0.3186,0.987811987
0.1,1000,0.7424,0.716042781,0.8034,0.757210179,0.3186,0.987811987
0.11,501,0.742,0.715072876,0.8046,0.757199322,0.3206,0.988235918
0.11,511,0.742,0.715072876,0.8046,0.757199322,0.3206,0.988235918
0.1,1090,0.7428,0.717173524,0.8018,0.757129367,0.3162,0.987758995
0.1,1100,0.7428,0.717173524,0.8018,0.757129367,0.3162,0.987758995
0.11,491,0.7419,0.714945797,0.8046,0.75712807,0.3208,0.988235918
0.1,1010,0.7427,0.716967638,0.802,0.757103748,0.3166,0.987811987
0.1,1020,0.7427,0.716967638,0.802,0.757103748,0.3166,0.987811987
0.1,1030,0.7427,0.716967638,0.802,0.757103748,0.3166,0.987811987
0.1,1040,0.7427,0.716967638,0.802,0.757103748,0.3166,0.987811987
0.1,661,0.7413,0.713577624,0.8062,0.757066391,0.3236,0.988447883
0.1,671,0.7413,0.713577624,0.8062,0.757066391,0.3236,0.988447883
0.1,891,0.742,0.715302491,0.804,0.757062147,0.32,0.987970961
0.1,901,0.742,0.715302491,0.804,0.757062147,0.32,0.987970961
0.1,911,0.742,0.715302491,0.804,0.757062147,0.32,0.987970961
0.1,921,0.742,0.715302491,0.804,0.757062147,0.32,0.987970961
0.1,931,0.742,0.715302491,0.804,0.757062147,0.32,0.987970961
0.1,941,0.742,0.715302491,0.804,0.757062147,0.32,0.987970961
0.1,951,0.742,0.715302491,0.804,0.757062147,0.32,0.987864978
0.1,961,0.742,0.715302491,0.804,0.757062147,0.32,0.987864978
0.1,971,0.742,0.715302491,0.804,0.757062147,0.32,0.987864978
0.1,981,0.742,0.715302491,0.804,0.757062147,0.32,0.987864978
0.1,1050,0.7427,0.717045251,0.8018,0.757057879,0.3164,0.987811987
0.1,1060,0.7427,0.717045251,0.8018,0.757057879,0.3164,0.987758995
0.1,1070,0.7427,0.717045251,0.8018,0.757057879,0.3164,0.987758995
0.1,1080,0.7427,0.717045251,0.8018,0.757057879,0.3164,0.987758995
0.1,811,0.7418,0.714818763,0.8046,0.757056831,0.321,0.988235918
0.11,481,0.7418,0.714818763,0.8046,0.757056831,0.321,0.988235918
0.1,791,0.7417,0.714691775,0.8046,0.756985605,0.3212,0.988235918
0.1,801,0.7417,0.714691775,0.8046,0.756985605,0.3212,0.988235918
0.11,461,0.7417,0.714691775,0.8046,0.756985605,0.3212,0.988235918
0.11,471,0.7417,0.714691775,0.8046,0.756985605,0.3212,0.988235918
0.1,821,0.7417,0.714768082,0.8044,0.75693987,0.321,0.988182926
0.1,831,0.7417,0.714768082,0.8044,0.75693987,0.321,0.987970961
0.1,841,0.7417,0.714768082,0.8044,0.75693987,0.321,0.987970961
0.1,851,0.7417,0.714768082,0.8044,0.75693987,0.321,0.987970961
0.1,861,0.7417,0.714768082,0.8044,0.75693987,0.321,0.987970961
0.1,871,0.7417,0.714768082,0.8044,0.75693987,0.321,0.987970961
0.1,881,0.7417,0.714768082,0.8044,0.75693987,0.321,0.987970961
0.1,691,0.7414,0.714083008,0.8052,0.756909193,0.3224,0.9883419
0.1,701,0.7414,0.714083008,0.8052,0.756909193,0.3224,0.9883419
0.1,711,0.7414,0.714083008,0.8052,0.756909193,0.3224,0.9883419
0.1,721,0.7414,0.714083008,0.8052,0.756909193,0.3224,0.9883419
0.11,651,0.7428,0.717640731,0.8006,0.756853848,0.315,0.987917969
0.1,781,0.7415,0.714437933,0.8046,0.756843194,0.3216,0.988235918
0.1,1160,0.7431,0.718418688,0.7996,0.756838618,0.3134,0.987706004
0.1,731,0.7413,0.714032287,0.805,0.756792329,0.3224,0.9883419
0.1,741,0.7413,0.714032287,0.805,0.756792329,0.3224,0.9883419
0.1,751,0.7413,0.714032287,0.805,0.756792329,0.3224,0.9883419
0.1,771,0.7414,0.71431108,0.8046,0.756772009,0.3218,0.988235918
0.1,681,0.7412,0.713829787,0.8052,0.756766917,0.3228,0.9883419
0.1,761,0.7413,0.714108252,0.8048,0.756746591,0.3222,0.988235918
0.11,451,0.7407,0.712670083,0.8066,0.756731401,0.3252,0.988500874
0.1,651,0.7408,0.712946586,0.8062,0.756711094,0.3246,0.988606857
0.1,501,0.7393,0.70936133,0.8108,0.75669622,0.3322,0.988818823
0.1,511,0.7393,0.70936133,0.8108,0.75669622,0.3322,0.988818823
0.1,521,0.7393,0.70936133,0.8108,0.75669622,0.3322,0.988818823
0.12,521,0.7435,0.719725681,0.7976,0.756664453,0.3106,0.985639341
0.11,531,0.7417,0.715380503,0.8028,0.756573367,0.3194,0.988129935
0.11,641,0.7424,0.717126478,0.8006,0.756567757,0.3158,0.987917969
0.11,551,0.742,0.716148625,0.8018,0.756557841,0.3178,0.988076943
0.11,561,0.742,0.716148625,0.8018,0.756557841,0.3178,0.988076943
0.11,571,0.742,0.716225876,0.8016,0.756511891,0.3176,0.988076943
0.11,581,0.742,0.716225876,0.8016,0.756511891,0.3176,0.988076943
0.17,431,0.7494,0.7356387,0.7786,0.756509911,0.2798,0.973504319
0.17,441,0.7494,0.7356387,0.7786,0.756509911,0.2798,0.973504319
0.1,491,0.739,0.708989157,0.8108,0.756484419,0.3328,0.988818823
0.11,591,0.742,0.716303182,0.8014,0.756465924,0.3174,0.988076943
0.11,541,0.7416,0.715329768,0.8026,0.756456173,0.3194,0.988129935
0.1,641,0.7404,0.712442559,0.8062,0.756427097,0.3254,0.988606857
0.1,621,0.7402,0.711966114,0.8068,0.756422276,0.3264,0.988659848
0.1,631,0.7402,0.711966114,0.8068,0.756422276,0.3264,0.988659848
0.11,601,0.742,0.716380544,0.8012,0.75641994,0.3172,0.988023952
0.12,921,0.7447,0.723307173,0.7926,0.756369883,0.3032,0.983201738
0.12,931,0.7447,0.723307173,0.7926,0.756369883,0.3032,0.983201738
0.12,941,0.7447,0.723307173,0.7926,0.756369883,0.3032,0.983201738
0.1,481,0.7388,0.708741259,0.8108,0.756343284,0.3332,0.988818823
0.11,611,0.7419,0.716329816,0.801,0.756302521,0.3172,0.988023952
0.11,621,0.742,0.716612961,0.8006,0.756281882,0.3166,0.988023952
0.11,631,0.742,0.716612961,0.8006,0.756281882,0.3166,0.988023952
0.1,461,0.7387,0.708617375,0.8108,0.756272736,0.3334,0.988818823
0.1,471,0.7387,0.708617375,0.8108,0.756272736,0.3334,0.988818823
0.1,571,0.7396,0.710915493,0.8076,0.756179775,0.3284,0.98871284
0.1,451,0.7381,0.707368054,0.8122,0.756167955,0.336,0.989030788
0.17,421,0.7484,0.733546446,0.7802,0.756154293,0.2834,0.978114567
0.12,891,0.7444,0.722911346,0.7926,0.756153406,0.3038,0.983201738
0.12,901,0.7444,0.722911346,0.7926,0.756153406,0.3038,0.983201738
0.12,911,0.7444,0.722911346,0.7926,0.756153406,0.3038,0.983201738
0.12,951,0.7445,0.723206135,0.7922,0.756132481,0.3032,0.982459859
0.12,961,0.7445,0.723206135,0.7922,0.756132481,0.3032,0.982459859
0.1,611,0.7397,0.711263882,0.807,0.756113558,0.3276,0.988659848
0.1,551,0.7395,0.710790354,0.8076,0.756108979,0.3286,0.98871284
0.1,561,0.7395,0.710790354,0.8076,0.756108979,0.3286,0.98871284
0.12,451,0.7418,0.716433942,0.8004,0.756092953,0.3168,0.985851306
0.1,581,0.7395,0.710864589,0.8074,0.756063302,0.3284,0.98871284
0.1,591,0.7395,0.710864589,0.8074,0.756063302,0.3284,0.98871284
0.1,601,0.7396,0.711138527,0.807,0.756042721,0.3278,0.988659848
0.17,401,0.7482,0.733270677,0.7802,0.756007752,0.2838,0.978114567
0.17,411,0.7482,0.733270677,0.7802,0.756007752,0.2838,0.978114567
0.12,821,0.744,0.722141296,0.7932,0.756004575,0.3052,0.98367866
0.17,361,0.7481,0.733045275,0.7804,0.755981788,0.2842,0.979068412
0.17,371,0.7481,0.733045275,0.7804,0.755981788,0.2842,0.979068412
0.12,811,0.7439,0.721929026,0.7934,0.755979038,0.3056,0.983837634
0.12,971,0.7444,0.723237121,0.7918,0.755967157,0.303,0.98171798
0.12,981,0.7444,0.723237121,0.7918,0.755967157,0.303,0.98171798
0.12,841,0.744,0.722303207,0.7928,0.755911518,0.3048,0.983360712
0.12,851,0.744,0.722303207,0.7928,0.755911518,0.3048,0.983360712
0.12,861,0.744,0.722303207,0.7928,0.755911518,0.3048,0.983360712
0.12,871,0.744,0.722303207,0.7928,0.755911518,0.3048,0.983360712
0.12,881,0.744,0.722303207,0.7928,0.755911518,0.3048,0.983307721
0.12,681,0.7436,0.721293605,0.794,0.755902513,0.3068,0.984473531
0.12,501,0.7424,0.718299712,0.7976,0.755875663,0.3128,0.985639341
0.12,511,0.7424,0.718299712,0.7976,0.755875663,0.3128,0.985639341
0.17,381,0.748,0.732995115,0.7802,0.755861267,0.2842,0.978114567
0.17,391,0.748,0.732995115,0.7802,0.755861267,0.2842,0.978114567
0.12,791,0.7437,0.721666363,0.7934,0.755835,0.306,0.983837634
0.12,801,0.7437,0.721666363,0.7934,0.755835,0.306,0.983837634
0.12,661,0.7434,0.720951344,0.7942,0.755805101,0.3074,0.985003444
0.12,671,0.7434,0.720951344,0.7942,0.755805101,0.3074,0.985003444
0.12,491,0.7423,0.718170358,0.7976,0.755804037,0.313,0.985639341
0.12,691,0.7435,0.721242958,0.7938,0.755784062,0.3068,0.984473531
0.12,701,0.7435,0.721242958,0.7938,0.755784062,0.3068,0.984473531
0.12,711,0.7435,0.721242958,0.7938,0.755784062,0.3068,0.984473531
0.12,721,0.7435,0.721242958,0.7938,0.755784062,0.3068,0.984473531
0.12,731,0.7435,0.721242958,0.7938,0.755784062,0.3068,0.984473531
0.12,741,0.7435,0.721242958,0.7938,0.755784062,0.3068,0.984473531
0.12,751,0.7435,0.721242958,0.7938,0.755784062,0.3068,0.984473531
0.12,761,0.7435,0.721242958,0.7938,0.755784062,0.3068,0.9840496
0.12,831,0.7438,0.722040073,0.7928,0.755767398,0.3052,0.983360712
0.12,771,0.7436,0.721535104,0.7934,0.755763002,0.3062,0.9840496
0.12,781,0.7436,0.721535104,0.7934,0.755763002,0.3062,0.983837634
0.12,991,0.7443,0.72334979,0.7912,0.755755086,0.3026,0.981664989
0.12,1001,0.7443,0.72334979,0.7912,0.755755086,0.3026,0.981664989
0.12,1000,0.7443,0.72334979,0.7912,0.755755086,0.3026,0.981664989
0.12,461,0.7422,0.718041051,0.7976,0.755732424,0.3132,0.985639341
0.12,471,0.7422,0.718041051,0.7976,0.755732424,0.3132,0.985639341
0.12,481,0.7422,0.718041051,0.7976,0.755732424,0.3132,0.985639341
0.12,531,0.7426,0.719269704,0.7958,0.755601975,0.3106,0.985533358
0.12,571,0.7427,0.719558531,0.7954,0.755580887,0.31,0.985480367
0.12,581,0.7427,0.719558531,0.7954,0.755580887,0.31,0.985480367
0.12,541,0.7425,0.719218948,0.7956,0.75548381,0.3106,0.985533358
0.12,551,0.7425,0.719218948,0.7956,0.75548381,0.3106,0.985480367
0.12,561,0.7425,0.719218948,0.7956,0.75548381,0.3106,0.985480367
0.1,531,0.7382,0.708800842,0.8086,0.755418535,0.3322,0.988818823
0.1,541,0.7382,0.708800842,0.8086,0.755418535,0.3322,0.988818823
0.12,651,0.7428,0.720166848,0.7942,0.755373787,0.3086,0.985268401
0.12,591,0.7425,0.719457014,0.795,0.755344418,0.31,0.985480367
0.12,1010,0.7444,0.72438487,0.789,0.755313038,0.3002,0.981611997
0.12,1020,0.7444,0.72438487,0.789,0.755313038,0.3002,0.981611997
0.12,1030,0.7444,0.72438487,0.789,0.755313038,0.3002,0.981611997
0.18,121,0.737,0.706158664,0.8118,0.755303312,0.3378,0.987070108
0.12,621,0.7425,0.719616012,0.7946,0.755251402,0.3096,0.985374384
0.12,631,0.7425,0.719616012,0.7946,0.755251402,0.3096,0.985374384
0.18,131,0.7371,0.706497126,0.8112,0.755236943,0.337,0.987070108
0.16,431,0.7459,0.728489128,0.784,0.755225893,0.2922,0.980393196
0.16,441,0.7459,0.728489128,0.784,0.755225893,0.2922,0.980393196
0.12,1040,0.7443,0.724334252,0.7888,0.755193873,0.3002,0.981400032
0.12,601,0.7424,0.719485694,0.7946,0.755179624,0.3098,0.985480367
0.12,611,0.7424,0.719485694,0.7946,0.755179624,0.3098,0.985427375
0.12,1110,0.7445,0.725013805,0.7878,0.755103997,0.2988,0.98134704
0.12,1120,0.7445,0.725013805,0.7878,0.755103997,0.2988,0.98134704
