self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.14,421,0.7593,0.745131405,0.7882,0.766060842,0.2696,0.597254005
0.14,431,0.7593,0.745131405,0.7882,0.766060842,0.2696,0.597254005
0.14,441,0.7593,0.745131405,0.7882,0.766060842,0.2696,0.597254005
0.14,411,0.7592,0.744990548,0.7882,0.765986395,0.2698,0.597254005
0.14,451,0.7591,0.74512772,0.7876,0.765775401,0.2694,0.597254005
0.14,371,0.7586,0.743686393,0.7892,0.765767514,0.272,0.597540046
0.14,361,0.7583,0.743266152,0.7892,0.76554467,0.2726,0.597540046
0.14,401,0.7585,0.743913946,0.7884,0.765511215,0.2714,0.597540046
0.14,381,0.7584,0.743773585,0.7884,0.765436893,0.2716,0.597540046
0.14,391,0.7584,0.743773585,0.7884,0.765436893,0.2716,0.597540046
0.14,521,0.7599,0.749185043,0.7814,0.7649535,0.2616,0.593249428
0.14,571,0.7598,0.749519785,0.7804,0.764648246,0.2608,0.593249428
0.14,541,0.7596,0.749136276,0.7806,0.764544564,0.2614,0.593249428
0.14,581,0.7597,0.749471662,0.7802,0.764527193,0.2608,0.593249428
0.14,561,0.7596,0.749231951,0.7804,0.764498433,0.2612,0.593249428
0.14,531,0.7595,0.748992516,0.7806,0.76446969,0.2616,0.593249428
0.14,551,0.7595,0.749088117,0.7804,0.764423548,0.2614,0.593249428
0.14,811,0.7612,0.754382548,0.7746,0.764357608,0.2522,0.588672769
0.14,821,0.7612,0.754382548,0.7746,0.764357608,0.2522,0.588672769
0.14,951,0.7616,0.755668491,0.7732,0.764333729,0.25,0.588386728
0.14,961,0.7616,0.755668491,0.7732,0.764333729,0.25,0.587814645
0.14,971,0.7616,0.755768479,0.773,0.764287127,0.2498,0.587528604
0.14,981,0.7616,0.755768479,0.773,0.764287127,0.2498,0.587528604
0.14,991,0.7616,0.755768479,0.773,0.764287127,0.2498,0.587528604
0.14,1001,0.7616,0.755768479,0.773,0.764287127,0.2498,0.587528604
0.14,1000,0.7616,0.755768479,0.773,0.764287127,0.2498,0.587528604
0.14,931,0.7615,0.755520813,0.7732,0.764258179,0.2502,0.588386728
0.14,941,0.7615,0.755520813,0.7732,0.764258179,0.2502,0.588386728
0.14,921,0.7614,0.755373193,0.7732,0.764182645,0.2504,0.588386728
