self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.29,31,0.7475,0.721417069,0.8064,0.761545,0.3114,0.637566138
0.28,31,0.7304,0.696385953,0.817,0.751886619,0.3562,0.648148148
0.17,431,0.7444,0.73205469,0.771,0.751022794,0.2822,0.489417989
0.17,441,0.7444,0.73205469,0.771,0.751022794,0.2822,0.489417989
0.14,431,0.7364,0.713126578,0.791,0.750047411,0.3182,0.489417989
0.14,441,0.7364,0.713126578,0.791,0.750047411,0.3182,0.489417989
0.13,211,0.727,0.691917484,0.8184,0.749862562,0.3644,0.489417989
0.13,201,0.7266,0.6913205,0.8188,0.749679546,0.3656,0.489417989
0.26,71,0.7396,0.721769715,0.7798,0.749663526,0.3006,0.489417989
0.13,231,0.7278,0.694037479,0.8148,0.749586017,0.3592,0.489417989
0.13,241,0.7278,0.694037479,0.8148,0.749586017,0.3592,0.489417989
0.13,431,0.7342,0.708734403,0.7952,0.749481621,0.3268,0.489417989
0.13,441,0.7342,0.708734403,0.7952,0.749481621,0.3268,0.489417989
0.13,221,0.7268,0.692073171,0.8172,0.749449743,0.3636,0.489417989
0.26,81,0.7393,0.721615114,0.7792,0.749302818,0.3006,0.489417989
0.27,31,0.7222,0.68285056,0.8298,0.749187432,0.3854,0.653439153
0.13,411,0.7332,0.706957756,0.7966,0.749106639,0.3302,0.489417989
0.13,421,0.7332,0.706957756,0.7966,0.749106639,0.3302,0.489417989
0.13,381,0.733,0.706633558,0.7968,0.749012972,0.3308,0.489417989
0.13,391,0.733,0.706633558,0.7968,0.749012972,0.3308,0.489417989
0.13,401,0.733,0.706633558,0.7968,0.749012972,0.3308,0.489417989
0.13,361,0.7329,0.706508246,0.7968,0.74894257,0.331,0.489417989
0.13,371,0.7329,0.706508246,0.7968,0.74894257,0.331,0.489417989
0.26,91,0.739,0.721542455,0.7784,0.748893592,0.3004,0.489417989
0.13,331,0.7321,0.704782072,0.7988,0.748851598,0.3346,0.489417989
0.26,111,0.7392,0.722222222,0.7774,0.748795993,0.299,0.489417989
0.26,101,0.7389,0.721572992,0.778,0.748724858,0.3002,0.489417989
0.28,71,0.7473,0.744706115,0.7526,0.748632249,0.258,0.489417989
0.13,281,0.7312,0.703092059,0.8004,0.748597082,0.338,0.489417989
0.15,441,0.7365,0.715745302,0.7846,0.748592692,0.3116,0.489417989
0.09,1140,0.7284,0.69682868,0.8086,0.748565081,0.3518,0.494708995
0.09,1150,0.7284,0.69682868,0.8086,0.748565081,0.3518,0.494708995
0.25,71,0.7349,0.711888869,0.7892,0.748553543,0.3194,0.489417989
0.12,451,0.7314,0.703625484,0.7996,0.748548961,0.3368,0.489417989
0.13,271,0.7311,0.702968558,0.8004,0.748527074,0.3382,0.489417989
0.15,431,0.7364,0.715614739,0.7846,0.748521275,0.3118,0.489417989
0.13,191,0.7243,0.688076472,0.8206,0.748517741,0.372,0.489417989
0.13,291,0.7312,0.70323488,0.8,0.748502994,0.3376,0.489417989
0.13,301,0.7312,0.70323488,0.8,0.748502994,0.3376,0.489417989
0.13,311,0.7312,0.70323488,0.8,0.748502994,0.3376,0.489417989
0.13,341,0.7318,0.704625706,0.7982,0.748499625,0.3346,0.489417989
0.13,351,0.7318,0.704625706,0.7982,0.748499625,0.3346,0.489417989
0.12,421,0.7305,0.701803537,0.8016,0.748389506,0.3406,0.489417989
0.28,81,0.7471,0.744605029,0.7522,0.748383245,0.258,0.489417989
0.25,111,0.7353,0.713172676,0.7872,0.74836011,0.3166,0.489417989
0.12,411,0.7304,0.701680672,0.8016,0.748319642,0.3408,0.489417989
0.18,431,0.7486,0.749198075,0.7474,0.748297958,0.2502,0.44973545
0.18,441,0.7486,0.749198075,0.7474,0.748297958,0.2502,0.44973545
