self_radius,self_count,accuracy,precision,recall,f1,far,uc
self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.29,71,0.7879,0.818826135,0.7394,0.777088807,0.1636,0.409090909
0.29,61,0.7821,0.796635121,0.7576,0.776627371,0.1934,0.409090909
0.29,81,0.7879,0.821245258,0.736,0.776289421,0.1602,0.386363636
0.29,41,0.778,0.786597938,0.763,0.774619289,0.207,0.431818182
0.29,51,0.7781,0.787115424,0.7624,0.774560601,0.2062,0.409090909
0.29,31,0.7619,0.74173897,0.8036,0.771431314,0.2798,0.590909091
0.29,91,0.7821,0.822252684,0.7198,0.767622907,0.1556,0.363636364
0.29,111,0.7799,0.822688494,0.7136,0.764271179,0.1538,0.204545455
0.29,101,0.7794,0.821445007,0.714,0.763963193,0.1552,0.204545455
0.29,21,0.7349,0.698966627,0.8252,0.756855911,0.3554,0.590909091
0.29,11,0.7037,0.645854217,0.902,0.752733038,0.4946,0.772727273
0.08,951,0.7326,0.701420159,0.81,0.751809913,0.3448,0.863636364
0.08,961,0.7326,0.701420159,0.81,0.751809913,0.3448,0.863636364
0.08,971,0.7326,0.701420159,0.81,0.751809913,0.3448,0.863636364
0.08,981,0.7326,0.701420159,0.81,0.751809913,0.3448,0.863636364
0.08,891,0.7325,0.701298701,0.81,0.751740139,0.345,0.863636364
0.08,901,0.7325,0.701298701,0.81,0.751740139,0.345,0.863636364
0.08,911,0.7325,0.701298701,0.81,0.751740139,0.345,0.863636364
0.08,921,0.7325,0.701298701,0.81,0.751740139,0.345,0.863636364
0.08,931,0.7325,0.701298701,0.81,0.751740139,0.345,0.863636364
0.08,941,0.7325,0.701298701,0.81,0.751740139,0.345,0.863636364
0.07,831,0.7295,0.694656489,0.819,0.751720973,0.36,0.909090909
0.07,1030,0.7306,0.697094017,0.8156,0.751705069,0.3544,0.909090909
0.07,1040,0.7306,0.697094017,0.8156,0.751705069,0.3544,0.909090909
0.07,771,0.7293,0.694289104,0.8194,0.751674158,0.3608,0.909090909
0.07,781,0.7293,0.694289104,0.8194,0.751674158,0.3608,0.909090909
0.28,31,0.7314,0.698933975,0.813,0.751664201,0.3502,0.659090909
0.07,821,0.7294,0.69453867,0.819,0.751651982,0.3602,0.909090909
0.08,1030,0.733,0.702608696,0.808,0.751627907,0.342,0.863636364
0.08,1040,0.733,0.702608696,0.808,0.751627907,0.342,0.863636364
0.07,811,0.7293,0.694420892,0.819,0.751583004,0.3604,0.909090909
0.08,1050,0.733,0.702679193,0.8078,0.75158169,0.3418,0.863636364
0.08,1060,0.733,0.702679193,0.8078,0.75158169,0.3418,0.863636364
0.08,1070,0.733,0.702679193,0.8078,0.75158169,0.3418,0.863636364
0.08,1080,0.733,0.702679193,0.8078,0.75158169,0.3418,0.863636364
0.08,991,0.7326,0.701769604,0.809,0.751579339,0.3438,0.863636364
0.08,1001,0.7326,0.701769604,0.809,0.751579339,0.3438,0.863636364
0.08,1000,0.7326,0.701769604,0.809,0.751579339,0.3438,0.863636364
0.07,1010,0.7304,0.696855776,0.8156,0.751566532,0.3548,0.909090909
0.07,1020,0.7304,0.696855776,0.8156,0.751566532,0.3548,0.909090909
0.07,791,0.7292,0.694237288,0.8192,0.751559633,0.3608,0.909090909
0.07,801,0.7292,0.694237288,0.8192,0.751559633,0.3608,0.909090909
0.08,881,0.7321,0.70067439,0.8104,0.751553371,0.3462,0.863636364
0.08,1090,0.733,0.702749739,0.8076,0.751535455,0.3416,0.863636364
0.08,1100,0.733,0.702749739,0.8076,0.751535455,0.3416,0.863636364
0.08,831,0.732,0.700483927,0.8106,0.751529761,0.3466,0.863636364
0.07,951,0.7298,0.695607763,0.8172,0.751517381,0.3576,0.909090909
0.07,961,0.7298,0.695607763,0.8172,0.751517381,0.3576,0.909090909
0.07,971,0.7298,0.695607763,0.8172,0.751517381,0.3576,0.909090909
0.07,981,0.7298,0.695607763,0.8172,0.751517381,0.3576,0.909090909
0.08,1010,0.7328,0.702364395,0.808,0.751488095,0.3424,0.863636364
0.08,1020,0.7328,0.702364395,0.808,0.751488095,0.3424,0.863636364
0.08,841,0.732,0.70055325,0.8104,0.75148368,0.3464,0.863636364
0.08,851,0.732,0.70055325,0.8104,0.75148368,0.3464,0.863636364
