threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.63,0.924667651,0.9015,0.879561354,0.9304,0.904266693,0.1274,,,,,,,,
0.61,0.927621861,0.901,0.873092668,0.9384,0.904569115,0.1364,,0.71,0.914327917,0.8964,0.900565885,0.8912,0.895858464,0.0984
0.64,0.923190547,0.9009,0.881736812,0.926,0.903326505,0.1242,,,,,,,,
0.65,0.921713442,0.9008,0.883908046,0.9228,0.902935421,0.1212,,,,,,,,
0.66,0.920236337,0.9007,0.886850743,0.9186,0.902446213,0.1172,,,,,,,,
0.62,0.926144756,0.9004,0.875046834,0.9342,0.903656413,0.1334,,,,,,,,
0.6,0.929098966,0.9001,0.86943675,0.9416,0.904080653,0.1414,,,,,,,,
0.59,0.930576071,0.8999,0.866813429,0.945,0.904219692,0.1452,,,,,,,,
0.67,0.920236337,0.8998,0.888608087,0.9142,0.901222397,0.1146,,,,,,,,
0.68,0.920236337,0.8988,0.891594658,0.908,0.899722553,0.1104,,,,,,,,
0.57,0.932053176,0.8982,0.861605521,0.9488,0.903102989,0.1524,,,,,,,,
0.58,0.932053176,0.8982,0.862,0.9482,0.903047619,0.1518,,,,,,,,
0.69,0.918759232,0.8982,0.89740519,0.8992,0.898301698,0.1028,,,,,,,,
0.56,0.937961595,0.897,0.855479943,0.9554,0.902683296,0.1614,,,,,,,,
0.7,0.914327917,0.8967,0.900141214,0.8924,0.896253892,0.099,,,,,,,,
0.71,0.914327917,0.8964,0.900565885,0.8912,0.895858464,0.0984,,,,,,,,
0.55,0.937961595,0.8957,0.851858439,0.958,0.901816813,0.1666,,,,,,,,
0.72,0.912850812,0.8956,0.903015485,0.8864,0.894630602,0.0952,,,,,,,,
0.54,0.943870015,0.8939,0.847170809,0.9612,0.900590275,0.1734,,,,,,,,
0.73,0.911373708,0.8936,0.905271829,0.8792,0.892045455,0.092,,,,,,,,
0.74,0.908419498,0.8929,0.910039658,0.872,0.890613829,0.0862,,,,,,,,
0.53,0.948301329,0.8922,0.842353352,0.965,0.899515287,0.1806,,,,,,,,
0.75,0.905465288,0.8909,0.913825958,0.8632,0.887791834,0.0814,,,,,,,,
0.52,0.955686854,0.8899,0.837809738,0.967,0.897781079,0.1872,,,,,,,,
0.76,0.905465288,0.8885,0.917293233,0.854,0.884515795,0.077,,,,,,,,
0.51,0.958641064,0.8878,0.833505332,0.9692,0.896245608,0.1936,,,,,,,,
0.77,0.905465288,0.8875,0.920555676,0.8482,0.882897887,0.0732,,,,,,,,
0.78,0.905465288,0.8865,0.924631949,0.8416,0.881164276,0.0686,,,,,,,,
0.79,0.905465288,0.8848,0.928317008,0.834,0.87863464,0.0644,,,,,,,,
0.5,0.963072378,0.8842,0.827592087,0.9706,0.893409426,0.2022,,,,,,,,
0.8,0.905465288,0.8823,0.930615003,0.8262,0.875304587,0.0616,,,,,,,,
0.49,0.964549483,0.8798,0.820777027,0.9718,0.88992674,0.2122,,,,,,,,
0.81,0.905465288,0.8782,0.93252516,0.8154,0.870038412,0.059,,,,,,,,
0.48,0.970457903,0.8766,0.815516086,0.9734,0.887490883,0.2202,,,,,,,,
0.47,0.970457903,0.8761,0.814833417,0.9734,0.887086485,0.2212,,,,,,,,
0.82,0.905465288,0.8725,0.939579891,0.7962,0.861968171,0.0512,,,,,,,,
0.83,0.903988183,0.8706,0.944577735,0.7874,0.858856894,0.0462,,,,,,,,
0.84,0.902511078,0.8703,0.947114224,0.7844,0.858111804,0.0438,,,,,,,,
0.46,0.974889217,0.8699,0.804544706,0.9772,0.882506999,0.2374,,,,,,,,
