threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.72,0.972555746,0.8907,0.891247747,0.89,0.890623436,0.1086,,,,,,,,
0.7,0.975986278,0.89,0.885833004,0.8954,0.89059081,0.1154,,0.8,0.945111492,0.886,0.934488969,0.8302,0.879262868,0.0582
0.71,0.975986278,0.8899,0.885963176,0.895,0.890458661,0.1152,,,,,,,,
0.73,0.969125214,0.8906,0.896628757,0.883,0.889762193,0.1018,,,,,,,,
0.69,0.97941681,0.8883,0.879273296,0.9002,0.889613598,0.1236,,,,,,,,
0.65,0.993138937,0.8852,0.857328386,0.9242,0.889509143,0.1538,,,,,,,,
0.68,0.981132075,0.8866,0.869881362,0.9092,0.8891062,0.136,,,,,,,,
0.66,0.991423671,0.8853,0.860565226,0.9196,0.889103742,0.149,,,,,,,,
0.74,0.965694683,0.8906,0.901521382,0.877,0.889091646,0.0958,,,,,,,,
0.64,0.993138937,0.884,0.852422907,0.9288,0.888973966,0.1608,,,,,,,,
0.67,0.982847341,0.8855,0.864297864,0.9146,0.888737732,0.1436,,,,,,,,
0.62,0.993138937,0.8818,0.842728905,0.9388,0.888174078,0.1752,,,,,,,,
0.63,0.993138937,0.8824,0.846627991,0.934,0.888170407,0.1692,,,,,,,,
0.61,0.996569468,0.8801,0.838227443,0.942,0.88708918,0.1818,,,,,,,,
0.75,0.962264151,0.8893,0.906282613,0.8684,0.886936983,0.0898,,,,,,,,
0.6,0.996569468,0.8786,0.83398024,0.9454,0.886201725,0.1882,,,,,,,,
0.76,0.960548885,0.8891,0.911050074,0.8624,0.886057742,0.0842,,,,,,,,
0.77,0.960548885,0.8896,0.919285407,0.8542,0.885548414,0.075,,,,,,,,
0.59,0.996569468,0.877,0.829660721,0.9488,0.885239784,0.1948,,,,,,,,
0.58,0.996569468,0.8754,0.825190575,0.9526,0.884329744,0.2018,,,,,,,,
0.57,0.996569468,0.8747,0.824078879,0.9528,0.883777015,0.2034,,,,,,,,
0.78,0.958833619,0.8877,0.922976216,0.846,0.882813315,0.0706,,,,,,,,
0.56,0.996569468,0.8722,0.817360164,0.9586,0.88236377,0.2142,,,,,,,,
0.79,0.95025729,0.8875,0.929886843,0.8382,0.881666141,0.0632,,,,,,,,
0.55,0.996569468,0.8703,0.81333559,0.9612,0.881107343,0.2206,,,,,,,,
0.54,0.996569468,0.8687,0.809467853,0.9644,0.880167929,0.227,,,,,,,,
0.8,0.945111492,0.886,0.934488969,0.8302,0.879262868,0.0582,,,,,,,,
0.53,0.996569468,0.8664,0.805638972,0.9658,0.87847917,0.233,,,,,,,,
0.52,0.996569468,0.8643,0.801922758,0.9676,0.877005348,0.239,,,,,,,,
0.81,0.919382504,0.8834,0.937271898,0.8218,0.875745951,0.055,,,,,,,,
0.51,0.996569468,0.8624,0.798320711,0.9698,0.875744988,0.245,,,,,,,,
0.5,0.996569468,0.8608,0.794964029,0.9724,0.874775099,0.2508,,,,,,,,
0.49,0.996569468,0.8578,0.790327816,0.974,0.872603476,0.2584,,,,,,,,
0.48,0.996569468,0.8558,0.787213432,0.9752,0.87118099,0.2636,,,,,,,,
0.47,0.996569468,0.8553,0.78657848,0.9752,0.870792035,0.2646,,,,,,,,
0.46,0.996569468,0.8514,0.780133929,0.9786,0.868168914,0.2758,,,,,,,,
0.82,0.888507719,0.8771,0.944798301,0.801,0.866976946,0.0468,,,,,,,,
0.45,0.996569468,0.8479,0.775280899,0.9798,0.865624172,0.284,,,,,,,,
0.83,0.881646655,0.8764,0.950239234,0.7944,0.865359477,0.0416,,,,,,,,
0.44,0.996569468,0.845,0.770885678,0.9818,0.863652357,0.2918,,,,,,,,
0.84,0.843910806,0.8747,0.952208545,0.789,0.862955266,0.0396,,,,,,,,
0.43,0.996569468,0.842,0.766604303,0.9834,0.861573506,0.2994,,,,,,,,
0.42,0.996569468,0.8388,0.762472885,0.9842,0.85926314,0.3066,,,,,,,,
0.41,0.996569468,0.8382,0.761764706,0.9842,0.858813264,0.3078,,,,,,,,
0.4,0.996569468,0.8331,0.755092664,0.986,0.855234626,0.3198,,,,,,,,
0.85,0.816466552,0.8688,0.954635108,0.7744,0.855123675,0.0368,,,,,,,,
0.39,0.996569468,0.8294,0.750456204,0.987,0.852626123,0.3282,,,,,,,,
0.38,0.998284734,0.8265,0.746862241,0.9878,0.850598467,0.3348,,,,,,,,
