threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.63,0.974565909,0.8819,0.847877573,0.9308,0.887405854,0.167,,,,,,,,
0.61,0.978723404,0.8807,0.840214477,0.9402,0.887399717,0.1788,,0.72,0.93837124,0.8819,0.884592145,0.8784,0.881485198,0.1146
0.64,0.970652971,0.8821,0.851130307,0.9262,0.887079782,0.162,,,,,,,,
0.62,0.976766936,0.881,0.843986999,0.9348,0.887075346,0.1728,,,,,,,,
0.65,0.968207386,0.8826,0.855048255,0.9214,0.886984983,0.1562,,,,,,,,
0.59,0.981902666,0.8788,0.832747716,0.948,0.88664422,0.1904,,,,,,,,
0.6,0.980435314,0.8791,0.83578388,0.9436,0.886425552,0.1854,,,,,,,,
0.67,0.961848863,0.8831,0.862852813,0.911,0.886272984,0.1448,,,,,,,,
0.66,0.963805331,0.8825,0.85915493,0.915,0.886198547,0.15,,,,,,,,
0.58,0.984837369,0.8769,0.828024369,0.9514,0.885435086,0.1976,,,,,,,,
0.68,0.955979457,0.8827,0.866079969,0.9054,0.885303608,0.14,,,,,,,,
0.57,0.984837369,0.8766,0.827364395,0.9518,0.885230655,0.1986,,,,,,,,
0.56,0.990217657,0.8746,0.821379547,0.9574,0.884189139,0.2082,,,,,,,,
0.69,0.949376376,0.8826,0.87377882,0.8944,0.883969164,0.1292,,,,,,,,
0.55,0.991929567,0.8729,0.817361702,0.9604,0.883126437,0.2146,,,,,,,,
0.71,0.942773294,0.8827,0.88049314,0.8856,0.883039186,0.1202,,,,,,,,
0.7,0.943262411,0.882,0.878968254,0.886,0.88247012,0.122,,,,,,,,
0.72,0.93837124,0.8819,0.884592145,0.8784,0.881485198,0.1146,,,,,,,,
0.54,0.993641477,0.87,0.812078273,0.9628,0.881039531,0.2228,,,,,,,,
0.73,0.933969186,0.882,0.890114379,0.8716,0.880759903,0.1076,,,,,,,,
0.74,0.929322573,0.8822,0.895652174,0.8652,0.880162767,0.1008,,,,,,,,
0.53,0.993886036,0.8677,0.807801775,0.965,0.879431331,0.2296,,,,,,,,
0.75,0.923697726,0.8818,0.900881982,0.858,0.878918254,0.0944,,,,,,,,
0.52,0.99486427,0.8652,0.80312085,0.9676,0.877721335,0.2372,,,,,,,,
0.76,0.914159941,0.8812,0.906396588,0.8502,0.877399381,0.0878,,,,,,,,
0.51,0.995842504,0.8632,0.799472296,0.9696,0.876355748,0.2432,,,,,,,,
0.77,0.909757887,0.8804,0.911510169,0.8426,0.875701517,0.0818,,,,,,,,
0.5,0.995842504,0.8613,0.796001966,0.9716,0.875078808,0.249,,,,,,,,
0.78,0.903154806,0.8793,0.9167216,0.8344,0.873625798,0.0758,,,,,,,,
0.49,0.996087063,0.8587,0.791958327,0.973,0.873193933,0.2556,,,,,,,,
0.48,0.996331621,0.8555,0.787017601,0.9748,0.870901456,0.2638,,,,,,,,
0.47,0.996331621,0.8552,0.78663654,0.9748,0.870668096,0.2644,,,,,,,,
0.79,0.891660553,0.8768,0.921288014,0.824,0.869932432,0.0704,,,,,,,,
0.8,0.880899976,0.8751,0.927708096,0.8136,0.86691529,0.0634,,,,,,,,
0.46,0.997309856,0.8493,0.77788385,0.9778,0.866459903,0.2792,,,,,,,,
0.45,0.997798973,0.8467,0.773984511,0.9794,0.864659663,0.286,,,,,,,,
0.44,0.998043531,0.8437,0.769653225,0.981,0.862569243,0.2936,,,,,,,,
0.81,0.867204696,0.871,0.931194793,0.8012,0.861320146,0.0592,,,,,,,,
0.43,0.998043531,0.8406,0.765430175,0.9822,0.860371409,0.301,,,,,,,,
0.41,0.999021766,0.8385,0.76228111,0.9838,0.858988911,0.3068,,,,,,,,
0.42,0.998532649,0.8384,0.762406948,0.9832,0.858839972,0.3064,,,,,,,,
0.82,0.844949865,0.8676,0.943318862,0.7822,0.855237262,0.047,,,,,,,,
0.4,0.999021766,0.8327,0.75455241,0.9862,0.854963156,0.3208,,,,,,,,
0.39,0.999021766,0.8302,0.75129376,0.9872,0.853241141,0.3268,,,,,,,,
0.38,0.999021766,0.8267,0.747088186,0.9878,0.850744983,0.3344,,,,,,,,
0.37,0.999021766,0.8233,0.742608435,0.9896,0.848495241,0.343,,,,,,,,
0.83,0.831499144,0.8624,0.947186575,0.7676,0.847989395,0.0428,,,,,,,,
0.36,0.999021766,0.8204,0.739104478,0.9904,0.846495726,0.3496,,,,,,,,
0.84,0.829542675,0.8612,0.948138958,0.7642,0.846290144,0.0418,,,,,,,,
0.35,0.999510883,0.8197,0.738333085,0.9904,0.845989579,0.351,,,,,,,,
0.34,0.999510883,0.8137,0.731512915,0.9912,0.841783439,0.3638,,,,,,,,
0.33,0.999755441,0.8118,0.728726526,0.9934,0.840724441,0.3698,,,,,,,,
0.32,1,0.8085,0.724952603,0.9942,0.83849203,0.3772,,,,,,,,
0.31,1,0.8058,0.721787061,0.9952,0.836724399,0.3836,,,,,,,,
0.85,0.80997799,0.8525,0.950421671,0.7438,0.834511388,0.0388,,,,,,,,
0.3,1,0.8023,0.717701282,0.9966,0.834463703,0.392,,,,,,,,
0.29,1,0.799,0.714306193,0.9966,0.832164329,0.3986,,,,,,,,
0.28,1,0.7955,0.7106201,0.997,0.829796088,0.406,,,,,,,,
0.27,1,0.7929,0.707877928,0.9974,0.828061436,0.4116,,,,,,,,
0.26,1,0.7897,0.704446013,0.9982,0.825982623,0.4188,,,,,,,,
0.25,1,0.7871,0.701756852,0.9986,0.824267437,0.4244,,,,,,,,
0.24,1,0.7834,0.698126398,0.9986,0.821757735,0.4318,,,,,,,,
0.23,1,0.7802,0.694853964,0.9992,0.819688269,0.4388,,,,,,,,
0.86,0.777207141,0.8408,0.9544,0.7158,0.818057143,0.0342,,,,,,,,
0.22,1,0.7774,0.692158493,0.9992,0.817809789,0.4444,,,,,,,,
0.21,1,0.7745,0.689388713,0.9992,0.815873275,0.4502,,,,,,,,
0.2,1,0.7715,0.686546654,0.9992,0.813879612,0.4562,,,,,,,,
0.19,1,0.7693,0.684426791,0.9994,0.812454272,0.4608,,,,,,,,
0.18,1,0.7661,0.681440065,0.9994,0.810346226,0.4672,,,,,,,,
0.17,1,0.7631,0.678615071,0.9996,0.808410837,0.4734,,,,,,,,
0.16,1,0.7603,0.675997295,0.9998,0.806615571,0.4792,,,,,,,,
0.15,1,0.7568,0.672766416,1,0.804375804,0.4864,,,,,,,,
0.14,1,0.7538,0.670061646,1,0.802439416,0.4924,,,,,,,,
0.13,1,0.7511,0.667645881,1,0.80070462,0.4978,,,,,,,,
0.87,0.752506725,0.8286,0.959195081,0.6864,0.800186524,0.0292,,,,,,,,
0.12,1,0.7465,0.663570007,1,0.797766254,0.507,,,,,,,,
0.11,1,0.7429,0.66041474,1,0.795481664,0.5142,,,,,,,,
0.1,1,0.7326,0.651550691,1,0.789016885,0.5348,,,,,,,,
0.09,1,0.7303,0.649603742,1,0.787587619,0.5394,,,,,,,,
0.08,1,0.7265,0.646412411,1,0.785237534,0.547,,,,,,,,
