threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.52,0.930291053,0.8641,0.81178284,0.948,0.87461943,0.2198,,,,,,,,
0.53,0.917624865,0.8648,0.815898857,0.9422,0.874512716,0.2126,,0.68,0.645795904,0.8551,0.873710798,0.8302,0.851399856,0.12
0.47,0.968199784,0.8613,0.799238032,0.965,0.874331793,0.2424,,,,,,,,
0.49,0.960384477,0.8619,0.802440247,0.9602,0.87426022,0.2364,,,,,,,,
0.48,0.968199784,0.8612,0.799303944,0.9646,0.874206997,0.2422,,,,,,,,
0.51,0.941430111,0.8627,0.807633588,0.9522,0.873978889,0.2268,,,,,,,,
0.5,0.951850521,0.8621,0.804951996,0.9558,0.873914236,0.2316,,,,,,,,
0.56,0.875044916,0.8655,0.82674772,0.9248,0.873029359,0.1938,,,,,,,,
0.54,0.9027129,0.8638,0.818899018,0.9342,0.872757848,0.2066,,,,,,,,
0.55,0.888519583,0.8645,0.822737737,0.9292,0.872734104,0.2002,,,,,,,,
0.58,0.844771829,0.866,0.83345481,0.9148,0.872234935,0.1828,,,,,,,,
0.57,0.844951491,0.8659,0.833060259,0.9152,0.872200515,0.1834,,,,,,,,
0.46,0.977362558,0.8573,0.791103145,0.971,0.871868546,0.2564,,,,,,,,
0.45,0.980776141,0.856,0.788399222,0.9732,0.871106337,0.2612,,,,,,,,
0.59,0.823392023,0.8657,0.838172739,0.9064,0.870952244,0.175,,,,,,,,
0.6,0.805335968,0.8649,0.841602696,0.899,0.869354995,0.1692,,,,,,,,
0.44,0.984549048,0.8523,0.783062831,0.9746,0.86839526,0.27,,,,,,,,
0.61,0.785483291,0.864,0.844958302,0.8916,0.867652783,0.1636,,,,,,,,
0.43,0.986704995,0.8507,0.780335731,0.9762,0.867347845,0.2748,,,,,,,,
0.62,0.766259432,0.8636,0.848542945,0.8852,0.866483947,0.158,,,,,,,,
0.42,0.989849084,0.8485,0.776367962,0.979,0.865988501,0.282,,,,,,,,
0.41,0.989849084,0.8478,0.775506971,0.979,0.865452617,0.2834,,,,,,,,
0.63,0.743801653,0.8613,0.851664396,0.875,0.863174509,0.1524,,,,,,,,
0.64,0.720176069,0.8596,0.855476473,0.8654,0.860409624,0.1462,,,,,,,,
0.4,0.991915199,0.8402,0.764870757,0.9824,0.860094554,0.302,,,,,,,,
0.39,0.993172835,0.8369,0.760074108,0.9846,0.857889692,0.3108,,,,,,,,
0.65,0.700772548,0.8577,0.858776329,0.8562,0.857486229,0.1408,,,,,,,,
