threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.48,0.611514352,0.8894,0.851697977,0.943,0.895026576,0.1642,,,,,,,,
0.5,0.583800726,0.8899,0.855553529,0.9382,0.894972813,0.1584,,,,,,,,
0.51,0.571758496,0.8902,0.85785033,0.9354,0.894948335,0.155,,0.7,0.325140218,0.8894,0.910067397,0.8642,0.886540829,0.0854
0.47,0.613328934,0.8891,0.850983222,0.9434,0.894811723,0.1652,,,,,,,,
0.52,0.557736721,0.8901,0.858877645,0.9336,0.894681361,0.1534,,,,,,,,
0.49,0.596667766,0.8892,0.853304285,0.94,0.894556528,0.1616,,,,,,,,
0.45,0.64500165,0.8872,0.844238976,0.9496,0.893825301,0.1752,,,,,,,,
0.46,0.634279116,0.8871,0.845563292,0.9472,0.893500613,0.173,,,,,,,,
0.53,0.543385021,0.8891,0.859678314,0.93,0.893457585,0.1518,,,,,,,,
0.44,0.653909601,0.8862,0.841769912,0.9512,0.89314554,0.1788,,,,,,,,
0.54,0.529033322,0.8884,0.860966543,0.9264,0.892485549,0.1496,,,,,,,,
0.55,0.518640713,0.8885,0.862474342,0.9244,0.892364128,0.1474,,,,,,,,
0.43,0.664632135,0.8848,0.838971106,0.9524,0.892094417,0.1828,,,,,,,,
0.42,0.67551963,0.8843,0.836573831,0.9552,0.891960034,0.1866,,,,,,,,
0.41,0.676014517,0.8841,0.836280861,0.9552,0.891793483,0.187,,,,,,,,
0.56,0.502639393,0.8878,0.863653413,0.921,0.891405343,0.1454,,,,,,,,
0.4,0.695974926,0.8825,0.832204273,0.9582,0.890768802,0.1932,,,,,,,,
0.58,0.476410426,0.8877,0.86832605,0.914,0.890577804,0.1386,,,,,,,,
0.57,0.478225008,0.8875,0.867856465,0.9142,0.890425636,0.1392,,,,,,,,
0.59,0.461233916,0.8869,0.870522888,0.909,0.889345465,0.1352,,,,,,,,
0.39,0.703728143,0.8801,0.828408502,0.9588,0.888847687,0.1986,,,,,,,,
0.62,0.41504454,0.8876,0.879702194,0.898,0.888756928,0.1228,,,,,,,,
0.63,0.401022765,0.8877,0.882573515,0.8944,0.888447402,0.119,,,,,,,,
0.6,0.445232597,0.8861,0.872611465,0.9042,0.888124939,0.132,,,,,,,,
0.61,0.429396239,0.8865,0.875753451,0.9008,0.888100168,0.1278,,,,,,,,
0.38,0.710986473,0.8781,0.824884001,0.96,0.887327849,0.2038,,,,,,,,
0.64,0.390135269,0.8864,0.884401114,0.889,0.886694594,0.1162,,,,,,,,
0.71,0.322005939,0.8895,0.910432034,0.864,0.886608517,0.085,,,,,,,,
0.7,0.325140218,0.8894,0.910067397,0.8642,0.886540829,0.0854,,,,,,,,
0.69,0.334378093,0.8884,0.90475198,0.8682,0.886099204,0.0914,,,,,,,,
0.72,0.311118443,0.8895,0.914449883,0.8594,0.886070729,0.0804,,,,,,,,
0.65,0.378422963,0.8861,0.886951293,0.885,0.885974572,0.1128,,,,,,,,
0.68,0.349224678,0.8873,0.898538794,0.8732,0.885688204,0.0986,,,,,,,,
0.37,0.716760145,0.8759,0.821227141,0.961,0.885632661,0.2092,,,,,,,,
0.73,0.302705378,0.8889,0.918442006,0.8536,0.884834664,0.0758,,,,,,,,
0.67,0.359452326,0.8853,0.892282631,0.8764,0.884270003,0.1058,,,,,,,,
0.74,0.293137578,0.8889,0.922993256,0.8486,0.884234657,0.0708,,,,,,,,
0.36,0.72517321,0.8738,0.817209776,0.963,0.884135145,0.2154,,,,,,,,
0.35,0.726492907,0.8737,0.816963528,0.9632,0.884075264,0.2158,,,,,,,,
0.66,0.368195315,0.8844,0.888282828,0.8794,0.883819095,0.1106,,,,,,,,
0.75,0.284889475,0.8886,0.926283458,0.8444,0.88344842,0.0672,,,,,,,,
0.76,0.278126031,0.8878,0.929742908,0.839,0.882043734,0.0634,,,,,,,,
0.34,0.743319037,0.8678,0.80793704,0.965,0.879511484,0.2294,,,,,,,,
0.77,0.271692511,0.8859,0.932914516,0.8316,0.879348631,0.0598,,,,,,,,
0.33,0.75239195,0.8655,0.804127143,0.9664,0.877827232,0.2354,,,,,,,,
0.78,0.264599142,0.8838,0.936334698,0.8236,0.876356672,0.056,,,,,,,,
0.32,0.761134939,0.8622,0.799338843,0.9672,0.875294118,0.2428,,,,,,,,
0.79,0.259155394,0.8822,0.93971468,0.8168,0.873956773,0.0524,,,,,,,,
0.31,0.766743649,0.8598,0.795693623,0.9682,0.873511368,0.2486,,,,,,,,
0.3,0.774496866,0.8569,0.791251836,0.9696,0.871393907,0.2558,,,,,,,,
0.8,0.252721874,0.8791,0.942563624,0.8074,0.86976193,0.0492,,,,,,,,
0.29,0.782415045,0.8537,0.786489551,0.971,0.869059339,0.2636,,,,,,,,
0.28,0.792147806,0.8511,0.782552712,0.9724,0.867207705,0.2702,,,,,,,,
0.81,0.247113164,0.877,0.946470867,0.7992,0.866623292,0.0452,,,,,,,,
0.27,0.802705378,0.8476,0.777724513,0.9734,0.864629597,0.2782,,,,,,,,
0.26,0.813757836,0.8438,0.772597526,0.9744,0.861843269,0.2868,,,,,,,,
0.25,0.82530518,0.8399,0.767090995,0.9762,0.85910411,0.2964,,,,,,,,
0.24,0.836687562,0.8362,0.762082944,0.9776,0.856492027,0.3052,,,,,,,,
0.82,0.238700099,0.8691,0.951996081,0.7774,0.85588462,0.0392,,,,,,,,
0.23,0.849554602,0.8313,0.755672172,0.9792,0.853035979,0.3166,,,,,,,,
0.83,0.234081161,0.8653,0.956282788,0.7656,0.850383206,0.035,,,,,,,,
0.22,0.857802705,0.8271,0.750421069,0.9802,0.85005637,0.326,,,,,,,,
0.84,0.231936655,0.8646,0.958040201,0.7626,0.84922049,0.0334,,,,,,,,
0.21,0.871494556,0.8231,0.744884038,0.9828,0.84746055,0.3366,,,,,,,,
0.2,0.882711976,0.8186,0.739045618,0.985,0.844478738,0.3478,,,,,,,,
0.85,0.227317717,0.8598,0.963420917,0.748,0.842152668,0.0284,,,,,,,,
0.19,0.895414055,0.8122,0.731396383,0.9868,0.840115784,0.3624,,,,,,,,
0.18,0.908116133,0.8079,0.726230713,0.9884,0.837272342,0.3726,,,,,,,,
0.17,0.918013857,0.8025,0.720064019,0.9898,0.833656195,0.3848,,,,,,,,
0.86,0.222863741,0.8535,0.969455511,0.73,0.832857958,0.023,,,,,,,,
0.16,0.930550973,0.7971,0.714079839,0.991,0.830052768,0.3968,,,,,,,,
0.15,0.939293962,0.7899,0.706569759,0.9916,0.825164351,0.4118,,,,,,,,
0.87,0.218904652,0.8457,0.972655182,0.7114,0.821762735,0.02,,,,,,,,
0.14,0.949686572,0.7841,0.700437421,0.9928,0.82137834,0.4246,,,,,,,,
0.13,0.960079182,0.7782,0.69411108,0.9948,0.81768864,0.4384,,,,,,,,
0.12,0.969152095,0.7727,0.688563131,0.9958,0.814160739,0.4504,,,,,,,,
0.11,0.97756516,0.7678,0.683625891,0.997,0.811096648,0.4614,,,,,,,,
0.88,0.210326625,0.837,0.974915445,0.6918,0.80931212,0.0178,,,,,,,,
0.1,0.984493566,0.7619,0.677993747,0.9976,0.807315692,0.4738,,,,,,,,
0.09,0.98960739,0.754,0.6706072,0.9984,0.802314368,0.4904,,,,,,,,
0.89,0.202243484,0.8303,0.978834445,0.6752,0.799147828,0.0146,,,,,,,,
0.08,0.992081821,0.7458,0.663257173,0.9986,0.797094508,0.507,,,,,,,,
0.07,0.996205873,0.7391,0.657240563,0.9994,0.792985797,0.5212,,,,,,,,
0.9,0.187396899,0.8193,0.98218061,0.6504,0.782577307,0.0118,,,,,,,,
0.06,0.997690531,0.7125,0.634989201,0.9996,0.776629633,0.5746,,,,,,,,
0.91,0.17387001,0.8067,0.983601388,0.6238,0.763431649,0.0104,,,,,,,,
0.05,0.99917519,0.6862,0.614401573,1,0.76115086,0.6276,,,,,,,,
0.92,0.158858463,0.7942,0.987732095,0.5958,0.743263473,0.0074,,,,,,,,
0.04,0.999340152,0.649,0.587544066,1,0.74019245,0.702,,,,,,,,
0.03,0.999835038,0.5919,0.550600154,1,0.710176834,0.8162,,,,,,,,
0.93,0.143681953,0.7729,0.993847267,0.5492,0.707458457,0.0034,,,,,,,,
0.02,1,0.5333,0.517223544,1,0.681802686,0.9334,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.94,0.106235566,0.6823,0.99403794,0.3668,0.535865595,0.0022,,,,,,,,
0.95,0.089244474,0.6388,0.992198582,0.2798,0.43650546,0.0022,,,,,,,,
0.96,0.086440119,0.6318,0.992526158,0.2656,0.41905964,0.002,,,,,,,,
0.97,0.065160013,0.5857,0.993095512,0.1726,0.294087579,0.0012,,,,,,,,
0.98,0.042725173,0.5336,0.994117647,0.0676,0.12659176,0.0004,,,,,,,,
0.99,0.002639393,0.5038,1,0.0076,0.015085351,0,,,,,,,,
1,0,0.5012,1,0.0024,0.004788508,0,,,,,,,,
