threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.46,0.995972656,0.8388,0.765850596,0.976,0.858248329,0.2984,,,,,,,,
0.47,0.975570982,0.8405,0.77270543,0.9648,0.85813395,0.2838,,0.57,0.467436808,0.7566,0.775321888,0.7226,0.748033126,0.2094
0.45,0.996078639,0.8369,0.762751521,0.978,0.857067742,0.3042,,,,,,,,
0.44,0.997032484,0.8347,0.759015632,0.9808,0.855771748,0.3114,,,,,,,,
0.43,0.998993164,0.8312,0.754143646,0.9828,0.853421327,0.3204,,,,,,,,
0.42,0.999470086,0.8289,0.75049505,0.9854,0.85205361,0.3276,,,,,,,,
0.41,0.999523078,0.8284,0.749771828,0.9858,0.851736651,0.329,,,,,,,,
0.4,0.99962906,0.8226,0.742556391,0.9876,0.847725322,0.3424,,,,,,,,
0.39,0.999735043,0.819,0.738344292,0.9882,0.845193295,0.3502,,,,,,,,
0.38,0.999788035,0.8151,0.733788396,0.989,0.842490842,0.3588,,,,,,,,
0.37,0.999841026,0.8124,0.730315541,0.9906,0.840774062,0.3658,,,,,,,,
0.36,0.999894017,0.81,0.727406103,0.9916,0.839201083,0.3716,,,,,,,,
0.35,0.999947009,0.8093,0.726593407,0.9918,0.838731501,0.3732,,,,,,,,
0.48,0.892851465,0.8208,0.765475008,0.925,0.83771056,0.2834,,,,,,,,
0.34,1,0.8046,0.721109175,0.9934,0.835632571,0.3842,,,,,,,,
0.33,1,0.8023,0.718456424,0.9942,0.83413038,0.3896,,,,,,,,
0.32,1,0.7997,0.715642538,0.9946,0.83237091,0.3952,,,,,,,,
0.31,1,0.7972,0.712589413,0.9962,0.830859049,0.4018,,,,,,,,
0.3,1,0.795,0.71011396,0.997,0.829450915,0.407,,,,,,,,
0.29,1,0.7931,0.708078944,0.9974,0.828198954,0.4112,,,,,,,,
0.28,1,0.7907,0.705499788,0.998,0.826637952,0.4166,,,,,,,,
0.27,1,0.7878,0.702504925,0.9984,0.824715017,0.4228,,,,,,,,
0.26,1,0.7852,0.699887861,0.9986,0.82297676,0.4282,,,,,,,,
0.25,1,0.782,0.69665272,0.999,0.820870994,0.435,,,,,,,,
0.49,0.814954162,0.8055,0.761872107,0.8888,0.820456014,0.2778,,,,,,,,
0.24,1,0.7793,0.693931398,0.9994,0.819113187,0.4408,,,,,,,,
0.23,1,0.7773,0.692009417,0.9994,0.817772686,0.4448,,,,,,,,
0.22,1,0.7746,0.68937931,0.9996,0.816,0.4504,,,,,,,,
0.21,1,0.7715,0.68644417,0.9996,0.813940233,0.4566,,,,,,,,
0.2,1,0.7692,0.684282585,0.9996,0.812418726,0.4612,,,,,,,,
0.5,0.769116634,0.7993,0.76388644,0.8664,0.811920157,0.2678,,,,,,,,
0.19,1,0.7666,0.681855389,0.9996,0.810705596,0.4664,,,,,,,,
0.18,1,0.7635,0.678935217,0.9998,0.808703389,0.4728,,,,,,,,
0.17,1,0.7609,0.676546217,0.9998,0.807006215,0.478,,,,,,,,
0.16,1,0.7581,0.673945276,1,0.805217811,0.4838,,,,,,,,
0.15,1,0.7562,0.672223716,1,0.803987779,0.4876,,,,,,,,
0.51,0.721000477,0.7925,0.764132202,0.8462,0.803074879,0.2612,,,,,,,,
0.14,1,0.753,0.669344043,1,0.801924619,0.494,,,,,,,,
0.13,1,0.751,0.667556742,1,0.800640512,0.498,,,,,,,,
0.12,1,0.749,0.665778961,1,0.799360512,0.502,,,,,,,,
0.11,1,0.7463,0.663393923,1,0.797638989,0.5074,,,,,,,,
0.1,1,0.7433,0.660763843,1,0.795734861,0.5134,,,,,,,,
0.09,1,0.7413,0.659022011,1,0.794470485,0.5174,,,,,,,,
0.52,0.671559536,0.7846,0.764301634,0.823,0.792565485,0.2538,,,,,,,,
0.08,1,0.7309,0.650110519,1,0.787959972,0.5382,,,,,,,,
0.07,1,0.7265,0.646412411,1,0.785237534,0.547,,,,,,,,
0.53,0.630438239,0.7782,0.764448669,0.8042,0.783820663,0.2478,,,,,,,,
0.54,0.589051985,0.771,0.765166341,0.782,0.773491592,0.24,,,,,,,,
0.06,1,0.6923,0.619041723,1,0.764701384,0.6154,,,,,,,,
0.55,0.54453924,0.7645,0.766579319,0.7606,0.763577954,0.2316,,,,,,,,
0.05,1,0.6796,0.609458801,1,0.757346259,0.6408,,,,,,,,
0.56,0.50447777,0.7597,0.768673702,0.743,0.755618835,0.2236,,,,,,,,
0.04,1,0.6738,0.605180344,1,0.754034082,0.6524,,,,,,,,
0.57,0.467436808,0.7566,0.775321888,0.7226,0.748033126,0.2094,,,,,,,,
0.58,0.443961634,0.7526,0.773850824,0.7138,0.7426134,0.2086,,,,,,,,
0.03,1,0.6508,0.588789449,1,0.741179958,0.6984,,,,,,,,
0.59,0.421705262,0.7483,0.775705085,0.6986,0.735136273,0.202,,,,,,,,
0.6,0.400932648,0.7464,0.778481013,0.6888,0.73089983,0.196,,,,,,,,
0.02,1,0.63,0.574712644,1,0.729927007,0.74,,,,,,,,
0.61,0.387472842,0.7444,0.781307551,0.6788,0.726455479,0.19,,,,,,,,
0.62,0.376397647,0.7435,0.785329271,0.6702,0.723211395,0.1832,,,,,,,,
0.63,0.360659213,0.7427,0.78899738,0.6626,0.720295684,0.1772,,,,,,,,
0.64,0.348365216,0.7417,0.794110489,0.6526,0.716434296,0.1692,,,,,,,,
0.65,0.339886598,0.741,0.797530864,0.646,0.713812155,0.164,,,,,,,,
0.66,0.330719093,0.7387,0.799347881,0.6374,0.70924669,0.16,,,,,,,,
0.67,0.324254147,0.7377,0.804509352,0.628,0.705380209,0.1526,,,,,,,,
0.68,0.316888347,0.7388,0.812401884,0.621,0.703922013,0.1434,,,,,,,,
0.69,0.311059297,0.7387,0.821265141,0.6102,0.700172117,0.1328,,,,,,,,
0.01,1,0.5674,0.536135535,1,0.698031551,0.8652,,,,,,,,
0.7,0.305919135,0.7368,0.82473944,0.6014,0.695581772,0.1278,,,,,,,,
0.71,0.299984103,0.7345,0.824522557,0.5958,0.691745037,0.1268,,,,,,,,
0.72,0.294737958,0.7314,0.82850653,0.5836,0.684815771,0.1208,,,,,,,,
0.73,0.287690107,0.7309,0.837869476,0.5726,0.68028989,0.1108,,,,,,,,
0.74,0.275078162,0.728,0.844827586,0.5586,0.672525885,0.1026,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.75,0.25594828,0.723,0.849092048,0.5424,0.661947767,0.0964,,,,,,,,
0.76,0.234592761,0.7162,0.852806789,0.5226,0.648065476,0.0902,,,,,,,,
0.77,0.209686821,0.7076,0.854750513,0.5002,0.63108756,0.085,,,,,,,,
0.78,0.188384293,0.7025,0.860192102,0.4836,0.619126872,0.0786,,,,,,,,
0.79,0.165068094,0.6961,0.865449124,0.4644,0.604451386,0.0722,,,,,,,,
0.8,0.144189497,0.691,0.871306376,0.4482,0.591917591,0.0662,,,,,,,,
0.81,0.118965609,0.6838,0.8781893,0.4268,0.574427995,0.0592,,,,,,,,
0.82,0.101796407,0.6769,0.89085285,0.4032,0.555142503,0.0494,,,,,,,,
0.83,0.083832335,0.6697,0.894467689,0.3848,0.538106559,0.0454,,,,,,,,
0.84,0.06963065,0.6674,0.897435897,0.378,0.531944835,0.0432,,,,,,,,
0.85,0.05484606,0.6601,0.904497221,0.358,0.512967474,0.0378,,,,,,,,
0.86,0.047003338,0.6543,0.91322978,0.341,0.496577836,0.0324,,,,,,,,
0.87,0.027025595,0.6479,0.925244393,0.3218,0.47751892,0.026,,,,,,,,
0.88,0.017858089,0.6414,0.934275184,0.3042,0.458961979,0.0214,,,,,,,,
0.89,0.013883737,0.6331,0.942781104,0.2834,0.435798862,0.0172,,,,,,,,
0.9,0.011605108,0.6266,0.94893617,0.2676,0.417472699,0.0144,,,,,,,,
0.91,0.009485454,0.6175,0.955779674,0.2464,0.391795198,0.0114,,,,,,,,
0.92,0.007842722,0.6062,0.96497373,0.2204,0.358840768,0.008,,,,,,,,
0.93,0.00662392,0.5823,0.96287964,0.1712,0.290711496,0.0066,,,,,,,,
0.94,0.004451274,0.5432,0.957627119,0.0904,0.165204678,0.004,,,,,,,,
0.95,0.002861534,0.5199,0.9543379,0.0418,0.080091972,0.002,,,,,,,,
0.96,0.002278629,0.5166,0.956043956,0.0348,0.067155538,0.0016,,,,,,,,
0.97,0.000900853,0.5125,0.992125984,0.0252,0.049151551,0.0002,,,,,,,,
0.98,0.000158974,0.5067,1,0.0134,0.026445629,0,,,,,,,,
0.99,0.000158974,0.5025,1,0.005,0.009950249,0,,,,,,,,
1,5.30E-05,0.5015,1,0.003,0.005982054,0,,,,,,,,
