threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.67,0.942505721,0.8897,0.87291866,0.9122,0.892127139,0.1328,,,,,,,,
0.66,0.949084668,0.8887,0.867321867,0.9178,0.891847245,0.1404,,,,,,,,
0.65,0.95423341,0.8872,0.861733931,0.9224,0.891035549,0.148,,0.7,0.907322654,0.8866,0.889717742,0.8826,0.886144578,0.1094
0.68,0.936498856,0.8886,0.877428127,0.9034,0.890224675,0.1262,,,,,,,,
0.64,0.957951945,0.8857,0.857195777,0.9256,0.890085585,0.1542,,,,,,,,
0.63,0.960812357,0.8843,0.852762989,0.929,0.889250503,0.1604,,,,,,,,
0.61,0.969679634,0.8823,0.843733142,0.9384,0.88855222,0.1738,,,,,,,,
0.62,0.964244851,0.8827,0.847719426,0.933,0.888317624,0.1676,,,,,,,,
0.6,0.972826087,0.8812,0.839266643,0.943,0.888114523,0.1806,,,,,,,,
0.59,0.977116705,0.8799,0.834713656,0.9474,0.887494145,0.1876,,,,,,,,
0.69,0.921338673,0.887,0.885919426,0.8884,0.887157979,0.1144,,,,,,,,
0.57,0.979977117,0.8788,0.830771918,0.9514,0.887003543,0.1938,,,,,,,,
0.58,0.979977117,0.8785,0.830798811,0.9506,0.886671019,0.1936,,,,,,,,
0.71,0.907322654,0.8868,0.890864996,0.8816,0.886208283,0.108,,,,,,,,
0.7,0.907322654,0.8866,0.889717742,0.8826,0.886144578,0.1094,,,,,,,,
0.72,0.89416476,0.8864,0.897203947,0.8728,0.884833739,0.1,,,,,,,,
0.56,0.983695652,0.8751,0.822306238,0.957,0.88455495,0.2068,,,,,,,,
0.73,0.877002288,0.8865,0.903360468,0.8656,0.884077214,0.0926,,,,,,,,
0.55,0.985983982,0.8729,0.817253701,0.9606,0.883147927,0.2148,,,,,,,,
0.54,0.987128146,0.8711,0.813164557,0.9636,0.88201373,0.2214,,,,,,,,
0.74,0.850400458,0.8853,0.910680026,0.8544,0.881642761,0.0838,,,,,,,,
0.53,0.988558352,0.8683,0.808097708,0.966,0.880021864,0.2294,,,,,,,,
0.52,0.989988558,0.8662,0.803648425,0.9692,0.87869447,0.2368,,,,,,,,
0.75,0.821796339,0.8821,0.91577802,0.8416,0.877123502,0.0774,,,,,,,,
0.51,0.990560641,0.8627,0.797636632,0.972,0.876228252,0.2466,,,,,,,,
0.5,0.991990847,0.8589,0.79174118,0.974,0.873464263,0.2562,,,,,,,,
0.76,0.795194508,0.8786,0.91862008,0.8308,0.872505776,0.0736,,,,,,,,
0.49,0.992276888,0.8561,0.787502018,0.9754,0.871437506,0.2632,,,,,,,,
0.48,0.992276888,0.8524,0.78192,0.9774,0.8688,0.2726,,,,,,,,
0.77,0.767734554,0.8758,0.923962094,0.819,0.868320611,0.0674,,,,,,,,
0.47,0.992276888,0.8515,0.780795654,0.9774,0.868105516,0.2744,,,,,,,,
0.46,0.994851259,0.8466,0.773430104,0.9804,0.864702769,0.2872,,,,,,,,
0.78,0.734267735,0.8732,0.929360331,0.8078,0.864326985,0.0614,,,,,,,,
0.45,0.995423341,0.8431,0.768676586,0.9816,0.862187088,0.2954,,,,,,,,
0.44,0.996567506,0.8399,0.764431305,0.9826,0.859893235,0.3028,,,,,,,,
0.79,0.703947368,0.8695,0.931961655,0.7972,0.859329525,0.0582,,,,,,,,
0.43,0.997425629,0.8373,0.760866203,0.9838,0.858089839,0.3092,,,,,,,,
0.42,0.997425629,0.8333,0.755951467,0.9844,0.855182,0.3178,,,,,,,,
0.41,0.997425629,0.8326,0.754983134,0.9848,0.854712723,0.3196,,,,,,,,
0.8,0.67305492,0.8647,0.936557338,0.7824,0.852566198,0.053,,,,,,,,
0.4,0.997997712,0.8272,0.748104337,0.9866,0.850957392,0.3322,,,,,,,,
0.39,0.997997712,0.8232,0.743226972,0.9876,0.848162144,0.3412,,,,,,,,
0.81,0.643878719,0.8615,0.942689199,0.7698,0.84751734,0.0468,,,,,,,,
0.38,0.998855835,0.8195,0.73875355,0.9886,0.845607732,0.3496,,,,,,,,
0.37,0.998855835,0.8158,0.734342535,0.9896,0.843073777,0.358,,,,,,,,
0.36,0.999141876,0.8122,0.73003242,0.9908,0.840658408,0.3664,,,,,,,,
0.35,0.999141876,0.8115,0.729145211,0.9912,0.840213614,0.3682,,,,,,,,
0.34,0.999427918,0.8043,0.720859341,0.9932,0.835394062,0.3846,,,,,,,,
0.33,0.999713959,0.8009,0.716943043,0.9944,0.833179724,0.3926,,,,,,,,
0.82,0.613272311,0.8504,0.951081359,0.7388,0.831607384,0.038,,,,,,,,
0.32,1,0.7969,0.712405208,0.9958,0.830594712,0.402,,,,,,,,
0.31,1,0.794,0.70928246,0.9964,0.828675981,0.4084,,,,,,,,
0.3,1,0.7908,0.705657709,0.9978,0.826677713,0.4162,,,,,,,,
0.29,1,0.7873,0.702124666,0.998,0.824316511,0.4234,,,,,,,,
0.83,0.601544622,0.8453,0.958079066,0.7222,0.823583077,0.0316,,,,,,,,
0.28,1,0.7845,0.699257599,0.9984,0.822473021,0.4294,,,,,,,,
0.27,1,0.782,0.69665272,0.999,0.820870994,0.435,,,,,,,,
0.26,1,0.7776,0.69240366,0.999,0.817913869,0.4438,,,,,,,,
0.25,1,0.7745,0.689388713,0.9992,0.815873275,0.4502,,,,,,,,
0.24,1,0.7709,0.685929993,0.9994,0.813512414,0.4576,,,,,,,,
0.23,1,0.7686,0.683670678,0.9998,0.812053281,0.4626,,,,,,,,
0.84,0.600400458,0.8359,0.957754156,0.7028,0.81070481,0.031,,,,,,,,
0.22,1,0.7648,0.680136054,0.9998,0.809554656,0.4702,,,,,,,,
0.21,1,0.7615,0.677096031,0.9998,0.807397238,0.4768,,,,,,,,
0.2,1,0.7589,0.674719935,0.9998,0.805705536,0.482,,,,,,,,
0.19,1,0.7562,0.672270038,0.9998,0.803956256,0.4874,,,,,,,,
0.18,1,0.7545,0.670736616,0.9998,0.802858749,0.4908,,,,,,,,
0.17,1,0.7529,0.669254451,1,0.801860316,0.4942,,,,,,,,
0.16,1,0.7503,0.66693344,1,0.800192046,0.4994,,,,,,,,
0.15,1,0.7481,0.664982045,1,0.798785846,0.5038,,,,,,,,
0.14,1,0.747,0.664010624,1,0.798084597,0.506,,,,,,,,
0.13,1,0.7452,0.662427133,1,0.796939751,0.5096,,,,,,,,
0.12,1,0.7431,0.660589246,1,0.795608243,0.5138,,,,,,,,
0.11,1,0.7415,0.659195781,1,0.794596742,0.517,,,,,,,,
0.1,1,0.7391,0.657116572,1,0.793084305,0.5218,,,,,,,,
0.09,1,0.7379,0.656081879,1,0.792330243,0.5242,,,,,,,,
0.08,1,0.7257,0.645744543,1,0.784744566,0.5486,,,,,,,,
0.07,1,0.7229,0.643417836,1,0.783024039,0.5542,,,,,,,,
0.06,1,0.7127,0.635081926,1,0.7768197,0.5746,,,,,,,,
0.85,0.588386728,0.8111,0.96116217,0.6484,0.774393885,0.0262,,,,,,,,
0.05,1,0.7064,0.630040323,1,0.773036487,0.5872,,,,,,,,
0.04,1,0.6824,0.611545988,1,0.758955677,0.6352,,,,,,,,
0.03,1,0.6643,0.598300826,1,0.748671109,0.6714,,,,,,,,
0.86,0.577231121,0.7892,0.965250965,0.6,0.740009867,0.0216,,,,,,,,
0.02,1,0.6354,0.578302105,1,0.732815477,0.7292,,,,,,,,
0.01,1,0.5114,0.505765729,1,0.671772135,0.9772,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
