threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.65,0.925925926,0.8808,0.858974359,0.9112,0.88431677,0.1496,,0.7,0.915343915,0.8819,0.884902237,0.878,0.881437607,0.1142
0.66,0.925925926,0.8814,0.863515059,0.906,0.884247511,0.1432,,,,,,,,
0.67,0.920634921,0.8818,0.868675164,0.8996,0.883867164,0.136,,,,,,,,
0.68,0.920634921,0.8822,0.871789883,0.8962,0.88382643,0.1318,,,,,,,,
0.64,0.931216931,0.8796,0.854104478,0.9156,0.883783784,0.1564,,,,,,,,
0.69,0.915343915,0.8829,0.881450488,0.8848,0.883122068,0.119,,,,,,,,
0.61,0.939153439,0.8764,0.841313021,0.9278,0.882442458,0.175,,,,,,,,
0.6,0.944444444,0.8757,0.837920489,0.9316,0.882280519,0.1802,,,,,,,,
0.63,0.933862434,0.8768,0.847345133,0.9192,0.881811205,0.1656,,,,,,,,
0.71,0.912698413,0.8823,0.885927721,0.8776,0.881744198,0.113,,,,,,,,
0.62,0.936507937,0.8761,0.844603262,0.9218,0.881514775,0.1696,,,,,,,,
0.7,0.915343915,0.8819,0.884902237,0.878,0.881437607,0.1142,,,,,,,,
0.72,0.902116402,0.8822,0.891598361,0.8702,0.880769231,0.1058,,,,,,,,
0.59,0.947089947,0.8729,0.831702544,0.935,0.880331419,0.1892,,,,,,,,
0.58,0.952380952,0.8714,0.827051779,0.9392,0.879565462,0.1964,,,,,,,,
0.57,0.952380952,0.8711,0.826500088,0.9394,0.879341009,0.1972,,,,,,,,
0.56,0.965608466,0.8697,0.819312489,0.9486,0.879228844,0.2092,,,,,,,,
0.73,0.894179894,0.8805,0.893973908,0.8634,0.878420999,0.1024,,,,,,,,
0.55,0.968253968,0.8668,0.813611491,0.9516,0.877212389,0.218,,,,,,,,
0.74,0.883597884,0.8797,0.897591623,0.8572,0.876930946,0.0978,,,,,,,,
0.75,0.87037037,0.879,0.903019991,0.8492,0.875283447,0.0912,,,,,,,,
0.54,0.970899471,0.864,0.808265583,0.9544,0.875275128,0.2264,,,,,,,,
0.53,0.973544974,0.8633,0.805550883,0.9578,0.875102787,0.2312,,,,,,,,
0.76,0.865079365,0.8796,0.910467128,0.842,0.874896093,0.0828,,,,,,,,
0.77,0.851851852,0.8804,0.919312169,0.834,0.874580537,0.0732,,,,,,,,
0.52,0.976190476,0.8609,0.8005997,0.9612,0.873579933,0.2394,,,,,,,,
0.51,0.978835979,0.8577,0.795473319,0.963,0.871256672,0.2476,,,,,,,,
0.78,0.835978836,0.878,0.925292529,0.8224,0.87081745,0.0664,,,,,,,,
0.5,0.981481481,0.8553,0.791372806,0.965,0.869604398,0.2544,,,,,,,,
0.49,0.981481481,0.8539,0.788709414,0.9668,0.868721359,0.259,,,,,,,,
0.79,0.817460317,0.8761,0.930813288,0.8126,0.867698879,0.0604,,,,,,,,
0.48,0.984126984,0.8512,0.784602917,0.9682,0.866786034,0.2658,,,,,,,,
0.47,0.984126984,0.851,0.783980583,0.969,0.866726297,0.267,,,,,,,,
0.46,0.989417989,0.8455,0.775298805,0.973,0.862971175,0.282,,,,,,,,
0.45,0.992063492,0.8431,0.771396931,0.9752,0.861408003,0.289,,,,,,,,
0.8,0.804232804,0.8715,0.935930533,0.7976,0.861246086,0.0546,,,,,,,,
0.44,0.992063492,0.8414,0.767974882,0.9784,0.860510114,0.2956,,,,,,,,
0.43,0.992063492,0.8392,0.763763608,0.9822,0.859317585,0.3038,,,,,,,,
0.42,0.992063492,0.837,0.760111145,0.9848,0.857989197,0.3108,,,,,,,,
0.41,0.992063492,0.8362,0.759013867,0.9852,0.857441253,0.3128,,,,,,,,
0.81,0.783068783,0.8666,0.941473988,0.7818,0.85423951,0.0486,,,,,,,,
0.4,0.992063492,0.8306,0.751521607,0.9878,0.853612167,0.3266,,,,,,,,
0.39,0.992063492,0.8271,0.74716639,0.9888,0.851166394,0.3346,,,,,,,,
0.38,0.994708995,0.8238,0.743093093,0.9898,0.848885077,0.3422,,,,,,,,
0.37,0.994708995,0.8202,0.738599106,0.9912,0.84645602,0.3508,,,,,,,,
0.36,0.994708995,0.8162,0.733530281,0.9932,0.843840272,0.3608,,,,,,,,
0.35,0.994708995,0.8153,0.732419284,0.9936,0.843248748,0.363,,,,,,,,
0.34,0.994708995,0.8087,0.72463979,0.9958,0.838850981,0.3784,,,,,,,,
0.33,0.994708995,0.8045,0.720173536,0.996,0.835921108,0.387,,,,,,,,
0.82,0.73015873,0.8518,0.947810591,0.7446,0.834005376,0.041,,,,,,,,
0.32,0.994708995,0.8015,0.71687527,0.9966,0.833905113,0.3936,,,,,,,,
0.31,0.994708995,0.7968,0.711939446,0.997,0.830694884,0.4034,,,,,,,,
0.3,0.994708995,0.7921,0.70713374,0.9972,0.827483196,0.413,,,,,,,,
0.29,0.997354497,0.7891,0.703965006,0.9978,0.825515016,0.4196,,,,,,,,
0.28,0.997354497,0.7859,0.700744277,0.998,0.823364409,0.4262,,,,,,,,
0.27,0.997354497,0.783,0.697736165,0.9986,0.821487331,0.4326,,,,,,,,
0.26,0.997354497,0.7801,0.694811518,0.999,0.819591435,0.4388,,,,,,,,
0.25,0.997354497,0.7779,0.692531523,0.9996,0.818204142,0.4438,,,,,,,,
0.83,0.711640212,0.8399,0.95356285,0.7146,0.816965817,0.0348,,,,,,,,
0.24,0.997354497,0.7746,0.68937931,0.9996,0.816,0.4504,,,,,,,,
0.84,0.685185185,0.8383,0.955561541,0.7096,0.814415242,0.033,,,,,,,,
0.23,0.997354497,0.7722,0.687104757,0.9996,0.814404432,0.4552,,,,,,,,
0.22,1,0.7699,0.684888341,0.9998,0.812911619,0.46,,,,,,,,
0.21,1,0.7677,0.682830214,0.9998,0.811460109,0.4644,,,,,,,,
0.2,1,0.7659,0.681106116,1,0.810307106,0.4682,,,,,,,,
0.19,1,0.7636,0.678978816,1,0.808799741,0.4728,,,,,,,,
0.18,1,0.7617,0.677231478,1,0.80755875,0.4766,,,,,,,,
0.17,1,0.7596,0.675310643,1,0.806191551,0.4808,,,,,,,,
0.16,1,0.7577,0.67358211,1,0.804958545,0.4846,,,,,,,,
0.15,1,0.7558,0.671862403,1,0.803729304,0.4884,,,,,,,,
0.85,0.637566138,0.8305,0.962496502,0.6878,0.802286248,0.0268,,,,,,,,
0.14,1,0.7527,0.669075338,1,0.801731741,0.4946,,,,,,,,
0.13,1,0.7456,0.662778367,1,0.797193878,0.5088,,,,,,,,
0.12,1,0.7399,0.657808183,1,0.79358781,0.5202,,,,,,,,
0.11,1,0.7371,0.655393892,1,0.791828332,0.5258,,,,,,,,
0.86,0.579365079,0.8217,0.968267831,0.6652,0.78861885,0.0218,,,,,,,,
0.1,1,0.7303,0.649603742,1,0.787587619,0.5394,,,,,,,,
0.09,1,0.7291,0.648592554,1,0.786843969,0.5418,,,,,,,,
0.08,1,0.7172,0.638732754,1,0.779544746,0.5656,,,,,,,,
0.07,1,0.7001,0.625078135,1,0.769289945,0.5998,,,,,,,,
0.87,0.521164021,0.808,0.973263675,0.6334,0.76738551,0.0174,,,,,,,,
0.06,1,0.6825,0.611620795,1,0.759013283,0.635,,,,,,,,
0.05,1,0.6703,0.602627456,1,0.752049334,0.6594,,,,,,,,
0.88,0.462962963,0.7964,0.978373144,0.6062,0.748579896,0.0134,,,,,,,,
0.04,1,0.6538,0.590876861,1,0.742831674,0.6924,,,,,,,,
0.03,1,0.6266,0.572475384,1,0.728119994,0.7468,,,,,,,,
0.89,0.404761905,0.783,0.98260573,0.5762,0.726424609,0.0102,,,,,,,,
0.02,1,0.5967,0.55352596,1,0.712606,0.8066,,,,,,,,
0.9,0.346560847,0.7552,0.984066768,0.5188,0.679413305,0.0084,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.91,0.296296296,0.7159,0.987799367,0.4372,0.606127825,0.0054,,,,,,,,
0.92,0.235449735,0.6864,0.988982162,0.377,0.545902114,0.0042,,,,,,,,
0.93,0.174603175,0.6287,0.987869598,0.2606,0.412407026,0.0032,,,,,,,,
0.94,0.097883598,0.571,0.987637363,0.1438,0.251047486,0.0018,,,,,,,,
0.95,0.058201058,0.5459,0.995680346,0.0922,0.168771737,0.0004,,,,,,,,
0.96,0.007936508,0.5265,1,0.053,0.100664767,0,,,,,,,,
0.97,0.002645503,0.5088,1,0.0176,0.034591195,0,,,,,,,,
0.98,0.002645503,0.5042,1,0.0084,0.016660056,0,,,,,,,,
0.99,0,0.5021,1,0.0042,0.008364868,0,,,,,,,,
1,0,0.5014,1,0.0028,0.005584364,0,,,,,,,,
