threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.68,0.931818182,0.8934,0.88120155,0.9094,0.89507874,0.1226,,,,,,,,
0.66,0.931818182,0.8919,0.87104715,0.92,0.894854586,0.1362,,,,,,,,
0.67,0.931818182,0.892,0.874904361,0.9148,0.894407509,0.1308,,0.75,0.863636364,0.8886,0.913756388,0.8582,0.885107261,0.081
0.65,0.931818182,0.8907,0.865345053,0.9254,0.894365517,0.144,,,,,,,,
0.64,0.931818182,0.8899,0.860818064,0.9302,0.894165145,0.1504,,,,,,,,
0.69,0.909090909,0.8931,0.888822948,0.8986,0.893684734,0.1124,,,,,,,,
0.7,0.909090909,0.8928,0.893271926,0.8922,0.892735641,0.1066,,,,,,,,
0.71,0.909090909,0.8928,0.893744988,0.8916,0.892671205,0.106,,,,,,,,
0.63,0.954545455,0.8876,0.854815086,0.9338,0.892563563,0.1586,,,,,,,,
0.62,0.954545455,0.8866,0.850944081,0.9374,0.892082223,0.1642,,,,,,,,
0.61,0.977272727,0.8851,0.845505114,0.9424,0.891326965,0.1722,,,,,,,,
0.72,0.909090909,0.8918,0.897847279,0.8842,0.890971383,0.1006,,,,,,,,
0.73,0.886363636,0.8922,0.9044967,0.877,0.890536149,0.0926,,,,,,,,
0.6,0.977272727,0.8824,0.839247693,0.946,0.889432117,0.1812,,,,,,,,
0.74,0.863636364,0.8912,0.910234899,0.868,0.888615889,0.0856,,,,,,,,
0.59,0.977272727,0.8809,0.834886583,0.9496,0.88855619,0.1878,,,,,,,,
0.58,0.977272727,0.8784,0.829616725,0.9524,0.886778399,0.1956,,,,,,,,
0.57,0.977272727,0.878,0.829038997,0.9524,0.88644825,0.1964,,,,,,,,
0.75,0.863636364,0.8886,0.913756388,0.8582,0.885107261,0.081,,,,,,,,
0.76,0.840909091,0.8882,0.91940363,0.851,0.883880349,0.0746,,,,,,,,
0.56,0.977272727,0.8736,0.818771331,0.9596,0.883609576,0.2124,,,,,,,,
0.55,0.977272727,0.8717,0.814413805,0.9628,0.882412245,0.2194,,,,,,,,
0.54,0.977272727,0.8698,0.81033904,0.9656,0.881182698,0.226,,,,,,,,
0.77,0.840909091,0.8855,0.922975642,0.8412,0.880192529,0.0702,,,,,,,,
0.53,0.977272727,0.8666,0.805093209,0.9674,0.878815407,0.2342,,,,,,,,
0.52,1,0.8634,0.799439684,0.9702,0.876581135,0.2434,,,,,,,,
0.78,0.840909091,0.8827,0.926074371,0.8318,0.87640923,0.0664,,,,,,,,
0.79,0.795454545,0.8818,0.932291667,0.8234,0.874468989,0.0598,,,,,,,,
0.51,1,0.86,0.794213795,0.9718,0.874078072,0.2518,,,,,,,,
0.5,1,0.8562,0.788187702,0.9742,0.87137746,0.2618,,,,,,,,
0.8,0.795454545,0.879,0.936837252,0.8128,0.870421932,0.0548,,,,,,,,
0.49,1,0.8535,0.783662333,0.9766,0.869557475,0.2696,,,,,,,,
0.81,0.795454545,0.8774,0.941506785,0.8048,0.867802458,0.05,,,,,,,,
0.48,1,0.8504,0.778980892,0.9784,0.867375887,0.2776,,,,,,,,
0.47,1,0.8497,0.778113568,0.9784,0.866837955,0.279,,,,,,,,
0.46,1,0.843,0.768808777,0.981,0.862038664,0.295,,,,,,,,
0.45,1,0.8407,0.765136187,0.9832,0.860568928,0.3018,,,,,,,,
0.44,1,0.8378,0.761131725,0.9846,0.858562958,0.309,,,,,,,,
0.43,1,0.8342,0.756366984,0.986,0.856051398,0.3176,,,,,,,,
0.82,0.772727273,0.8686,0.948855334,0.7792,0.855699539,0.042,,,,,,,,
0.42,1,0.8313,0.752553743,0.9872,0.854053119,0.3246,,,,,,,,
0.41,1,0.8304,0.751445967,0.9874,0.853414002,0.3266,,,,,,,,
0.4,1,0.8237,0.743493305,0.9884,0.848630549,0.341,,,,,,,,
0.83,0.772727273,0.8619,0.952488122,0.7618,0.846538504,0.038,,,,,,,,
0.39,1,0.8205,0.739572432,0.9894,0.846436821,0.3484,,,,,,,,
0.38,1,0.8168,0.735364042,0.9898,0.843819267,0.3562,,,,,,,,
0.84,0.772727273,0.8593,0.952404936,0.7564,0.843161298,0.0378,,,,,,,,
0.37,1,0.8131,0.731138343,0.9904,0.841246921,0.3642,,,,,,,,
0.36,1,0.8114,0.728970588,0.9914,0.840169492,0.3686,,,,,,,,
0.35,1,0.8107,0.727953045,0.9922,0.839779941,0.3708,,,,,,,,
0.34,1,0.8061,0.722488734,0.994,0.836770772,0.3818,,,,,,,,
0.33,1,0.8017,0.717645361,0.9948,0.833794317,0.3914,,,,,,,,
0.32,1,0.7993,0.714921729,0.9956,0.832232718,0.397,,,,,,,,
0.85,0.772727273,0.8507,0.957235984,0.7342,0.831013016,0.0328,,,,,,,,
0.31,1,0.7962,0.7114506,0.9966,0.830223259,0.4042,,,,,,,,
0.3,1,0.7942,0.709127097,0.9976,0.828984544,0.4092,,,,,,,,
0.29,1,0.7907,0.705499788,0.998,0.826637952,0.4166,,,,,,,,
0.28,1,0.7874,0.702166573,0.9982,0.824413611,0.4234,,,,,,,,
0.27,1,0.784,0.698768197,0.9984,0.822134387,0.4304,,,,,,,,
0.26,1,0.7818,0.69640368,0.9992,0.820765566,0.4356,,,,,,,,
0.25,1,0.7791,0.693684941,0.9996,0.819008603,0.4414,,,,,,,,
0.24,1,0.7759,0.690617659,0.9996,0.816866879,0.4478,,,,,,,,
0.23,1,0.773,0.687809576,0.9998,0.814965765,0.4538,,,,,,,,
0.86,0.681818182,0.8394,0.963155022,0.7058,0.814635272,0.027,,,,,,,,
0.22,1,0.7707,0.68563983,0.9998,0.813440729,0.4584,,,,,,,,
0.21,1,0.7677,0.682780281,1,0.811490708,0.4646,,,,,,,,
0.2,1,0.764,0.679347826,1,0.809061489,0.472,,,,,,,,
0.19,1,0.7618,0.677323219,1,0.80762397,0.4764,,,,,,,,
0.18,1,0.7599,0.67558438,1,0.806386582,0.4802,,,,,,,,
0.17,1,0.757,0.67294751,1,0.804505229,0.486,,,,,,,,
0.16,1,0.7538,0.670061646,1,0.802439416,0.4924,,,,,,,,
0.15,1,0.7514,0.667913438,1,0.800897005,0.4972,,,,,,,,
0.14,1,0.749,0.665778961,1,0.799360512,0.502,,,,,,,,
0.13,1,0.7456,0.662778367,1,0.797193878,0.5088,,,,,,,,
0.12,1,0.7399,0.657808183,1,0.79358781,0.5202,,,,,,,,
0.87,0.636363636,0.8249,0.968290574,0.6718,0.793245956,0.022,,,,,,,,
0.11,1,0.7374,0.655651718,1,0.792016474,0.5252,,,,,,,,
0.1,1,0.7265,0.646412411,1,0.785237534,0.547,,,,,,,,
0.09,1,0.7224,0.643004115,1,0.782717595,0.5552,,,,,,,,
0.08,1,0.7149,0.636861546,1,0.77814956,0.5702,,,,,,,,
0.07,1,0.7122,0.634678853,1,0.776518093,0.5756,,,,,,,,
0.06,1,0.7105,0.633312223,1,0.775494378,0.579,,,,,,,,
0.05,1,0.7057,0.629485081,1,0.772618404,0.5886,,,,,,,,
0.04,1,0.6941,0.62042437,1,0.765755418,0.6118,,,,,,,,
0.03,1,0.6667,0.600024001,1,0.75001875,0.6666,,,,,,,,
0.88,0.590909091,0.7954,0.971884984,0.6084,0.748339483,0.0176,,,,,,,,
0.02,1,0.6112,0.562556256,1,0.720046083,0.7776,,,,,,,,
0.89,0.522727273,0.7674,0.974786932,0.549,0.702405322,0.0142,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.9,0.477272727,0.6948,0.973275024,0.4006,0.567582885,0.011,,,,,,,,
0.91,0.454545455,0.6407,0.97501688,0.2888,0.445610245,0.0074,,,,,,,,
0.92,0.386363636,0.6015,0.976525822,0.208,0.34295136,0.005,,,,,,,,
0.93,0.318181818,0.5436,0.969827586,0.09,0.164714495,0.0028,,,,,,,,
0.94,0.204545455,0.5195,0.962085308,0.0406,0.077912109,0.0016,,,,,,,,
0.95,0.159090909,0.5111,0.944,0.0236,0.04604878,0.0014,,,,,,,,
0.96,0.159090909,0.511,0.943548387,0.0234,0.045667447,0.0014,,,,,,,,
0.97,0.136363636,0.5074,0.9625,0.0154,0.030314961,0.0006,,,,,,,,
