threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.48,0.998522895,0.7314,0.667535476,0.922,0.774399462,0.4592,,,,,,,,
0.5,0.998522895,0.7329,0.670622711,0.9154,0.774122622,0.4496,,0.77,0.909896603,0.7302,0.810577442,0.6008,0.690098782,0.1404
0.49,0.998522895,0.7321,0.669490288,0.9168,0.773866802,0.4526,,,,,,,,
0.47,0.998522895,0.7292,0.664702501,0.925,0.773540726,0.4666,,,,,,,,
0.51,0.998522895,0.7332,0.672434191,0.9094,0.773167829,0.443,,,,,,,,
0.46,0.998522895,0.7275,0.662245044,0.9286,0.773124636,0.4736,,,,,,,,
0.52,0.998522895,0.7321,0.672360018,0.9054,0.77166965,0.4412,,,,,,,,
0.45,0.998522895,0.7244,0.658743633,0.9312,0.771627444,0.4824,,,,,,,,
0.53,0.998522895,0.732,0.673082662,0.9022,0.77097932,0.4382,,,,,,,,
0.44,0.998522895,0.7215,0.655394977,0.9342,0.770347159,0.4912,,,,,,,,
0.54,0.99704579,0.7311,0.673160498,0.8984,0.769639339,0.4362,,,,,,,,
0.43,0.998522895,0.7179,0.651256421,0.9382,0.768827338,0.5024,,,,,,,,
0.55,0.99704579,0.7308,0.673742849,0.895,0.768768253,0.4334,,,,,,,,
0.42,0.998522895,0.7143,0.647528569,0.9406,0.767022751,0.512,,,,,,,,
0.57,0.99704579,0.7291,0.674220532,0.8866,0.765961123,0.4284,,,,,,,,
0.56,0.99704579,0.7286,0.673286841,0.8882,0.765953777,0.431,,,,,,,,
0.41,0.998522895,0.7108,0.643479445,0.9454,0.76575409,0.5238,,,,,,,,
0.58,0.99704579,0.7284,0.674724602,0.882,0.764563107,0.4252,,,,,,,,
0.4,0.998522895,0.7065,0.63931993,0.9476,0.763516236,0.5346,,,,,,,,
0.59,0.995568685,0.727,0.674776717,0.8764,0.762484775,0.4224,,,,,,,,
0.6,0.994091581,0.7252,0.674627792,0.87,0.759958071,0.4196,,,,,,,,
0.39,0.998522895,0.6993,0.632990791,0.9486,0.759305211,0.55,,,,,,,,
0.61,0.992614476,0.725,0.675179072,0.8672,0.759236561,0.4172,,,,,,,,
0.62,0.989660266,0.723,0.674929401,0.8604,0.756462107,0.4144,,,,,,,,
0.38,0.998522895,0.6924,0.626745718,0.9514,0.75567911,0.5666,,,,,,,,
0.63,0.988183161,0.7207,0.675075361,0.851,0.752897461,0.4096,,,,,,,,
0.37,1,0.6862,0.621003379,0.9556,0.752796597,0.5832,,,,,,,,
0.64,0.985228951,0.7195,0.676192005,0.8424,0.750200374,0.4034,,,,,,,,
0.36,1,0.6806,0.61618631,0.9578,0.749921704,0.5966,,,,,,,,
0.35,1,0.6738,0.610111505,0.963,0.746974868,0.6154,,,,,,,,
0.65,0.979320532,0.7168,0.677298005,0.8282,0.745186252,0.3946,,,,,,,,
0.34,1,0.6663,0.603768876,0.9676,0.743564128,0.635,,,,,,,,
0.33,1,0.6607,0.598746467,0.9744,0.741721854,0.653,,,,,,,,
0.66,0.977843427,0.7141,0.678327503,0.8144,0.740161774,0.3862,,,,,,,,
0.32,1,0.6554,0.594663743,0.9762,0.739097517,0.6654,,,,,,,,
0.67,0.976366322,0.7152,0.682187606,0.8058,0.738859343,0.3754,,,,,,,,
0.31,1,0.6505,0.590673575,0.9804,0.737198286,0.6794,,,,,,,,
0.68,0.964549483,0.7149,0.686060606,0.7924,0.735406032,0.3626,,,,,,,,
0.69,0.954209749,0.7154,0.690081186,0.782,0.733170823,0.3512,,,,,,,,
0.3,1,0.6421,0.584573265,0.9822,0.732930378,0.698,,,,,,,,
0.7,0.948301329,0.7173,0.697653265,0.767,0.730684958,0.3324,,,,,,,,
0.29,1,0.6358,0.580051875,0.984,0.729862038,0.7124,,,,,,,,
0.28,1,0.6328,0.577606358,0.9884,0.729123635,0.7228,,,,,,,,
0.71,0.940915805,0.7204,0.707611153,0.7512,0.728754366,0.3104,,,,,,,,
0.27,1,0.6275,0.573793263,0.9914,0.726886135,0.7364,,,,,,,,
0.26,1,0.6234,0.570984814,0.9926,0.724948875,0.7458,,,,,,,,
0.72,0.935007386,0.7222,0.718185389,0.7314,0.724732461,0.287,,,,,,,,
0.25,1,0.6183,0.567592275,0.9934,0.722420188,0.7568,,,,,,,,
0.73,0.923190547,0.726,0.732510288,0.712,0.722109533,0.26,,,,,,,,
0.24,1,0.6148,0.565256935,0.9944,0.720788634,0.7648,,,,,,,,
0.23,1,0.61,0.56216094,0.9948,0.718370884,0.7748,,,,,,,,
0.74,0.917282127,0.7283,0.748422198,0.6878,0.716831683,0.2312,,,,,,,,
0.22,1,0.6055,0.559316316,0.9948,0.716044051,0.7838,,,,,,,,
0.21,1,0.6025,0.557410104,0.9952,0.714583184,0.7902,,,,,,,,
0.2,1,0.5992,0.555307761,0.996,0.713058419,0.7976,,,,,,,,
0.19,1,0.5971,0.553998443,0.9962,0.712029162,0.802,,,,,,,,
0.18,1,0.5952,0.552818464,0.9964,0.711104767,0.806,,,,,,,,
0.17,1,0.5935,0.551766139,0.9966,0.71028437,0.8096,,,,,,,,
0.16,1,0.5915,0.550535734,0.9968,0.709314737,0.8138,,,,,,,,
0.15,1,0.589,0.549008811,0.997,0.708096591,0.819,,,,,,,,
0.75,0.909896603,0.7279,0.765555814,0.657,0.707135938,0.2012,,,,,,,,
0.14,1,0.5792,0.543146655,0.997,0.703202144,0.8386,,,,,,,,
0.76,0.909896603,0.7291,0.784454929,0.6318,0.699900299,0.1736,,,,,,,,
0.13,1,0.5606,0.53234415,0.9974,0.694181514,0.8762,,,,,,,,
0.77,0.909896603,0.7302,0.810577442,0.6008,0.690098782,0.1404,,,,,,,,
0.12,1,0.5495,0.526110349,0.9974,0.688859728,0.8984,,,,,,,,
0.11,1,0.5444,0.523294858,0.9974,0.686441844,0.9086,,,,,,,,
0.1,1,0.5325,0.516837633,0.9976,0.680909153,0.9326,,,,,,,,
0.09,1,0.527,0.513908922,0.9976,0.678362573,0.9436,,,,,,,,
0.08,1,0.5213,0.510901832,0.9982,0.675875144,0.9556,,,,,,,,
0.78,0.906942393,0.7244,0.829805996,0.5646,0.671982861,0.1158,,,,,,,,
0.07,1,0.5106,0.505366545,0.9982,0.671013713,0.977,,,,,,,,
0.06,1,0.5035,0.501759324,0.9982,0.66782632,0.9912,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.02,1,0.4999,0.499949985,0.9996,0.666533307,0.9998,,,,,,,,
0.03,1,0.4997,0.499849895,0.999,0.666310945,0.9996,,,,,,,,
0.04,1,0.4995,0.499749775,0.9986,0.666133013,0.9996,,,,,,,,
0.05,1,0.4994,0.4996997,0.9984,0.666044029,0.9996,,,,,,,,
0.79,0.903988183,0.7196,0.850350989,0.533,0.655274158,0.0938,,,,,,,,
0.8,0.889217134,0.7125,0.868795557,0.5006,0.635198579,0.0756,,,,,,,,
0.81,0.877400295,0.7057,0.886508831,0.4718,0.615846495,0.0604,,,,,,,,
0.82,0.850812408,0.6981,0.895093738,0.4488,0.597842014,0.0526,,,,,,,,
0.83,0.831610044,0.6879,0.895246109,0.4256,0.576928291,0.0498,,,,,,,,
0.84,0.800590842,0.6824,0.894463668,0.4136,0.565645514,0.0488,,,,,,,,
0.85,0.765140325,0.6775,0.892525431,0.4036,0.555846302,0.0486,,,,,,,,
0.86,0.711964549,0.6706,0.889142336,0.3898,0.541991101,0.0486,,,,,,,,
0.87,0.644017725,0.6642,0.88653484,0.3766,0.528635598,0.0482,,,,,,,,
0.88,0.531757755,0.6558,0.885643564,0.3578,0.50968661,0.0462,,,,,,,,
0.89,0.435745938,0.6406,0.879180151,0.326,0.475634666,0.0448,,,,,,,,
0.9,0.320531758,0.623,0.874087591,0.2874,0.432570741,0.0414,,,,,,,,
0.91,0.221565731,0.6002,0.860951009,0.239,0.374139011,0.0386,,,,,,,,
0.92,0.116691285,0.58,0.858422939,0.1916,0.313276651,0.0316,,,,,,,,
0.93,0.036927622,0.5582,0.864661654,0.138,0.238013108,0.0216,,,,,,,,
0.94,0.00295421,0.5344,0.917475728,0.0756,0.139689579,0.0068,,,,,,,,
0.95,0,0.5123,0.992,0.0248,0.048390244,0.0002,,,,,,,,
0.96,0,0.5012,1,0.0024,0.004788508,0,,,,,,,,
0.97,0,0.5002,1,0.0004,0.00079968,0,,,,,,,,
0.98,0,0.5,0,0,0,0,,,,,,,,
0.99,0,0.5,0,0,0,0,,,,,,,,
1,0,0.5,0,0,0,0,,,,,,,,
