threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.47,0.989708405,0.7362,0.673116388,0.9184,0.776856708,0.446,,,,,,,,,
0.46,0.989708405,0.7344,0.670002901,0.9238,0.776694131,0.455,,,,,,,,,
0.43,0.989708405,0.7301,0.662614841,0.9376,0.776480331,0.4774,,,0.67,0.965694683,0.7334,0.779186603,0.6514,0.709586057,0.1846
0.42,0.989708405,0.7281,0.659622113,0.9426,0.776121861,0.4864,,,,,,,,,
0.44,0.989708405,0.7312,0.665095687,0.9314,0.776037327,0.469,,,,,,,,,
0.48,0.989708405,0.7362,0.674549217,0.9128,0.775794663,0.4404,,,,,,,,,
0.45,0.989708405,0.7316,0.666762673,0.926,0.775284662,0.4628,,,,,,,,,
0.49,0.989708405,0.7352,0.67515639,0.9066,0.773945706,0.4362,,,,,,,,,
0.5,0.989708405,0.7355,0.675772503,0.9054,0.7739123,0.4344,,,,,,,,,
0.41,0.989708405,0.7231,0.654437214,0.9454,0.773459871,0.4992,,,,,,,,,
0.51,0.989708405,0.7347,0.676971799,0.8978,0.771902674,0.4284,,,,,,,,,
0.4,0.989708405,0.7178,0.649014778,0.9486,0.770718232,0.513,,,,,,,,,
0.52,0.989708405,0.7332,0.677419355,0.8904,0.769443484,0.424,,,,,,,,,
0.53,0.989708405,0.7333,0.67882876,0.8856,0.768549857,0.419,,,,,,,,,
0.39,0.989708405,0.7128,0.64390046,0.9522,0.768274972,0.5266,,,,,,,,,
0.54,0.989708405,0.7331,0.680893993,0.8774,0.766756969,0.4112,,,,,,,,,
0.38,0.993138937,0.7068,0.637609795,0.9582,0.765702413,0.5446,,,,,,,,,
0.55,0.989708405,0.7327,0.682911492,0.8688,0.764721415,0.4034,,,,,,,,,
0.37,0.993138937,0.6999,0.630910282,0.9634,0.76248516,0.5636,,,,,,,,,
0.56,0.989708405,0.7318,0.684612934,0.8596,0.762191878,0.396,,,,,,,,,
0.57,0.987993139,0.7327,0.688421053,0.8502,0.760805369,0.3848,,,,,,,,,
0.58,0.987993139,0.734,0.693324521,0.8392,0.75931958,0.3712,,,,,,,,,
0.36,1,0.6923,0.623952559,0.968,0.758799091,0.5834,,,,,,,,,
0.59,0.987993139,0.7348,0.698579161,0.826,0.756964809,0.3564,,,,,,,,,
0.35,1,0.6864,0.618034448,0.976,0.756823821,0.6032,,,,,,,,,
0.34,1,0.6782,0.611235955,0.9792,0.752651806,0.6228,,,,,,,,,
0.6,0.986277873,0.7343,0.704628821,0.8068,0.752261072,0.3382,,,,,,,,,
0.33,1,0.6703,0.604696914,0.9836,0.748953019,0.643,,,,,,,,,
0.61,0.984562607,0.7337,0.710048535,0.79,0.747893591,0.3226,,,,,,,,,
0.32,1,0.6647,0.600390101,0.985,0.746042566,0.6556,,,,,,,,,
0.31,1,0.6568,0.594185488,0.9892,0.742419694,0.6756,,,,,,,,,
0.62,0.984562607,0.7317,0.716501588,0.7668,0.740797991,0.3034,,,,,,,,,
0.3,1,0.6477,0.587282827,0.9938,0.73828096,0.6984,,,,,,,,,
0.63,0.984562607,0.7303,0.723462061,0.7456,0.734364227,0.285,,,,,,,,,
0.29,1,0.6375,0.580193631,0.9948,0.732925661,0.7198,,,,,,,,,
0.28,1,0.6302,0.575294934,0.9948,0.729004837,0.7344,,,,,,,,,
0.64,0.981132075,0.7299,0.732363048,0.7246,0.728460842,0.2648,,,,,,,,,
0.27,1,0.6215,0.569515963,0.9954,0.724506878,0.7524,,,,,,,,,
0.65,0.972555746,0.7321,0.74844787,0.6992,0.722986248,0.235,,,,,,,,,
0.26,1,0.6155,0.565632458,0.9954,0.72135662,0.7644,,,,,,,,,
0.25,1,0.6087,0.561280866,0.9956,0.717859975,0.7782,,,,,,,,,
0.66,0.969125214,0.7327,0.762108583,0.6766,0.716813222,0.2112,,,,,,,,,
0.24,1,0.6031,0.5577203,0.9962,0.715095829,0.79,,,,,,,,,
0.23,1,0.5998,0.555642284,0.9966,0.713487973,0.797,,,,,,,,,
