threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.42,0.975544143,0.7552,0.678411633,0.9704,0.798551679,0.46,,,,,,,,
0.43,0.975299584,0.7563,0.680824044,0.965,0.798378423,0.4524,,0.7,0.859378821,0.7399,0.760817569,0.6998,0.729034274,0.22
0.41,0.975788701,0.7532,0.675833333,0.9732,0.797704918,0.4668,,,,,,,,
0.44,0.974810467,0.756,0.681663355,0.9606,0.797443135,0.4486,,,,,,,,
0.4,0.976522377,0.7503,0.672454182,0.976,0.796279677,0.4754,,,,,,,,
0.45,0.972853999,0.7538,0.681389365,0.9534,0.794764922,0.4458,,,,,,,,
0.39,0.97774517,0.747,0.668669762,0.9792,0.794676189,0.4852,,,,,,,,
0.46,0.972120323,0.7533,0.68178556,0.95,0.793849753,0.4434,,,,,,,,
0.38,0.978234287,0.744,0.665625848,0.9806,0.792980754,0.4926,,,,,,,,
0.37,0.979946197,0.7428,0.66361186,0.9848,0.792914654,0.4992,,,,,,,,
0.36,0.982147224,0.74,0.660685592,0.9868,0.791466153,0.5068,,,,,,,,
0.47,0.971142089,0.7513,0.681653896,0.943,0.791306537,0.4404,,,,,,,,
0.35,0.983125459,0.7365,0.657435761,0.9876,0.789385341,0.5146,,,,,,,,
0.48,0.970163854,0.7488,0.680971778,0.9362,0.788445343,0.4386,,,,,,,,
0.49,0.968451944,0.7483,0.681585491,0.932,0.787361663,0.4354,,,,,,,,
0.34,0.983370017,0.7325,0.653830885,0.9882,0.78697141,0.5232,,,,,,,,
0.5,0.967962827,0.7481,0.68181152,0.9304,0.786940709,0.4342,,,,,,,,
0.51,0.966250917,0.7465,0.682511476,0.9218,0.784310389,0.4288,,,,,,,,
0.33,0.984103693,0.7273,0.649166557,0.9892,0.783897298,0.5346,,,,,,,,
0.52,0.964294449,0.7461,0.683519761,0.9166,0.783084152,0.4244,,,,,,,,
0.53,0.96233798,0.7463,0.684549678,0.9136,0.782660841,0.421,,,,,,,,
0.32,0.984837369,0.7241,0.646451444,0.9892,0.781914473,0.541,,,,,,,,
0.54,0.961359746,0.7456,0.685051236,0.9092,0.781368168,0.418,,,,,,,,
0.31,0.986549279,0.7209,0.643422932,0.991,0.780253523,0.5492,,,,,,,,
0.55,0.956957691,0.7439,0.685418884,0.9016,0.778785523,0.4138,,,,,,,,
0.56,0.956224016,0.743,0.686693301,0.8938,0.776677094,0.4078,,,,,,,,
0.3,0.986793837,0.7141,0.637649479,0.9918,0.776238554,0.5636,,,,,,,,
0.57,0.95377843,0.7422,0.687693738,0.8874,0.774886483,0.403,,,,,,,,
0.58,0.950599169,0.7419,0.689309751,0.8808,0.773377821,0.397,,,,,,,,
0.29,0.987527513,0.7063,0.631250795,0.9922,0.771599658,0.5796,,,,,,,,
0.59,0.947419907,0.7409,0.690434783,0.8734,0.771214128,0.3916,,,,,,,,
0.6,0.944240646,0.7414,0.693181818,0.8662,0.770092461,0.3834,,,,,,,,
0.61,0.939594033,0.7411,0.695793406,0.8568,0.767948373,0.3746,,,,,,,,
0.28,0.98801663,0.6977,0.62429272,0.993,0.766617772,0.5976,,,,,,,,
0.62,0.937393006,0.7409,0.698926507,0.8464,0.765626413,0.3646,,,,,,,,
0.63,0.934458303,0.7421,0.704372784,0.8344,0.763892703,0.3502,,,,,,,,
0.27,0.98801663,0.6892,0.61763243,0.9934,0.761692992,0.615,,,,,,,,
0.64,0.927855221,0.7415,0.707938695,0.8222,0.760803183,0.3392,,,,,,,,
0.65,0.918806554,0.7421,0.71535314,0.8042,0.757179173,0.32,,,,,,,,
0.26,0.988750306,0.6808,0.611220472,0.9936,0.756855576,0.632,,,,,,,,
0.66,0.912448031,0.7411,0.72107097,0.7864,0.752319908,0.3042,,,,,,,,
0.25,0.988994864,0.6702,0.603326858,0.9938,0.750831067,0.6534,,,,,,,,
0.67,0.901442896,0.741,0.728133283,0.7692,0.748103482,0.2872,,,,,,,,
0.24,0.98972854,0.6615,0.596996997,0.994,0.745966229,0.671,,,,,,,,
0.68,0.891905111,0.7428,0.739731438,0.7492,0.744435612,0.2636,,,,,,,,
0.23,0.98972854,0.6511,0.589588521,0.9944,0.740266508,0.6922,,,,,,,,
0.69,0.878698948,0.7419,0.749330035,0.727,0.737996143,0.2432,,,,,,,,
0.22,0.990217657,0.6422,0.583431119,0.9944,0.735394172,0.71,,,,,,,,
0.21,0.993886036,0.6336,0.57760223,0.9944,0.73074662,0.7272,,,,,,,,
0.7,0.859378821,0.7399,0.760817569,0.6998,0.729034274,0.22,,,,,,,,
0.2,0.994130594,0.6273,0.573371758,0.9948,0.727458867,0.7402,,,,,,,,
0.19,0.995597946,0.6205,0.568912273,0.9948,0.723859419,0.7538,,,,,,,,
0.18,0.995597946,0.6138,0.564571039,0.995,0.720388068,0.7674,,,,,,,,
0.71,0.84250428,0.7379,0.772134523,0.675,0.720307331,0.1992,,,,,,,,
0.17,0.995597946,0.6084,0.561118629,0.9952,0.717623305,0.7784,,,,,,,,
0.16,0.995597946,0.6033,0.55788412,0.9956,0.715075774,0.789,,,,,,,,
0.72,0.826118855,0.7393,0.789639313,0.6524,0.714489103,0.1738,,,,,,,,
0.15,0.998532649,0.5987,0.554998328,0.996,0.712803263,0.7986,,,,,,,,
0.14,0.998532649,0.5957,0.553125347,0.9964,0.711358606,0.805,,,,,,,,
0.13,1,0.5923,0.551011385,0.997,0.709760091,0.8124,,,,,,,,
0.73,0.807043287,0.7387,0.805477348,0.6294,0.706635231,0.152,,,,,,,,
0.12,1,0.577,0.541847826,0.997,0.702112676,0.843,,,,,,,,
0.74,0.790168745,0.737,0.823770492,0.603,0.69630485,0.129,,,,,,,,
0.11,1,0.558,0.530870769,0.9974,0.692927609,0.8814,,,,,,,,
0.1,1,0.5476,0.525057907,0.9974,0.68795696,0.9022,,,,,,,,
0.09,1,0.5444,0.523289971,0.9976,0.686484999,0.9088,,,,,,,,
0.75,0.775495231,0.7346,0.839409722,0.5802,0.686140019,0.111,,,,,,,,
0.08,1,0.5419,0.521916518,0.9978,0.685349268,0.914,,,,,,,,
0.07,1,0.5394,0.520550803,0.998,0.684217743,0.9192,,,,,,,,
0.06,1,0.53,0.515492667,0.9982,0.679880125,0.9382,,,,,,,,
0.76,0.76546833,0.7347,0.858539566,0.562,0.679318264,0.0926,,,,,,,,
0.05,1,0.5194,0.509910094,0.9982,0.675006762,0.9594,,,,,,,,
0.77,0.755685987,0.7328,0.872360845,0.5454,0.671178932,0.0798,,,,,,,,
0.04,1,0.5026,0.501305221,0.9986,0.667513369,0.9934,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,
0.02,1,0.4997,0.499849925,0.9992,0.666355452,0.9998,,,,,,,,
0.03,1,0.4995,0.499749775,0.9986,0.666133013,0.9996,,,,,,,,
0.78,0.744191734,0.729,0.88397049,0.5272,0.660486094,0.0692,,,,,,,,
0.79,0.730985571,0.7225,0.892970682,0.5056,0.645639127,0.0606,,,,,,,,
0.8,0.717779408,0.7149,0.897521273,0.4852,0.629884461,0.0554,,,,,,,,
0.81,0.706774272,0.7088,0.900306748,0.4696,0.617245005,0.052,,,,,,,,
0.82,0.696013695,0.7004,0.899840383,0.451,0.600852651,0.0502,,,,,,,,
0.83,0.672536072,0.6903,0.896623593,0.4302,0.581429923,0.0496,,,,,,,,
0.84,0.65932991,0.6824,0.894122731,0.4138,0.565764288,0.049,,,,,,,,
0.85,0.637564197,0.6754,0.891168599,0.3996,0.551781276,0.0488,,,,,,,,
0.86,0.621912448,0.6687,0.888888889,0.3856,0.537871391,0.0482,,,,,,,,
0.87,0.596967474,0.6626,0.8867745,0.3728,0.524922557,0.0476,,,,,,,,
0.88,0.557593544,0.6545,0.886443222,0.3544,0.506358051,0.0454,,,,,,,,
0.89,0.484470531,0.6405,0.8799351,0.3254,0.475105855,0.0444,,,,,,,,
0.9,0.388603571,0.6261,0.87777112,0.293,0.439346229,0.0408,,,,,,,,
0.91,0.288334556,0.6048,0.865921788,0.248,0.385572139,0.0384,,,,,,,,
0.92,0.17632673,0.5828,0.858131488,0.1984,0.322287199,0.0328,,,,,,,,
0.93,0.081193446,0.5656,0.871882086,0.1538,0.261475689,0.0226,,,,,,,,
0.94,0.030569821,0.5479,0.925399645,0.1042,0.187309006,0.0084,,,,,,,,
0.95,0.009048667,0.5265,0.996254682,0.0532,0.101006265,0.0002,,,,,,,,
0.96,0.004891171,0.5054,0.982142857,0.011,0.021756329,0.0002,,,,,,,,
