threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.51,0.93568092,0.7841,0.705720492,0.9746,0.818647627,0.4064,,,,,,,,
0.52,0.926518146,0.7844,0.707349081,0.9702,0.818181818,0.4014,,0.8,0.471433705,0.7737,0.776632302,0.7684,0.772494219,0.221
0.5,0.94852677,0.7828,0.703629032,0.9772,0.818151373,0.4116,,,,,,,,
0.49,0.951581028,0.7822,0.702846463,0.9778,0.817832051,0.4134,,,,,,,,
0.48,0.958138699,0.7812,0.701144492,0.9802,0.817514595,0.4178,,,,,,,,
0.47,0.963259073,0.7801,0.699529848,0.982,0.817039687,0.4218,,,,,,,,
0.53,0.917355372,0.7834,0.707406323,0.9666,0.81693712,0.3998,,,,,,,,
0.46,0.967301473,0.7787,0.697687615,0.9836,0.816333306,0.4262,,,,,,,,
0.45,0.972062522,0.7769,0.695633743,0.9846,0.815268693,0.4308,,,,,,,,
0.54,0.903611211,0.782,0.707413945,0.9618,0.815222919,0.3978,,,,,,,,
0.55,0.891304348,0.7809,0.707367489,0.9582,0.813896203,0.3964,,,,,,,,
0.44,0.974667625,0.7746,0.693108298,0.9856,0.813872832,0.4364,,,,,,,,
0.43,0.97826087,0.7739,0.692210526,0.9864,0.813525773,0.4386,,,,,,,,
0.56,0.876482213,0.7799,0.707425522,0.9546,0.812633013,0.3948,,,,,,,,
0.42,0.979338843,0.7723,0.69049951,0.987,0.812546308,0.4424,,,,,,,,
0.41,0.980955803,0.771,0.688981869,0.988,0.811832375,0.446,,,,,,,,
0.4,0.983291412,0.7696,0.68753478,0.9884,0.810961602,0.4492,,,,,,,,
0.39,0.985177866,0.7682,0.686094921,0.9888,0.810093397,0.4524,,,,,,,,
0.57,0.861929572,0.7774,0.706644815,0.9486,0.809938525,0.3938,,,,,,,,
0.38,0.985627021,0.7669,0.684859399,0.9888,0.809231525,0.455,,,,,,,,
0.37,0.986525332,0.7662,0.684144992,0.989,0.808799477,0.4566,,,,,,,,
0.36,0.986884657,0.766,0.68395574,0.989,0.808667212,0.457,,,,,,,,
0.35,0.988501617,0.7655,0.683381683,0.9894,0.808399379,0.4584,,,,,,,,
0.27,0.996316924,0.7645,0.681437783,0.9934,0.808365205,0.4644,,,,,,,,
0.34,0.990747395,0.7652,0.682896552,0.9902,0.808326531,0.4598,,,,,,,,
0.28,0.995328782,0.7645,0.681587258,0.9928,0.808271595,0.4638,,,,,,,,
0.29,0.994250808,0.7644,0.681693238,0.992,0.808080808,0.4632,,,,,,,,
0.32,0.991915199,0.7645,0.682137447,0.9906,0.807927575,0.4616,,,,,,,,
0.31,0.992633848,0.7644,0.681943298,0.991,0.807924344,0.4622,,,,,,,,
0.3,0.993352497,0.7643,0.681749415,0.9914,0.807921115,0.4628,,,,,,,,
0.33,0.991466044,0.7645,0.682187629,0.9904,0.807896239,0.4614,,,,,,,,
0.58,0.847466762,0.7755,0.706305227,0.9432,0.807741714,0.3922,,,,,,,,
0.26,0.996855911,0.7633,0.680268383,0.9936,0.807607901,0.467,,,,,,,,
0.25,0.997215235,0.7625,0.679376794,0.9942,0.807177072,0.4692,,,,,,,,
0.24,0.997844053,0.7618,0.678629913,0.9946,0.806781311,0.471,,,,,,,,
0.23,0.997933884,0.7605,0.677234998,0.9954,0.806057171,0.4744,,,,,,,,
0.22,0.998023715,0.7593,0.676083118,0.9956,0.805306155,0.477,,,,,,,,
0.59,0.825727632,0.7733,0.706015378,0.9366,0.805123356,0.39,,,,,,,,
0.21,0.998203378,0.7575,0.674387106,0.9958,0.804167003,0.4808,,,,,,,,
0.6,0.804886813,0.7711,0.705223316,0.9316,0.802757432,0.3894,,,,,,,,
0.2,0.998562702,0.7543,0.671430498,0.996,0.802126117,0.4874,,,,,,,,
0.61,0.783686669,0.7692,0.705182927,0.9252,0.800346021,0.3868,,,,,,,,
0.19,0.998922027,0.7509,0.668276325,0.9964,0.8,0.4946,,,,,,,,
0.62,0.767606899,0.7679,0.705602456,0.9194,0.798436822,0.3836,,,,,,,,
0.18,0.998922027,0.7468,0.664621131,0.9964,0.79737516,0.5028,,,,,,,,
0.63,0.752245778,0.7663,0.705573568,0.914,0.796375359,0.3814,,,,,,,,
0.17,0.998922027,0.7425,0.660830349,0.9964,0.794640721,0.5114,,,,,,,,
0.64,0.736076177,0.764,0.705351587,0.9068,0.793489674,0.3788,,,,,,,,
0.65,0.717750629,0.764,0.706766917,0.9024,0.792691497,0.3744,,,,,,,,
0.16,0.998922027,0.7381,0.656995912,0.9964,0.791862036,0.5202,,,,,,,,
0.66,0.701491197,0.7629,0.707367093,0.8968,0.790898668,0.371,,,,,,,,
0.67,0.686579231,0.7638,0.709631278,0.893,0.790825363,0.3654,,,,,,,,
0.68,0.66636723,0.7624,0.709987196,0.8872,0.788762447,0.3624,,,,,,,,
0.15,0.998922027,0.732,0.651753009,0.9964,0.788041759,0.5324,,,,,,,,
0.69,0.650556953,0.762,0.711631664,0.881,0.787310098,0.357,,,,,,,,
0.14,0.998922027,0.7257,0.646387339,0.9966,0.784168699,0.5452,,,,,,,,
0.7,0.62944664,0.7593,0.712785163,0.8686,0.783016317,0.35,,,,,,,,
0.71,0.60689903,0.7594,0.715305445,0.8618,0.781748911,0.343,,,,,,,,
0.72,0.582734459,0.7587,0.717944398,0.8522,0.779332419,0.3348,,,,,,,,
0.13,0.998922027,0.7173,0.639419992,0.9966,0.779019776,0.562,,,,,,,,
0.73,0.5594682,0.7577,0.720822622,0.8412,0.776372866,0.3258,,,,,,,,
0.75,0.522637442,0.7621,0.73347586,0.8234,0.77584095,0.2992,,,,,,,,
0.74,0.539525692,0.7594,0.726906928,0.831,0.775475924,0.3122,,,,,,,,
0.76,0.5040424,0.7633,0.740808487,0.81,0.773860705,0.2834,,,,,,,,
0.12,0.999640676,0.7084,0.632132894,0.997,0.7737079,0.5802,,,,,,,,
0.77,0.490837226,0.7652,0.747757848,0.8004,0.773183926,0.27,,,,,,,,
0.78,0.484189723,0.7681,0.756653264,0.7904,0.773158564,0.2542,,,,,,,,
0.79,0.478171038,0.7713,0.767396018,0.7786,0.772957411,0.236,,,,,,,,
0.8,0.471433705,0.7737,0.776632302,0.7684,0.772494219,0.221,,,,,,,,
0.81,0.463977722,0.774,0.786251567,0.7526,0.769057838,0.2046,,,,,,,,
0.11,1,0.6991,0.624671259,0.9976,0.768271082,0.5994,,,,,,,,
0.82,0.453018326,0.7754,0.796767241,0.7394,0.767012448,0.1886,,,,,,,,
0.83,0.444035214,0.7769,0.812035159,0.7206,0.763590124,0.1668,,,,,,,,
0.84,0.436040244,0.7798,0.828558008,0.7056,0.762151653,0.146,,,,,,,,
0.1,1,0.685,0.613804134,0.9978,0.760054845,0.6278,,,,,,,,
0.85,0.425170679,0.7819,0.845719892,0.6896,0.759722375,0.1258,,,,,,,,
0.86,0.412863816,0.7823,0.861459667,0.6728,0.755530601,0.1082,,,,,,,,
0.09,1,0.669,0.601905451,0.9982,0.750978032,0.6602,,,,,,,,
0.87,0.399838304,0.7825,0.879602257,0.6546,0.750601995,0.0896,,,,,,,,
0.08,1,0.6518,0.589673913,0.9982,0.741384433,0.6946,,,,,,,,
0.88,0.38582465,0.7784,0.892333709,0.6332,0.740758072,0.0764,,,,,,,,
0.07,1,0.6336,0.577261161,0.9982,0.731496409,0.731,,,,,,,,
0.89,0.374505929,0.7736,0.900937866,0.6148,0.730860675,0.0676,,,,,,,,
0.9,0.362738052,0.7674,0.902226233,0.5998,0.720567035,0.065,,,,,,,,
0.06,1,0.6113,0.562732499,0.9984,0.71977507,0.7758,,,,,,,,
0.05,1,0.5962,0.553314121,0.9984,0.712023962,0.806,,,,,,,,
0.04,1,0.5871,0.547778387,0.9986,0.707474318,0.8244,,,,,,,,
0.91,0.345041322,0.7584,0.902994386,0.579,0.705581282,0.0622,,,,,,,,
0.03,1,0.5806,0.543899782,0.9986,0.704231312,0.8374,,,,,,,,
0.02,1,0.5746,0.540341769,0.9992,0.701389864,0.85,,,,,,,,
0.92,0.323661516,0.7491,0.904777381,0.5568,0.689364863,0.0586,,,,,,,,
0.01,1,0.5201,0.510258242,0.9998,0.675677502,0.9596,,,,,,,,
0.93,0.297879986,0.7368,0.907152682,0.5276,0.667172484,0.054,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.94,0.263474668,0.721,0.906848306,0.4926,0.638413686,0.0506,,,,,,,,
0.95,0.225745598,0.7025,0.902904895,0.4538,0.604019699,0.0488,,,,,,,,
0.96,0.201221703,0.6856,0.9,0.4176,0.570491803,0.0464,,,,,,,,
0.97,0.131153432,0.6536,0.896694215,0.3472,0.500576701,0.04,,,,,,,,
0.98,0.019583184,0.5972,0.914675768,0.2144,0.347375243,0.02,,,,,,,,
0.99,0.000538987,0.5269,0.992673993,0.0542,0.102787787,0.0004,,,,,,,,
1,0,0.5,0,0,0,0,,,,,,,,
