threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.57,0.450903503,0.6738,0.674357945,0.6722,0.673277244,0.3246,,,,,,,,
0.58,0.438238567,0.6728,0.679401993,0.6544,0.666666667,0.3088,,,,,,,,
0.56,0.457898363,0.6718,0.667707927,0.684,0.675755779,0.3404,,0.6,0.420221504,0.671,0.690508021,0.6198,0.653246206,0.2778
0.6,0.420221504,0.671,0.690508021,0.6198,0.653246206,0.2778,,,,,,,,
0.62,0.402469397,0.6709,0.704866938,0.588,0.641151456,0.2462,,,,,,,,
0.61,0.415664247,0.6708,0.696683556,0.605,0.647612931,0.2634,,,,,,,,
0.52,0.485983785,0.6706,0.653804544,0.7252,0.687654087,0.384,,,,,,,,
0.59,0.427004398,0.6706,0.68344086,0.6356,0.65865285,0.2944,,,,,,,,
0.53,0.480419692,0.6705,0.655992681,0.717,0.685140946,0.376,,,,,,,,
0.54,0.472259022,0.6705,0.659256492,0.7058,0.681734763,0.3648,,,,,,,,
0.55,0.466006041,0.6695,0.661459326,0.6944,0.677529515,0.3554,,,,,,,,
0.63,0.391129246,0.6689,0.710966775,0.5692,0.6322337,0.2314,,,,,,,,
0.51,0.49319061,0.6681,0.649104133,0.7318,0.687975933,0.3956,,,,,,,,
0.64,0.381749775,0.6673,0.719381065,0.5486,0.622489504,0.214,,,,,,,,
0.65,0.364156642,0.6626,0.729920814,0.5162,0.604732896,0.191,,,,,,,,
0.66,0.347782311,0.657,0.737160121,0.488,0.587244284,0.174,,,,,,,,
0.67,0.321763553,0.65,0.744299674,0.457,0.566294919,0.157,,,,,,,,
0.5,0.502782047,0.6485,0.62497896,0.7426,0.678731377,0.4456,,,,,,,,
0.68,0.300461025,0.644,0.754057869,0.4274,0.54557059,0.1394,,,,,,,,
0.49,0.505961528,0.6392,0.614586763,0.7466,0.674191801,0.4682,,,,,,,,
0.69,0.283503789,0.6367,0.760579489,0.399,0.523415978,0.1256,,,,,,,,
0.7,0.259127762,0.6306,0.773450586,0.3694,0.5,0.1082,,,,,,,,
0.48,0.512426474,0.628,0.602040816,0.7552,0.669978708,0.4992,,,,,,,,
0.47,0.519209369,0.6226,0.595871129,0.762,0.668773038,0.5168,,,,,,,,
0.46,0.527846961,0.6179,0.590511285,0.7692,0.668114306,0.5334,,,,,,,,
0.71,0.229558582,0.6166,0.776041667,0.3278,0.460911136,0.0946,,,,,,,,
0.45,0.539664035,0.6117,0.583921863,0.7772,0.666838267,0.5538,,,,,,,,
0.44,0.554501616,0.6048,0.576900499,0.7862,0.665481632,0.5766,,,,,,,,
0.72,0.19914154,0.6038,0.782065217,0.2878,0.420760234,0.0802,,,,,,,,
0.43,0.564463992,0.5964,0.569094037,0.794,0.662992652,0.6012,,,,,,,,
