threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.63,0.980549199,0.8013,0.782698442,0.8342,0.807629006,0.2316,,,,,,,,
0.61,0.991990847,0.7935,0.756870296,0.8648,0.807243536,0.2778,,0.66,0.903318078,0.8081,0.830083565,0.7748,0.801489604,0.1586
0.62,0.988844394,0.797,0.769021739,0.849,0.807034221,0.255,,,,,,,,
0.64,0.967963387,0.8041,0.796335997,0.8172,0.806633106,0.209,,,,,,,,
0.65,0.936498856,0.8043,0.812358859,0.7914,0.801742478,0.1828,,,,,,,,
0.66,0.903318078,0.8081,0.830083565,0.7748,0.801489604,0.1586,,,,,,,,
0.6,0.994565217,0.7785,0.731504572,0.88,0.798910576,0.323,,,,,,,,
0.67,0.86298627,0.8085,0.84194192,0.7596,0.79865419,0.1426,,,,,,,,
0.68,0.824656751,0.8089,0.855302507,0.7436,0.795549374,0.1258,,,,,,,,
0.69,0.776601831,0.8092,0.867570138,0.7298,0.792743863,0.1114,,,,,,,,
0.7,0.727116705,0.811,0.880940715,0.7192,0.791896058,0.0972,,,,,,,,
0.59,0.995709382,0.7625,0.70718232,0.896,0.790471989,0.371,,,,,,,,
0.71,0.67305492,0.8114,0.893380495,0.7072,0.789461933,0.0844,,,,,,,,
0.58,0.997139588,0.7511,0.69095057,0.9086,0.784967603,0.4064,,,,,,,,
0.52,0.999713959,0.7344,0.661744411,0.959,0.783112853,0.4902,,,,,,,,
0.72,0.623855835,0.8078,0.899118257,0.6934,0.782971996,0.0778,,,,,,,,
0.54,0.999427918,0.7369,0.666948555,0.9464,0.782472096,0.4726,,,,,,,,
0.53,0.999427918,0.735,0.663785894,0.9524,0.782322983,0.4824,,,,,,,,
0.49,1,0.729,0.653732546,0.9738,0.782294344,0.5158,,,,,,,,
0.51,1,0.7321,0.658863792,0.9626,0.782283625,0.4984,,,,,,,,
0.5,1,0.7296,0.65484219,0.971,0.782181408,0.5118,,,,,,,,
0.57,0.99771167,0.7437,0.680438324,0.919,0.781928018,0.4316,,,,,,,,
0.48,1,0.7271,0.651218538,0.978,0.781837077,0.5238,,,,,,,,
0.55,0.999427918,0.7369,0.668997004,0.9378,0.780914314,0.464,,,,,,,,
0.47,1,0.7243,0.64820933,0.981,0.780615899,0.5324,,,,,,,,
0.56,0.998569794,0.7384,0.672803711,0.9282,0.780131114,0.4514,,,,,,,,
0.46,1,0.7214,0.645275591,0.9834,0.779239303,0.5406,,,,,,,,
0.45,1,0.7184,0.642298671,0.9858,0.777812845,0.549,,,,,,,,
0.44,1,0.7152,0.639125937,0.9886,0.776346788,0.5582,,,,,,,,
0.73,0.570366133,0.8036,0.902225755,0.681,0.776156827,0.0738,,,,,,,,
0.43,1,0.7096,0.634255701,0.9902,0.773231298,0.571,,,,,,,,
0.74,0.527745995,0.8012,0.906148867,0.672,0.77170418,0.0696,,,,,,,,
0.42,1,0.704,0.629507364,0.9916,0.770114943,0.5836,,,,,,,,
0.41,1,0.6988,0.625157391,0.993,0.767269356,0.5954,,,,,,,,
0.75,0.503146453,0.7976,0.906335336,0.6638,0.766335719,0.0686,,,,,,,,
0.4,1,0.6931,0.620581991,0.9938,0.764050127,0.6076,,,,,,,,
0.76,0.481407323,0.7954,0.907111356,0.6582,0.76286509,0.0674,,,,,,,,
0.39,1,0.6872,0.615927669,0.9946,0.76074652,0.6202,,,,,,,,
0.8,0.465961098,0.7939,0.908307863,0.6538,0.760320968,0.066,,,,,,,,
0.79,0.465961098,0.7937,0.907803388,0.6538,0.760144169,0.0664,,,,,,,,
0.77,0.466533181,0.7935,0.906847796,0.6542,0.760079005,0.0672,,,,,,,,
0.81,0.465675057,0.7937,0.908256881,0.6534,0.76003257,0.066,,,,,,,,
0.78,0.465961098,0.7935,0.907299473,0.6538,0.759967453,0.0668,,,,,,,,
0.82,0.465675057,0.7933,0.908154745,0.6526,0.759455371,0.066,,,,,,,,
0.83,0.465675057,0.7932,0.908356546,0.6522,0.759254948,0.0658,,,,,,,,
0.85,0.465675057,0.7932,0.908812047,0.6518,0.759142791,0.0654,,,,,,,,
0.84,0.465675057,0.793,0.908305463,0.6518,0.758965999,0.0658,,,,,,,,
0.86,0.465675057,0.7932,0.909726104,0.651,0.758918163,0.0646,,,,,,,,
0.87,0.465675057,0.793,0.910824453,0.6496,0.758346953,0.0636,,,,,,,,
0.38,1,0.6813,0.611377319,0.9952,0.757439683,0.6326,,,,,,,,
0.88,0.465389016,0.7922,0.911317568,0.6474,0.757015903,0.063,,,,,,,,
0.89,0.465389016,0.7925,0.913486005,0.6462,0.756940377,0.0612,,,,,,,,
0.9,0.464816934,0.7918,0.914253265,0.644,0.755691152,0.0604,,,,,,,,
0.91,0.464816934,0.7916,0.917525773,0.6408,0.754592558,0.0576,,,,,,,,
0.92,0.462814645,0.7912,0.920566147,0.6374,0.753249823,0.055,,,,,,,,
0.37,1,0.6736,0.605544747,0.996,0.753176044,0.6488,,,,,,,,
0.36,1,0.6664,0.600192678,0.9968,0.749248346,0.664,,,,,,,,
0.93,0.460812357,0.7873,0.921879589,0.6278,0.746936347,0.0532,,,,,,,,
0.35,1,0.66,0.595533795,0.9974,0.745775385,0.6774,,,,,,,,
0.34,1,0.6526,0.590295858,0.9976,0.741710037,0.6924,,,,,,,,
0.94,0.460812357,0.783,0.923145933,0.6174,0.739932886,0.0514,,,,,,,,
0.33,1,0.6443,0.584534271,0.9978,0.737199852,0.7092,,,,,,,,
0.32,1,0.6388,0.580791618,0.9978,0.734216336,0.7202,,,,,,,,
0.31,1,0.6303,0.575100865,0.9978,0.729652651,0.7372,,,,,,,,
0.3,1,0.6225,0.569960023,0.998,0.725554344,0.753,,,,,,,,
0.95,0.459668192,0.7721,0.922384353,0.5942,0.722783116,0.05,,,,,,,,
0.29,1,0.613,0.563827384,0.9982,0.720617961,0.7722,,,,,,,,
0.28,1,0.6031,0.557578465,0.9984,0.715545044,0.7922,,,,,,,,
0.27,1,0.5947,0.552395707,0.9984,0.71126309,0.809,,,,,,,,
0.96,0.457379863,0.763,0.923646907,0.5734,0.707551826,0.0474,,,,,,,,
0.26,1,0.5862,0.547227701,0.9988,0.707064987,0.8264,,,,,,,,
0.25,1,0.5769,0.541698297,0.999,0.702482245,0.8452,,,,,,,,
0.24,1,0.5661,0.535427163,0.999,0.697187522,0.8668,,,,,,,,
0.23,1,0.5461,0.524184241,0.9992,0.687633336,0.907,,,,,,,,
0.22,1,0.5374,0.519442712,0.9992,0.68354084,0.9244,,,,,,,,
0.21,1,0.5306,0.515795994,0.9992,0.680375868,0.938,,,,,,,,
0.2,1,0.5252,0.512936345,0.9992,0.677883311,0.9488,,,,,,,,
0.19,1,0.5203,0.510368781,0.9992,0.675637298,0.9586,,,,,,,,
0.18,1,0.5156,0.507930053,0.9992,0.673496899,0.968,,,,,,,,
0.17,1,0.5109,0.50551452,0.9992,0.671370019,0.9774,,,,,,,,
0.16,1,0.5085,0.504288165,0.9996,0.670377574,0.9826,,,,,,,,
0.15,1,0.5058,0.502918092,0.9996,0.669165886,0.988,,,,,,,,
0.14,1,0.5033,0.501656128,0.9996,0.668047851,0.993,,,,,,,,
0.13,1,0.5006,0.5003003,0.9996,0.666844563,0.9984,,,,,,,,
0.12,1,0.5001,0.500050015,0.9998,0.666666667,0.9996,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.02,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.03,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.04,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.05,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.06,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.07,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.08,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.09,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.1,1,0.5,0.5,0.9998,0.666622216,0.9998,,,,,,,,
0.11,1,0.5,0.5,0.9998,0.666622216,0.9998,,,,,,,,
0.97,0.433352403,0.7375,0.922147174,0.5188,0.664021503,0.0438,,,,,,,,
0.98,0.056350114,0.6436,0.963225806,0.2986,0.455877863,0.0114,,,,,,,,
0.99,0.005720824,0.5191,1,0.0382,0.073588904,0,,,,,,,,
1,0,0.5,0,0,0,0,,,,,,,,
