threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,
0.52,1,0.7653,0.700286879,0.9276,0.798072787,0.397,,,
0.51,1,0.7604,0.691470588,0.9404,0.796949153,0.4196,,,
0.53,1,0.766,0.705373687,0.9136,0.796096201,0.3816,,,0.65
0.54,1,0.7651,0.708773035,0.9,0.793021412,0.3698,,,
0.55,1,0.767,0.714630225,0.889,0.792335116,0.355,,,
0.56,1,0.7666,0.719171325,0.8748,0.789388197,0.3416,,,
0.5,1,0.7428,0.669932811,0.9572,0.788208169,0.4716,,,
0.57,1,0.7675,0.724149489,0.8642,0.788000365,0.3292,,,
0.58,1,0.7686,0.729259133,0.8544,0.786885246,0.3172,,,
0.61,0.931818182,0.7745,0.748057112,0.8278,0.785910947,0.2788,,,
0.59,0.977272727,0.7697,0.734236582,0.8454,0.785906851,0.306,,,
0.49,1,0.7378,0.664181165,0.962,0.785819311,0.4864,,,
0.62,0.795454545,0.7764,0.755169867,0.818,0.785330261,0.2652,,,
0.6,0.954545455,0.7707,0.739007593,0.837,0.784957329,0.2956,,,
0.63,0.727272727,0.7784,0.762839879,0.808,0.784770785,0.2512,,,
0.64,0.636363636,0.7804,0.771810779,0.7962,0.783815712,0.2354,,,
0.65,0.409090909,0.7843,0.787578394,0.7786,0.783063462,0.21,,,
0.66,0.386363636,0.7873,0.803379092,0.7608,0.781510015,0.1862,,,
0.48,1,0.726,0.652373247,0.9676,0.77931701,0.5156,,,
0.67,0.227272727,0.7888,0.819751993,0.7404,0.778058008,0.1628,,,
0.68,0.181818182,0.7906,0.836498379,0.7224,0.775273664,0.1412,,,
0.47,1,0.7177,0.644497544,0.971,0.774754648,0.5356,,,
0.69,0.181818182,0.7925,0.85198556,0.708,0.773347897,0.123,,,
0.7,0.181818182,0.7947,0.870319176,0.6926,0.771355385,0.1032,,,
0.46,1,0.7113,0.638630101,0.9734,0.771254259,0.5508,,,
0.71,0.181818182,0.7962,0.883281573,0.6826,0.770081227,0.0902,,,
0.45,1,0.7061,0.633779047,0.9764,0.76863733,0.5642,,,
0.44,1,0.7042,0.631470512,0.9808,0.768290772,0.5724,,,
0.43,1,0.7023,0.629496863,0.9834,0.767621575,0.5788,,,
