threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,0.72,0.8818316,0.8076,0.762278308,0.894,0.822901325,0.2788
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.72,0.8818316,0.8076,0.762278308,0.894,0.822901325,0.2788,,,,,,,,
0.73,0.8788774,0.8074,0.762465847,0.893,0.822586588,0.2782,,,,,,,,
0.75,0.8759232,0.8074,0.762914814,0.892,0.822423013,0.2772,,,,,,,,
0.77,0.8759232,0.8076,0.763717421,0.8908,0.822378139,0.2756,,,,,,,,
0.74,0.8759232,0.8072,0.762564103,0.8922,0.822304147,0.2778,,,,,,,,
0.76,0.8759232,0.8074,0.763275094,0.8912,0.822291936,0.2764,,,,,,,,
0.71,0.8818316,0.8062,0.759843856,0.8954,0.822071245,0.283,,,,,,,,
0.67,0.89807975,0.8041,0.753966928,0.9028,0.821698371,0.2946,,,,,,,,
0.68,0.89512557,0.8043,0.754729617,0.9016,0.821653149,0.293,,,,,,,,
0.7,0.88478583,0.8047,0.756870679,0.8978,0.821333821,0.2884,,,,,,,,
0.78,0.872969,0.8064,0.763230241,0.8884,0.821072089,0.2756,,,,,,,,
0.69,0.89512557,0.8039,0.755078059,0.8996,0.821027654,0.2918,,,,,,,,
0.79,0.8700148,0.8065,0.76381477,0.8874,0.820982515,0.2744,,,,,,,,
0.8,0.8700148,0.8064,0.763864967,0.887,0.820840274,0.2742,,,,,,,,
0.81,0.86706054,0.8063,0.763915216,0.8866,0.820697954,0.274,,,,,,,,
0.83,0.86262923,0.8058,0.764075993,0.8848,0.820018536,0.2732,,,,,,,,
0.4,0.93205315,0.7954,0.732013823,0.932,0.819989442,0.3412,,,,,,,,
0.66,0.89807975,0.8016,0.750498339,0.9036,0.819963702,0.3004,,,,,,,,
0.82,0.86410636,0.8056,0.76363009,0.8852,0.819933309,0.274,,,,,,,,
0.41,0.93205315,0.7952,0.731929604,0.9316,0.819781767,0.3412,,,,,,,,
0.84,0.86262923,0.8056,0.764268419,0.8838,0.819699499,0.2726,,,,,,,,
0.42,0.93205315,0.7951,0.732033339,0.931,0.819614403,0.3408,,,,,,,,
0.39,0.93205315,0.7948,0.731251961,0.9322,0.819588535,0.3426,,,,,,,,
0.38,0.93205315,0.7945,0.730618637,0.933,0.819499341,0.344,,,,,,,,
0.28,0.9379616,0.7922,0.724561943,0.9428,0.819398575,0.3584,,,,,,,,
0.6,0.9261448,0.7972,0.738829958,0.9194,0.81928355,0.325,,,,,,,,
0.35,0.93205315,0.7938,0.729173167,0.9348,0.819281332,0.3472,,,,,,,,
0.56,0.93205315,0.7961,0.735785953,0.924,0.819221562,0.3318,,,,,,,,
0.27,0.9379616,0.7919,0.724159115,0.943,0.819216402,0.3592,,,,,,,,
0.59,0.9305761,0.7968,0.737896762,0.9206,0.819184908,0.327,,,,,,,,
0.86,0.8581979,0.8057,0.766057441,0.8802,0.819171708,0.2688,,,,,,,,
0.37,0.93205315,0.7939,0.729717055,0.9336,0.819162938,0.3458,,,,,,,,
0.36,0.93205315,0.7938,0.729459544,0.934,0.819154534,0.3464,,,,,,,,
0.61,0.9261448,0.7973,0.739564867,0.9178,0.819098617,0.3232,,,,,,,,
0.26,0.9379616,0.7916,0.723688248,0.9434,0.81906581,0.3602,,,,,,,,
0.85,0.85967505,0.8053,0.765063379,0.8812,0.819035226,0.2706,,,,,,,,
0.29,0.9379616,0.7919,0.724573011,0.9418,0.819027742,0.358,,,,,,,,
0.43,0.93205315,0.7945,0.731780261,0.9298,0.818990575,0.3408,,,,,,,,
0.58,0.9305761,0.7963,0.736926275,0.9216,0.818981605,0.329,,,,,,,,
0.57,0.9305761,0.796,0.736119974,0.9228,0.818956337,0.3308,,,,,,,,
0.25,0.9379616,0.7914,0.723397731,0.9436,0.818955043,0.3608,,,,,,,,
0.55,0.93205315,0.7956,0.734976153,0.9246,0.818954827,0.3334,,,,,,,,
0.87,0.8537666,0.8055,0.76625414,0.8792,0.818850703,0.2682,,,,,,,,
0.34,0.93205315,0.793,0.727980081,0.9356,0.818834238,0.3496,,,,,,,,
0.3,0.93205315,0.7917,0.724695733,0.9408,0.8187277,0.3574,,,,,,,,
0.53,0.93205315,0.795,0.733904218,0.9256,0.818680347,0.3356,,,,,,,,
0.54,0.93205315,0.7951,0.734243531,0.925,0.818656518,0.3348,,,,,,,,
0.88,0.8537666,0.8054,0.766492147,0.8784,0.818639329,0.2676,,,,,,,,
0.24,0.9379616,0.7909,0.722843573,0.9436,0.818599809,0.3618,,,,,,,,
0.23,0.9379616,0.7907,0.722485841,0.944,0.818520766,0.3626,,,,,,,,
0.45,0.93205315,0.794,0.731715006,0.9284,0.818406206,0.3404,,,,,,,,
0.46,0.93205315,0.794,0.731715006,0.9284,0.818406206,0.3404,,,,,,,,
0.44,0.93205315,0.7939,0.731526706,0.9286,0.818366088,0.3408,,,,,,,,
0.52,0.93205315,0.7944,0.733058898,0.926,0.818310357,0.3372,,,,,,,,
0.33,0.93205315,0.792,0.726567349,0.9364,0.818245369,0.3524,,,,,,,,
0.14,0.9379616,0.79,0.721238938,0.9454,0.818244764,0.3654,,,,,,,,
0.62,0.9143279,0.7967,0.739854487,0.9152,0.818238713,0.3218,,,,,,,,
0.22,0.9379616,0.7903,0.722043751,0.944,0.818236977,0.3634,,,,,,,,
0.31,0.93205315,0.7913,0.724872626,0.939,0.818158055,0.3564,,,,,,,,
0.65,0.89807975,0.7988,0.746372032,0.9052,0.818148952,0.3076,,,,,,,,
0.17,0.9379616,0.7899,0.721263929,0.945,0.818110986,0.3652,,,,,,,,
0.13,0.9379616,0.7898,0.721018914,0.9454,0.81810315,0.3658,,,,,,,,
0.12,0.9379616,0.7897,0.720774272,0.9458,0.81809532,0.3664,,,,,,,,
0.51,0.93205315,0.794,0.732447818,0.9264,0.818085482,0.3384,,,,,,,,
0.15,0.9379616,0.7898,0.721153846,0.945,0.818040166,0.3654,,,,,,,,
0.16,0.9379616,0.7898,0.721153846,0.945,0.818040166,0.3654,,,,,,,,
0.47,0.93205315,0.7937,0.731734259,0.9274,0.818029461,0.34,,,,,,,,
0.5,0.93205315,0.7939,0.732332016,0.9264,0.818013245,0.3386,,,,,,,,
0.21,0.9379616,0.7899,0.721534464,0.9442,0.817984926,0.3644,,,,,,,,
0.19,0.9379616,0.7898,0.721288943,0.9446,0.817977139,0.365,,,,,,,,
0.2,0.9379616,0.7898,0.721288943,0.9446,0.817977139,0.365,,,,,,,,
0.18,0.9379616,0.7897,0.721178806,0.9446,0.817906312,0.3652,,,,,,,,
0.49,0.93205315,0.7935,0.731722722,0.9268,0.817788758,0.3398,,,,,,,,
0.48,0.93205315,0.7934,0.731607199,0.9268,0.817716605,0.34,,,,,,,,
0.11,0.9379616,0.7886,0.719567864,0.9458,0.817317663,0.3686,,,,,,,,
0.32,0.93205315,0.7905,0.724671307,0.937,0.817269952,0.356,,,,,,,,
0.89,0.844904,0.8042,0.766281513,0.8754,0.817214339,0.267,,,,,,,,
0.63,0.9054653,0.7958,0.740175382,0.9116,0.816992293,0.32,,,,,,,,
0.1,0.9379616,0.7876,0.718408262,0.946,0.816643646,0.3708,,,,,,,,
0.9,0.8404727,0.8034,0.766047001,0.8736,0.816296019,0.2668,,,,,,,,
0.09,0.9379616,0.7871,0.717863105,0.946,0.816291311,0.3718,,,,,,,,
0.08,0.9379616,0.787,0.717622081,0.9464,0.816284285,0.3724,,,,,,,,
0.64,0.8995569,0.7955,0.741067058,0.9084,0.816245844,0.3174,,,,,,,,
0.07,0.9379616,0.7859,0.716426949,0.9464,0.815510556,0.3746,,,,,,,,
