threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
1.13,0.9759863,0.8116,0.803822153,0.8244,0.813981043,0.2012,,,1.13,0.9759863,0.8116,0.803822153,0.8244,0.813981043,0.2012
1.1,0.9794168,0.8083,0.791674551,0.8368,0.813612056,0.2202,,,,,,,,,
1.12,0.97770154,0.81,0.799112312,0.8282,0.813396189,0.2082,,,,,,,,,
1.08,0.9811321,0.806,0.783964365,0.8448,0.813246053,0.2328,,,,,,,,,
1.11,0.97770154,0.8088,0.795107034,0.832,0.813135262,0.2144,,,,,,,,,
1.09,0.9811321,0.8063,0.787066542,0.8398,0.812578616,0.2272,,,,,,,,,
1.07,0.9811321,0.8043,0.780150985,0.8474,0.812386157,0.2388,,,,,,,,,
1.14,0.9759863,0.8099,0.80507974,0.8178,0.811390019,0.198,,,,,,,,,
1.05,0.9811321,0.8014,0.773007246,0.8534,0.81121673,0.2506,,,,,,,,,
1.06,0.9811321,0.8023,0.776274904,0.8494,0.811192818,0.2448,,,,,,,,,
1.04,0.9811321,0.7999,0.769355128,0.8566,0.810636888,0.2568,,,,,,,,,
1.03,0.9811321,0.7986,0.766226819,0.8594,0.810143288,0.2622,,,,,,,,,
0.99,0.9811321,0.7948,0.75554785,0.8716,0.809435364,0.282,,,,,,,,,
0.98,0.98284733,0.794,0.753535702,0.8738,0.80922393,0.2858,,,,,,,,,
1.01,0.9811321,0.7958,0.75956476,0.8656,0.809123201,0.274,,,,,,,,,
0.97,0.98284733,0.7934,0.751975266,0.8756,0.809092589,0.2888,,,,,,,,,
1,0.9811321,0.7948,0.756883932,0.8686,0.808902961,0.279,,,,,,,,,
1,0.9811321,0.7948,0.756883932,0.8686,0.808902961,0.279,,,,,,,,,
1.02,0.9811321,0.7964,0.762300885,0.8614,0.808826291,0.2686,,,,,,,,,
0.96,0.9862779,0.7914,0.748889648,0.8768,0.807812788,0.294,,,,,,,,,
1.15,0.974271,0.8068,0.806432281,0.8074,0.80691585,0.1938,,,,,,,,,
0.95,0.9862779,0.7894,0.745754076,0.8782,0.806576047,0.2994,,,,,,,,,
0.93,0.9862779,0.7875,0.742125653,0.8812,0.805705404,0.3062,,,,,,,,,
0.94,0.9862779,0.7878,0.743238675,0.8794,0.805606449,0.3038,,,,,,,,,
0.91,0.9862779,0.7858,0.737533245,0.8874,0.805555556,0.3158,,,,,,,,,
0.9,0.9862779,0.7853,0.736292861,0.889,0.805472502,0.3184,,,,,,,,,
0.88,0.9862779,0.7839,0.732514333,0.8944,0.805402972,0.3266,,,,,,,,,
0.92,0.9862779,0.7862,0.739137701,0.8846,0.805353241,0.3122,,,,,,,,,
0.87,0.9862779,0.7827,0.730624898,0.8956,0.804744362,0.3302,,,,,,,,,
0.89,0.9862779,0.7838,0.733849703,0.8906,0.804662089,0.323,,,,,,,,,
0.86,0.9862779,0.7815,0.728453173,0.8976,0.804229012,0.3346,,,,,,,,,
0.85,0.9862779,0.7806,0.726509525,0.9,0.804002144,0.3388,,,,,,,,,
0.84,0.9862779,0.7794,0.724598071,0.9014,0.803386809,0.3426,,,,,,,,,
1.16,0.974271,0.8049,0.810046776,0.7966,0.803267117,0.1868,,,,,,,,,
0.83,0.9862779,0.7786,0.723380372,0.9022,0.802954788,0.345,,,,,,,,,
0.81,0.9862779,0.7772,0.721052632,0.9042,0.80230701,0.3498,,,,,,,,,
0.82,0.9862779,0.7776,0.722151088,0.9024,0.80227596,0.3472,,,,,,,,,
0.8,0.9862779,0.7755,0.718754963,0.9052,0.801274675,0.3542,,,,,,,,,
0.79,0.9862779,0.7737,0.716226892,0.9066,0.800247153,0.3592,,,,,,,,,
0.78,0.9862779,0.7724,0.714353163,0.9078,0.799542012,0.363,,,,,,,,,
0.77,0.9862779,0.7717,0.713231832,0.9088,0.799226101,0.3654,,,,,,,,,
0.75,0.9862779,0.7704,0.710460772,0.9128,0.799019608,0.372,,,,,,,,,
