threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0,1,0.7358,0.655090766,0.996,0.790350738,0.5244,,,,,,,,
0.01,1,0.7358,0.655090766,0.996,0.790350738,0.5244,,,,,,,,
0.02,1,0.7358,0.655090766,0.996,0.790350738,0.5244,,1.28,0.83272195,0.7569,0.747542879,0.7758,0.761409363,0.262
0.03,1,0.7358,0.655090766,0.996,0.790350738,0.5244,,,,,,,,
0.04,1,0.7358,0.655090766,0.996,0.790350738,0.5244,,,,,,,,
0.05,1,0.7358,0.655090766,0.996,0.790350738,0.5244,,,,,,,,
0.06,1,0.7358,0.655090766,0.996,0.790350738,0.5244,,,,,,,,
0.17,0.99975544,0.736,0.655426765,0.9952,0.790343075,0.5232,,,,,,,,
0.21,0.9995109,0.736,0.655467721,0.995,0.79030977,0.523,,,,,,,,
0.18,0.9995109,0.7359,0.655381373,0.995,0.790247002,0.5232,,,,,,,,
0.19,0.9995109,0.7359,0.655381373,0.995,0.790247002,0.5232,,,,,,,,
0.2,0.9995109,0.7359,0.655381373,0.995,0.790247002,0.5232,,,,,,,,
0.22,0.9995109,0.7358,0.655376911,0.9946,0.790117572,0.523,,,,,,,,
0.23,0.9995109,0.7358,0.655376911,0.9946,0.790117572,0.523,,,,,,,,
0.24,0.9995109,0.7358,0.655376911,0.9946,0.790117572,0.523,,,,,,,,
0.16,0.99975544,0.7356,0.655081622,0.9952,0.790092093,0.524,,,,,,,,
0.11,1,0.7355,0.654995393,0.9952,0.790029372,0.5242,,,,,,,,
0.12,1,0.7355,0.654995393,0.9952,0.790029372,0.5242,,,,,,,,
0.13,1,0.7355,0.654995393,0.9952,0.790029372,0.5242,,,,,,,,
0.14,1,0.7355,0.654995393,0.9952,0.790029372,0.5242,,,,,,,,
0.15,0.99975544,0.7355,0.654995393,0.9952,0.790029372,0.5242,,,,,,,,
0.25,0.9995109,0.7357,0.655331488,0.9944,0.790021451,0.523,,,,,,,,
0.26,0.9995109,0.7357,0.655331488,0.9944,0.790021451,0.523,,,,,,,,
0.07,1,0.7354,0.654909187,0.9952,0.789966661,0.5244,,,,,,,,
0.08,1,0.7354,0.654909187,0.9952,0.789966661,0.5244,,,,,,,,
0.09,1,0.7354,0.654909187,0.9952,0.789966661,0.5244,,,,,,,,
0.1,1,0.7354,0.654909187,0.9952,0.789966661,0.5244,,,,,,,,
0.27,0.99804354,0.7354,0.655195148,0.9938,0.789732994,0.523,,,,,,,,
0.28,0.99510884,0.7352,0.655104194,0.9934,0.789540614,0.523,,,,,,,,
0.29,0.9948643,0.7351,0.655058699,0.9932,0.7894444,0.523,,,,,,,,
0.3,0.9948643,0.7351,0.655099617,0.993,0.789410923,0.5228,,,,,,,,
0.31,0.9948643,0.7351,0.655099617,0.993,0.789410923,0.5228,,,,,,,,
0.32,0.9941306,0.7349,0.655090453,0.9922,0.789151356,0.5224,,,,,,,,
0.33,0.9941306,0.7349,0.655131423,0.992,0.789117811,0.5222,,,,,,,,
0.34,0.9941306,0.7348,0.655085865,0.9918,0.78902148,0.5222,,,,,,,,
0.35,0.99388605,0.7345,0.654949121,0.9912,0.788732394,0.5222,,,,,,,,
0.36,0.9924187,0.7344,0.654903516,0.991,0.788636002,0.5222,,,,,,,,
0.37,0.99217415,0.7342,0.654812269,0.9906,0.788443171,0.5222,,,,,,,,
0.38,0.98899484,0.7339,0.654675307,0.99,0.788153809,0.5222,,,,,,,,
0.81,0.9564686,0.7462,0.676361032,0.9442,0.788146912,0.4518,,,,,,,,
0.39,0.98899484,0.7337,0.65458394,0.9896,0.787960825,0.5222,,,,,,,,
0.78,0.962338,0.7444,0.673333333,0.9494,0.787883817,0.4606,,,,,,,,
0.4,0.9885057,0.7336,0.654538238,0.9894,0.78786431,0.5222,,,,,,,,
0.79,0.9594033,0.7446,0.673869775,0.948,0.787767991,0.4588,,,,,,,,
0.76,0.9650281,0.743,0.670982269,0.9536,0.787708574,0.4676,,,,,,,,
