threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.86,0.8972332,0.8172,0.787735849,0.8684,0.826103501,0.234,,,,,,,,
0.87,0.8794466,0.8186,0.794890781,0.8588,0.82561046,0.2216,,0.89,0.8410888,0.8195,0.806445425,0.8408,0.823264467,0.2018
0.85,0.9128638,0.8123,0.77486358,0.8804,0.824267391,0.2558,,,,,,,,
0.84,0.9236435,0.8103,0.769217421,0.8866,0.823748026,0.266,,,,,,,,
0.88,0.8627381,0.8181,0.799811499,0.8486,0.823483746,0.2124,,,,,,,,
0.89,0.8410888,0.8195,0.806445425,0.8408,0.823264467,0.2018,,,,,,,,
0.83,0.9327165,0.8083,0.764272244,0.8916,0.823040709,0.275,,,,,,,,
0.82,0.93945384,0.8053,0.758684969,0.8954,0.821392533,0.2848,,,,,,,,
0.9,0.8062343,0.8191,0.814632222,0.8262,0.820375335,0.188,,,,,,,,
0.81,0.94592166,0.8016,0.752850436,0.898,0.819044144,0.2948,,,,,,,,
0.8,0.9517607,0.7981,0.746894153,0.9018,0.817069856,0.3056,,,,,,,,
0.79,0.95598274,0.7919,0.737664875,0.906,0.813212458,0.3222,,,,,,,,
0.91,0.76024073,0.8152,0.822686323,0.8036,0.813031161,0.1732,,,,,,,,
0.78,0.95975566,0.7861,0.728843385,0.9112,0.809883566,0.339,,,,,,,,
0.76,0.96837944,0.7834,0.723290262,0.918,0.809095717,0.3512,,,,,,,,
0.77,0.9636184,0.784,0.725468403,0.9138,0.80881572,0.3458,,,,,,,,
0.75,0.9710744,0.7809,0.719556042,0.9206,0.807756427,0.3588,,,,,,,,
0.74,0.9731405,0.778,0.715637605,0.9226,0.80604578,0.3666,,,,,,,,
0.73,0.9755659,0.7759,0.712328767,0.9256,0.805079586,0.3738,,,,,,,,
0.72,0.9774524,0.7739,0.70898825,0.9292,0.804293257,0.3814,,,,,,,,
0.69,0.9826626,0.7692,0.700416915,0.9408,0.803004438,0.4024,,,,,,,,
0.68,0.98374057,0.7677,0.698266923,0.9428,0.802314697,0.4074,,,,,,,,
0.71,0.97906935,0.7701,0.703726052,0.933,0.802304583,0.3928,,,,,,,,
0.7,0.98086596,0.7689,0.701182104,0.9372,0.802191218,0.3994,,,,,,,,
0.67,0.9849084,0.7657,0.695799558,0.9442,0.801187951,0.4128,,,,,,,,
0.66,0.9852677,0.7651,0.694611658,0.9462,0.801117602,0.416,,,,,,,,
0.65,0.9855372,0.7629,0.69215027,0.947,0.799763533,0.4212,,,,,,,,
0.64,0.98688465,0.7616,0.690503932,0.9482,0.799089837,0.425,,,,,,,,
0.63,0.987244,0.7602,0.688769588,0.9494,0.798351833,0.429,,,,,,,,
0.92,0.70562345,0.805,0.827253219,0.771,0.798136646,0.161,,,,,,,,
0.62,0.98823214,0.7574,0.685446686,0.9514,0.79681742,0.4366,,,,,,,,
0.59,0.99065757,0.7541,0.680443119,0.9582,0.795781081,0.45,,,,,,,,
0.6,0.99002874,0.7545,0.681397006,0.956,0.795672077,0.447,,,,,,,,
0.61,0.98868126,0.7549,0.682357991,0.9538,0.795562599,0.444,,,,,,,,
0.58,0.9907474,0.7531,0.679122435,0.9596,0.795358475,0.4534,,,,,,,,
0.56,0.9920949,0.7525,0.678042589,0.9616,0.795302291,0.4566,,,,,,,,
0.57,0.9912864,0.7524,0.678198249,0.9606,0.795067042,0.4558,,,,,,,,
0.55,0.9924542,0.7517,0.677178657,0.962,0.794844253,0.4586,,,,,,,,
0.53,0.99344236,0.7507,0.675339208,0.9656,0.794797926,0.4642,,,,,,,,
0.54,0.9929932,0.7507,0.676028648,0.9628,0.794323901,0.4614,,,,,,,,
0.52,0.9938915,0.7492,0.673537604,0.9672,0.79408867,0.4688,,,,,,,,
0.5,0.9948796,0.7476,0.670758621,0.9726,0.793959184,0.4774,,,,,,,,
0.51,0.99434066,0.7477,0.671371247,0.9704,0.79365339,0.475,,,,,,,,
