threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.92,0.40019795,0.8261,0.810512283,0.8512,0.830358014,0.199,,,,,,,,
0.91,0.4039921,0.8256,0.808450171,0.8534,0.830317182,0.2022,,0.92,0.40019795,0.8261,0.810512283,0.8512,0.830358014,0.199
0.93,0.39590895,0.826,0.811544343,0.8492,0.82994527,0.1972,,,,,,,,
0.9,0.4104256,0.8246,0.805995475,0.855,0.829774845,0.2058,,,,,,,,
0.94,0.39293963,0.8256,0.811996934,0.8474,0.829320806,0.1962,,,,,,,,
0.95,0.39129,0.8258,0.81302844,0.8462,0.829282634,0.1946,,,,,,,,
0.96,0.38947544,0.826,0.81394453,0.8452,0.829277865,0.1932,,,,,,,,
0.97,0.3856813,0.8258,0.814600232,0.8436,0.828846532,0.192,,,,,,,,
0.89,0.4148796,0.8229,0.80262418,0.8564,0.828640542,0.2106,,,,,,,,
0.98,0.3846915,0.825,0.814678544,0.8414,0.827823691,0.1914,,,,,,,,
0.88,0.42098317,0.8207,0.797882222,0.859,0.827313878,0.2176,,,,,,,,
0.99,0.38205212,0.8244,0.815564202,0.8384,0.826824458,0.1896,,,,,,,,
1,0.3799076,0.824,0.816653636,0.8356,0.826018189,0.1876,,,,,,,,
1,0.3799076,0.824,0.816653636,0.8356,0.826018189,0.1876,,,,,,,,
0.86,0.43022105,0.8182,0.792141021,0.8628,0.825962091,0.2264,,,,,,,,
0.87,0.4256021,0.8186,0.793803025,0.8608,0.825945116,0.2236,,,,,,,,
0.81,0.44358298,0.8166,0.78615329,0.8698,0.825864033,0.2366,,,,,,,,
0.8,0.44424284,0.8163,0.785520852,0.8702,0.825695037,0.2376,,,,,,,,
0.85,0.4330254,0.8175,0.790272445,0.8644,0.825675805,0.2294,,,,,,,,
0.78,0.44886175,0.8159,0.784133837,0.8718,0.825646368,0.24,,,,,,,,
0.82,0.44028375,0.8165,0.786944696,0.868,0.825487399,0.235,,,,,,,,
0.79,0.44688222,0.8159,0.784645882,0.8708,0.825481088,0.239,,,,,,,,
0.76,0.45282084,0.8151,0.781792166,0.8742,0.825417808,0.244,,,,,,,,
0.84,0.43582976,0.8168,0.788629738,0.8656,0.82532418,0.232,,,,,,,,
0.83,0.43863413,0.8164,0.787427326,0.8668,0.825209444,0.234,,,,,,,,
0.77,0.4503464,0.8151,0.782600897,0.8726,0.825153664,0.2424,,,,,,,,
0.75,0.45677993,0.814,0.779957204,0.8748,0.824660633,0.2468,,,,,,,,
1.01,0.37776312,0.8229,0.817252898,0.8318,0.824462286,0.186,,,,,,,,
1.02,0.3744639,0.8227,0.818558736,0.8292,0.823845007,0.1838,,,,,,,,
0.74,0.46139887,0.8124,0.777048599,0.8762,0.823651062,0.2514,,,,,,,,
0.73,0.46898714,0.8108,0.773302849,0.8794,0.822945911,0.2578,,,,,,,,
1.03,0.37198943,0.822,0.820334262,0.8246,0.8224616,0.1806,,,,,,,,
0.72,0.48020455,0.8089,0.769593297,0.8818,0.821884612,0.264,,,,,,,,
0.71,0.48894754,0.8079,0.766119274,0.8864,0.821882244,0.2706,,,,,,,,
0.7,0.495546,0.8068,0.763302437,0.8894,0.821540735,0.2758,,,,,,,,
0.69,0.50412405,0.8057,0.760880696,0.8916,0.82107008,0.2802,,,,,,,,
0.68,0.5103926,0.8042,0.758585515,0.8924,0.82006984,0.284,,,,,,,,
1.04,0.36819533,0.8204,0.822074789,0.8178,0.819931823,0.177,,,,,,,,
0.67,0.51550645,0.8035,0.756898595,0.8942,0.819840469,0.2872,,,,,,,,
0.66,0.5202903,0.8026,0.755057316,0.8958,0.819429199,0.2906,,,,,,,,
0.65,0.5234246,0.8017,0.753828033,0.896,0.818788266,0.2926,,,,,,,,
0.64,0.52556914,0.8014,0.753022163,0.897,0.818729463,0.2942,,,,,,,,
0.63,0.52639395,0.8008,0.752179745,0.8972,0.818314484,0.2956,,,,,,,,
