threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.9,0.41195485,0.6811,0.681572087,0.6798,0.68068489,0.3176,,0.9,0.41195485,0.6811,0.681572087,0.6798,0.68068489,0.3176
0.89,0.41195485,0.6809,0.681226207,0.68,0.680612551,0.3182,,,,,,,,
0.88,0.41195485,0.6801,0.679632954,0.6814,0.68051533,0.3212,,,,,,,,
0.87,0.4121668,0.6796,0.678813222,0.6818,0.680303333,0.3226,,,,,,,,
0.91,0.4115309,0.6807,0.681535061,0.6784,0.679963917,0.317,,,,,,,,
0.85,0.41221982,0.6779,0.675686352,0.6842,0.679916526,0.3284,,,,,,,,
0.83,0.41322663,0.6759,0.671810901,0.6878,0.679711434,0.336,,,,,,,,
0.92,0.410948,0.6808,0.682037857,0.6774,0.679711017,0.3158,,,,,,,,
0.86,0.41221982,0.6784,0.676984127,0.6824,0.679681275,0.3256,,,,,,,,
0.84,0.41301468,0.6769,0.67394297,0.6854,0.679623203,0.3316,,,,,,,,
0.71,0.4257326,0.6671,0.65503804,0.706,0.679564924,0.3718,,,,,,,,
0.93,0.41073605,0.6808,0.682331585,0.6766,0.679453706,0.315,,,,,,,,
0.59,0.43272746,0.6579,0.639315334,0.7246,0.679291272,0.4088,,,,,,,,
0.58,0.43293944,0.6576,0.638830162,0.7252,0.679280629,0.41,,,,,,,,
0.57,0.43299243,0.6571,0.638122033,0.7258,0.679142884,0.4116,,,,,,,,
0.7,0.42779925,0.6659,0.653298836,0.707,0.679089425,0.3752,,,,,,,,
0.61,0.43262148,0.6584,0.640375753,0.7226,0.679007705,0.4058,,,,,,,,
0.73,0.4227121,0.6674,0.656156716,0.7034,0.678957529,0.3686,,,,,,,,
0.72,0.4240369,0.6671,0.655615571,0.704,0.678946861,0.3698,,,,,,,,
0.55,0.43325737,0.6563,0.636985101,0.7268,0.678935077,0.4142,,,,,,,,
0.56,0.43299243,0.6565,0.637352993,0.7262,0.67888193,0.4132,,,,,,,,
0.62,0.4325155,0.659,0.641509434,0.7208,0.678847241,0.4028,,,,,,,,
0.8,0.41444546,0.6712,0.663421153,0.695,0.678843524,0.3526,,,,,,,,
0.77,0.41746596,0.6685,0.658394435,0.7004,0.678747941,0.3634,,,,,,,,
0.82,0.41333264,0.6735,0.668022468,0.6898,0.678736594,0.3428,,,,,,,,
0.63,0.43230355,0.66,0.643369176,0.718,0.678638941,0.398,,,,,,,,
0.94,0.41010016,0.6804,0.682443366,0.6748,0.678600161,0.314,,,,,,,,
0.75,0.41921467,0.6676,0.656870086,0.7018,0.678592149,0.3666,,,,,,,,
0.74,0.42038047,0.6674,0.656507105,0.7022,0.678585234,0.3674,,,,,,,,
0.54,0.43341637,0.6556,0.636204482,0.7268,0.678491412,0.4156,,,,,,,,
0.6,0.43272746,0.6574,0.639144272,0.723,0.678490991,0.4082,,,,,,,,
0.69,0.42891207,0.6648,0.651917404,0.7072,0.678434382,0.3776,,,,,,,,
0.76,0.4182608,0.6679,0.657593392,0.7006,0.678415803,0.3648,,,,,,,,
0.79,0.41460443,0.6698,0.66122294,0.6964,0.678355737,0.3568,,,,,,,,
0.53,0.4336813,0.6551,0.635505854,0.7274,0.678354938,0.4172,,,,,,,,
0.81,0.41391554,0.6716,0.664683301,0.6926,0.678354554,0.3494,,,,,,,,
0.78,0.41555828,0.6687,0.659301228,0.6982,0.678193298,0.3608,,,,,,,,
1.03,0.3998728,0.6908,0.70703125,0.6516,0.678184846,0.27,,,,,,,,
1.08,0.39759418,0.6942,0.715777778,0.6442,0.678105263,0.2558,,,,,,,,
0.68,0.4300249,0.6638,0.650496141,0.708,0.678031029,0.3804,,,,,,,,
0.52,0.4337873,0.6543,0.63447795,0.728,0.678029245,0.4194,,,,,,,,
1.01,0.40087965,0.6878,0.699957411,0.6574,0.678011551,0.2818,,,,,,,,
1.02,0.4000318,0.6894,0.703831253,0.654,0.678001244,0.2752,,,,,,,,
