threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0,1,0.7362,0.655190539,0.9972,0.790800952,0.5248,,,,,,,,
0.01,1,0.7362,0.655190539,0.9972,0.790800952,0.5248,,0.84,0.54290617,0.7513,0.791193511,0.6828,0.733011272,0.1802
0.02,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.03,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.04,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.05,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.06,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.07,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.08,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.09,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.1,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.11,1,0.7361,0.655145223,0.997,0.790705052,0.5248,,,,,,,,
0.12,1,0.736,0.655099895,0.9968,0.790609137,0.5248,,,,,,,,
0.13,1,0.7359,0.655054555,0.9966,0.790513207,0.5248,,,,,,,,
0.14,1,0.7359,0.655054555,0.9966,0.790513207,0.5248,,,,,,,,
0.15,1,0.7359,0.655054555,0.9966,0.790513207,0.5248,,,,,,,,
0.16,1,0.7359,0.655054555,0.9966,0.790513207,0.5248,,,,,,,,
0.17,1,0.7359,0.655054555,0.9966,0.790513207,0.5248,,,,,,,,
0.18,1,0.7356,0.654918464,0.996,0.790225325,0.5248,,,,,,,,
0.19,1,0.7355,0.654873076,0.9958,0.790129334,0.5248,,,,,,,,
0.2,1,0.7355,0.654873076,0.9958,0.790129334,0.5248,,,,,,,,
0.21,1,0.7354,0.654827677,0.9956,0.790033328,0.5248,,,,,,,,
0.22,1,0.7354,0.654827677,0.9956,0.790033328,0.5248,,,,,,,,
0.23,1,0.7354,0.654827677,0.9956,0.790033328,0.5248,,,,,,,,
0.24,1,0.7353,0.654782265,0.9954,0.789937307,0.5248,,,,,,,,
0.25,1,0.7353,0.654782265,0.9954,0.789937307,0.5248,,,,,,,,
0.26,1,0.7353,0.654782265,0.9954,0.789937307,0.5248,,,,,,,,
0.27,1,0.7352,0.654736842,0.9952,0.78984127,0.5248,,,,,,,,
0.28,1,0.7352,0.654736842,0.9952,0.78984127,0.5248,,,,,,,,
0.29,1,0.7352,0.654736842,0.9952,0.78984127,0.5248,,,,,,,,
0.3,1,0.7352,0.654736842,0.9952,0.78984127,0.5248,,,,,,,,
0.31,1,0.7349,0.6546005,0.9946,0.789553068,0.5248,,,,,,,,
0.32,1,0.7342,0.65428195,0.9932,0.788880064,0.5248,,,,,,,,
0.33,1,0.7337,0.654054054,0.9922,0.788398888,0.5248,,,,,,,,
0.34,1,0.7336,0.654008439,0.992,0.788302606,0.5248,,,,,,,,
0.35,1,0.7335,0.653962812,0.9918,0.78820631,0.5248,,,,,,,,
0.36,1,0.7332,0.653825858,0.9912,0.787917329,0.5248,,,,,,,,
0.37,1,0.7328,0.653643083,0.9904,0.787531807,0.5248,,,,,,,,
0.38,1,0.7325,0.653505876,0.9898,0.787242504,0.5248,,,,,,,,
0.39,1,0.7323,0.653454882,0.9892,0.787015673,0.5246,,,,,,,,
0.4,1,0.7321,0.653363288,0.9888,0.786822631,0.5246,,,,,,,,
0.41,1,0.7305,0.652669228,0.9854,0.785241852,0.5244,,,,,,,,
0.42,1,0.7299,0.652392947,0.9842,0.784660767,0.5244,,,,,,,,
0.43,1,0.7296,0.652456839,0.9826,0.784197925,0.5234,,,,,,,,
0.44,1,0.7287,0.652040952,0.9808,0.783324016,0.5234,,,,,,,,
0.45,1,0.7283,0.651855794,0.98,0.782935208,0.5234,,,,,,,,
0.46,1,0.7273,0.651392034,0.978,0.781962101,0.5234,,,,,,,,
