threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0.15,0.8015873,0.8281,0.800953953,0.8732,0.835518132,0.217
0.14,0.8201058,0.8257,0.794431387,0.8788,0.834488653,0.2274
0.16,0.74867725,0.8276,0.805027933,0.8646,0.833751205,0.2094
0.13,0.8518519,0.8235,0.788375825,0.8844,0.833631822,0.2374
0.12,0.88095236,0.8214,0.782127809,0.891,0.83302169,0.2482
0.17,0.7169312,0.8274,0.808984522,0.8572,0.83239464,0.2024
0.1,0.9100529,0.8175,0.772251758,0.9006,0.83150217,0.2656
0.11,0.8941799,0.8181,0.775220626,0.896,0.831245941,0.2598
0.09,0.9232804,0.8148,0.766689258,0.905,0.830122913,0.2754
0.18,0.66402113,0.8262,0.812212864,0.8486,0.830007825,0.1962
0.08,0.93121696,0.8107,0.760610636,0.9068,0.827296779,0.2854
0.19,0.5952381,0.8247,0.816410057,0.8378,0.826966736,0.1884
0.07,0.93121696,0.8077,0.755352697,0.9102,0.825578231,0.2948
0.2,0.54497355,0.8232,0.818989341,0.8298,0.824359229,0.1834
0.21,0.521164,0.8235,0.822275354,0.8254,0.823834714,0.1784
0.06,0.93386245,0.804,0.749671485,0.9128,0.823232323,0.3048
0.22,0.4920635,0.8221,0.823718593,0.8196,0.821654135,0.1754
0.05,0.93915343,0.8009,0.744753538,0.9156,0.82138692,0.3138
0.23,0.489418,0.8222,0.825323102,0.8174,0.821342444,0.173
0.24,0.489418,0.8217,0.826598985,0.8142,0.820352645,0.1708
0.26,0.489418,0.8224,0.83073451,0.8098,0.820133684,0.165
0.25,0.489418,0.8213,0.827924066,0.8112,0.819476715,0.1686
0.04,0.94708997,0.7969,0.738703972,0.9188,0.818967822,0.325
0.27,0.489418,0.8214,0.831340206,0.8064,0.818680203,0.1636
0.03,0.95767194,0.7952,0.735481812,0.922,0.818246361,0.3316
0.28,0.489418,0.8202,0.831332781,0.8034,0.817127746,0.163
0.29,0.489418,0.8193,0.831430351,0.801,0.815931547,0.1624
0.02,0.96031743,0.7914,0.730246523,0.9242,0.81585452,0.3414
0.31,0.489418,0.8192,0.832916145,0.7986,0.815397182,0.1602
0.3,0.489418,0.8188,0.831530782,0.7996,0.815252855,0.162
0.01,0.9656085,0.7897,0.727215686,0.9272,0.815120879,0.3478
0.32,0.489418,0.8186,0.833403098,0.7964,0.814481489,0.1592
0,0.9656085,0.7874,0.723275326,0.931,0.814095838,0.3562
0.33,0.489418,0.8183,0.834278513,0.7944,0.81385104,0.1578
0.34,0.489418,0.8175,0.83442174,0.7922,0.812762901,0.1572
0.35,0.489418,0.8173,0.835058078,0.7908,0.812326656,0.1562
0.36,0.489418,0.8169,0.835060266,0.7898,0.811799774,0.156
0.38,0.489418,0.8169,0.835912656,0.7886,0.811567356,0.1548
0.37,0.489418,0.8166,0.835239305,0.7888,0.811355688,0.1556
0.39,0.489418,0.8167,0.836556854,0.7872,0.811128284,0.1538
0.4,0.489418,0.8165,0.836917181,0.7862,0.810766216,0.1532
0.41,0.489418,0.8165,0.837204347,0.7858,0.810688125,0.1528
0.42,0.489418,0.8165,0.837492003,0.7854,0.81060997,0.1524
0.43,0.489418,0.8164,0.837889791,0.7846,0.810369758,0.1518
0.44,0.489418,0.8161,0.837785852,0.784,0.810001033,0.1518
0.45,0.489418,0.816,0.837751176,0.7838,0.809878074,0.1518
0.47,0.489418,0.8156,0.838046272,0.7824,0.809267687,0.1512
0.46,0.489418,0.8155,0.837722115,0.7826,0.809223452,0.1516
0.48,0.489418,0.8155,0.838737385,0.7812,0.808946878,0.1502
0.5,0.489418,0.8148,0.838931955,0.7792,0.807963501,0.1496
0.49,0.489418,0.8146,0.838425129,0.7794,0.807835821,0.1502
0.51,0.489418,0.8146,0.839447562,0.778,0.80755657,0.1488
0.52,0.489418,0.8142,0.839749135,0.7766,0.806940981,0.1482
0.53,0.489418,0.8141,0.840155945,0.7758,0.806696475,0.1476
0.54,0.489418,0.8134,0.839913232,0.7744,0.805827263,0.1476
