threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0.97,0.8636364,0.8567,0.852400711,0.8628,0.85756883,0.1494
0.96,0.8636364,0.8563,0.850619957,0.8644,0.857454618,0.1518
0.95,0.8636364,0.8559,0.849126937,0.8656,0.857284342,0.1538
0.98,0.84090906,0.8565,0.854162527,0.8598,0.856971992,0.1468
0.99,0.84090906,0.8562,0.855205425,0.8576,0.856401039,0.1452
0.94,0.8636364,0.853,0.842984843,0.8676,0.855115316,0.1616
1,0.8181818,0.8549,0.855825145,0.8536,0.854711124,0.1438
1,0.8181818,0.8549,0.855825145,0.8536,0.854711124,0.1438
0.92,0.8636364,0.8511,0.837012862,0.872,0.854148301,0.1698
0.93,0.8636364,0.8514,0.838666153,0.8702,0.854142128,0.1674
1.01,0.8181818,0.8547,0.858065819,0.85,0.854013865,0.1406
0.91,0.8636364,0.8505,0.835406699,0.873,0.853789731,0.172
1.02,0.8181818,0.8549,0.861184612,0.8462,0.853626551,0.1364
1.03,0.8181818,0.8554,0.864887064,0.8424,0.853495441,0.1316
1.04,0.8181818,0.8545,0.866597725,0.838,0.852058973,0.129
0.9,0.8636364,0.8475,0.829884185,0.8742,0.851465861,0.1792
0.84,0.90909094,0.8448,0.82008912,0.8834,0.850568072,0.1938
0.86,0.8636364,0.8452,0.823099963,0.8794,0.850319087,0.189
0.85,0.90909094,0.8447,0.821009499,0.8816,0.850226637,0.1922
0.87,0.8636364,0.8454,0.824502067,0.8776,0.850222825,0.1868
0.88,0.8636364,0.8455,0.825145869,0.8768,0.850189082,0.1858
0.83,0.90909094,0.844,0.818282754,0.8844,0.85005767,0.1964
0.89,0.8636364,0.8455,0.825881909,0.8756,0.850014562,0.1846
1.05,0.8181818,0.8518,0.866611088,0.8316,0.848744642,0.128
0.82,0.90909094,0.8417,0.813658895,0.8864,0.848473246,0.203
0.8,0.9318182,0.8375,0.799893371,0.9002,0.847087607,0.2252
0.78,0.9318182,0.8353,0.794071216,0.9054,0.846089151,0.2348
0.79,0.9318182,0.8355,0.795282521,0.9036,0.845988203,0.2326
0.77,0.9318182,0.8343,0.792169201,0.9064,0.845443522,0.2378
1.06,0.77272725,0.849,0.868454392,0.8226,0.844905505,0.1246
0.76,0.95454544,0.8332,0.790243902,0.9072,0.844692737,0.2408
0.81,0.90909094,0.8358,0.801328069,0.893,0.844684071,0.2214
0.75,0.95454544,0.8326,0.789418726,0.9072,0.844221106,0.242
0.74,0.95454544,0.8313,0.787237732,0.908,0.843317544,0.2454
0.73,0.95454544,0.831,0.786233137,0.9092,0.843257281,0.2472
0.72,0.95454544,0.8305,0.78525807,0.9098,0.842953766,0.2488
0.71,0.95454544,0.8299,0.784445594,0.9098,0.842485415,0.25
0.7,0.95454544,0.8292,0.783402204,0.91,0.841968912,0.2516
0.68,0.95454544,0.8282,0.781185744,0.9118,0.841454411,0.2554
0.69,0.95454544,0.8282,0.781571723,0.911,0.841337274,0.2546
0.67,0.95454544,0.8274,0.779733424,0.9126,0.840950977,0.2578
0.66,0.95454544,0.823,0.773636056,0.9132,0.837644469,0.2672
1.07,0.75,0.8428,0.870034542,0.806,0.83679402,0.1204
0.65,0.95454544,0.8209,0.770163327,0.9148,0.836273882,0.273
0.64,0.97727275,0.8203,0.768753147,0.9162,0.836025185,0.2756
0.63,0.97727275,0.8196,0.767492467,0.917,0.835611445,0.2778
0.62,0.97727275,0.8166,0.763394343,0.9176,0.83342416,0.2844
0.6,0.97727275,0.8153,0.760966727,0.9194,0.832714428,0.2888
0.61,0.97727275,0.8152,0.761186609,0.9186,0.832517673,0.2882
0.59,0.97727275,0.815,0.760589014,0.9194,0.832488229,0.2894
0.58,0.97727275,0.8147,0.759953742,0.92,0.832353207,0.2906
0.56,1,0.8126,0.756818929,0.9212,0.830957965,0.296
0.57,1,0.8127,0.757366255,0.9202,0.830880361,0.2948
0.55,1,0.8116,0.755409836,0.9216,0.83027027,0.2984
0.54,1,0.8102,0.75351422,0.922,0.829285843,0.3016
