threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.69,0.9143279,0.8131,0.777325066,0.8776,0.824424612,0.2514
1.68,0.9143279,0.8124,0.775679492,0.879,0.824114007,0.2542
1.54,0.9143279,0.8086,0.762414966,0.8966,0.824080882,0.2794
1.59,0.9143279,0.8098,0.766701102,0.8906,0.824019245,0.271
1.55,0.9143279,0.8087,0.763081643,0.8954,0.823962455,0.278
1.58,0.9143279,0.8094,0.765716249,0.8916,0.823877287,0.2728
1.6,0.9143279,0.8098,0.767253278,0.8894,0.823823638,0.2698
1.61,0.9143279,0.8101,0.768391899,0.8878,0.823791408,0.2676
1.52,0.9143279,0.8077,0.760277449,0.8988,0.823755843,0.2834
1.7,0.9143279,0.8126,0.777521307,0.8758,0.823739654,0.2506
1.53,0.9143279,0.8079,0.76115352,0.8974,0.823680587,0.2816
1.65,0.9143279,0.8108,0.771298883,0.8836,0.823639075,0.262
1.64,0.9143279,0.8104,0.770006959,0.8852,0.823595087,0.2644
1.62,0.9143279,0.8101,0.768950564,0.8866,0.823594984,0.2664
1.67,0.9143279,0.8115,0.773966579,0.88,0.823584464,0.257
1.74,0.9143279,0.8137,0.782155064,0.8696,0.823562837,0.2422
1.56,0.9143279,0.8085,0.763630149,0.8936,0.82351857,0.2766
1.5,0.9143279,0.8069,0.75828985,0.901,0.823507906,0.2872
1.75,0.9143279,0.8138,0.782804614,0.8686,0.823473644,0.241
1.66,0.9143279,0.811,0.772520154,0.8816,0.823463478,0.2596
1.72,0.9143279,0.8129,0.779524745,0.8726,0.823440596,0.2468
1.63,0.9143279,0.8101,0.769417897,0.8856,0.823430962,0.2654
1.77,0.9143279,0.8143,0.784846837,0.866,0.823428734,0.2374
1.57,0.9143279,0.8085,0.764081493,0.8926,0.823355779,0.2756
1.76,0.9143279,0.8139,0.783661666,0.8672,0.823317194,0.2394
1.51,0.9143279,0.8069,0.758899949,0.8996,0.823281779,0.2858
1.73,0.9143279,0.8129,0.7804266,0.8708,0.823140183,0.245
1.71,0.9143279,0.8121,0.777718455,0.874,0.823053018,0.2498
1.78,0.9143279,0.814,0.7856623,0.8636,0.822789634,0.2356
1.42,0.9143279,0.8037,0.750288446,0.9104,0.822625825,0.303
1.79,0.9143279,0.8141,0.786639898,0.862,0.822597576,0.2338
1.45,0.9143279,0.8044,0.75282392,0.9064,0.822504537,0.2976
1.4,0.9143279,0.8031,0.748891444,0.912,0.822436649,0.3058
1.44,0.9143279,0.804,0.751738986,0.9078,0.8224316,0.2998
1.41,0.9143279,0.8032,0.749342105,0.9112,0.822382671,0.3048
1.48,0.9143279,0.805,0.755102041,0.9028,0.822372017,0.2928
1.43,0.9143279,0.8037,0.750950256,0.9088,0.822369016,0.3014
1.49,0.9143279,0.8051,0.755656109,0.9018,0.822285037,0.2916
1.91,0.9128508,0.8174,0.80113852,0.8444,0.822200584,0.2096
1.39,0.9143279,0.8026,0.748114136,0.9124,0.822130114,0.3072
1.47,0.9143279,0.8044,0.75400534,0.9036,0.822052402,0.2948
1.8,0.9143279,0.8138,0.787362637,0.8598,0.821988528,0.2322
1.89,0.9128508,0.8163,0.797442167,0.848,0.821944364,0.2154
1.9,0.9128508,0.8168,0.799546142,0.8456,0.82192846,0.212
1.46,0.9143279,0.804,0.753164557,0.9044,0.821882952,0.2964
1.93,0.9128508,0.8177,0.803670426,0.8408,0.821816049,0.2054
1.88,0.9128508,0.8159,0.796508354,0.8486,0.821729447,0.2168
1.28,0.9143279,0.8001,0.741509738,0.9214,0.821724784,0.3212
1.94,0.9128508,0.8179,0.805027826,0.839,0.821662913,0.2032
1.81,0.9143279,0.8138,0.788419118,0.8578,0.82164751,0.2302
1.83,0.9143279,0.8144,0.790788013,0.855,0.821641361,0.2262
1.38,0.9143279,0.8018,0.746891361,0.913,0.821634269,0.3094
1.27,0.9143279,0.7997,0.740722892,0.9222,0.82155902,0.3228
