threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.51,0.9879931,0.8218,0.790223665,0.8762,0.83099393,0.2326
1.52,0.9879931,0.8218,0.791379935,0.874,0.830640563,0.2304
1.53,0.9879931,0.8221,0.79265855,0.8724,0.830619823,0.2282
1.4,0.9879931,0.8172,0.774774775,0.8944,0.83030078,0.26
1.5,0.9879931,0.8206,0.787998563,0.8772,0.830210108,0.236
1.49,0.9879931,0.8201,0.786161273,0.8794,0.830170868,0.2392
1.39,0.9879931,0.8165,0.772703774,0.8968,0.830139776,0.2638
1.47,0.9879931,0.8192,0.783079106,0.883,0.830043241,0.2446
1.41,0.9879931,0.8173,0.775961037,0.8922,0.830030701,0.2576
1.38,0.9879931,0.8161,0.771703627,0.8978,0.829989831,0.2656
1.46,0.9879931,0.8188,0.781924301,0.8842,0.829923034,0.2466
1.42,0.9879931,0.8174,0.776866713,0.8906,0.82985464,0.2558
1.54,0.9879931,0.8216,0.79321663,0.87,0.82983594,0.2268
1.37,0.9879931,0.8155,0.770444025,0.8988,0.829687067,0.2678
1.36,0.9879931,0.815,0.768863093,0.9008,0.829618714,0.2708
1.56,0.9879931,0.8221,0.796320147,0.8656,0.829516052,0.2214
1.45,0.9879931,0.818,0.780324401,0.8852,0.82946027,0.2492
1.48,0.9879931,0.8189,0.783971505,0.8804,0.829392369,0.2426
1.57,0.9879931,0.8223,0.797819257,0.8634,0.829315147,0.2188
1.43,0.9879931,0.8171,0.77791411,0.8876,0.829145259,0.2534
1.35,0.9897084,0.8141,0.767228178,0.9018,0.829088903,0.2736
1.59,0.9862779,0.8227,0.800297785,0.86,0.829075484,0.2146
1.58,0.9879931,0.8222,0.798665184,0.8616,0.828939773,0.2172
1.44,0.9879931,0.8172,0.778930707,0.8858,0.828935055,0.2514
1.55,0.9879931,0.821,0.79406376,0.8668,0.828839166,0.2248
1.69,0.9794168,0.8258,0.81533101,0.8424,0.828644501,0.1908
1.61,0.98456264,0.8232,0.804102371,0.8546,0.828582509,0.2082
1.34,0.9897084,0.813,0.765254237,0.903,0.828440367,0.277
1.68,0.9794168,0.8254,0.8144569,0.8428,0.828386082,0.192
1.72,0.9794168,0.8268,0.820895522,0.836,0.828378914,0.1824
1.67,0.9794168,0.8249,0.812463935,0.8448,0.828316502,0.195
1.6,0.98456264,0.8224,0.801646707,0.8568,0.828306265,0.212
1.33,0.9897084,0.8124,0.76394052,0.9042,0.828173658,0.2794
1.7,0.9794168,0.8256,0.816608324,0.8398,0.828041806,0.1886
1.63,0.9811321,0.823,0.805524026,0.8516,0.827921447,0.2056
1.71,0.9794168,0.8258,0.818039828,0.838,0.827899625,0.1864
1.66,0.9794168,0.824,0.810107198,0.8464,0.827856025,0.1984
1.62,0.98284733,0.8227,0.804606381,0.8524,0.827813926,0.207
1.65,0.9794168,0.8235,0.808388942,0.848,0.827720839,0.201
1.32,0.9897084,0.8114,0.761944818,0.9058,0.827668129,0.283
1.74,0.97255576,0.8267,0.823145401,0.8322,0.827647936,0.1788
1.75,0.97084045,0.8268,0.824077747,0.831,0.827524398,0.1774
1.73,0.9794168,0.8262,0.821315997,0.8338,0.827510917,0.1814
1.64,0.9811321,0.8226,0.806304596,0.8492,0.827196571,0.204
1.31,0.9897084,0.8104,0.760228035,0.9068,0.827070412,0.286
1.76,0.9691252,0.8266,0.825298805,0.8286,0.826946108,0.1754
1.3,0.9897084,0.81,0.759370817,0.9076,0.826895044,0.2876
1.29,0.9897084,0.8094,0.758005337,0.909,0.826664242,0.2902
1.28,0.9897084,0.8089,0.75668938,0.9106,0.826540801,0.2928
1.27,0.9897084,0.8084,0.755382577,0.9122,0.826417829,0.2954
1.24,0.9897084,0.8073,0.752174627,0.9166,0.826286848,0.302
1.26,0.9897084,0.8077,0.753752268,0.914,0.826177348,0.2986
1.25,0.9897084,0.8073,0.752838572,0.915,0.82603593,0.3004
