threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.79,0.9361702,0.8172,0.786178275,0.8714,0.826598368,0.237
1.86,0.9310345,0.82,0.797508367,0.8578,0.826556177,0.2178
1.78,0.93714845,0.8168,0.784994602,0.8726,0.826482288,0.239
1.8,0.93592566,0.8174,0.7875,0.8694,0.826425856,0.2346
1.81,0.93494743,0.8179,0.789473684,0.867,0.826422648,0.2312
1.75,0.9386158,0.8158,0.781461676,0.8768,0.826390198,0.2452
1.85,0.93201274,0.8194,0.795740741,0.8594,0.826346154,0.2206
1.83,0.93299097,0.8186,0.792830882,0.8626,0.826245211,0.2254
1.84,0.93250185,0.8188,0.793879056,0.8612,0.826170376,0.2236
1.76,0.9381267,0.8158,0.782165833,0.8754,0.826160815,0.2438
1.77,0.937393,0.816,0.782951289,0.8744,0.826152683,0.2424
1.82,0.9344583,0.818,0.790782736,0.8648,0.826136798,0.2288
1.7,0.94228417,0.8137,0.774453193,0.8852,0.826131591,0.2578
1.67,0.9437515,0.8127,0.770923583,0.8898,0.82610714,0.2644
1.68,0.9432624,0.8128,0.771527778,0.8888,0.826022305,0.2632
1.69,0.9425287,0.8132,0.773012552,0.8868,0.826005961,0.2604
1.74,0.93886036,0.815,0.779751332,0.878,0.825964252,0.248
1.66,0.9444852,0.8121,0.769469867,0.8912,0.825873413,0.267
1.65,0.94521886,0.8118,0.768422865,0.8926,0.825869726,0.269
1.73,0.9398386,0.8145,0.778269333,0.8796,0.825837949,0.2506
1.71,0.94179505,0.8134,0.774912281,0.8834,0.825607477,0.2566
1.64,0.9454634,0.8112,0.767078613,0.8938,0.825605025,0.2714
1.72,0.9410614,0.8134,0.775977457,0.8812,0.825248174,0.2544
1.62,0.94595253,0.81,0.763964578,0.8972,0.825239146,0.2772
1.87,0.93030083,0.8191,0.798168567,0.8542,0.825234277,0.216
1.63,0.94595253,0.8104,0.765480671,0.895,0.82518901,0.2742
1.61,0.9461971,0.8096,0.762996942,0.8982,0.825096454,0.279
1.88,0.9298117,0.819,0.798913043,0.8526,0.824883901,0.2146
1.6,0.9461971,0.8089,0.761912837,0.8986,0.824630632,0.2808
1.57,0.947909,0.8076,0.757880617,0.904,0.8245166,0.2888
1.58,0.9474199,0.8077,0.758963138,0.9018,0.824239101,0.2864
1.59,0.9466862,0.808,0.760311021,0.8996,0.824111396,0.2836
1.97,0.92174125,0.8217,0.813242454,0.8352,0.824074988,0.1918
1.89,0.92956716,0.8186,0.800226159,0.8492,0.823986028,0.212
1.56,0.9493764,0.8066,0.756183155,0.905,0.82392571,0.2918
1.53,0.94962096,0.8055,0.752855488,0.9096,0.82383842,0.2986
1.9,0.92761064,0.8186,0.801020408,0.8478,0.823746599,0.2106
1.55,0.9493764,0.8061,0.755125854,0.906,0.823711246,0.2938
1.54,0.94962096,0.8055,0.753779698,0.9074,0.823486705,0.2964
2.01,0.91709465,0.8225,0.818991098,0.828,0.82347091,0.183
2,0.9178283,0.8221,0.817214891,0.8298,0.823459363,0.1856
2,0.9178283,0.8221,0.817214891,0.8298,0.823459363,0.1856
2.02,0.91709465,0.8229,0.82103798,0.8258,0.823412105,0.18
1.95,0.9236977,0.8201,0.808678881,0.8386,0.823367698,0.1984
1.92,0.92638785,0.8188,0.803272451,0.8444,0.823322933,0.2068
1.45,0.95206654,0.8028,0.745779221,0.9188,0.823297491,0.3132
1.98,0.9202739,0.8213,0.8141991,0.8326,0.823296747,0.19
1.52,0.9498655,0.8046,0.751403103,0.9104,0.823295352,0.3012
1.91,0.9273661,0.8185,0.802124834,0.8456,0.823288872,0.2086
1.46,0.9515774,0.8031,0.74686431,0.917,0.823233683,0.3108
1.94,0.92516506,0.8195,0.80656304,0.8406,0.82322985,0.2016
1.96,0.9227195,0.8204,0.810465116,0.8364,0.823228346,0.1956
1.44,0.95206654,0.8025,0.745098039,0.9196,0.823202936,0.3146
